MutationType	CPCT02060013T	CPCT02100026T	CPCT02070020T	CPCT02030269T	CPCT02010944TIII	CPCT02020867T	CPCT02070272T	CPCT02020648T	CPCT02020362T	CPCT02440020T	CPCT02210077T	CPCT02070445T	CPCT02020894T	CPCT02020896T	CPCT02140101T	CPCT02210040T	DRUP01010020T	CPCT02020902T	CPCT02070443T	CPCT02080295T	CPCT02020916T	CPCT02020915T	CPCT02160036T	CPCT02120184T	CPCT02050315T	CPCT02120182T	CPCT02020940T	CPCT02010712T	CPCT02070294T	CPCT02070299T	CPCT02050437T	CPCT02050436T	CPCT02020952T	CPCT02020642TII	CPCT02020958T	CPCT02020684T	WIDE01010111T	CPCT02020958TII	CPCT02020972T	CPCT02020971T	CPCT02330103T	WIDE01010148T	CPCT02070480T	CPCT02360014T	CPCT02140107T	CPCT02070485T	WIDE01010202T	CPCT02020583TII	CPCT02020703T	CPCT02020973T	CPCT02020940TII	WIDE01010230T	CPCT02320002T	CPCT02050351T	CPCT02020979T	CPCT02080315T	CPCT02120203T	DRUP01050023T	CPCT02020983T	CPCT02140034T	WIDE01010280T	CPCT02020984T	CPCT02070154TII	CPCT02020986T	CPCT02020988T	CPCT02050445T	CPCT02070331T	CPCT02020989T	CPCT02050356T	WIDE01010412T	CPCT02140110T	CPCT02020717T	CPCT02130095T	DRUP01030012T	CPCT02070336T	CPCT02070332T	CPCT02050371T	CPCT02100178T	CPCT02020767T	CPCT02140072T	CPCT02060112T	CPCT02170032T	DRUP01070046T	WIDE01010565T	CPCT02020787T	CPCT02020778T	CPCT02050385T	CPCT02130142T	CPCT02020800T	CPCT02050395T	DRUP01070048T	CPCT02020817T	CPCT02080263T	CPCT02010944T	CPCT02020832T	CPCT02050351TII	CPCT02120168T	CPCT02440016T	CPCT02010935T	CPCT02010963T	CPCT02070401T	CPCT02230056T	CPCT02040169T	CPCT02020859T	CPCT02020633TII	CPCT02020621TII	CPCT02020586T	CPCT02070237T	CPCT02080273T	CPCT02070410T	CPCT02020600T	CPCT02010963TII	CPCT02120056T	CPCT02020840T	CPCT02040164T	CPCT02070244T	CPCT02020619T	CPCT02020633T	CPCT02010663T	CPCT02020614T	CPCT02290020T	CPCT02020632T	CPCT02050103T	CPCT02100072T	CPCT02100076T	CPCT02100077T	CPCT02070154T	CPCT02330034T	CPCT02070156T	CPCT02070162T	CPCT02070172T	CPCT02070188T	CPCT02270003T	CPCT02160026T	CPCT02070149T	CPCT02080119T	CPCT02110041T	CPCT02050216T	CPCT02070194T	CPCT02330046T	CPCT02070204T	CPCT02120020T	CPCT02260007T	CPCT02020583T	CPCT02070041T	CPCT02070043T	CPCT02050086T	CPCT02070044T	CPCT02220005T	CPCT02070057T	CPCT02330015T	CPCT02140037T	CPCT02070096T	CPCT02040064T	CPCT02070094T	CPCT02070102T	CPCT02050124T	CPCT02060073T	CPCT02060082T	CPCT02040105T	CPCT02010665T	CPCT02020629T	CPCT02080164T	CPCT02120080T	CPCT02050289T	CPCT02050297T	WIDE01010621T	WIDE01010461T	CPCT02120204T	CPCT02120206T	WIDE01010518T	CPCT02020991T	WIDE01010609T	CPCT02020993T	WIDE01010723T
1:Del:C:0	62	17	80	15	41	54	59	71	57	35	54	65	32	31	138	20	329	54	38	28	55	19	19	60	22	34	15	33	27	73	55	183	72	159	62	9	59	61	139	29	44	26	19	60	77	73	42	89	76	44	22	21	30	23	15	66	76	35	17	26	17	49	56	301	38	16	15	37	18	31	17	27	24	84	122	14	79	48	17	84	10	15	34	55	20	51	75	40	24	24	28	18	18	40	21	40	32	33	67	45	30	110	107	35	73	77	57	57	505	54	85	43	29	22	56	51	40	40	61	66	26	62	30	34	116	17	54	67	41	33	31	42	25	50	16	56	82	17	28	46	52	61	9	120	106	66	14	28	34	114	54	34	34	21	66	31	41	4	85	40	65	27	58	20	31	35	32	39	60	20	69	64	69	19	78
1:Del:C:1	46	21	30	9	23	24	45	43	22	30	55	12	19	17	76	8	115	32	14	13	51	8	8	44	14	11	20	16	7	81	38	174	23	78	58	9	48	57	50	29	21	18	7	31	51	48	24	44	54	55	22	12	9	18	10	57	27	26	9	17	10	43	59	100	22	21	7	20	11	20	22	17	18	40	158	15	19	20	10	49	4	10	24	39	6	30	46	32	8	15	47	17	15	23	27	22	16	44	55	36	26	110	79	17	60	89	72	29	171	30	96	48	37	30	42	64	37	36	37	40	14	23	24	14	71	17	55	66	16	15	28	15	16	53	21	31	39	6	23	26	70	25	6	50	25	43	8	9	17	41	35	36	53	9	62	17	16	1	19	57	31	11	19	8	22	26	67	49	57	13	32	26	85	10	36
1:Del:C:2	26	18	16	2	30	10	40	17	24	8	37	6	15	8	61	8	97	8	2	10	41	6	2	27	9	23	12	12	4	62	15	117	5	35	59	5	62	60	17	24	11	4	9	21	26	11	11	24	39	43	11	2	3	5	5	23	26	18	3	19	4	17	30	84	8	15	3	7	5	9	9	8	13	32	91	5	14	7	4	37	3	9	7	30	5	16	33	32	5	15	26	6	8	29	17	12	5	28	20	26	15	80	49	3	37	70	36	25	165	17	72	28	23	21	24	32	19	25	20	38	5	12	10	11	76	13	28	46	12	2	13	13	12	44	11	20	18	5	6	15	46	21	8	29	17	34	4	8	17	34	20	26	25	0	49	15	11	2	10	46	17	6	13	6	11	18	42	35	32	4	34	10	56	4	20
1:Del:C:3	12	10	9	1	18	4	14	24	13	7	25	5	9	3	48	4	253	10	6	7	31	2	1	15	6	11	1	7	1	41	3	82	3	24	38	2	41	37	12	12	2	7	3	6	12	16	10	16	34	27	2	2	6	7	4	18	12	18	5	7	5	15	16	255	2	16	5	6	3	6	9	3	11	15	33	4	8	4	2	22	0	3	7	20	5	14	15	22	3	9	21	5	5	18	12	8	3	17	11	21	8	61	43	13	13	50	20	8	447	14	33	22	15	14	18	15	8	12	5	28	7	6	7	5	53	5	16	17	7	3	8	9	4	24	6	14	9	4	7	11	24	8	4	17	26	19	0	4	13	14	13	21	21	5	31	6	10	0	8	18	3	3	6	2	10	19	34	17	23	3	22	6	33	0	10
1:Del:C:4	5	4	6	2	13	3	13	19	5	5	16	2	5	2	25	6	891	10	4	3	17	5	1	8	2	6	2	6	0	34	4	48	5	17	36	3	20	34	9	9	5	10	1	7	9	12	9	15	12	15	2	2	0	6	2	19	11	8	5	7	5	8	7	798	5	3	3	3	3	5	6	6	4	13	22	4	3	3	0	13	0	2	6	5	3	6	7	5	2	8	11	1	3	13	8	7	2	13	12	2	3	68	90	2	13	36	18	6	1034	11	25	4	10	10	10	8	7	10	9	15	2	7	4	2	30	3	7	24	4	2	6	3	0	19	5	7	10	2	6	6	16	4	7	17	88	8	1	3	8	11	7	15	15	0	22	4	3	0	5	15	5	3	5	2	4	8	22	18	12	2	10	6	15	2	9
1:Del:C:5	12	6	11	3	15	4	16	8	11	10	15	12	11	8	25	13	3250	6	6	19	12	5	6	5	2	7	2	22	3	21	17	44	15	24	17	2	16	17	27	7	7	10	1	11	12	14	12	13	9	14	3	4	6	0	6	13	11	6	3	4	8	10	6	3055	9	4	7	2	4	6	6	10	5	25	14	2	4	7	7	22	3	2	5	6	5	12	10	17	0	9	7	3	6	13	13	1	1	5	8	11	4	68	271	6	9	12	18	21	4071	16	37	15	16	9	39	4	12	7	5	12	14	16	3	2	19	5	5	13	6	6	2	6	1	14	11	12	10	8	5	8	19	15	2	18	462	9	2	4	13	16	14	11	10	2	11	10	10	1	11	6	4	6	2	7	6	4	13	13	17	6	13	12	16	7	9
1:Del:T:0	43	14	33	6	30	35	54	23	28	14	29	9	12	11	43	26	191	27	12	33	20	7	10	47	11	9	19	22	15	41	26	49	19	88	40	5	32	40	18	11	13	63	13	47	40	22	21	32	29	29	21	8	12	12	11	41	20	15	9	38	16	15	49	193	13	16	17	9	8	15	16	165	16	36	134	12	12	20	10	30	6	3	10	48	15	40	34	32	10	22	27	16	7	32	15	16	18	20	18	30	17	89	79	9	30	41	36	26	272	39	36	35	25	21	33	58	32	25	35	30	8	18	12	15	52	6	44	50	13	11	14	24	9	29	28	15	26	17	10	15	53	30	12	41	47	49	11	4	24	25	50	14	25	21	28	18	21	5	36	21	22	14	38	21	23	14	27	21	17	7	58	26	47	13	24
1:Del:T:1	36	11	15	6	16	14	42	19	22	17	24	7	13	13	58	30	123	22	10	54	30	9	7	35	7	13	10	26	6	33	20	59	3	47	33	7	28	32	23	16	17	64	13	21	17	19	12	18	21	30	14	9	16	7	5	30	20	20	7	22	6	11	30	98	13	13	7	8	14	7	24	232	13	27	115	6	9	13	11	20	4	5	21	37	5	36	29	16	5	15	21	13	7	16	19	10	5	16	25	30	8	58	57	12	32	49	37	10	197	31	56	35	15	17	29	56	37	19	36	34	7	9	9	8	64	8	27	38	11	12	13	21	7	33	21	13	24	11	22	9	42	21	10	23	18	37	3	4	16	28	25	19	21	5	28	14	8	2	22	20	11	13	20	4	19	21	37	23	28	11	32	9	39	10	18
1:Del:T:2	34	6	27	6	16	14	27	16	14	18	18	11	14	15	37	30	200	15	13	37	17	5	6	29	16	9	20	20	6	36	15	43	17	48	14	2	33	14	24	12	12	75	6	26	19	15	18	14	19	16	24	7	18	10	9	17	23	12	12	27	13	12	38	124	15	12	3	6	7	17	14	184	17	26	146	6	5	10	5	18	7	7	8	49	5	28	20	17	5	14	10	9	8	17	18	13	10	7	16	18	16	71	72	8	22	25	28	23	280	38	37	20	13	10	23	73	24	19	22	26	10	16	6	5	45	8	35	23	14	14	14	15	10	22	16	14	25	14	8	10	48	24	4	21	35	37	3	5	14	26	25	10	25	8	21	12	18	1	28	18	27	7	5	7	23	11	33	23	16	19	38	7	35	4	15
1:Del:T:3	38	15	34	9	16	23	31	17	17	17	24	18	9	7	41	60	640	13	9	94	18	4	7	23	6	12	15	30	5	33	23	32	16	69	12	4	23	12	18	7	12	123	8	38	16	20	21	33	17	20	20	4	16	4	8	22	11	14	3	21	12	7	35	696	20	9	15	9	7	12	7	386	7	39	77	6	11	11	6	20	8	7	5	19	3	38	16	19	12	12	18	8	8	16	19	5	10	15	18	18	9	125	174	13	25	19	37	29	841	31	40	20	13	9	35	43	27	21	30	33	9	19	10	7	33	7	31	23	18	9	17	20	8	13	11	18	32	7	5	6	33	25	11	40	68	26	2	7	11	46	35	18	17	7	20	14	17	2	36	24	40	4	24	11	11	14	19	19	19	18	35	16	26	5	23
