MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016	CPCT02070011T	CPCT02020317T	CPCT02010352T	CPCT02010362T	CPCT02010366T	CPCT02010383T	CPCT02050049T	CPCT02020350T	CPCT02060023T	CPCT02080030T	CPCT02060010T	CPCT02040037T	CPCT02070018T	CPCT02080041T	CPCT02070029T	CPCT02060033T	CPCT02020399T	CPCT02140024T	CPCT02080050T	CPCT02030293T	CPCT02010441T	CPCT02090030T	CPCT02010718T	CPCT02020653T	CPCT02340008TII	CPCT02020876T	CPCT02370016T	CPCT02070275T	CPCT02011028T	CPCT02230072T	CPCT02130028T	CPCT02060182T	CPCT02020657T	DRUP01090026T	CPCT02130029T	CPCT02340010TII	DRUP01020022T	CPCT02120103T	CPCT02300030T	CPCT02150044T	CPCT02020920T	CPCT02080192T	CPCT02130170T	CPCT02260014T	CPCT02020922T	CPCT02011072T	CPCT02010758T	WIDE01010006T	CPCT02040220T	CPCT02100157T	CPCT02230088T	CPCT02130178T	WIDE01010017T	WIDE01010025T	WIDE01010028T	WIDE01010012T	WIDE01010031T	CPCT02020956T	CPCT02010774T	CPCT02010756T	WIDE01010045T	CPCT02080204T	WIDE01010037T	WIDE01010056T	CPCT02070298T	WIDE01010594T	WIDE01010078T	CPCT02130054T	CPCT02040228T	WIDE01010051T	CPCT02050319T	CPCT02020689T	WIDE01010043T	WIDE01010112T	WIDE01010092T	WIDE01010119T	CPCT02170022T	WIDE01010120T	WIDE01010127T	CPCT02300036T	WIDE01010146T	CPCT02070309T	WIDE01010157T	WIDE01010170T	CPCT02020696T	CPCT02030471T	CPCT02130032T	CPCT02070310T	WIDE01010164T	WIDE01010190T	WIDE01010182T	DRUP01050040TII	WIDE01010225T	CPCT02050348T	WIDE01010275T	CPCT02010810T	CPCT02060206T	WIDE01010284T	WIDE01010330T	WIDE01010312T	WIDE01010317T	WIDE01010337T	CPCT02220043T	CPCT02130094T	WIDE01010329T	WIDE01010331T	CPCT02010828T	WIDE01010101T	WIDE01010349T	WIDE01010342T	WIDE01010359T	WIDE01010370T	WIDE01010369T	CPCT02340084T	DRUP01030015T	CPCT02060236T	CPCT02120125T	CPCT02230098T	DRUP01090015T	WIDE01010401T	CPCT02230105T	CPCT02080223T	CPCT02020730T	CPCT02010831T	WIDE01010428T	CPCT02290039T	CPCT02010843T	CPCT02130103T	CPCT02070337T	WIDE01010440T	WIDE01010404T	CPCT02080229T	CPCT02050363T	CPCT02040250T	CPCT02040251T	CPCT02260022T	CPCT02340090T	CPCT02450013T	CPCT02070347T	CPCT02060140T	CPCT02020720T	CPCT02230109T	DRUP01090019T	CPCT02120144T	CPCT02080240T	CPCT02130125T	CPCT02070355T	CPCT02010872T	CPCT02010878T	CPCT02090054T	CPCT02330117T	CPCT02170031T	CPCT02020765T	CPCT02010851T	CPCT02020756T	DRUP01170001T	WIDE01010617T	WIDE01010627T	CPCT02030502T	CPCT02030507T	WIDE01010595T	CPCT02040273T	CPCT02030520T	CPCT02110075T	CPCT02290050T	CPCT02290053T	CPCT02080257T	CPCT02290054T	CPCT02080256T	CPCT02030497T	DRUP01290001T	CPCT02070372T	CPCT02290051T	CPCT02020815T	CPCT02040271T	CPCT02130154T	CPCT02120164T	CPCT02020797T	DRUP01010099T	CPCT02340104T	CPCT02380018T	CPCT02340010TIII	CPCT02060033TII	CPCT02020582T	DRUP01050040T	CPCT02180041T	CPCT02060137T	CPCT02070403T	CPCT02050264T	CPCT02060143T	CPCT02010988T	CPCT02010993T	CPCT02450003T	CPCT02230049T	CPCT02010995T	CPCT02010878TII	CPCT02010656T	CPCT02010645T	DRUP01330016T	DRUP01080005T	CPCT02020879T	DRUP01090004T	CPCT02020613T	DRUP01110006T	CPCT02010993TII	CPCT02060125T	CPCT02010647T	CPCT02170013T	CPCT02170009T	CPCT02170012T	CPCT02020608T	CPCT02010653T	CPCT02230061T	CPCT02050282T	CPCT02010560T	CPCT02380007T	CPCT02380006T	CPCT02080105T	CPCT02340010T	CPCT02010574T	CPCT02180026T	CPCT02100074T	CPCT02120018T	CPCT02380008T	CPCT02170003T	CPCT02020523T	CPCT02060081T	CPCT02110035T	CPCT02080118T	CPCT02010589T	CPCT02030349T	CPCT02110039T	CPCT02030353T	CPCT02020540T	CPCT02010611T	CPCT02010608T	CPCT02330041T	CPCT02380013T	CPCT02010613T	CPCT02010577T	CPCT02050202T	CPCT02020559T	CPCT02050213T	CPCT02020568T	CPCT02030364T	CPCT02050192T	CPCT02010596T	CPCT02030365T	DRUP01010036T	CPCT02230043T	CPCT02080135T	CPCT02050229T	CPCT02010632T	CPCT02020579T	CPCT02020587T	CPCT02070040T	CPCT02070050T	CPCT02300004T	CPCT02020424T	CPCT02020433T	CPCT02010466T	CPCT02010454T	CPCT02140036T	CPCT02010350T	CPCT02100039T	CPCT02050106T	CPCT02020415T	CPCT02180014T	CPCT02090006T	CPCT02020444T	CPCT02030314T	CPCT02190010T	DRUP01010013T	CPCT02080086T	CPCT02010438T	CPCT02190012T	CPCT02010486T	CPCT02060077T	CPCT02020491T	CPCT02010538T	CPCT02170001T	CPCT02170002T	CPCT02050142T	CPCT02080071T	CPCT02020499T	CPCT02340008T	CPCT02020505T	CPCT02080158T	CPCT02010571T	CPCT02380010T	CPCT02110047T	CPCT02030425T	CPCT02080168T	CPCT02020641T	CPCT02230065T	CPCT02330074T	CPCT02010697T	CPCT02090028T	CPCT02450008T	CPCT02010688T	CPCT02020646T	CPCT02010704T	CPCT02010705T	CPCT02250003T	CPCT02010698T	WIDE01010622T	WIDE01010631T	WIDE01010635T	WIDE01010636T	WIDE01010658T	WIDE01010504T	WIDE01010493T	WIDE01010304T	WIDE01010568T	WIDE01010464T	WIDE01010467T	WIDE01010486T	WIDE01010516T	WIDE01010510T	WIDE01010583T	WIDE01010566T	WIDE01010578T	WIDE01010599T	WIDE01010604T	WIDE01010614T	WIDE01010662T	WIDE01010672T	WIDE01010686T	WIDE01010532T	WIDE01010703T	WIDE01010712T	WIDE01010721T	WIDE01010663T
1:Del:T:4	3	3	10	7	8	1	9	3	15	3	4	7	10	12	9	6	3	8	5	4	12	2	2	5	0	2	4	6	21	49	18	25	10	10	17	7	48	183	9	5	2777	10	10	3	6	6	15	7	24	812	4	3	2	6	4	24	4	8	8	6	4	10	26	52	2	4	8	0	2	9	139	7	6	5	29	17	52	1	7	4	5	0	33	7	10	10	11	12	4	7	3	3	9	12	6	7	5	3	76	14	4	7	61	1	1	5	10	33	16	5	30	19	18	16	7	13	56	1	3	73	23	16	47	24	73	2	31	43	7	8	3	6	6	18	7	2	27	51	3	15	4	16	15	54	6	48	2	7	17	6	8	10	15	12	7	16	12	3	10	5	2	26	19	10	19	8	3	3	5	75	11	14	6	5	8	2	6	7	9	13	11	7	9	49	10	2	4	3	8	64	49	2	2	112	6	2	60	3	16	3	33	19	7	1	19	11	7	0	14	40	4	10	4	18	9	5	1	2	38	69	6	10	9	15	10	8	44	43	8	8	0	5	21	33	3	7	35	70	21	2	46	3	3	6	2	6	5	2	4	1	1886	5	33	36	1	5	51	2	5	2	1	11	11	4	3	1	5	0	13	17	22	3	6	6	13	23	20	11	2	2	4	4	21	1	37	23	2	8	7	14	5	6	7	71	3	19	2	12	133	5	5	6	5	32	3	8	17	7	9	16	32	17	5	6	8	33	5	38	19	1	4	3	6	7	7	25	21	6	20	18	5	5	2	8	18	4	6	16	14	3	30	808	6	8	19	13	9	0	15	6	11	13	3
1:Del:T:5	43	40	107	57	33	30	109	14	92	40	42	23	35	91	34	20	14	59	35	19	76	11	1	8	1	5	10	6	39	72	158	147	34	17	303	78	568	2995	21	34	50958	231	64	20	26	14	36	35	254	17632	116	10	3	12	2	215	8	28	55	13	10	16	94	688	3	10	4	0	14	181	262	12	52	10	163	60	421	4	5	10	15	7	523	146	162	13	12	34	15	15	9	8	22	185	16	85	8	4	292	66	10	13	109	55	8	8	8	398	60	11	259	505	90	34	31	14	111	13	10	142	193	50	367	66	239	12	69	106	5	17	5	11	14	88	52	10	65	1610	2	38	9	33	21	207	20	914	29	45	46	6	144	33	58	28	30	292	97	23	76	6	2	319	229	13	47	37	8	7	27	606	221	269	13	4	15	60	137	7	29	167	84	9	47	595	114	5	27	14	32	117	918	8	7	193	14	7	221	5	133	7	139	223	71	6	346	88	4	2	86	393	12	56	32	23	29	28	2	11	388	78	51	24	23	102	57	61	56	763	16	45	4	8	240	202	9	13	94	195	222	17	354	13	20	9	12	52	102	8	10	2	34969	57	233	108	1	29	563	11	7	5	25	90	12	13	6	8	3	8	9	106	141	3	7	27	27	431	293	25	5	5	12	10	165	11	441	168	10	46	12	13	17	50	17	70	3	48	4	39	252	14	20	41	10	379	11	53	29	17	8	296	809	101	2	10	24	388	18	443	121	4	11	13	10	23	10	57	148	124	93	29	15	9	4	21	74	6	12	207	176	16	421	14674	100	95	356	50	113	3	188	10	37	39	39
1:Ins:C:0	4	3	3	3	3	3	3	0	3	1	2	2	2	2	0	1	0	0	1	1	4	3	2	2	2	1	2	1	6	23	9	549	4	3	9	12	22	11	0	4	54	4	8	3	6	4	5	3	9	171	5	2	4	1	2	7	2	3	3	5	6	4	9	64	3	5	4	5	6	4	78	3	4	3	10	6	219	5	0	3	6	2	28	9	6	4	6	0	6	16	1	2	2	6	5	10	1	1	42	3	3	3	20	3	2	1	2	276	23	2	27	30	3	2	6	3	37	1	1	33	21	13	82	9	26	6	7	26	3	6	3	3	2	5	6	2	17	10	5	1	3	4	2	32	2	19	2	0	11	6	6	8	5	3	2	12	7	1	8	1	0	27	6	1	5	5	2	1	6	121	5	18	6	1	2	5	7	1	6	4	4	6	4	22	5	2	1	1	1	29	23	4	2	45	5	1	39	4	5	1	50	8	8	3	5	9	2	0	2	16	7	8	4	18	7	36	2	4	92	31	4	5	8	9	2	5	6	13	2	5	1	3	2	16	1	1	16	23	7	3	59	2	2	1	0	7	4	2	3	0	42	3	19	20	0	5	257	4	2	4	5	4	2	1	3	2	2	2	1	8	17	2	1	2	6	51	35	2	1	3	0	3	23	1	221	6	1	5	1	3	6	2	1	29	3	7	2	5	43	3	7	4	7	243	3	5	4	8	6	22	29	13	1	3	5	6	1	356	7	1	7	4	1	32	3	14	19	31	7	10	2	2	4	6	8	2	1	5	4	6	9	29	4	7	65	6	3	5	5	3	7	4	5
1:Ins:C:1	0	0	2	1	0	0	0	0	1	2	1	0	4	4	1	1	2	1	0	2	12	2	0	2	1	1	3	1	1	16	1	19	3	5	2	6	5	1	0	1	12	4	1	1	3	2	3	2	7	44	0	0	0	1	1	5	2	1	1	1	1	2	6	5	4	3	2	0	1	5	49	3	2	2	9	4	13	0	3	5	1	2	5	4	1	2	3	4	0	5	0	2	3	2	2	1	3	0	20	4	1	1	14	0	1	0	4	19	6	3	11	5	5	0	9	3	27	0	0	25	4	3	12	5	15	0	5	12	1	3	2	2	1	4	1	3	9	5	1	2	2	7	8	13	0	8	0	6	7	2	1	4	7	2	0	2	2	2	6	4	3	7	5	2	0	2	1	1	4	9	5	5	3	1	3	3	0	1	2	2	5	0	2	4	5	1	2	6	0	12	6	1	1	38	2	3	15	3	1	0	2	5	5	6	1	2	1	1	2	6	2	4	5	5	4	10	0	1	23	28	0	8	2	3	5	1	1	2	3	0	2	0	1	4	2	0	10	17	5	2	4	1	4	1	6	1	3	2	4	0	13	5	5	8	1	2	18	1	2	5	1	5	2	1	3	0	4	2	4	3	5	6	0	2	9	2	4	4	0	0	1	0	3	2	16	3	0	2	2	2	6	2	1	30	2	2	3	3	20	1	0	3	3	11	0	3	7	4	1	3	7	1	1	1	2	3	1	19	3	2	2	1	1	37	3	6	0	4	7	5	1	1	2	2	5	0	2	3	2	3	4	4	2	4	8	5	0	1	3	5	2	3	2
1:Ins:C:2	0	0	0	0	0	2	0	4	1	0	3	2	0	2	2	0	1	0	0	0	7	2	2	3	1	0	0	0	2	14	5	4	2	6	1	3	4	2	2	1	8	2	1	0	5	6	0	1	5	16	1	2	1	1	1	2	0	0	0	0	3	1	2	0	2	1	1	0	1	0	38	0	1	1	1	2	1	0	0	1	0	1	1	2	0	1	2	1	4	2	0	1	1	6	0	1	1	2	18	3	2	1	15	1	1	0	2	3	2	1	1	2	2	3	3	0	15	0	0	22	3	3	1	4	6	1	9	9	3	2	1	0	0	2	2	3	4	3	0	1	0	1	2	5	1	3	1	2	2	2	2	2	2	2	3	1	0	2	2	1	0	1	5	0	2	1	3	3	0	4	3	2	1	0	5	4	2	0	3	1	4	2	1	1	1	1	0	2	0	5	5	0	0	42	1	0	12	0	3	2	3	2	1	0	2	2	0	0	3	8	1	2	0	2	2	0	0	1	12	18	0	6	1	3	1	0	0	3	1	1	0	1	2	0	0	0	8	12	2	2	6	1	2	1	1	2	1	2	1	0	10	1	0	5	1	2	4	0	3	0	4	4	3	2	0	2	2	1	2	2	4	0	2	1	3	5	2	1	0	0	0	1	0	1	3	3	1	0	1	8	2	0	0	18	2	2	0	0	30	1	0	1	0	5	0	3	2	1	1	1	6	6	2	1	2	4	1	3	4	1	1	1	2	43	1	0	1	4	6	4	2	1	0	1	0	1	1	0	1	2	1	8	4	1	0	1	1	0	2	0	0	1	2
1:Ins:C:3	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	1	0	1	3	15	1	3	1	4	0	0	3	4	2	1	32	3	2	1	1	1	1	2	5	13	0	1	2	1	0	1	1	1	4	1	0	1	1	3	1	1	1	0	4	4	49	1	4	1	2	2	8	3	1	2	1	1	5	3	2	0	1	2	1	1	1	1	1	1	2	0	2	0	32	3	0	0	11	0	0	0	0	3	4	1	5	2	1	1	1	1	27	1	0	23	0	4	6	2	13	0	9	16	0	0	0	0	1	5	2	1	8	4	1	3	3	0	1	11	2	4	1	3	5	0	2	5	3	1	0	4	2	2	3	1	0	2	3	0	2	1	2	0	3	4	2	2	0	0	0	5	0	2	1	2	0	0	3	1	2	0	0	0	0	14	5	2	0	59	1	2	11	0	1	1	2	3	2	0	1	2	0	3	1	8	2	4	2	2	2	2	2	1	13	22	3	4	1	2	4	2	1	1	3	5	1	1	3	1	0	0	7	29	0	0	1	0	1	6	3	1	2	1	0	0	24	3	3	11	0	0	2	0	1	0	0	3	1	0	0	0	0	1	5	1	2	0	0	1	3	2	2	0	2	0	2	1	1	1	2	2	0	1	2	4	0	0	1	21	0	3	0	2	39	2	1	0	0	2	0	0	4	6	2	5	3	9	0	0	1	4	0	0	1	1	0	2	2	94	2	3	3	8	6	1	1	0	1	0	5	0	0	0	5	0	3	12	5	6	3	1	3	0	2	0	1	1	2
1:Ins:C:4	0	1	1	1	1	0	2	1	1	0	1	0	0	0	2	2	0	4	2	2	4	1	0	0	0	0	1	1	3	15	2	4	1	1	2	1	6	15	1	1	356	2	4	1	4	2	1	4	4	56	0	2	2	0	1	1	1	2	2	1	0	1	0	5	0	1	1	2	0	10	50	0	2	1	1	0	4	1	1	1	0	0	6	0	4	3	3	3	0	3	0	3	0	3	2	3	2	2	32	2	0	1	11	2	1	0	0	6	2	0	1	4	2	0	1	1	21	0	1	17	6	4	5	0	9	0	3	18	1	1	1	1	0	2	1	3	13	9	1	1	0	0	0	7	0	7	1	4	1	1	2	5	6	0	0	4	2	0	3	0	1	0	1	0	3	0	2	0	2	8	2	4	0	1	0	8	0	1	0	3	3	1	2	2	0	1	2	2	0	10	4	2	1	54	1	2	14	2	1	1	3	1	1	1	3	2	0	1	4	15	1	3	1	6	2	3	1	0	15	28	1	2	2	0	2	2	1	1	3	2	0	0	3	1	1	1	8	30	0	1	2	1	0	0	0	0	4	0	0	0	90	1	3	5	0	0	6	1	1	0	0	1	2	0	0	1	1	0	2	4	4	0	0	0	4	5	4	1	0	0	0	0	5	1	1	1	0	3	0	2	0	0	0	28	0	3	1	1	48	0	0	2	1	3	0	1	3	0	0	0	2	7	1	0	1	3	0	0	2	0	0	1	3	31	1	3	1	6	7	6	0	1	0	2	0	0	0	0	2	0	2	68	1	0	5	2	0	0	6	0	0	1	2
1:Ins:C:5	10	5	4	8	8	4	4	4	5	7	3	7	4	9	6	4	0	6	2	5	18	1	1	2	0	1	3	2	16	25	18	19	8	0	5	8	32	82	5	9	822	25	12	8	9	3	3	12	14	457	6	1	2	4	0	16	2	4	9	3	2	12	4	29	2	2	2	1	8	11	59	1	5	4	13	2	35	2	2	3	3	0	39	23	14	2	3	6	5	4	1	4	4	13	2	7	5	1	36	12	1	3	25	4	2	1	3	32	9	3	16	20	10	2	4	4	43	2	1	38	16	8	17	14	32	1	20	29	2	9	2	3	10	6	10	2	22	34	3	4	5	7	2	26	4	46	2	11	7	1	13	4	22	6	2	21	11	8	8	3	1	18	12	1	8	7	6	1	11	28	20	21	2	3	1	37	9	0	5	6	17	2	14	21	7	2	1	3	3	19	44	0	0	46	3	4	31	1	10	3	20	15	8	1	14	17	0	0	8	22	2	7	10	10	5	15	2	5	43	37	5	2	5	10	7	8	10	22	5	7	4	0	20	12	1	1	13	35	16	2	16	10	6	15	7	5	10	1	3	4	522	4	26	19	1	1	26	0	3	3	5	11	7	5	3	1	0	0	1	24	9	5	1	3	2	23	25	7	2	2	4	0	16	1	12	9	2	7	1	1	2	3	4	31	1	8	1	8	76	0	7	2	12	22	3	15	11	15	0	13	38	21	1	1	6	30	3	21	18	2	4	1	3	10	4	5	11	32	25	6	5	3	2	3	17	0	0	23	18	3	18	347	17	25	20	18	9	0	8	0	4	9	11
1:Ins:T:0	3	2	0	2	0	1	0	0	2	1	2	4	3	2	0	1	1	0	1	0	24	3	1	2	0	1	1	2	7	41	19	50	3	4	13	12	10	13	4	3	94	5	9	7	6	4	4	10	5	260	9	3	3	3	1	10	7	4	5	4	1	4	18	18	2	0	6	2	1	9	173	8	5	9	19	10	27	3	8	2	1	5	22	11	8	4	6	7	6	8	2	1	3	11	13	5	2	5	80	7	2	3	42	6	2	5	1	41	7	5	14	32	14	6	10	2	90	2	7	117	23	17	46	8	50	4	21	46	3	4	3	4	6	16	27	2	56	8	5	8	5	14	9	50	1	22	3	4	10	5	10	13	11	4	5	17	6	7	9	4	0	10	19	0	10	3	3	3	3	39	8	19	7	4	2	16	4	4	7	4	12	10	3	18	7	1	4	5	8	27	21	3	3	138	3	2	34	1	5	2	16	14	8	5	12	6	1	1	5	28	1	12	3	16	4	16	1	4	73	78	5	8	10	9	9	12	6	14	6	14	4	2	9	15	4	1	16	58	11	4	10	4	11	4	2	6	6	5	1	3	67	3	24	21	0	1	37	3	5	6	4	3	4	2	3	4	5	4	5	5	9	2	0	4	11	10	13	3	1	2	3	2	6	6	33	8	2	8	5	4	2	6	7	70	5	15	4	9	97	2	10	5	3	13	4	4	6	6	2	13	7	14	2	2	10	5	2	55	10	1	4	2	6	35	3	10	8	23	9	13	2	2	7	4	14	2	3	5	11	9	6	54	7	2	15	7	1	3	6	1	4	1	2
1:Ins:T:1	1	6	2	5	4	1	4	7	1	1	5	6	12	13	2	1	1	6	7	7	48	11	1	4	0	1	3	3	13	80	24	22	5	16	11	14	12	11	5	10	41	4	5	7	6	11	5	7	13	206	8	6	5	10	2	17	9	8	10	7	3	6	11	15	28	2	9	5	7	7	302	17	10	6	20	14	18	6	6	5	5	14	21	10	7	7	12	11	6	8	11	11	6	4	5	13	10	4	216	21	8	7	102	11	9	6	7	14	25	4	13	20	4	11	7	4	163	7	6	172	30	30	149	14	66	7	29	114	11	7	6	7	5	24	127	8	89	5	5	6	2	11	9	61	6	9	5	8	3	6	11	14	11	6	9	13	12	5	8	9	3	13	40	13	10	8	4	13	5	34	7	11	7	3	10	10	11	3	14	5	39	14	6	10	9	6	3	13	6	70	9	3	7	339	5	3	70	3	15	6	11	15	13	8	7	13	1	4	14	87	10	9	8	23	9	6	1	6	36	139	4	14	10	11	8	9	7	10	9	9	2	7	8	19	2	4	41	146	18	9	20	5	6	11	8	8	1	5	8	3	37	6	15	42	3	2	28	2	3	5	12	16	3	3	9	11	3	4	8	11	13	3	2	3	4	12	12	6	7	5	7	3	7	4	27	11	1	9	6	13	4	3	5	137	10	15	4	6	292	3	7	4	5	27	10	8	10	11	2	4	8	17	8	6	4	10	3	42	14	8	6	3	4	159	3	17	11	14	21	43	4	4	8	6	16	2	6	4	8	8	6	18	7	50	13	8	4	3	8	2	2	10	7
1:Ins:T:2	4	1	2	1	0	1	4	3	2	3	2	4	5	5	0	3	1	4	0	2	33	2	2	2	0	2	2	3	9	114	26	18	7	13	9	7	11	24	5	4	179	3	5	2	2	7	5	4	11	388	2	0	2	2	1	8	6	6	4	2	6	6	4	10	8	1	5	1	2	7	413	5	8	2	11	5	14	4	0	3	3	3	11	9	6	3	7	5	3	2	4	4	7	10	4	5	1	1	237	10	5	1	139	4	3	3	4	2	8	7	16	11	3	3	4	4	184	4	4	244	9	21	105	4	93	3	34	129	2	6	3	7	10	18	95	4	115	2	2	4	2	1	4	70	2	7	3	5	3	3	7	17	1	0	11	5	6	3	5	5	1	7	18	2	13	1	3	4	0	23	5	6	4	1	5	29	6	1	5	1	16	10	4	6	7	1	3	2	2	76	7	2	2	371	3	0	60	2	1	3	4	5	5	1	5	14	2	0	4	87	4	6	8	23	3	0	0	2	31	164	4	5	11	6	5	5	3	4	4	12	1	0	9	10	2	1	62	166	6	1	12	4	2	7	1	1	4	2	7	1	205	6	5	33	1	1	22	2	3	6	4	3	2	1	7	0	3	4	2	4	8	0	2	1	6	10	8	2	1	3	3	2	2	3	11	9	0	1	3	5	7	4	4	162	0	4	0	6	295	3	8	3	7	7	5	4	7	5	1	6	10	8	3	3	3	10	1	20	4	2	4	0	4	134	4	4	5	8	22	36	1	1	2	9	10	3	2	5	6	1	2	43	9	15	19	5	3	1	8	1	3	5	3
1:Ins:T:3	1	4	2	3	2	0	2	2	0	0	3	2	7	5	2	4	0	3	0	1	26	1	1	1	0	0	3	0	2	71	10	8	5	7	7	7	8	29	7	2	112	10	7	3	0	6	3	4	4	325	0	5	1	3	2	2	0	3	3	0	3	6	5	10	8	1	1	1	3	3	181	4	9	0	9	3	10	2	1	4	2	4	15	10	6	6	6	2	0	5	2	5	3	6	3	3	2	2	148	3	2	5	65	3	4	3	0	13	10	3	8	10	2	6	5	3	95	1	1	97	8	12	42	8	44	2	21	69	1	6	1	5	5	15	56	4	58	5	3	2	0	2	3	54	2	11	2	5	6	1	8	8	2	3	6	3	6	0	8	1	1	10	7	3	6	4	1	3	9	25	8	12	3	1	1	17	2	2	4	3	9	12	2	10	5	0	1	4	6	59	14	1	0	224	3	4	50	2	5	2	10	2	7	4	3	3	2	2	3	58	3	4	6	19	3	8	0	1	19	96	3	8	8	5	5	5	4	5	6	4	0	2	7	5	2	0	33	95	2	1	12	3	7	5	2	4	1	3	7	0	116	3	12	21	2	1	19	1	1	3	3	6	5	5	3	1	1	1	4	5	7	0	5	1	3	7	12	3	1	2	1	0	6	2	8	5	1	5	2	5	3	2	3	93	5	7	2	2	195	2	9	1	3	15	2	3	3	8	1	11	9	16	3	3	5	16	4	18	4	1	6	0	1	28	3	5	7	4	20	17	0	3	0	7	16	2	1	2	4	0	5	45	5	9	13	5	7	1	8	1	2	3	2
1:Ins:T:4	3	1	1	2	1	6	3	1	5	2	2	4	4	7	5	1	1	1	1	0	20	3	1	3	0	2	0	4	1	25	4	19	0	2	1	5	10	23	2	3	295	9	3	4	5	0	3	3	6	246	4	1	0	0	0	8	3	6	6	0	4	3	4	15	2	0	4	1	4	6	41	0	3	0	7	5	15	0	6	3	0	1	12	11	5	5	2	3	1	1	2	1	2	5	4	3	2	1	51	13	3	1	24	1	1	2	2	8	3	1	7	8	3	1	2	4	32	1	1	26	7	17	31	8	18	0	6	32	2	4	1	4	4	6	24	2	21	8	2	5	1	3	1	18	0	19	1	2	2	0	7	4	6	3	1	2	9	1	3	2	1	6	17	3	11	3	0	0	4	18	6	9	2	4	0	10	3	2	1	5	7	4	4	13	2	2	4	5	2	31	19	1	2	65	2	0	21	0	12	1	6	8	4	1	6	4	1	0	4	24	3	4	7	17	1	4	0	0	21	25	2	1	6	4	4	4	4	7	2	7	3	2	4	3	0	3	10	45	7	3	11	5	1	1	2	0	5	1	4	0	226	4	15	11	0	2	27	0	1	2	3	2	2	0	2	0	1	2	6	3	4	3	1	0	4	10	11	5	4	2	1	0	3	0	14	12	1	5	0	6	2	1	7	27	0	13	3	2	60	1	5	5	4	10	3	3	5	5	1	4	7	7	3	3	5	18	0	12	5	1	2	0	0	13	2	5	6	4	9	7	1	4	1	3	8	0	2	6	8	1	6	76	7	5	11	5	3	0	3	1	2	2	4
1:Ins:T:5	190	151	81	138	88	64	110	75	211	128	167	86	128	203	72	120	48	70	88	130	468	40	11	12	2	5	29	40	224	230	119	564	128	56	105	112	465	1298	34	82	9093	255	292	88	86	26	89	258	180	7767	217	14	44	48	6	208	29	221	230	58	24	155	115	700	29	33	37	14	110	358	358	34	119	28	184	140	673	21	37	10	58	18	900	360	295	80	36	122	79	54	8	87	51	234	71	150	62	29	458	351	26	39	228	82	34	54	22	601	133	39	342	517	144	50	110	57	250	60	50	222	281	289	537	371	390	55	209	379	34	149	19	8	234	188	227	53	153	380	5	66	14	84	66	198	56	820	31	245	62	47	217	81	192	99	57	395	204	69	282	34	28	561	279	20	261	90	17	16	135	950	272	674	85	17	28	393	172	37	53	123	513	106	182	696	158	47	62	119	141	139	806	29	29	322	30	44	572	24	337	23	284	233	104	61	387	153	16	8	221	454	54	91	182	179	124	139	12	51	713	179	82	47	117	321	95	198	228	332	39	190	22	28	349	356	17	65	126	360	227	73	486	161	115	315	53	78	160	23	89	18	8048	176	387	175	7	31	694	18	17	32	70	150	75	94	32	17	16	16	38	206	152	55	20	46	56	484	566	114	22	18	21	24	290	81	631	292	53	194	41	45	25	94	104	183	12	203	50	132	996	13	164	90	102	630	103	233	63	75	18	507	851	271	29	33	74	645	32	568	202	24	61	19	57	66	86	216	305	187	282	89	56	144	23	48	339	16	18	437	304	62	299	3233	378	345	574	236	130	11	267	16	31	121	94
2:Del:R:0	2	3	4	1	3	2	3	2	6	1	6	4	10	8	0	3	2	6	5	3	102	7	2	1	2	1	6	0	16	21	14	5	14	22	12	10	11	15	4	3	151	5	9	9	5	4	5	3	14	167	4	4	4	5	2	193	6	7	4	6	7	5	95	13	2	2	7	4	15	4	83	2	13	5	21	7	36	2	3	3	9	6	14	8	12	6	20	3	4	10	10	7	3	15	1	15	2	2	37	9	3	3	23	4	5	7	9	8	7	2	21	7	8	3	10	4	33	3	2	41	11	14	15	21	20	2	14	15	2	2	4	3	3	5	10	4	16	14	3	9	2	16	23	16	1	12	3	9	4	4	4	11	3	4	12	5	4	1	19	2	1	9	18	5	3	8	3	3	4	71	12	7	9	3	15	4	4	1	2	10	6	11	8	7	7	2	3	4	5	17	11	4	2	48	7	1	12	1	7	5	12	202	13	4	5	10	0	3	3	23	3	14	5	23	11	7	1	2	24	35	8	27	9	5	16	13	5	6	5	4	0	2	11	12	3	1	16	23	200	5	20	3	5	3	1	13	5	5	3	3	145	3	26	13	3	4	108	4	3	5	4	47	5	3	1	6	4	5	4	11	21	1	0	1	23	5	8	4	3	3	3	1	14	4	17	12	2	2	4	17	2	2	2	32	3	10	5	6	56	5	4	3	4	32	4	6	13	8	6	4	11	10	1	3	6	23	1	24	16	5	3	2	3	124	5	7	6	11	16	9	1	3	5	7	7	3	3	7	6	3	17	49	4	10	13	5	0	3	5	6	2	3	5
