MutationType	CPCT02070032T	CPCT02060045T	CPCT02020310T	CPCT02020323T	CPCT02140007T	CPCT02140011T	CPCT02020348T	CPCT02020357T	CPCT02020351T	CPCT02140020T	CPCT02010399T	CPCT02020370T	CPCT02140023T	CPCT02140022T	CPCT02020378T	CPCT02010415T	CPCT02070021T	CPCT02070024T	CPCT02020380T	CPCT02070023T	CPCT02020386T	CPCT02020387T	CPCT02020388T	CPCT02040046T	CPCT02070036T	CPCT02070035T	CPCT02020394T	CPCT02140026T	CPCT02140029T	CPCT02140030T	CPCT02020656TII	CPCT02011011T	CPCT02070269T	CPCT02330130T	CPCT02070256T	CPCT02070425T	CPCT02080281T	CPCT02070270T	CPCT02390037T	CPCT02140098T	CPCT02020888T	CPCT02340055T	CPCT02070430T	CPCT02050418T	CPCT02340108T	CPCT02100137T	CPCT02070433T	CPCT02070264T	CPCT02070420T	DRUP01070028TII	CPCT02080180T	CPCT02070446T	CPCT02020704TII	CPCT02220031T	DRUP01070071T	CPCT02140102T	CPCT02070280T	CPCT02100194T	CPCT02070268T	CPCT02011043T	CPCT02070449T	CPCT02340056T	CPCT02070450T	CPCT02220069T	CPCT02070452T	DRUP01070038T	CPCT02150043T	CPCT02090033T	CPCT02070426T	CPCT02150047T	CPCT02070125T	CPCT02190054T	CPCT02130169T	CPCT02020918T	CPCT02070459T	CPCT02140055T	DRUP01070028T	CPCT02160061T	CPCT02020656T	CPCT02020931T	CPCT02070106T	CPCT02070289T	CPCT02210043T	CPCT02010753T	CPCT02020924T	CPCT02070293T	CPCT02020938T	CPCT02200006T	CPCT02020658T	CPCT02070292T	CPCT02070055TII	CPCT02070466T	CPCT02070454T	CPCT02010762T	CPCT02260016T	CPCT02350020T	CPCT02070295T	CPCT02020942T	CPCT02140060T	CPCT02310008T	CPCT02070300T	CPCT02160062T	CPCT02070473T	CPCT02070468T	CPCT02300052T	CPCT02070301T	CPCT02430002T	CPCT02070474T	CPCT02070472T	DRUP01070036T	CPCT02150052T	CPCT02070307T	CPCT02330099T	CPCT02070263T	DRUP01050020T	CPCT02020678T	CPCT02020673T	WIDE01010113T	CPCT02050442T	CPCT02020968T	CPCT02020970T	CPCT02060294T	CPCT02070478T	CPCT02140065T	CPCT02210085T	CPCT02390044T	CPCT02050443T	CPCT02070306T	CPCT02070481T	CPCT02070482T	DRUP01140005T	CPCT02220082T	CPCT02020687T	CPCT02070484T	CPCT02020686T	CPCT02070486T	CPCT02070483T	CPCT02070487T	CPCT02040342T	CPCT02020977T	CPCT02070312T	CPCT02040343T	CPCT02290031T	CPCT02150008T	CPCT02370013TII	CPCT02100202T	CPCT02100203T	CPCT02070466TII	WIDE01010214T	WIDE01010215T	WIDE01010234T	CPCT02110083T	CPCT02070315T	DRUP01070026TII	CPCT02020981T	CPCT02140067T	CPCT02350003T	CPCT02070490T	WIDE01010283T	CPCT02020982T	CPCT02020975T	WIDE01010323T	CPCT02070208T	CPCT02070064TII	CPCT02140041TIV	CPCT02020704T	CPCT02040249T	CPCT02020924TII	WIDE01010383T	CPCT02070335T	CPCT02230091T	CPCT02230102T	DRUP01050049T	CPCT02020715T	CPCT02340086T	CPCT02020731T	CPCT02370027T	WIDE01010246T	CPCT02070139T	CPCT02070318T	CPCT02290038T	CPCT02070147TII	WIDE01010453T	DRUP01070042T	CPCT02030488T	CPCT02010840T	CPCT02070339T	CPCT02070338T	CPCT02230108T	CPCT02030380TII	CPCT02070345T	CPCT02070350T	CPCT02010875T	CPCT02010877T	CPCT02070359T	CPCT02070307TII	CPCT02010885T	CPCT02010857T	CPCT02090058T	WIDE01010611T	CPCT02070364T	CPCT02140075T	CPCT02010889T	CPCT02060249T	CPCT02020760T	CPCT02020780T	CPCT02070367T	CPCT02050389T	CPCT02070368T	CPCT02150019T	CPCT02300046T	CPCT02070130T	CPCT02070362T	CPCT02070361T	CPCT02140041TIII	CPCT02140081T	CPCT02020804T	CPCT02040280T	CPCT02070370T	CPCT02040283T	CPCT02050108T	CPCT02050391T	CPCT02130146T	CPCT02070378T	CPCT02070383T	CPCT02070379T	CPCT02340099T	CPCT02070274T	CPCT02070388T	CPCT02010361T	CPCT02070389T	CPCT02330125T	CPCT02070391T	CPCT02020827T	CPCT02150031T	DRUP01070052T	CPCT02010947T	DRUP01070020TII	DRUP01010097T	CPCT02030545T	CPCT02140086T	CPCT02070395T	CPCT02440017T	CPCT02040294T	CPCT02070392T	CPCT02070107TII	CPCT02010958T	CPCT02100189T	CPCT02080078TII	CPCT02020847T	DRUP01070055T	CPCT02010654T	CPCT02010973T	CPCT02070130TII	CPCT02070064TIII	CPCT02070196T	CPCT02070398T	CPCT02010971T	DRUP01070057T	CPCT02050268T	CPCT02020678TII	CPCT02010978T	CPCT02210074T	CPCT02070402T	CPCT02070236T	CPCT02070217T	DRUP01010040T	CPCT02010692TII	CPCT02030380T	CPCT02220064T	CPCT02020596T	CPCT02011000T	CPCT02010998T	CPCT02070409T	CPCT02011002T	CPCT02040295T	CPCT02330129T	CPCT02040280TII	CPCT02020610T	CPCT02011003T	CPCT02070211T	CPCT02120057T	CPCT02070218T	CPCT02070416T	CPCT02210075T	CPCT02070415T	CPCT02011010T	CPCT02011012T	CPCT02070092T	CPCT02011005T	CPCT02140050T	CPCT02070235T	CPCT02340038T	CPCT02020620T	CPCT02140041TII	CPCT02070223T	CPCT02070229T	CPCT02070206T	CPCT02230052T	CPCT02140054T	CPCT02020628T	CPCT02140052T	CPCT02020560T	CPCT02070233T	CPCT02070234T	CPCT02070148T	CPCT02070142T	CPCT02070133T	CPCT02070145T	CPCT02070143T	CPCT02070141T	CPCT02010537T	CPCT02070140T	CPCT02330029T	CPCT02070158T	CPCT02010585T	CPCT02080110T	CPCT02070144T	CPCT02070107T	CPCT02380009T	CPCT02260001T	CPCT02070164T	CPCT02140045T	DRUP01070015T	CPCT02020525T	CPCT02070151T	CPCT02070174T	CPCT02020351TII	CPCT02070161T	CPCT02070105T	CPCT02070176T	CPCT02380014T	CPCT02070192T	CPCT02070193T	CPCT02020543T	CPCT02070181T	CPCT02070195T	CPCT02070027T	CPCT02330044T	CPCT02070153T	CPCT02210026T	CPCT02070200T	CPCT02070202T	CPCT02010629T	DRUP01070020T	CPCT02070049T	CPCT02070046T	DRUP01140001T	CPCT02020422T	CPCT02030300T	CPCT02070037T	CPCT02020380TII	CPCT02020409T	CPCT02100041T	CPCT02070055T	CPCT02070064T	CPCT02070074T	CPCT02020419T	CPCT02070068T	CPCT02020449T	CPCT02140038T	CPCT02010389T	CPCT02070080T	CPCT02290006T	CPCT02070069TII	CPCT02070069T	CPCT02070087T	CPCT02010490T	CPCT02080078T	CPCT02140040T	CPCT02070082T	DRUP01070008T	CPCT02070091T	CPCT02070075T	CPCT02070100T	DRUP01140002T	CPCT02020476T	CPCT02070117T	CPCT02140041T	CPCT02070101T	CPCT02070127T	CPCT02020494T	CPCT02020502T	CPCT02020500T	CPCT02040107T	CPCT02020313T	CPCT02070131T	CPCT02070135T	CPCT02140025T	CPCT02070134T	CPCT02020501T	CPCT02070085TII	DRUP01070026T	CPCT02070245T	CPCT02070241T	CPCT02070253T	CPCT02070250T	CPCT02070252T	CPCT02070220T	CPCT02120074T	CPCT02220030T	CPCT02010692T	CPCT02010695T	CPCT02010711T	CPCT02070266T	CPCT02070023TII	WIDE01010628T	CPCT02020938TII	WIDE01010484T	CPCT02070444T	CPCT02070444TII	WIDE01010585T	WIDE01010642T	WIDE01010668T	WIDE01010537T
1:Del:T:4	13	16	19	634	12	23	16	21	15	25	22	23	9	369	17	16	19	754	13	4294	35	3654	21	5	35	11	12	15	18	24	16	17	18	18	23	27	17	7	9	63	13	11	23	13	16	8	11	29	13	10	27	16	2404	34	36	9	9	8	36	9	18	19	30	21	13	686	7	16	16	9	26	35	38	14	19	13	10	19	17	11	41	10	20	64	14	9	18	18	10	8	37	20	4	26	19	36	26	14	24	18	20	5	6	10	26	43	32	16	7	21	125	14	20	12	24	25	25	17	16	31	14	17	21	19	11	24	2494	20	16	1	31	6	7	11	23	10	18	7	24	10	19	17	13	16	18	15	15	28	9	16	11	16	11	3692	9	10	10	16	9	27	8	17	11	18	24	2278	8	11	17	10	19	6	2516	15	18	22	20	26	13	12	6	20	7	1475	27	21	9	32	23	26	12	6	26	17	31	16	13	26	11	14	14	15	10	14	11	16	9	16	19	26	28	10	25	24	26	27	8	28	17	11	5	20	448	26	14	15	26	24	17	20	10	2982	10	30	12	13	14	943	28	15	7	9	11	32	37	12	25	15	17	14	7	1641	11	18	15	12	32	12	14	20	25	24	5	31	20	7	41	15	25	26	17	21	16	10	14	10	26	94	16	37	31	21	76	15	6	9	30	6	12	8	10	11	11	18	23	21	14	13	9	26	19	33	6	12	8	11	14	11	26	19	9	26	1368	25	8	19	30	6	11	13	19	909	27	2509	19	7	10	12	16	17	47	45	1725	30	14	8	10	15	26	15	9	27	46	16	907	14	9	356	17	20	10	11	31	12	34	17	27	10	13	15	24	12	25	10	13	13	10	15	15	14	18	3954	7	13	17	21	55	29	22	16	12	10	11	22	8	15	721	8	19	8	11	20	1854	19	11	6	7	14	11	12	3014	12	15	9	26	4790	49	16	7	8	20	51	7	7	29
1:Del:T:5	162	41	109	9527	46	88	100	119	39	224	40	71	48	7557	102	74	110	15799	153	71989	130	61548	108	47	226	74	86	120	80	181	70	103	92	173	74	316	71	141	100	115	41	48	143	137	52	57	57	223	14	132	125	49	40259	248	104	53	57	20	116	71	28	131	157	105	35	15406	35	87	35	45	129	138	84	77	68	43	132	123	68	51	95	49	82	337	85	66	35	43	35	75	185	33	32	48	109	603	72	50	67	43	65	27	23	38	298	94	44	52	46	82	947	157	151	64	179	65	55	92	92	115	61	79	131	85	95	396	44070	92	54	15	430	58	21	69	100	57	80	48	135	26	59	166	63	83	53	57	74	62	68	117	57	66	72	59204	108	43	55	80	23	74	46	34	86	96	240	37907	128	92	88	88	56	39	44272	93	95	80	98	125	92	113	120	89	91	24223	308	111	81	177	151	79	42	48	97	175	114	160	52	132	46	164	141	50	58	81	27	50	75	42	330	159	410	58	64	37	228	234	43	77	59	30	13	205	7610	117	106	71	231	114	85	107	78	49566	97	40	64	50	60	16631	133	91	42	44	105	258	126	135	211	44	70	130	33	31063	42	97	63	99	243	64	76	134	56	112	70	118	113	24	180	91	79	61	117	75	62	53	83	61	71	226	54	215	131	142	188	39	29	49	193	52	122	54	80	91	107	184	198	71	51	98	33	380	353	119	29	35	31	65	92	53	173	101	82	71	23766	141	81	114	190	43	80	68	52	17916	305	42378	56	78	67	37	41	66	375	286	30707	252	140	16	146	91	105	34	53	147	741	71	18396	71	53	7112	229	93	60	122	90	76	150	72	167	78	133	322	90	61	303	121	57	35	48	37	79	51	113	68933	54	53	56	191	576	453	145	85	36	51	60	194	79	27	11602	79	68	91	90	56	33656	103	74	61	157	32	62	71	54873	87	40	51	689	83914	126	33	69	16	59	446	56	30	132
1:Ins:C:0	5	13	12	10	3	6	3	16	1	5	10	5	8	43	3	5	6	38	5	160	35	86	28	6	10	2	5	6	3	7	71	6	6	11	8	4	5	7	4	22	6	1	7	2	6	4	5	13	7	83	7	12	134	29	88	5	4	4	5	6	5	4	11	20	3	23	3	36	7	8	75	8	23	7	9	4	3	11	6	3	9	2	24	14	6	9	5	1	4	10	119	4	1	4	10	6	1	7	8	4	1	4	6	5	5	10	3	8	3	9	22	6	10	3	7	6	19	9	7	7	45	14	4	3	6	7	107	2	4	5	12	5	3	4	6	8	14	5	16	1	8	11	6	3	5	3	1	7	8	6	5	4	3	107	2	8	3	7	2	6	5	4	6	11	2	81	4	10	12	3	5	2	91	5	2	6	4	19	49	5	3	13	3	48	3	6	2	11	14	6	33	4	5	3	7	5	4	9	4	34	4	10	4	2	3	0	2	9	8	29	48	1	5	7	6	5	3	8	1	7	4	7	313	11	5	7	5	4	6	29	2	84	5	6	6	39	5	46	7	6	2	4	5	23	10	7	7	4	3	12	0	58	9	8	7	5	2	4	5	9	13	7	3	4	8	0	14	51	8	6	2	7	8	3	17	0	9	46	6	19	17	8	16	7	1	1	5	6	8	4	8	3	9	7	5	7	2	10	6	7	7	13	1	3	2	3	2	3	12	5	5	2	56	4	4	10	8	3	3	6	3	70	12	62	6	2	1	1	1	10	21	15	44	10	3	2	4	11	7	5	4	1	16	4	72	53	7	39	10	9	3	7	17	3	73	9	12	2	1	11	4	6	4	7	3	1	4	8	3	5	2	138	2	4	6	10	15	8	4	8	3	0	5	4	4	43	22	5	3	1	7	6	63	6	5	4	4	4	5	4	113	9	3	5	7	163	23	9	9	4	21	11	5	3	13
1:Ins:C:1	2	5	2	3	4	4	0	4	1	4	2	10	2	20	2	3	2	10	3	53	8	32	6	1	9	0	2	6	1	2	23	4	6	2	4	6	6	4	4	7	4	3	5	3	4	4	7	1	5	39	5	5	37	5	25	6	0	2	7	2	2	4	8	6	2	10	5	6	6	6	8	3	5	0	5	5	1	3	6	5	2	2	3	6	5	2	1	3	2	2	23	5	1	3	9	3	1	4	4	2	2	5	2	5	4	3	2	1	4	5	11	5	5	0	2	4	8	2	2	9	19	4	5	1	2	2	24	5	3	0	6	0	1	2	3	5	4	1	3	1	7	4	1	3	3	2	0	9	5	6	2	4	1	24	1	3	1	2	2	1	3	3	1	4	5	16	5	1	5	0	3	5	23	3	3	2	4	1	1	1	2	3	2	15	2	6	0	4	5	4	5	3	6	2	7	3	4	5	5	5	4	3	1	1	2	0	3	4	5	10	7	7	3	1	4	7	7	3	1	3	1	3	73	7	2	1	4	12	3	7	7	27	3	11	5	6	1	7	3	5	2	4	1	9	14	5	2	2	3	1	0	19	1	3	2	2	1	2	2	2	5	6	1	4	2	4	6	16	4	4	5	7	2	2	4	0	3	26	5	8	4	3	10	4	2	3	7	4	3	3	4	1	6	5	4	3	1	0	0	3	5	4	2	1	3	0	2	1	3	5	1	10	16	1	5	8	3	0	3	6	4	11	6	16	6	2	2	1	6	2	7	2	15	8	8	3	2	3	5	0	3	2	4	8	13	6	3	18	3	2	0	5	6	3	6	2	2	2	1	3	4	2	5	6	3	3	1	5	1	5	1	46	3	1	2	3	6	3	3	3	1	2	1	2	4	4	8	2	4	4	4	3	16	1	3	1	2	3	5	1	30	4	5	8	5	51	4	2	0	0	1	5	4	2	7
1:Ins:C:2	2	1	1	0	1	1	2	2	2	0	1	6	3	13	3	4	4	11	0	41	5	26	3	5	4	2	3	0	2	4	4	5	0	0	3	1	5	1	3	3	0	1	1	3	1	2	4	2	0	5	2	5	34	5	3	1	2	0	0	1	0	2	0	6	0	7	1	3	1	0	3	2	1	2	4	2	2	2	2	1	3	0	4	10	2	0	3	4	1	4	9	4	1	4	1	6	2	4	3	0	1	0	0	4	7	1	1	1	1	2	7	1	1	3	1	2	4	1	2	3	4	6	3	1	1	2	28	1	3	0	1	1	2	3	4	0	1	1	2	0	0	0	1	2	0	1	3	6	1	3	2	2	0	32	0	2	0	1	1	3	2	4	1	2	5	26	3	2	5	1	2	1	27	2	2	3	1	3	2	1	0	1	1	18	0	5	0	5	4	0	3	1	7	2	3	1	0	0	1	3	4	3	3	0	2	0	0	2	2	3	1	3	2	2	7	5	1	1	0	4	0	2	68	5	1	3	2	4	4	4	5	29	0	3	0	3	0	9	3	1	3	0	3	1	2	3	0	1	0	5	1	17	3	4	2	2	2	4	1	0	2	7	0	1	1	2	3	1	2	4	1	3	1	0	4	6	3	32	1	5	3	0	1	3	0	1	8	1	2	2	2	1	3	0	6	0	0	3	0	2	4	4	1	2	1	4	4	2	3	4	0	5	12	4	3	2	3	0	3	7	1	14	2	18	2	1	1	3	0	5	4	1	13	4	1	0	1	2	2	3	3	4	7	0	12	3	2	7	5	2	1	1	1	3	4	1	2	3	0	3	3	3	3	2	0	0	4	4	0	0	2	27	2	0	3	4	7	6	3	1	2	4	1	1	4	5	13	5	1	1	2	2	14	2	0	1	2	1	2	0	24	0	0	0	4	39	4	3	1	0	2	1	7	3	4
1:Ins:C:3	1	0	6	7	2	3	0	1	0	0	1	3	1	13	4	4	3	34	2	180	2	67	2	3	2	1	2	2	2	1	7	0	2	2	3	3	1	1	1	4	1	1	3	1	1	4	0	4	0	5	2	0	70	1	4	3	1	2	2	0	2	5	4	0	3	7	0	5	2	1	1	2	3	3	4	3	1	4	2	0	2	0	2	4	0	3	3	2	0	2	9	1	0	3	3	4	2	2	1	1	4	1	0	1	3	1	1	1	1	3	4	4	3	0	8	4	0	2	2	6	5	2	2	3	0	5	61	3	4	1	5	0	2	3	3	2	1	0	2	2	2	0	2	1	0	1	3	4	2	1	1	1	4	102	0	1	4	0	0	3	3	2	1	0	4	68	3	0	1	1	0	1	60	3	2	1	3	3	0	3	1	6	0	48	2	3	1	3	1	1	2	0	2	0	7	2	2	5	0	4	6	2	2	1	3	2	2	5	7	1	1	3	2	1	7	1	2	3	0	3	1	2	138	3	2	0	1	2	3	4	4	88	3	0	1	1	5	19	2	5	3	0	1	4	1	2	3	1	2	2	0	48	3	1	0	1	2	1	2	6	5	1	0	2	3	2	4	10	4	3	2	3	1	1	1	3	4	45	0	1	5	2	4	2	0	2	3	4	2	1	2	3	0	2	3	0	6	0	0	3	1	5	2	0	0	2	1	0	5	1	0	5	41	2	1	2	0	1	0	2	2	23	1	63	2	1	0	0	0	1	4	1	45	2	4	3	1	4	2	3	0	0	9	0	21	2	1	14	4	2	1	3	9	2	0	0	1	2	2	1	1	3	3	0	1	1	2	0	1	0	6	116	0	1	3	3	1	6	3	1	0	0	1	3	2	1	17	0	0	2	3	3	62	3	1	1	1	1	0	4	54	5	1	0	1	139	2	2	2	0	3	2	3	1	0
1:Ins:C:4	3	0	1	20	4	3	3	1	0	1	3	1	0	37	1	1	1	53	3	355	3	156	1	1	2	2	2	0	0	2	8	1	1	2	0	1	4	5	2	1	1	1	1	2	0	0	1	6	3	12	3	5	178	1	4	0	1	1	3	2	3	2	4	5	2	42	1	3	1	1	2	2	2	2	1	1	4	6	4	1	0	1	2	1	0	2	0	2	0	0	7	1	1	0	3	2	1	4	4	0	8	1	2	1	6	4	2	1	3	4	4	2	2	1	10	2	2	3	1	2	3	5	1	4	1	7	133	1	4	0	11	0	1	0	1	4	2	2	1	0	7	0	2	1	0	1	0	1	2	2	1	0	0	198	1	3	2	3	0	1	2	1	0	1	1	162	0	0	3	1	3	0	135	4	3	3	0	2	6	2	4	3	2	134	6	1	1	3	7	5	4	1	4	0	4	3	1	3	5	2	5	6	1	2	0	3	2	0	4	5	4	0	2	2	2	3	0	0	1	2	1	2	331	1	2	1	3	1	2	2	0	179	3	3	0	1	2	56	1	1	3	2	1	3	2	3	3	1	0	2	0	84	3	4	0	4	1	3	1	1	1	0	0	3	2	0	1	2	2	3	3	5	1	1	1	1	4	42	3	1	3	2	3	0	1	0	4	4	2	0	1	3	2	2	2	5	3	4	2	4	3	1	1	2	1	0	4	2	3	1	2	4	101	1	1	0	1	2	2	2	0	57	1	171	2	0	0	0	1	1	5	3	89	1	1	2	4	2	0	1	3	2	9	1	58	3	1	34	4	1	1	4	2	4	2	0	2	3	1	2	1	2	2	2	1	0	2	1	0	1	0	240	0	1	0	1	1	2	2	3	0	0	0	6	2	2	54	3	3	0	4	1	109	1	4	0	2	2	2	1	158	1	2	1	4	280	4	0	0	4	4	9	0	0	0
1:Ins:C:5	20	13	19	128	9	14	16	16	7	14	9	16	4	276	28	14	14	436	8	1932	8	1248	17	12	19	5	10	10	8	21	24	20	16	14	5	44	4	18	9	9	11	13	25	10	10	10	26	29	8	27	10	19	1265	12	18	10	8	5	19	10	8	22	37	14	4	303	6	19	8	10	6	17	12	10	14	3	11	20	17	9	11	1	17	29	9	11	11	15	10	16	22	6	6	2	21	38	14	7	14	6	10	6	10	8	58	14	5	11	6	14	15	13	15	10	24	5	8	14	23	22	17	29	12	9	19	49	1174	11	12	0	24	11	5	10	14	27	12	3	16	6	17	14	14	11	14	10	12	14	15	21	7	11	13	1308	17	13	14	6	5	8	16	13	11	18	13	1182	16	8	21	12	11	13	1140	23	16	10	22	14	21	17	21	11	9	629	27	5	10	14	19	15	9	12	17	7	21	18	7	20	11	10	33	13	12	10	5	14	9	17	48	13	27	21	19	11	10	21	7	6	3	15	2	30	1941	20	13	9	8	8	14	16	19	1032	17	12	8	9	14	459	7	18	11	20	9	11	9	14	27	3	11	37	8	781	20	25	8	26	24	17	10	12	7	15	6	15	15	6	13	25	11	28	16	24	13	11	16	11	11	46	8	27	21	1	8	6	8	11	32	11	13	13	16	15	17	15	6	19	18	32	2	25	37	18	10	10	2	10	19	11	9	12	12	5	617	12	24	23	24	6	12	4	5	559	23	900	11	14	11	6	9	4	36	22	657	15	15	8	28	13	23	5	7	22	100	16	553	14	13	299	25	0	12	11	16	18	6	8	28	13	16	15	11	8	52	8	7	6	3	8	10	11	17	1746	0	6	8	20	47	24	4	14	9	17	8	32	8	20	310	15	11	6	9	10	813	9	11	7	17	5	13	10	1652	16	16	15	13	2070	34	12	9	2	9	44	14	12	7
1:Ins:T:0	7	4	10	15	7	13	1	12	6	14	12	2	4	59	6	9	9	69	8	277	18	190	13	9	8	4	5	8	10	7	30	6	10	13	7	15	8	10	5	12	3	7	9	11	5	8	5	11	4	32	7	7	122	20	27	4	5	7	12	8	7	10	10	15	3	66	4	7	6	6	19	15	22	9	5	6	10	5	6	6	24	3	14	35	13	4	6	8	3	5	45	7	7	11	6	15	6	3	8	6	10	7	7	5	9	13	8	7	4	7	26	6	11	9	9	6	17	15	15	10	16	12	17	8	7	19	167	8	10	2	13	6	0	5	7	10	11	6	13	5	8	9	5	19	7	12	8	13	9	12	5	7	11	193	8	16	5	3	5	12	5	8	3	11	9	115	8	13	7	5	9	6	154	9	11	13	7	15	9	9	6	11	9	87	13	7	4	16	9	6	9	10	12	6	16	9	10	10	5	30	9	8	9	6	3	6	1	6	8	23	9	8	7	8	9	11	5	15	9	9	4	12	186	9	6	6	8	7	6	15	8	157	7	16	6	9	10	68	8	8	5	2	9	24	10	12	12	8	6	19	2	117	10	11	9	8	10	4	6	7	7	8	4	12	10	10	17	30	6	6	7	10	13	6	14	4	21	124	10	23	14	10	29	6	6	4	14	6	14	9	4	4	9	4	11	7	7	15	1	10	14	14	7	6	5	4	10	4	10	7	5	3	102	12	12	11	12	4	1	5	4	100	8	115	5	5	4	6	5	3	16	16	95	14	8	8	13	7	7	3	5	7	17	7	98	3	6	67	9	10	7	7	19	4	30	9	15	3	12	7	5	7	18	11	12	8	3	6	5	7	8	225	3	4	6	6	24	10	5	8	5	4	2	13	6	6	41	5	7	0	7	5	106	9	5	6	6	4	7	1	251	4	7	3	5	255	33	6	12	3	16	8	10	10	14
1:Ins:T:1	16	7	10	10	8	7	7	16	10	16	9	19	4	18	5	13	9	28	10	127	11	70	10	11	17	4	9	9	9	13	19	11	5	9	10	4	6	9	12	18	5	6	10	4	8	11	9	5	4	21	8	7	50	25	16	6	7	4	18	9	9	11	10	19	15	26	3	13	3	8	12	18	16	11	12	10	16	10	12	11	9	2	11	24	8	7	21	11	6	7	19	17	6	11	8	14	5	8	16	9	11	7	4	8	15	17	10	9	4	12	21	8	15	10	15	10	11	4	9	20	10	12	19	4	10	15	69	10	11	2	20	13	3	7	6	14	5	5	12	11	7	13	5	11	8	12	9	23	7	15	7	11	9	70	2	3	6	8	1	4	13	7	4	14	7	39	12	7	21	10	6	4	60	9	18	6	8	11	7	13	7	10	14	32	12	10	8	26	9	13	12	14	21	15	20	6	6	10	5	10	16	17	6	11	9	12	7	11	12	17	10	8	11	3	8	16	7	7	10	11	4	17	78	19	8	9	13	6	11	19	14	59	14	10	9	14	6	35	10	12	6	13	10	16	28	9	8	7	7	11	9	38	11	9	10	7	6	5	15	9	10	12	2	11	10	7	19	17	10	14	18	12	4	10	7	8	13	299	7	9	14	9	15	6	2	4	18	5	10	12	8	5	9	14	9	8	7	11	8	13	7	10	7	11	13	10	8	5	14	11	7	15	35	13	13	14	17	5	6	17	4	39	16	51	11	3	12	8	6	14	20	13	30	20	5	5	15	10	8	5	9	8	19	9	42	10	5	21	7	4	5	9	25	7	6	11	16	14	6	7	7	8	15	7	9	8	9	7	6	9	18	93	5	10	8	16	18	4	7	15	9	6	7	13	7	20	27	5	17	5	8	13	41	12	10	3	13	3	7	7	88	17	9	10	5	112	12	18	10	8	16	16	10	5	10
1:Ins:T:2	4	7	6	58	4	1	2	10	5	8	5	8	9	120	6	6	0	314	9	985	9	420	5	7	8	4	6	3	8	10	13	8	8	6	6	10	5	8	4	15	11	10	6	5	8	7	9	12	4	10	7	8	260	11	16	5	3	3	9	3	8	7	15	7	8	62	2	9	4	7	12	8	9	12	7	4	1	16	11	10	7	5	6	16	5	6	11	8	6	4	13	6	2	9	4	17	3	4	4	4	7	1	5	3	9	11	5	2	3	10	14	10	7	3	8	7	12	4	4	8	13	10	9	6	3	6	238	14	4	0	12	7	2	6	9	16	3	4	6	6	9	7	4	6	6	7	7	9	3	15	6	7	6	516	1	4	1	5	5	5	13	3	5	7	9	236	4	7	14	1	6	4	241	10	6	10	8	13	4	5	5	9	4	343	11	9	4	11	8	9	2	6	13	8	18	6	5	12	9	6	5	6	7	8	6	2	5	9	5	6	8	9	6	1	11	10	8	6	4	8	2	8	150	12	9	4	4	3	11	10	4	602	5	6	12	3	10	56	8	10	5	8	9	17	18	10	7	4	3	6	3	288	12	13	8	7	3	9	9	10	7	8	4	9	9	2	9	3	7	11	7	11	4	6	7	4	7	336	1	14	12	4	11	7	2	7	12	4	10	4	7	9	9	8	7	8	8	11	2	3	6	5	4	5	3	2	6	7	17	4	4	8	288	10	11	12	13	3	8	10	6	57	6	348	7	2	1	5	7	8	7	9	293	12	7	2	5	6	9	4	9	0	12	9	59	5	3	119	13	2	5	10	12	6	5	6	12	8	9	6	2	2	7	8	10	8	6	11	5	6	6	660	1	2	4	9	27	10	6	11	6	4	5	11	3	9	148	6	6	6	5	9	320	4	5	2	5	5	4	4	434	4	4	15	7	709	10	7	4	3	6	12	4	2	4
1:Ins:T:3	3	2	10	26	7	4	4	10	4	5	8	8	3	57	2	6	5	158	5	568	3	268	11	7	6	3	4	7	5	12	6	3	8	4	9	12	3	4	5	16	3	4	8	6	6	3	6	5	1	4	11	3	138	9	9	7	3	5	5	2	6	2	15	5	5	41	4	3	7	2	6	9	6	7	7	2	3	7	8	9	7	3	7	16	4	2	10	6	5	9	7	9	2	4	6	12	8	6	6	4	7	2	7	1	4	11	6	3	9	5	17	4	13	11	6	3	9	4	11	6	5	4	6	6	7	10	148	5	11	1	8	2	2	7	6	11	8	3	3	3	7	6	4	8	4	6	6	13	6	11	4	3	7	299	4	1	3	3	2	2	3	10	4	9	3	136	8	5	8	9	7	3	146	5	8	4	6	5	3	6	6	7	1	165	11	8	2	11	9	5	7	12	7	4	11	5	3	11	6	2	2	4	5	3	3	2	9	6	9	7	10	8	6	7	6	7	5	3	6	4	1	7	83	7	6	5	2	5	7	9	3	301	7	12	4	7	3	59	7	11	4	8	6	15	14	6	6	5	6	13	3	145	4	11	6	5	9	3	8	6	3	6	4	8	6	4	4	6	5	8	1	8	7	4	7	2	9	162	9	12	6	8	10	2	3	5	8	3	6	3	4	4	4	8	6	3	10	6	3	11	8	6	2	5	6	3	5	5	9	5	2	9	134	7	6	10	14	6	3	7	7	66	5	184	6	8	4	2	2	4	13	5	180	6	4	3	7	1	4	4	5	4	11	11	73	8	2	59	1	6	3	0	8	3	9	8	11	6	2	4	4	3	11	1	5	1	2	8	6	5	2	381	0	3	6	12	22	4	3	8	4	3	2	14	3	5	85	3	5	3	7	4	197	5	3	6	2	4	3	5	247	6	6	6	10	418	14	10	7	3	6	6	3	3	3
