MutationType	CPCT02070032T	CPCT02060045T	CPCT02020310T	CPCT02020323T	CPCT02140007T	CPCT02140011T	CPCT02020348T	CPCT02020357T	CPCT02020351T	CPCT02140020T	CPCT02010399T	CPCT02020370T	CPCT02140023T	CPCT02140022T	CPCT02020378T	CPCT02010415T	CPCT02070021T	CPCT02070024T	CPCT02020380T	CPCT02070023T	CPCT02020386T	CPCT02020387T	CPCT02020388T	CPCT02040046T	CPCT02070036T	CPCT02070035T	CPCT02020394T	CPCT02140026T	CPCT02140029T	CPCT02140030T	CPCT02020656TII	CPCT02011011T	CPCT02070269T	CPCT02330130T	CPCT02070256T	CPCT02070425T	CPCT02080281T	CPCT02070270T	CPCT02390037T	CPCT02140098T	CPCT02020888T	CPCT02340055T	CPCT02070430T	CPCT02050418T	CPCT02340108T	CPCT02100137T	CPCT02070433T	CPCT02070264T	CPCT02070420T	DRUP01070028TII	CPCT02080180T	CPCT02070446T	CPCT02020704TII	CPCT02220031T	DRUP01070071T	CPCT02140102T	CPCT02070280T	CPCT02100194T	CPCT02070268T	CPCT02011043T	CPCT02070449T	CPCT02340056T	CPCT02070450T	CPCT02220069T	CPCT02070452T	DRUP01070038T	CPCT02150043T	CPCT02090033T	CPCT02070426T	CPCT02150047T	CPCT02070125T	CPCT02190054T	CPCT02130169T	CPCT02020918T	CPCT02070459T	CPCT02140055T	DRUP01070028T	CPCT02160061T	CPCT02020656T	CPCT02020931T	CPCT02070106T	CPCT02070289T	CPCT02210043T	CPCT02010753T	CPCT02020924T	CPCT02070293T	CPCT02020938T	CPCT02200006T	CPCT02020658T	CPCT02070292T	CPCT02070055TII	CPCT02070466T	CPCT02070454T	CPCT02010762T	CPCT02260016T	CPCT02350020T	CPCT02070295T	CPCT02020942T	CPCT02140060T	CPCT02310008T	CPCT02070300T	CPCT02160062T	CPCT02070473T	CPCT02070468T	CPCT02300052T	CPCT02070301T	CPCT02430002T	CPCT02070474T	CPCT02070472T	DRUP01070036T	CPCT02150052T	CPCT02070307T	CPCT02330099T	CPCT02070263T	DRUP01050020T	CPCT02020678T	CPCT02020673T	WIDE01010113T	CPCT02050442T	CPCT02020968T	CPCT02020970T	CPCT02060294T	CPCT02070478T	CPCT02140065T	CPCT02210085T	CPCT02390044T	CPCT02050443T	CPCT02070306T	CPCT02070481T	CPCT02070482T	DRUP01140005T	CPCT02220082T	CPCT02020687T	CPCT02070484T	CPCT02020686T	CPCT02070486T	CPCT02070483T	CPCT02070487T	CPCT02040342T	CPCT02020977T	CPCT02070312T	CPCT02040343T	CPCT02290031T	CPCT02150008T	CPCT02370013TII	CPCT02100202T	CPCT02100203T	CPCT02070466TII	WIDE01010214T	WIDE01010215T	WIDE01010234T	CPCT02110083T	CPCT02070315T	DRUP01070026TII	CPCT02020981T	CPCT02140067T	CPCT02350003T	CPCT02070490T	WIDE01010283T	CPCT02020982T	CPCT02020975T	WIDE01010323T	CPCT02070208T	CPCT02070064TII	CPCT02140041TIV	CPCT02020704T	CPCT02040249T	CPCT02020924TII	WIDE01010383T	CPCT02070335T	CPCT02230091T	CPCT02230102T	DRUP01050049T	CPCT02020715T	CPCT02340086T	CPCT02020731T	CPCT02370027T	WIDE01010246T	CPCT02070139T	CPCT02070318T	CPCT02290038T	CPCT02070147TII	WIDE01010453T	DRUP01070042T	CPCT02030488T	CPCT02010840T	CPCT02070339T	CPCT02070338T	CPCT02230108T	CPCT02030380TII	CPCT02070345T	CPCT02070350T	CPCT02010875T	CPCT02010877T	CPCT02070359T	CPCT02070307TII	CPCT02010885T	CPCT02010857T	CPCT02090058T	WIDE01010611T	CPCT02070364T	CPCT02140075T	CPCT02010889T	CPCT02060249T	CPCT02020760T	CPCT02020780T	CPCT02070367T	CPCT02050389T	CPCT02070368T	CPCT02150019T	CPCT02300046T	CPCT02070130T	CPCT02070362T	CPCT02070361T	CPCT02140041TIII	CPCT02140081T	CPCT02020804T	CPCT02040280T	CPCT02070370T	CPCT02040283T	CPCT02050108T	CPCT02050391T	CPCT02130146T	CPCT02070378T	CPCT02070383T	CPCT02070379T	CPCT02340099T	CPCT02070274T	CPCT02070388T	CPCT02010361T	CPCT02070389T	CPCT02330125T	CPCT02070391T	CPCT02020827T	CPCT02150031T	DRUP01070052T	CPCT02010947T	DRUP01070020TII	DRUP01010097T	CPCT02030545T	CPCT02140086T	CPCT02070395T	CPCT02440017T	CPCT02040294T	CPCT02070392T	CPCT02070107TII	CPCT02010958T	CPCT02100189T	CPCT02080078TII	CPCT02020847T	DRUP01070055T	CPCT02010654T	CPCT02010973T	CPCT02070130TII	CPCT02070064TIII	CPCT02070196T	CPCT02070398T	CPCT02010971T	DRUP01070057T	CPCT02050268T	CPCT02020678TII	CPCT02010978T	CPCT02210074T	CPCT02070402T	CPCT02070236T	CPCT02070217T	DRUP01010040T	CPCT02010692TII	CPCT02030380T	CPCT02220064T	CPCT02020596T	CPCT02011000T	CPCT02010998T	CPCT02070409T	CPCT02011002T	CPCT02040295T	CPCT02330129T	CPCT02040280TII	CPCT02020610T	CPCT02011003T	CPCT02070211T	CPCT02120057T	CPCT02070218T	CPCT02070416T	CPCT02210075T	CPCT02070415T	CPCT02011010T	CPCT02011012T	CPCT02070092T	CPCT02011005T	CPCT02140050T	CPCT02070235T	CPCT02340038T	CPCT02020620T	CPCT02140041TII	CPCT02070223T	CPCT02070229T	CPCT02070206T	CPCT02230052T	CPCT02140054T	CPCT02020628T	CPCT02140052T	CPCT02020560T	CPCT02070233T	CPCT02070234T	CPCT02070148T	CPCT02070142T	CPCT02070133T	CPCT02070145T	CPCT02070143T	CPCT02070141T	CPCT02010537T	CPCT02070140T	CPCT02330029T	CPCT02070158T	CPCT02010585T	CPCT02080110T	CPCT02070144T	CPCT02070107T	CPCT02380009T	CPCT02260001T	CPCT02070164T	CPCT02140045T	DRUP01070015T	CPCT02020525T	CPCT02070151T	CPCT02070174T	CPCT02020351TII	CPCT02070161T	CPCT02070105T	CPCT02070176T	CPCT02380014T	CPCT02070192T	CPCT02070193T	CPCT02020543T	CPCT02070181T	CPCT02070195T	CPCT02070027T	CPCT02330044T	CPCT02070153T	CPCT02210026T	CPCT02070200T	CPCT02070202T	CPCT02010629T	DRUP01070020T	CPCT02070049T	CPCT02070046T	DRUP01140001T	CPCT02020422T	CPCT02030300T	CPCT02070037T	CPCT02020380TII	CPCT02020409T	CPCT02100041T	CPCT02070055T	CPCT02070064T	CPCT02070074T	CPCT02020419T	CPCT02070068T	CPCT02020449T	CPCT02140038T	CPCT02010389T	CPCT02070080T	CPCT02290006T	CPCT02070069TII	CPCT02070069T	CPCT02070087T	CPCT02010490T	CPCT02080078T	CPCT02140040T	CPCT02070082T	DRUP01070008T	CPCT02070091T	CPCT02070075T	CPCT02070100T	DRUP01140002T	CPCT02020476T	CPCT02070117T	CPCT02140041T	CPCT02070101T	CPCT02070127T	CPCT02020494T	CPCT02020502T	CPCT02020500T	CPCT02040107T	CPCT02020313T	CPCT02070131T	CPCT02070135T	CPCT02140025T	CPCT02070134T	CPCT02020501T	CPCT02070085TII	DRUP01070026T	CPCT02070245T	CPCT02070241T	CPCT02070253T	CPCT02070250T	CPCT02070252T	CPCT02070220T	CPCT02120074T	CPCT02220030T	CPCT02010692T	CPCT02010695T	CPCT02010711T	CPCT02070266T	CPCT02070023TII	WIDE01010628T	CPCT02020938TII	WIDE01010484T	CPCT02070444T	CPCT02070444TII	WIDE01010585T	WIDE01010642T	WIDE01010668T	WIDE01010537T
1:Del:C:0	26	26	29	47	20	24	21	53	15	36	52	80	15	116	26	44	41	109	27	709	67	447	45	14	41	15	44	20	13	34	46	36	27	25	41	21	13	14	18	104	12	30	31	15	30	21	27	28	21	19	46	11	329	65	40	22	25	14	68	17	14	24	41	35	11	145	18	30	27	23	42	51	71	33	25	36	23	28	41	28	59	20	39	98	15	19	21	35	15	25	64	26	24	42	26	32	26	18	35	18	22	14	22	15	25	121	50	17	23	36	199	31	39	21	51	57	59	19	12	61	21	35	34	20	18	23	335	34	33	5	38	13	14	27	48	36	27	16	33	16	23	26	19	35	22	39	20	37	22	19	30	21	23	380	14	12	13	21	11	32	19	37	29	32	57	321	29	16	36	22	35	11	300	19	24	20	30	63	21	25	15	35	16	179	20	43	16	62	34	42	24	18	56	27	69	34	32	39	8	32	20	12	17	21	25	31	19	16	17	70	27	17	77	39	61	34	28	46	30	33	16	31	178	47	32	15	38	45	41	66	17	297	26	42	23	24	36	105	47	24	24	24	17	87	108	25	61	36	13	17	26	231	18	23	24	45	19	24	21	47	67	50	16	53	69	15	163	32	47	23	28	42	14	16	40	19	83	635	66	77	76	40	189	15	16	16	51	18	35	17	31	18	39	21	57	25	23	28	20	29	26	63	21	17	13	6	24	26	74	27	12	56	221	34	19	41	16	6	18	19	20	151	23	224	38	19	20	14	8	19	82	68	156	66	22	8	20	14	25	26	22	32	48	32	154	23	18	127	17	20	16	26	69	20	55	28	37	29	12	15	14	20	35	39	24	22	26	28	13	24	36	576	9	14	34	30	54	42	45	27	14	18	10	26	18	18	81	16	30	13	16	33	182	12	20	22	24	18	33	15	457	29	20	20	41	693	79	21	28	12	43	26	20	7	43
1:Del:C:1	7	14	25	21	8	16	13	23	12	24	32	60	15	60	14	18	28	57	22	242	33	164	29	16	24	8	16	13	9	20	26	28	22	25	24	13	10	9	16	54	7	18	14	9	24	17	12	15	13	5	29	13	119	31	23	8	15	18	34	9	19	17	21	31	11	55	7	16	15	10	28	24	39	17	19	9	5	28	28	8	33	8	14	64	16	20	23	39	17	17	34	27	9	30	12	19	17	22	20	16	22	16	17	15	20	60	23	15	11	31	98	14	33	14	16	25	36	11	15	39	14	19	21	18	17	12	101	26	28	2	20	16	5	10	32	18	11	11	29	10	19	20	17	11	12	25	7	42	17	19	19	10	15	127	11	11	5	10	15	26	15	26	24	20	20	117	19	17	30	7	19	8	87	16	14	11	24	23	13	19	11	23	16	82	8	23	10	59	22	31	18	19	47	22	35	16	16	22	10	20	11	17	17	9	8	20	22	15	10	35	22	25	32	27	22	17	18	26	16	15	9	14	73	35	16	15	16	42	39	32	8	153	12	23	8	17	22	33	26	17	12	14	16	42	69	13	40	17	15	18	7	68	9	31	13	20	23	11	20	15	33	50	7	24	25	14	73	23	29	16	14	33	11	12	17	9	25	913	28	47	28	12	80	13	9	19	46	14	34	12	13	15	20	10	22	14	12	21	9	19	16	41	13	16	10	10	17	11	27	25	9	39	82	19	14	37	17	8	10	17	14	50	18	91	14	18	9	13	9	11	25	34	88	28	18	3	8	9	17	15	11	22	35	10	51	7	13	59	10	10	10	17	49	10	24	18	30	12	10	15	6	13	13	11	13	11	22	22	12	15	39	188	6	13	18	23	33	15	14	22	11	15	16	16	9	14	37	10	22	12	12	25	89	15	12	8	15	10	18	9	149	21	13	20	29	218	39	20	13	7	23	25	11	3	26
1:Del:C:2	6	7	13	17	1	4	4	11	9	11	15	35	2	24	11	9	11	53	14	327	22	160	15	11	20	1	11	6	6	11	18	15	16	15	6	9	7	4	7	57	3	12	8	7	16	8	11	8	8	4	17	3	126	27	26	9	3	7	12	6	4	3	13	20	7	39	5	9	6	8	20	11	21	8	12	8	3	10	17	13	22	6	8	35	5	6	15	17	9	5	17	17	2	23	6	11	12	16	13	9	9	3	11	7	7	42	17	8	11	13	71	11	12	5	8	8	21	5	7	17	14	7	16	4	7	13	119	15	11	2	6	7	8	13	18	10	7	3	12	7	8	6	6	7	5	7	8	29	9	15	5	4	1	186	3	6	5	5	9	10	8	9	15	8	10	115	16	0	19	5	13	4	111	10	8	8	9	13	6	3	5	5	9	75	6	19	4	23	11	16	8	7	19	12	20	8	10	14	9	12	12	9	13	3	5	8	7	7	7	24	8	6	18	33	9	7	6	10	16	10	5	7	54	28	6	12	8	30	17	21	6	145	5	22	14	11	6	31	17	14	10	8	9	21	55	8	12	9	14	12	6	106	7	9	5	11	11	13	8	7	14	31	5	7	11	8	29	9	17	9	4	9	7	6	10	3	27	870	16	32	16	10	60	11	4	4	23	10	10	5	7	6	10	11	11	7	5	10	4	19	8	16	9	3	4	4	7	7	16	14	5	21	82	14	9	28	12	7	7	5	7	47	7	127	9	7	4	9	8	6	15	15	99	23	5	3	4	7	10	10	7	12	15	8	45	6	10	24	9	10	4	13	30	9	14	7	11	9	5	7	10	13	5	10	10	8	6	13	15	11	33	220	0	4	7	11	25	6	9	7	8	6	6	10	5	11	35	9	14	9	7	13	104	9	9	5	13	8	8	7	171	10	7	9	17	256	32	12	6	4	8	10	9	2	5
1:Del:C:3	3	4	0	46	4	3	5	12	4	8	11	14	2	40	3	6	5	89	4	1123	7	431	4	4	12	1	3	6	6	10	9	8	4	7	1	6	3	2	4	21	2	5	8	6	5	1	7	11	3	3	5	6	314	15	15	6	5	5	7	4	2	5	12	7	5	57	5	4	8	7	18	10	12	2	6	2	2	8	9	3	13	2	4	17	6	3	7	8	5	3	16	9	4	6	5	7	4	5	3	4	1	2	11	1	5	15	6	7	8	10	26	5	4	5	6	3	13	5	3	20	3	5	9	4	4	6	231	3	9	2	6	7	2	4	17	7	4	0	10	5	5	6	0	6	1	9	5	9	6	11	4	2	1	450	2	4	3	2	7	5	5	8	6	13	12	300	4	7	5	6	4	3	226	8	5	7	6	14	4	6	6	2	4	219	3	6	1	18	10	8	5	1	11	5	8	6	7	10	3	5	6	6	7	3	2	5	1	4	4	7	7	10	7	11	11	6	8	8	9	5	0	5	54	11	7	4	5	13	17	9	6	316	3	14	5	6	7	92	8	3	7	9	5	11	25	4	5	2	4	4	9	209	4	17	9	6	3	0	4	6	8	8	1	13	7	3	18	5	8	9	4	10	5	4	11	5	7	300	5	19	15	4	16	5	3	5	20	4	10	5	8	4	2	4	11	5	3	5	2	5	4	11	2	1	1	3	4	0	12	4	5	6	194	6	1	9	11	4	4	12	6	91	5	363	10	5	7	4	8	6	9	9	223	11	4	4	5	2	6	4	8	3	11	3	91	2	3	44	4	5	2	6	11	5	10	12	11	4	4	3	3	4	3	7	8	5	6	3	4	2	12	638	5	3	6	10	18	6	9	6	6	6	2	11	4	7	108	5	12	1	4	4	258	4	3	3	3	3	4	4	446	5	5	7	5	727	15	6	3	4	9	9	4	2	5
1:Del:C:4	2	1	6	138	3	6	1	5	0	4	4	6	3	76	2	4	10	218	4	1713	5	1033	4	3	6	3	6	1	3	3	5	2	7	3	4	3	1	2	4	14	5	4	2	3	3	0	2	5	4	3	6	2	689	11	7	5	1	0	6	1	4	1	9	5	1	134	0	4	2	1	5	3	11	5	2	1	3	7	5	2	10	3	5	16	1	2	7	4	2	3	3	6	1	9	7	3	4	5	5	3	6	2	1	3	10	16	2	4	5	5	23	8	8	2	5	6	7	3	1	9	2	0	2	1	2	3	708	1	6	2	5	6	1	1	8	5	2	4	2	4	1	2	2	7	1	4	4	12	3	7	1	2	4	1083	0	3	2	4	0	5	2	1	7	5	9	648	4	2	1	5	2	1	709	4	2	3	5	10	1	3	1	0	4	564	3	6	3	6	4	6	4	0	7	4	6	6	0	5	5	5	5	3	2	2	2	10	3	4	3	7	5	3	10	8	7	8	2	6	6	8	2	3	67	2	0	1	2	3	6	5	0	913	6	7	2	4	4	161	6	2	1	1	3	11	10	5	8	3	4	4	2	556	5	5	3	5	8	2	5	4	6	5	1	5	1	2	21	2	5	8	4	4	3	1	7	3	7	208	3	15	6	5	14	3	2	3	8	2	7	1	2	3	1	6	7	5	8	1	2	8	2	4	0	2	0	6	5	3	10	7	1	4	544	6	5	5	3	1	3	3	3	179	1	793	2	3	3	1	3	4	3	9	517	4	3	2	4	1	1	1	1	3	6	1	192	2	5	73	3	1	3	2	9	5	3	4	6	1	0	2	2	1	3	6	4	4	3	4	3	1	4	1387	1	4	2	3	14	5	4	5	3	0	1	2	2	3	207	3	3	2	0	7	613	6	2	1	6	4	2	2	1077	2	1	2	14	1627	15	4	3	3	7	9	4	4	5
1:Del:C:5	13	2	6	462	2	5	5	14	5	16	3	7	7	451	6	7	12	981	15	5077	4	3577	7	2	11	3	5	9	3	19	9	9	8	12	6	24	4	5	9	4	3	7	11	12	6	3	8	9	3	10	15	2	2051	15	5	2	2	6	10	4	4	9	14	16	3	727	4	8	2	2	7	2	7	7	3	2	9	9	8	7	6	5	12	25	5	5	6	9	5	7	9	5	3	4	3	26	4	4	3	0	3	1	3	3	20	15	0	3	1	4	36	11	18	5	12	6	8	7	11	8	6	10	11	3	6	23	2455	3	2	1	15	2	1	3	10	5	3	3	12	3	4	10	5	3	3	8	10	8	11	2	0	5	8	3501	5	3	2	8	5	2	8	4	5	4	9	1942	3	4	5	2	3	2	2435	8	6	9	9	7	10	9	14	8	7	1594	6	11	8	10	12	9	5	3	10	17	8	11	4	7	4	14	14	5	2	6	8	4	3	7	9	10	13	7	6	3	9	11	5	6	2	1	2	16	427	8	6	1	4	6	5	1	5	2706	3	9	4	6	4	818	14	8	6	9	7	15	5	12	14	5	7	18	5	1840	9	8	1	6	12	5	4	11	3	11	5	8	5	5	20	5	8	8	9	10	7	4	10	8	7	147	5	14	9	6	11	6	2	7	19	5	7	7	8	7	9	9	9	12	8	6	2	15	15	8	0	4	2	3	4	8	12	8	5	4	1673	9	7	7	8	2	9	6	16	997	9	2710	3	6	4	5	2	2	11	15	1575	10	8	2	13	6	5	1	5	11	39	5	1037	3	2	445	8	4	6	16	9	9	9	2	14	6	4	8	10	6	24	3	2	0	3	3	7	6	4	4386	2	4	6	17	41	10	8	8	2	4	3	26	2	5	714	3	4	6	4	4	1922	4	3	5	8	5	5	5	3740	3	5	6	37	5104	11	6	3	3	9	43	4	5	7
1:Del:T:0	19	31	32	28	17	19	8	45	18	26	56	82	22	101	17	33	24	62	29	401	31	232	41	12	29	10	18	18	25	29	49	42	22	21	27	15	16	12	17	65	23	22	21	10	14	27	21	22	26	18	29	13	212	34	32	14	16	14	31	11	14	23	25	32	25	87	15	19	14	19	18	30	45	16	15	20	13	47	49	16	28	14	15	64	19	22	12	45	13	20	41	28	10	27	19	22	22	21	13	23	20	14	24	10	31	30	28	21	18	45	114	33	31	13	32	33	36	18	19	59	16	24	37	17	18	18	225	20	46	3	19	15	12	14	41	27	24	17	25	11	16	26	15	17	19	30	16	31	20	19	32	19	9	247	15	12	8	11	13	17	17	21	22	22	21	205	16	25	45	13	27	14	197	28	12	29	25	31	16	17	20	24	9	111	24	33	14	80	22	24	28	23	51	33	57	30	20	25	12	28	35	17	14	18	18	24	14	22	18	41	18	14	33	18	25	34	13	29	22	27	9	22	132	58	17	19	22	46	49	54	12	212	17	24	16	27	25	80	39	28	19	21	15	32	111	22	26	24	17	17	16	140	19	24	19	20	20	21	18	27	33	41	15	35	21	13	58	17	24	23	28	44	15	9	23	15	28	186	25	42	35	22	88	12	16	19	58	18	21	25	32	19	18	14	22	17	25	32	9	16	16	37	16	18	18	20	18	16	38	34	17	78	135	13	13	42	17	15	20	26	22	93	16	142	16	20	15	16	20	21	28	40	103	45	17	21	22	13	24	25	18	23	39	24	100	32	17	109	23	18	7	28	42	10	32	19	21	19	18	9	11	14	19	34	21	15	21	24	17	24	65	314	8	20	26	30	40	37	16	17	18	17	10	31	13	18	55	17	30	10	20	42	129	17	19	17	21	12	24	13	278	16	14	26	50	385	37	12	14	17	23	35	22	13	29
1:Del:T:1	13	21	17	25	16	13	10	19	8	10	50	73	8	63	20	21	10	70	12	339	19	208	22	10	32	11	14	7	8	21	36	24	17	22	8	11	6	11	13	43	17	21	24	5	16	8	16	23	7	13	16	11	140	27	16	6	8	14	21	6	16	14	24	17	14	51	5	17	8	4	11	26	22	13	16	8	13	34	37	14	18	14	18	20	13	18	25	27	9	10	19	24	4	28	15	17	19	6	17	9	22	9	15	21	24	21	22	18	12	30	71	13	17	13	15	12	33	7	14	36	12	13	24	15	15	18	161	17	33	6	13	7	8	10	35	22	10	12	19	24	23	12	11	19	7	18	18	35	11	12	13	10	11	223	5	2	6	10	9	13	15	19	10	18	12	139	9	13	39	8	12	8	156	15	9	21	23	15	15	16	6	11	9	83	15	19	10	47	20	16	18	10	48	7	40	14	12	17	15	8	7	19	11	8	14	7	13	20	19	21	10	13	24	18	12	17	9	15	12	17	11	13	61	33	15	10	9	54	37	43	10	201	10	15	6	19	8	62	18	13	18	16	21	24	66	9	18	8	10	15	6	103	8	15	11	15	12	11	16	16	14	35	11	11	8	7	32	15	17	20	16	36	17	8	24	16	27	178	13	13	22	14	39	16	5	17	50	12	21	15	7	11	27	11	15	17	15	14	5	17	12	22	12	3	10	7	8	6	14	27	16	38	94	14	11	20	12	11	6	16	8	82	9	158	17	13	17	8	7	10	15	20	122	34	13	9	15	11	13	14	14	12	20	21	91	16	5	68	8	9	10	15	17	10	15	12	18	12	16	8	18	13	18	13	31	26	21	20	9	11	45	247	3	7	17	18	20	17	14	21	13	13	11	22	11	12	43	9	14	12	12	24	123	13	8	5	10	15	18	8	196	14	12	8	29	301	17	19	10	5	20	28	12	9	11
1:Del:T:2	12	24	26	47	13	14	13	27	15	25	42	37	15	64	9	24	18	96	13	509	27	330	20	10	22	12	16	13	10	20	36	18	17	8	23	14	17	12	14	60	21	22	15	6	16	16	9	26	7	12	30	13	256	35	25	14	16	13	32	12	15	17	23	21	13	74	7	28	21	5	23	36	48	23	18	8	10	22	35	14	21	10	18	47	12	17	24	25	14	10	39	20	9	21	25	19	17	12	17	18	23	2	17	17	20	43	35	23	13	28	124	25	28	15	15	20	32	8	10	43	15	16	24	17	14	23	255	25	30	9	19	9	9	13	25	15	16	9	24	19	13	10	10	20	12	17	6	29	17	20	18	11	14	342	10	7	6	8	9	9	12	17	16	16	25	239	8	18	31	9	13	11	242	14	11	16	22	37	14	18	6	26	8	129	16	17	11	52	28	28	11	12	52	11	35	18	26	16	12	8	18	18	13	21	9	24	7	26	15	24	17	7	29	25	24	22	14	19	19	19	8	26	109	41	18	11	25	23	35	44	11	267	17	41	9	15	10	82	17	19	8	13	22	38	66	16	23	16	19	14	14	175	11	10	9	17	9	13	15	15	23	27	4	21	28	7	41	13	27	27	11	40	24	15	22	25	31	118	19	42	37	17	70	20	6	16	52	8	14	16	9	13	29	16	24	25	9	24	13	18	14	28	14	6	9	9	10	25	24	19	16	45	128	17	15	39	19	12	15	26	10	101	13	232	14	8	9	17	13	13	36	25	161	46	15	10	12	13	15	9	16	12	40	18	100	15	15	56	7	14	10	15	26	13	35	13	29	17	17	12	16	9	10	18	16	15	29	19	22	17	33	386	3	7	15	22	37	22	18	17	11	12	14	20	6	16	83	12	23	15	11	24	182	11	8	7	9	13	7	7	293	11	20	22	32	425	49	22	16	4	16	28	10	8	15
1:Del:T:3	13	11	19	196	10	12	10	29	12	21	32	30	8	131	14	19	24	240	24	1635	45	1298	27	10	22	3	22	21	11	30	24	18	16	16	30	11	11	13	15	73	15	23	28	8	20	10	13	34	19	14	29	16	1030	36	33	12	17	6	32	12	14	15	23	20	13	234	10	19	11	7	17	29	56	18	20	8	13	22	23	10	47	9	22	60	18	8	18	19	14	11	38	14	5	25	16	26	19	18	17	17	21	5	18	8	24	78	27	17	12	22	142	12	31	10	32	28	45	12	13	33	9	16	23	20	9	12	895	17	25	4	17	13	6	20	22	21	24	11	26	14	17	16	12	27	12	24	11	19	8	16	20	10	11	1334	9	5	14	3	4	15	13	18	18	16	26	950	18	20	32	9	12	11	903	16	16	19	21	30	15	11	11	17	12	559	19	32	9	44	18	25	22	7	27	22	33	13	23	30	16	19	7	12	12	18	15	15	12	16	15	28	19	10	39	19	25	19	12	22	17	24	6	17	249	20	16	10	19	25	20	34	5	1051	12	25	10	23	21	302	32	20	16	16	17	41	60	15	20	19	5	18	10	614	6	16	9	15	17	19	15	24	29	32	6	28	38	6	76	13	24	25	9	23	10	8	27	12	37	122	24	28	28	23	111	9	6	9	54	10	23	23	15	8	23	6	28	16	13	18	17	20	22	31	10	17	5	14	26	16	22	12	9	20	502	28	11	25	23	10	14	19	11	296	16	794	10	16	21	11	12	9	39	34	621	63	11	12	27	7	20	14	20	21	32	10	301	19	9	115	10	17	3	18	41	14	35	9	32	18	17	19	11	11	24	24	21	19	17	13	5	13	19	1446	5	7	20	29	45	17	22	16	8	12	11	29	6	12	257	17	23	17	28	20	677	17	18	11	11	12	14	10	1022	11	16	18	42	1780	55	19	21	10	30	30	9	3	29
