MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016
1:Del:C:0	6	12	7	24	22	3	5	15	12	21	12	18	36	20	7	8	6	13	11	20
1:Del:C:1	6	5	7	7	12	3	9	8	5	6	6	6	16	8	5	7	5	3	5	7
1:Del:C:2	1	1	5	9	1	1	5	4	5	6	2	3	3	2	1	2	1	0	2	1
1:Del:C:3	1	3	3	1	3	2	1	2	4	3	3	2	3	4	0	2	0	2	3	1
1:Del:C:4	1	1	1	1	5	2	2	1	3	1	1	1	1	1	1	4	2	2	0	3
1:Del:C:5	5	1	2	6	1	2	2	1	3	0	1	0	4	4	1	4	0	3	6	1
1:Del:T:0	8	6	2	8	3	7	4	10	7	6	8	5	6	12	11	5	3	9	6	5
1:Del:T:1	3	5	6	5	2	1	4	4	5	2	5	4	7	10	4	4	1	9	2	2
1:Del:T:2	9	3	4	7	2	3	7	7	6	3	5	2	5	7	1	3	7	4	4	7
1:Del:T:3	3	5	9	4	6	7	6	7	7	4	3	6	6	13	4	3	6	4	2	2
1:Del:T:4	3	3	10	7	8	1	9	3	15	3	4	7	10	12	9	6	3	8	5	4
1:Del:T:5	43	40	107	57	33	30	109	14	92	40	42	23	35	91	34	20	14	59	35	19
1:Ins:C:0	4	3	3	3	3	3	3	0	3	1	2	2	2	2	0	1	0	0	1	1
1:Ins:C:1	0	0	2	1	0	0	0	0	1	2	1	0	4	4	1	1	2	1	0	2
1:Ins:C:2	0	0	0	0	0	2	0	4	1	0	3	2	0	2	2	0	1	0	0	0
1:Ins:C:3	0	1	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0
1:Ins:C:4	0	1	1	1	1	0	2	1	1	0	1	0	0	0	2	2	0	4	2	2
1:Ins:C:5	10	5	4	8	8	4	4	4	5	7	3	7	4	9	6	4	0	6	2	5
1:Ins:T:0	3	2	0	2	0	1	0	0	2	1	2	4	3	2	0	1	1	0	1	0
1:Ins:T:1	1	6	2	5	4	1	4	7	1	1	5	6	12	13	2	1	1	6	7	7
1:Ins:T:2	4	1	2	1	0	1	4	3	2	3	2	4	5	5	0	3	1	4	0	2
1:Ins:T:3	1	4	2	3	2	0	2	2	0	0	3	2	7	5	2	4	0	3	0	1
1:Ins:T:4	3	1	1	2	1	6	3	1	5	2	2	4	4	7	5	1	1	1	1	0
1:Ins:T:5	190	151	81	138	88	64	110	75	211	128	167	86	128	203	72	120	48	70	88	130
2:Del:R:0	2	3	4	1	3	2	3	2	6	1	6	4	10	8	0	3	2	6	5	3
2:Del:R:1	8	8	6	12	10	1	10	7	13	5	8	6	13	10	1	3	4	7	8	5
2:Del:R:2	0	3	3	2	1	3	2	5	5	0	0	2	7	4	0	3	1	5	0	1
2:Del:R:3	0	2	0	0	0	0	1	2	1	0	0	0	3	0	0	1	0	2	0	0
2:Del:R:4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
2:Del:R:5	1	0	2	5	0	0	2	2	0	3	3	2	2	1	6	5	0	0	1	0
3:Del:R:0	0	0	2	0	0	0	2	5	2	1	1	1	0	2	0	1	0	1	0	3
3:Del:R:1	7	9	8	6	4	3	4	9	15	2	7	3	11	9	2	4	3	8	6	3
3:Del:R:2	2	1	1	3	1	1	1	1	6	1	1	0	0	3	1	2	1	1	1	1
3:Del:R:3	0	0	0	0	2	0	1	0	2	0	1	2	1	1	1	1	2	1	0	0
3:Del:R:4	1	0	1	0	0	1	1	0	3	0	2	1	3	0	3	2	0	0	0	0
3:Del:R:5	1	0	2	0	1	0	1	6	2	0	1	1	3	2	3	6	3	0	1	1
4:Del:R:0	0	2	1	0	0	0	2	2	1	2	1	0	1	2	0	1	0	0	0	0
4:Del:R:1	2	4	6	7	3	1	1	5	4	4	4	3	2	7	0	7	3	5	4	3
4:Del:R:2	1	1	0	0	0	1	1	0	2	2	1	0	2	1	0	0	1	2	1	0
4:Del:R:3	2	0	1	1	0	0	0	0	0	0	1	1	6	0	3	2	0	0	0	1
4:Del:R:4	1	1	0	1	0	4	0	1	1	0	4	1	0	0	2	2	1	0	1	0
4:Del:R:5	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0
5:Del:R:0	7	5	6	10	5	5	3	10	24	7	14	7	17	15	1	9	8	4	4	8
5:Del:R:1	1	1	1	2	2	1	2	1	5	3	2	2	1	2	1	3	0	2	3	6
5:Del:R:2	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
