MutationType	SP109953	SP107650	SP13206	SP13078	SP107607	SP109941	SP109801	SP13072	SP107595	SP107640	SP13084	SP107603	SP109957	SP114020	SP96540	SP114032	SP107624	SP107575	SP13242	SP114016
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2:Ins:R:0	1	1	1	2	1	1	1	2	4	0	1	1	8	3	2	3	0	1	0	2
2:Ins:R:1	1	2	1	4	2	1	1	5	2	1	1	0	8	4	2	2	0	1	3	1
2:Ins:R:2	1	1	1	2	3	2	1	2	1	0	0	0	2	4	0	1	1	0	1	0
2:Ins:R:3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
2:Ins:R:4	1	1	2	2	0	0	2	0	4	3	3	0	1	4	3	1	0	0	0	0
2:Ins:R:5	5	8	3	6	8	7	6	2	9	3	4	5	5	3	4	3	0	1	5	5
3:Ins:R:0	0	0	3	2	5	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1
3:Ins:R:1	4	2	1	2	2	0	1	3	2	0	1	1	6	7	1	2	0	0	1	3
3:Ins:R:2	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
3:Ins:R:5	0	0	1	0	1	0	1	0	1	0	3	0	1	1	1	1	0	0	0	1
4:Ins:R:0	0	0	0	0	2	1	2	0	2	0	1	0	2	2	0	0	0	0	0	0
4:Ins:R:1	3	0	2	1	1	0	3	2	3	1	0	4	10	4	1	2	0	3	0	2
4:Ins:R:2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:4	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
4:Ins:R:5	2	0	1	0	0	1	0	0	0	0	1	0	2	1	0	1	0	0	0	1
5:Ins:R:0	2	1	1	0	0	2	2	2	4	0	0	1	6	7	1	2	1	1	2	1
5:Ins:R:1	6	8	2	5	5	2	4	14	13	5	8	6	44	39	4	3	1	0	5	3
5:Ins:R:2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5:Ins:R:3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
5:Ins:R:4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
2:Del:M:1	1	6	4	5	2	7	7	5	6	1	7	4	7	9	4	3	4	6	9	4
3:Del:M:1	0	0	1	2	1	0	0	3	7	1	1	0	3	0	1	2	3	2	1	2
3:Del:M:2	4	1	5	1	5	1	5	2	11	1	2	2	8	11	1	6	3	7	3	2
4:Del:M:1	0	0	0	3	0	0	0	2	2	1	0	2	5	1	0	0	1	5	0	2
4:Del:M:2	0	1	1	2	5	3	2	3	4	1	3	0	4	2	0	1	0	3	1	1
4:Del:M:3	2	4	2	2	3	0	2	3	6	1	4	1	7	5	3	2	2	2	3	3
5:Del:M:1	4	6	6	11	7	5	4	11	31	3	8	9	12	14	1	4	3	14	3	7
5:Del:M:2	5	4	5	6	9	4	6	7	39	2	6	2	8	10	0	3	6	3	5	6
5:Del:M:3	3	2	3	4	8	2	2	5	32	1	8	3	4	8	1	2	4	5	2	3
5:Del:M:4	1	1	4	4	3	0	2	2	22	1	2	2	2	3	2	1	0	0	1	2
5:Del:M:5	4	1	1	2	2	4	4	4	16	3	7	4	4	1	1	1	3	3	3	1
