MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
1:Del:T:4	1060	1882	10435	1978	3369	13826	1691	16	6	6	9	15	9	11	6	8	9	1146	24	17	6	4	2	8	5	2380	14	12	35	17	10	11	14	12	2	696	130	14	8	12	18	7	34	12	13	534	11	27	674	28	19	8	16	13	4	22	23	29	475	10	6	14	13	21	47	1782	12	27	4	9	7	5	5	4	10	828	9	16	2	21	29	14	17	2	12	46	11	16	8	2	594	16	12	8	21	7	22	43	16	13	1871	5	7	6	11	6	6	11	23	7	7	7	6	14	16	3138	20	18	2515	6	1721	23
1:Del:T:5	16314	33571	56596	35706	63020	58937	31931	44	48	41	38	42	133	95	38	97	20	22000	177	49	35	27	32	19	51	33911	28	30	75	55	69	97	38	29	59	9344	480	82	66	37	40	49	166	105	34	7528	79	149	7387	141	134	124	67	264	23	343	110	287	9429	140	34	107	46	192	698	32841	140	195	54	72	73	75	78	39	51	14994	96	35	66	149	281	46	83	6	83	116	202	52	29	9	13592	33	339	34	57	29	153	106	214	132	35307	27	65	52	31	64	42	53	154	146	93	37	48	78	145	59876	74	100	49004	152	26087	206
1:Ins:C:0	12	50	43	45	59	47	42	0	2	2	2	2	3	0	3	4	6	249	2	5	3	3	1	2	2	127	4	2	4	3	4	4	1	1	1	29	88	4	5	3	3	2	2	0	2	10	4	5	6	12	4	6	6	9	70	1	4	10	20	3	2	3	1	19	9	38	1	7	4	1	2	4	2	3	6	22	1	1	12	4	4	5	7	0	5	17	6	9	0	2	31	20	4	3	6	4	72	20	5	2	37	9	7	5	1	6	1	9	5	4	4	2	5	6	4	64	4	7	109	3	32	14
1:Ins:C:1	1	18	21	8	15	16	7	2	0	3	0	2	0	0	0	0	2	53	0	3	2	3	3	2	2	20	2	0	1	5	2	2	1	2	1	4	9	7	3	1	2	1	2	0	1	8	4	0	4	1	0	2	0	5	16	1	2	1	12	3	1	0	1	4	4	17	1	6	8	1	3	4	4	2	4	8	1	4	5	2	3	7	2	1	5	6	6	6	2	4	13	16	5	8	4	5	25	6	5	2	17	1	5	2	2	2	3	0	5	1	1	6	1	1	6	21	5	3	34	0	15	5
1:Ins:C:2	2	13	17	2	13	27	8	0	0	1	0	3	0	1	1	0	0	40	1	1	0	0	1	0	0	14	0	1	3	3	0	2	1	0	1	7	3	4	1	2	1	1	3	0	0	3	1	2	1	4	1	1	1	0	3	1	3	4	6	1	0	3	1	1	1	10	1	5	3	1	0	1	5	1	3	0	0	2	1	1	4	2	1	0	0	6	2	5	0	3	3	3	2	1	2	2	6	6	1	3	13	1	0	3	1	5	3	1	10	4	3	1	4	2	2	12	3	4	16	1	18	3
1:Ins:C:3	12	28	37	14	28	51	31	4	3	2	0	1	0	0	0	1	1	101	0	2	1	1	0	0	0	30	1	1	1	0	1	0	0	1	0	6	2	2	0	0	0	1	0	0	0	8	1	0	8	0	2	0	2	3	6	2	1	3	4	3	1	3	7	2	2	28	3	4	4	1	1	1	2	0	1	11	1	2	2	3	2	0	1	3	4	1	2	2	1	7	8	5	2	2	2	3	11	1	1	2	18	0	0	0	2	1	0	2	3	2	0	1	1	0	3	37	2	1	36	2	31	5
1:Ins:C:4	76	129	125	119	211	145	146	2	0	1	2	0	0	2	0	0	0	493	2	1	2	0	0	1	1	237	0	1	2	0	0	3	0	0	1	30	3	2	2	1	2	0	0	0	0	50	0	2	43	1	0	1	2	4	4	3	3	3	35	1	4	0	3	1	2	89	1	4	2	6	2	3	3	1	1	38	1	4	0	0	3	2	2	0	3	2	10	4	0	16	32	3	4	3	1	2	4	2	3	3	122	0	0	0	1	1	2	3	1	2	1	1	1	4	3	127	5	3	230	2	164	2
1:Ins:C:5	445	795	1009	589	942	972	617	13	4	2	13	10	3	6	7	1	8	2159	4	5	1	3	4	4	5	1172	2	3	4	10	7	10	9	6	6	252	19	1	4	4	3	5	2	6	1	243	3	4	178	6	6	5	15	17	17	12	6	9	201	11	7	14	6	17	17	479	9	19	20	11	24	14	12	6	11	341	5	3	6	11	20	5	5	5	4	9	11	7	5	29	247	2	13	8	4	9	28	11	10	14	567	14	2	6	9	3	5	13	8	21	13	3	8	3	12	643	11	10	1172	14	601	16
1:Ins:T:0	32	55	142	44	72	296	41	1	0	3	2	3	1	1	2	3	8	159	2	2	4	4	0	3	1	103	1	5	2	3	1	2	6	6	2	21	39	10	1	2	7	1	1	4	2	6	0	5	10	4	2	2	6	8	26	10	7	10	33	6	7	9	6	9	15	74	9	14	21	4	7	3	0	3	11	35	9	4	5	6	20	3	8	5	6	30	7	12	5	5	33	21	14	8	9	6	46	26	5	11	89	7	6	5	0	6	2	12	21	10	4	10	8	4	11	115	16	23	191	9	85	20
1:Ins:T:1	20	34	87	28	38	122	23	11	11	8	11	6	10	2	5	5	6	109	9	4	12	3	6	2	5	55	4	6	8	8	7	3	8	6	6	24	13	3	8	6	9	8	4	6	2	20	7	14	9	19	6	4	15	5	9	8	16	9	14	8	8	15	12	17	17	32	10	47	48	4	8	7	6	4	19	33	12	7	1	13	16	10	10	4	8	27	9	17	9	6	25	15	21	16	5	10	16	26	11	6	43	15	7	7	8	6	8	19	20	10	9	15	7	4	25	53	15	78	73	8	36	48
1:Ins:T:2	110	166	193	60	170	233	127	5	10	8	2	3	6	2	0	1	3	590	6	5	2	1	4	2	1	159	3	2	7	6	6	5	5	1	6	83	13	0	6	1	6	1	1	4	3	92	2	1	63	7	3	6	4	5	12	15	10	6	28	7	3	10	9	4	9	200	8	29	49	4	6	6	5	4	12	40	5	5	6	4	15	4	10	1	5	15	7	9	1	1	36	6	14	6	5	4	8	14	5	11	123	9	3	3	7	4	1	16	10	5	3	6	4	7	21	133	14	57	248	2	170	24
1:Ins:T:3	77	111	250	48	123	323	89	4	3	4	6	3	4	2	1	2	4	334	2	2	4	1	4	2	4	123	3	4	4	7	2	3	5	4	6	61	25	1	3	4	5	5	7	5	4	39	3	1	33	2	5	2	3	4	5	8	8	4	15	6	1	7	7	10	11	116	5	17	19	7	6	1	2	1	8	28	5	1	3	8	5	5	8	3	5	6	7	4	2	5	35	7	9	12	4	3	9	6	5	8	84	11	2	0	5	3	2	7	5	8	7	11	8	3	15	90	5	32	163	2	108	11
1:Ins:T:4	105	196	1173	132	283	1664	167	11	2	4	3	7	3	3	0	4	11	651	3	1	2	1	2	2	6	303	1	0	2	1	4	7	2	2	2	134	97	1	6	3	1	9	6	1	4	49	4	3	52	4	2	4	6	4	0	6	6	6	44	4	3	5	7	8	13	219	8	9	12	6	9	3	7	2	7	56	3	1	5	11	6	0	4	3	1	7	7	5	3	3	67	2	21	4	1	2	10	7	2	5	151	12	2	4	5	0	4	10	3	4	1	4	4	6	6	145	5	14	270	3	178	8
1:Ins:T:5	5830	10014	41961	5700	12701	33262	7871	162	153	99	72	135	114	134	96	88	195	28573	84	125	85	53	119	50	153	13120	61	86	117	100	188	187	96	86	125	4040	2163	51	134	145	97	272	112	95	71	3118	110	145	1924	92	106	123	412	240	56	174	174	185	1789	143	95	227	71	350	479	7498	196	419	188	214	419	174	219	129	143	2904	136	50	153	196	459	138	178	41	100	265	374	168	82	39	3218	42	440	143	91	128	199	267	240	331	6308	273	56	134	54	100	77	170	202	526	182	151	75	99	138	5875	123	118	13273	225	5880	202
2:Del:R:0	25	79	73	47	148	65	74	8	4	8	4	5	3	4	3	7	3	62	9	6	7	0	7	3	0	87	8	1	11	14	6	5	6	7	5	33	6	4	3	6	4	8	9	12	5	25	12	12	14	15	13	7	5	21	4	14	6	13	41	9	6	5	12	13	9	126	16	19	16	5	4	4	4	2	8	44	14	6	5	11	10	7	12	1	4	22	6	19	2	4	45	17	8	10	14	9	10	24	6	19	110	9	4	6	8	7	8	4	23	11	8	11	14	7	29	222	20	11	265	3	81	10
2:Del:R:1	88	149	148	142	401	123	194	19	7	14	10	8	11	10	8	10	6	83	18	13	2	7	6	6	6	147	4	9	12	16	12	7	13	11	13	117	22	10	6	8	7	5	14	20	11	82	22	19	73	19	19	9	14	29	8	10	18	28	61	5	7	18	14	18	8	165	12	28	9	6	12	10	11	11	11	45	10	4	8	28	27	3	23	4	13	29	18	8	9	3	70	16	17	14	17	10	27	29	15	14	154	13	4	6	9	6	10	11	19	19	8	14	15	7	26	317	9	13	278	9	118	14
2:Del:R:2	44	95	96	73	227	137	100	3	4	1	5	3	4	3	5	3	2	40	5	3	2	2	2	0	1	103	2	4	6	6	3	3	5	4	2	44	4	3	2	2	3	1	8	4	3	29	6	5	29	3	3	2	6	7	1	7	3	15	27	4	1	9	2	8	5	90	2	4	4	1	7	0	1	1	3	36	1	1	5	5	7	3	7	2	3	7	3	4	1	3	44	7	7	2	1	4	8	6	1	7	105	1	2	4	2	3	1	4	7	5	1	3	1	1	8	242	2	7	179	0	76	2
2:Del:R:3	144	370	479	394	1184	560	338	3	0	2	1	1	0	0	1	0	0	185	3	1	1	1	1	0	3	341	0	1	1	1	0	1	1	0	1	89	3	1	2	0	1	0	1	3	0	63	0	1	71	0	1	2	3	1	0	4	2	3	69	0	3	1	0	2	4	499	1	3	0	0	2	2	0	2	1	133	1	1	1	1	2	2	3	1	2	6	1	4	0	2	123	2	2	2	0	4	1	5	1	0	564	1	1	0	1	2	1	1	6	1	1	2	2	2	1	916	3	0	698	0	364	0
2:Del:R:4	168	275	356	248	604	315	233	0	1	0	0	0	0	0	1	0	0	103	0	0	1	0	0	1	1	240	1	0	0	0	1	1	0	1	0	128	0	1	1	1	0	2	2	1	0	85	2	0	78	0	0	2	1	2	0	4	0	2	69	3	0	0	1	3	2	322	1	2	1	2	0	0	1	1	0	111	0	1	1	4	5	1	4	0	3	3	0	1	1	0	141	0	4	0	0	0	5	3	1	2	234	0	0	0	0	0	2	0	1	1	0	1	0	0	0	920	1	0	491	0	281	0
2:Del:R:5	291	650	618	527	1387	460	550	2	1	5	0	1	3	1	0	0	3	173	1	3	6	1	0	1	2	384	0	0	1	1	1	8	3	0	2	240	2	0	0	1	2	2	2	1	3	156	0	0	103	4	2	2	0	10	1	8	1	4	263	4	0	7	1	4	7	763	3	2	0	3	2	2	3	2	3	354	2	3	1	5	5	2	1	2	4	14	4	7	3	2	394	7	4	2	2	1	3	7	3	5	794	4	2	3	2	2	2	2	3	0	0	1	1	0	4	2738	6	6	1588	3	851	2
3:Del:R:0	6	12	4	12	33	12	11	1	0	1	3	1	1	1	2	2	1	6	4	5	2	2	1	0	1	11	2	1	6	4	1	1	6	3	0	3	4	3	2	0	3	5	2	1	5	2	2	6	2	2	1	1	3	2	1	2	5	14	10	2	1	4	8	5	3	42	5	8	1	1	2	3	2	1	7	16	2	3	2	2	8	2	3	1	2	12	3	6	2	2	7	6	5	3	6	9	3	12	2	11	53	2	0	3	3	2	2	3	11	5	1	3	6	3	16	67	14	16	66	2	24	0
3:Del:R:1	96	156	139	136	409	119	162	10	8	17	7	8	2	8	11	9	6	54	29	8	4	4	8	6	11	138	13	9	20	19	8	10	4	3	16	113	11	12	15	6	10	5	7	18	7	71	9	25	79	25	17	3	23	19	5	14	13	12	37	3	12	10	8	14	9	153	10	20	15	6	13	7	14	3	17	55	8	0	11	19	21	6	22	4	13	21	22	10	7	4	70	3	21	6	17	7	14	19	11	6	127	7	4	14	8	6	4	11	17	26	9	6	14	6	26	254	9	10	208	9	100	15
3:Del:R:2	25	41	42	53	145	50	50	2	2	1	1	2	1	3	2	1	2	16	4	2	2	0	1	2	0	52	6	1	4	0	1	4	2	3	2	33	2	4	0	0	0	1	3	7	0	33	2	1	32	2	7	0	4	3	1	2	4	2	14	2	3	2	2	1	1	44	4	2	1	2	5	4	2	2	1	16	2	2	1	3	5	1	11	1	1	6	7	4	2	1	24	2	7	0	2	3	3	6	2	2	58	0	1	3	2	1	2	1	3	7	1	0	5	4	5	138	2	0	95	2	36	2
3:Del:R:3	16	22	16	15	43	19	14	0	0	1	0	0	1	0	1	1	1	8	1	0	2	0	0	1	0	29	0	0	0	0	2	1	1	0	1	5	1	0	0	0	0	1	0	0	2	12	0	4	6	1	0	0	2	2	1	0	0	1	6	0	0	3	1	2	2	19	2	1	1	0	1	1	1	0	1	6	3	0	2	2	2	1	4	1	3	2	0	1	0	1	11	0	2	2	1	0	2	3	1	1	17	0	0	2	0	1	0	0	1	3	0	2	0	0	1	57	0	0	40	2	31	1
3:Del:R:4	12	17	19	14	41	14	17	2	1	3	1	0	0	0	0	0	0	2	0	4	0	1	0	0	1	10	1	2	0	0	1	1	6	1	0	9	0	0	0	0	0	1	0	1	3	5	0	0	5	4	2	0	1	0	0	1	0	0	2	0	0	1	0	1	1	12	0	0	0	0	0	0	0	1	0	8	1	0	1	0	1	0	0	0	0	1	1	1	1	0	5	0	3	0	0	1	0	2	0	0	10	1	1	0	0	0	0	2	0	0	0	0	0	0	1	60	1	1	29	0	16	1
3:Del:R:5	11	36	31	27	66	16	42	1	0	1	1	0	0	2	0	1	1	8	3	4	2	0	0	1	0	32	0	0	1	0	0	1	8	0	0	11	1	0	0	0	2	1	1	0	2	5	0	1	6	4	2	0	0	3	0	0	0	1	11	0	0	0	0	1	1	34	0	0	0	0	0	0	0	0	0	13	0	0	1	2	1	1	1	0	0	0	0	0	0	0	22	1	0	0	0	0	0	0	0	1	22	1	0	0	0	0	0	0	0	1	0	0	0	2	1	129	0	0	68	0	38	0
4:Del:R:0	3	3	9	7	14	8	5	3	2	4	3	1	2	0	1	1	0	5	1	2	1	1	4	1	1	6	1	1	2	3	2	1	1	2	2	3	3	3	1	3	2	0	1	0	0	5	1	3	1	2	1	0	1	2	1	2	3	5	5	2	3	2	4	5	4	13	4	16	6	2	1	5	5	2	7	9	4	1	0	2	4	3	5	2	3	15	0	3	1	3	6	5	4	1	6	11	6	14	2	6	17	1	3	1	5	3	1	3	10	2	0	1	10	0	10	26	5	13	21	0	12	5
4:Del:R:1	33	65	64	56	166	43	73	12	6	7	6	4	4	4	5	9	4	28	23	5	7	5	3	5	7	66	6	2	20	8	5	5	6	2	5	45	12	2	11	8	1	8	11	12	7	33	9	7	30	13	15	1	6	7	2	12	8	12	21	6	3	10	5	9	7	67	10	11	4	7	7	10	3	4	21	17	6	7	5	19	12	7	19	4	7	15	9	6	4	4	24	8	7	4	7	5	15	15	3	8	77	7	8	2	3	3	5	5	16	3	3	4	5	3	9	129	6	2	119	6	41	9
4:Del:R:2	11	22	24	18	50	16	19	1	2	4	5	2	2	1	2	3	1	7	5	0	2	3	2	1	3	26	1	2	0	2	0	2	2	1	0	11	3	0	1	2	0	1	3	1	2	8	1	4	6	5	1	0	7	1	2	5	2	4	12	0	1	0	2	4	3	30	3	2	1	2	2	1	1	2	2	10	3	0	3	2	2	2	5	1	1	6	6	3	3	1	8	1	5	3	3	1	2	9	1	2	25	1	1	4	1	2	1	5	4	5	3	4	2	1	6	93	1	0	87	2	17	3
4:Del:R:3	9	13	13	14	32	14	12	4	1	3	0	0	0	1	1	1	0	1	4	2	1	1	1	1	0	15	0	2	1	0	0	0	7	1	0	11	0	0	2	0	0	0	1	0	1	4	1	3	6	3	2	0	2	4	0	1	1	1	10	1	0	0	0	1	1	26	0	2	0	0	0	1	1	0	2	6	0	0	1	1	2	0	4	0	4	4	0	0	0	0	7	0	2	0	1	2	1	3	1	1	32	1	1	1	0	1	0	0	1	4	0	0	1	1	1	108	1	1	97	1	24	2
4:Del:R:4	7	16	15	12	19	7	10	1	0	5	2	0	1	1	0	0	0	3	0	5	0	1	0	0	0	13	0	0	0	0	2	2	0	0	0	3	0	0	0	0	1	0	1	1	1	4	0	0	1	3	0	0	0	1	0	1	0	0	3	0	0	1	0	1	0	7	1	0	0	0	0	0	0	1	0	6	1	1	0	2	0	0	1	0	2	2	0	0	0	0	8	0	0	0	0	1	1	2	0	1	5	2	1	0	0	3	0	1	1	0	1	0	0	1	0	39	1	0	33	0	11	1
4:Del:R:5	5	15	13	21	34	6	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	16	0	0	1	0	0	1	2	0	0	2	0	1	0	0	0	0	0	0	1	5	0	0	3	1	0	0	0	0	0	0	0	0	11	1	0	0	1	2	0	24	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	1	0	0	23	1	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	61	1	26	0
5:Del:R:0	7	12	11	20	23	14	7	13	10	15	10	15	10	11	10	8	7	30	11	13	14	7	9	13	8	17	11	7	17	45	4	6	20	8	4	7	14	98	9	19	18	8	15	21	11	15	14	22	17	21	17	8	22	38	6	14	24	89	22	19	15	59	69	22	27	137	24	93	35	19	29	22	34	16	18	40	6	25	12	23	27	46	21	20	34	186	25	28	34	16	27	16	27	29	84	47	10	198	17	36	23	22	6	18	53	40	18	18	70	20	12	23	43	7	79	42	63	78	56	8	19	9
5:Del:R:1	6	12	9	5	22	12	10	1	6	2	2	5	3	0	3	2	2	9	9	2	1	3	1	3	2	14	0	1	3	5	0	2	3	2	2	10	6	5	0	0	4	2	5	5	1	4	4	1	8	8	3	3	4	7	1	17	4	6	13	4	2	11	2	4	8	20	2	6	5	1	2	2	5	0	4	9	1	6	4	8	7	2	6	2	4	14	6	5	3	1	13	6	9	4	5	2	7	14	4	4	12	1	2	2	2	5	1	6	6	1	2	5	1	4	11	49	2	5	45	1	12	3
5:Del:R:2	2	5	5	1	14	9	12	0	0	1	1	0	0	1	0	0	0	7	0	0	0	0	0	1	0	10	0	1	0	1	1	0	2	0	0	1	0	1	0	0	0	1	0	0	0	4	1	1	0	1	2	0	1	2	1	5	1	1	4	1	1	2	0	2	2	5	2	1	1	0	0	0	2	1	3	6	1	0	0	1	2	1	3	0	3	3	1	6	0	0	4	0	4	0	0	1	1	3	1	0	4	0	1	1	1	2	0	1	0	2	1	1	0	0	0	21	3	1	19	0	9	0
5:Del:R:3	0	13	2	6	12	4	9	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	1	1	0	2	0	0	0	0	0	4	0	0	2	1	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	2	0	2	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	3	1	0	1	0	0	2	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	15	0	1	16	0	9	0
5:Del:R:4	2	3	1	7	5	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	0	4	0
