MutationType	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94588	SP90725	SP94236	SP93772	SP92195	SP89957	SP92268	SP92707	SP89687	SP90269	SP94933	SP95126	SP95646	SP89443	SP89651	SP94060	SP92787	SP92723	SP92364	SP95406	SP91746	SP92332	SP91730	SP92947	SP91666	SP90245	SP90893	SP89519	SP94917	SP92659	SP94332	SP94661	SP93652	SP90125	SP94540	SP95222	SP89389	SP90503	SP92460	SP92931	SP91265	SP89909	SP90629	SP95550	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
1:Del:C:0	38	81	106	88	127	127	84	20	12	37	15	27	15	12	11	34	15	85	58	33	25	19	17	16	15	87	10	11	71	64	12	32	39	37	8	70	44	41	23	10	31	9	53	27	10	29	18	46	38	106	31	16	17	23	12	32	51	50	74	16	19	49	31	30	38	182	55	69	61	12	25	11	10	11	30	65	29	29	87	36	37	39	46	13	32	114	29	54	26	14	69	41	48	36	54	25	43	117	66	31	222	37	11	11	25	35	17	25	61	7	12	33	71	19	71	368	46	55	378	15	113	52
1:Del:C:1	26	63	98	29	73	197	50	13	8	21	11	17	11	7	7	19	9	39	22	18	7	8	11	10	10	41	8	9	16	20	10	8	14	22	9	38	21	17	18	12	10	8	12	15	15	22	12	22	15	34	13	5	11	15	8	11	31	16	29	7	10	25	20	21	19	70	14	53	26	8	17	11	4	16	21	39	16	28	22	12	22	17	24	7	5	45	21	34	10	8	38	40	15	15	21	16	14	46	20	26	94	25	6	3	14	12	6	26	40	10	9	17	22	10	42	106	37	30	154	6	62	33
1:Del:C:2	33	81	106	58	103	197	83	3	4	7	7	7	6	3	1	8	8	29	9	9	3	5	9	6	2	54	2	6	9	14	1	2	4	10	3	60	16	7	7	5	12	4	9	4	5	28	5	11	27	12	6	1	7	3	5	14	10	19	19	3	7	16	16	7	12	100	18	25	28	5	8	0	2	2	7	33	13	11	13	8	12	10	5	7	3	24	4	17	6	6	38	18	5	14	20	6	9	25	9	12	82	12	1	8	10	5	2	5	21	7	3	17	13	4	24	110	22	30	122	2	75	14
1:Del:C:3	147	229	299	162	374	458	227	1	2	4	4	4	2	2	1	5	5	72	5	1	7	0	7	0	0	198	0	1	2	9	3	4	5	3	2	161	3	5	1	1	5	2	7	5	3	88	1	3	81	7	4	2	4	4	2	8	10	5	52	3	3	7	8	5	4	302	4	6	3	1	2	3	3	1	3	105	3	4	5	4	6	1	6	3	2	14	5	11	2	3	89	5	6	4	11	6	3	14	4	2	210	7	2	4	8	3	5	9	15	2	3	5	3	1	6	289	4	6	334	3	231	19
1:Del:C:4	383	759	897	463	1304	969	743	5	1	2	2	5	1	4	0	2	3	232	4	1	2	2	0	1	4	551	3	1	7	6	3	1	5	2	1	273	8	3	2	1	3	0	3	3	1	217	3	7	234	6	2	0	3	8	0	3	6	3	110	6	1	4	4	7	3	750	7	6	9	1	3	2	3	1	3	223	3	4	6	3	2	2	5	5	1	9	1	2	3	4	261	5	3	0	8	3	3	10	1	2	639	6	1	1	4	6	2	5	4	1	1	0	7	2	6	850	9	5	906	2	642	12
1:Del:C:5	1114	2005	3129	1369	3768	2366	2105	0	5	4	2	1	2	3	1	0	5	895	8	4	0	3	4	1	5	1576	5	1	4	6	4	5	2	3	4	694	11	1	1	2	2	1	4	3	2	575	6	10	576	9	3	1	9	20	4	21	6	11	489	10	9	6	3	6	18	2338	4	10	9	6	6	6	4	1	5	775	5	5	7	4	13	5	3	2	2	12	12	8	4	2	934	5	11	2	8	1	7	13	8	5	2194	6	4	2	2	9	2	4	6	7	5	1	7	4	7	3173	5	6	3341	8	1867	8
1:Del:T:0	25	52	58	42	64	68	53	8	6	14	15	17	11	9	15	19	20	72	31	17	11	11	14	17	9	82	17	9	23	30	9	17	29	23	5	25	12	22	16	15	15	15	33	14	11	24	18	26	22	46	18	11	25	24	8	21	15	52	45	16	14	14	31	31	29	110	16	52	30	9	11	10	7	7	23	53	8	18	6	17	26	14	23	6	16	49	18	26	15	7	49	26	25	8	26	29	17	46	12	21	90	11	12	10	22	13	13	11	44	8	9	9	28	16	49	245	55	44	217	5	75	15
1:Del:T:1	32	68	104	52	89	215	43	9	0	8	9	9	11	9	5	11	6	48	19	12	12	4	14	9	12	100	4	12	15	18	7	7	15	16	7	43	23	11	9	10	12	7	12	6	10	20	15	8	23	14	4	5	10	23	7	9	11	19	36	8	9	12	27	16	15	102	11	36	16	4	7	9	3	5	13	42	9	10	3	13	17	9	9	6	6	22	5	15	4	5	29	23	12	10	15	16	12	17	6	21	77	6	5	8	17	12	3	1	23	5	1	16	26	6	24	156	39	30	146	4	66	12
1:Del:T:2	69	144	918	111	180	2727	100	12	8	8	10	18	10	4	14	6	7	104	21	16	7	9	5	9	7	217	9	3	21	18	8	11	13	16	8	86	56	15	4	9	11	1	29	15	8	49	16	12	47	34	5	1	8	12	5	7	15	19	37	13	12	15	22	17	18	153	8	35	17	8	8	13	5	6	17	61	7	14	4	10	16	11	23	6	11	43	10	18	6	8	39	18	7	11	32	19	10	39	5	13	127	6	10	2	12	12	1	12	22	10	3	10	20	8	25	245	26	28	217	6	113	15
1:Del:T:3	329	652	4888	709	1073	8065	559	8	5	9	12	26	14	7	4	17	3	399	29	15	9	7	5	8	9	886	5	5	28	25	3	13	17	11	6	255	88	18	5	13	10	10	32	9	8	197	14	28	228	38	22	6	6	14	8	22	18	35	150	18	10	19	11	10	26	578	8	23	13	4	4	6	2	3	16	300	5	23	7	14	15	13	13	9	7	46	12	27	7	9	210	23	14	9	22	14	12	47	16	14	573	7	8	10	7	12	6	8	19	7	3	9	11	9	16	1066	15	20	824	3	587	19
