MutationType	SP18310	SP17172	SP96133	SP110242	SP114330	SP21017	SP22383	SP81312	SP22031	SP96112	SP19215	SP96120	SP16886	SP96124	SP19295	SP19670	SP17905	SP16934	SP20993	SP19983	SP18121	SP96122	SP119755	SP96126	SP19606	SP96118	SP21528	SP21400	SP23078	SP17430	SP96110	SP18946	SP21057	SP22750	SP19750	SP17016	SP16958	SP17329	SP96116	SP96129	SP21193	SP18787	SP96114	SP19582	SP17294	SP80367	SP82087	SP80615	SP80271	SP81172	SP81840	SP80657	SP81494	SP81711	SP80423	SP80754	SP81440	SP80950	SP82103	SP81137
1:Del:C:0	170	82	146	201	25	171	145	107	18	24	90	54	79	20	33	13	426	24	28	27	135	27	41	24	43	24	15	70	35	30	28	148	42	20	11	30	31	23	19	27	20	27	40	20	30	26	22	250	26	61	21	16	38	34	33	14	14	9	24	34
1:Del:C:1	66	36	64	103	13	87	63	106	18	4	51	18	63	13	33	5	336	11	22	9	104	13	17	13	18	8	15	72	14	10	15	146	21	10	6	9	21	8	12	13	11	12	15	12	12	10	13	160	13	24	13	10	18	15	19	12	9	9	10	17
1:Del:C:2	146	35	107	204	10	136	116	53	1	7	109	11	26	5	5	6	131	7	16	12	188	7	12	4	9	15	4	25	6	2	8	45	8	6	4	6	6	5	3	7	4	13	9	4	8	3	10	62	2	9	8	4	10	11	6	4	1	6	4	8
1:Del:C:3	571	72	340	670	6	494	418	47	8	6	341	6	13	8	9	5	95	4	5	4	471	12	13	9	6	66	11	20	3	2	5	51	9	6	4	6	11	4	2	5	2	3	8	5	7	2	4	48	2	4	4	6	11	8	3	3	2	3	4	3
1:Del:C:4	1936	244	969	1584	6	1533	981	50	3	7	1039	7	13	1	7	3	56	6	6	6	1212	5	3	15	1	196	3	18	2	5	2	42	3	4	2	2	3	6	1	2	3	5	3	4	7	6	4	43	3	4	4	1	19	7	6	4	0	0	2	3
1:Del:C:5	5168	965	2274	4163	10	3715	2271	83	6	4	2265	7	20	13	18	9	71	9	14	13	2694	14	15	23	8	430	7	45	1	1	1	100	12	9	5	10	13	7	4	14	7	8	6	2	24	8	11	64	13	6	24	3	8	17	9	4	1	6	10	4
1:Del:T:0	94	61	124	185	43	149	90	20	3	7	84	33	18	15	18	15	33	22	23	25	101	16	27	18	28	14	15	62	21	17	13	22	26	14	10	20	29	24	7	14	15	25	20	18	28	25	15	82	15	48	21	8	51	41	32	39	14	8	19	38
1:Del:T:1	156	59	117	228	12	162	124	26	7	9	100	24	17	5	26	8	173	18	17	19	171	12	28	7	22	19	6	23	11	15	9	53	18	9	10	15	18	19	6	16	19	10	18	19	23	14	12	120	14	38	23	8	41	50	18	48	5	6	12	15
1:Del:T:2	350	111	193	368	21	360	285	162	37	13	242	19	111	18	35	9	1495	18	8	15	308	18	24	20	18	40	12	136	15	11	11	407	17	11	12	16	20	18	12	13	18	14	21	27	19	14	14	414	15	38	21	9	48	66	27	40	8	6	17	26
1:Del:T:3	1763	410	1304	1807	19	1613	1549	315	53	17	1673	27	134	10	57	8	1726	19	26	30	1453	20	48	31	31	239	19	222	16	19	22	613	26	14	13	19	39	29	16	23	17	17	24	37	43	31	23	545	29	84	40	20	88	89	46	113	11	14	25	32
1:Del:T:4	5524	1267	4014	5047	34	4677	4124	392	61	12	4497	42	192	24	111	27	1996	31	32	53	4276	62	70	63	25	918	28	288	24	12	35	888	70	25	26	35	28	27	20	30	28	42	36	23	53	15	21	715	30	47	59	16	39	57	25	60	14	19	24	34
1:Del:T:5	89403	27932	51522	75859	230	73463	53851	3454	573	136	48655	413	885	502	906	259	5502	405	484	702	57787	818	852	897	183	4953	261	2012	131	86	352	5585	765	262	271	518	471	182	324	527	290	541	235	78	651	79	178	3099	369	274	740	110	169	457	288	257	58	245	230	237
1:Ins:C:0	87	165	123	103	15	115	50	419	113	4	40	116	487	10	84	10	671	150	96	151	196	37	76	29	85	1	29	312	198	13	45	271	69	36	14	12	14	23	21	19	14	17	64	26	139	300	73	1186	28	132	17	16	52	82	26	11	18	6	7	820
1:Ins:C:1	14	8	15	26	2	17	13	13	5	0	7	7	10	1	7	3	30	3	11	7	28	6	5	5	1	0	1	17	3	5	4	11	7	1	3	4	5	1	4	5	1	4	7	2	7	17	2	44	1	5	7	4	3	2	3	3	2	1	1	29
1:Ins:C:2	7	9	7	25	4	13	19	1	4	1	10	2	5	2	2	1	22	2	0	2	14	1	2	1	2	1	2	6	2	2	2	12	1	2	1	3	3	0	1	3	3	2	3	0	3	3	3	21	2	1	4	2	3	1	1	0	3	0	0	3
1:Ins:C:3	53	10	42	77	2	43	53	6	2	0	42	4	12	1	3	4	25	3	1	0	54	2	2	2	0	9	0	5	1	2	3	5	1	1	0	3	1	0	5	0	1	1	0	0	2	3	3	13	0	3	0	1	2	1	1	1	2	1	1	8
1:Ins:C:4	326	116	272	335	2	313	245	12	2	2	281	3	9	4	7	3	36	1	4	8	240	6	6	3	1	54	5	14	1	3	0	18	1	3	1	1	5	1	4	2	1	9	3	1	4	3	0	38	2	4	7	2	0	4	1	2	1	0	3	4
1:Ins:C:5	1450	475	828	1979	21	1455	835	48	18	8	856	28	46	27	32	14	105	11	23	28	1012	37	23	58	9	106	20	59	6	5	12	82	33	14	19	15	32	4	16	15	14	35	13	6	31	9	11	147	20	13	38	8	12	35	12	8	6	8	19	16
1:Ins:T:0	112	45	61	124	8	82	42	36	21	5	49	17	78	6	17	2	276	11	11	17	84	11	18	15	13	4	4	55	21	2	9	78	7	6	8	2	10	5	10	9	5	5	11	3	12	32	2	192	5	15	4	7	5	17	4	4	1	1	6	90
1:Ins:T:1	54	16	45	66	9	53	44	7	8	13	35	10	23	13	15	8	74	15	7	9	66	11	14	16	11	2	13	14	26	10	7	26	13	9	9	14	20	11	7	17	8	9	14	6	12	30	11	84	14	19	12	3	11	19	8	11	5	6	11	23
1:Ins:T:2	308	47	214	322	12	184	190	8	9	3	184	14	27	5	12	6	93	9	8	7	370	10	4	15	5	58	9	22	12	1	7	34	11	5	2	8	12	4	7	8	8	9	7	3	11	9	4	82	6	5	11	1	8	7	7	8	4	3	12	16
1:Ins:T:3	191	43	143	258	4	161	131	53	21	6	115	8	87	8	29	3	335	6	6	10	216	7	10	20	8	35	5	51	10	2	6	86	8	5	7	4	20	4	1	10	3	8	6	2	9	9	5	222	4	6	12	5	5	11	5	9	8	7	4	10
1:Ins:T:4	474	140	325	514	11	367	291	232	99	11	269	21	334	11	158	10	1241	16	17	15	459	14	21	31	3	83	8	323	10	3	10	437	16	12	6	13	20	10	6	9	9	19	18	4	16	14	4	907	12	11	20	12	6	21	5	16	3	5	12	20
1:Ins:T:5	17078	6377	9817	22444	574	16713	9381	5579	2227	306	8584	798	4627	691	2391	547	10146	527	887	759	23844	984	758	1658	297	1567	626	6412	264	227	413	6956	652	548	646	496	836	318	598	598	381	1105	596	186	876	300	427	9883	544	286	985	293	376	1001	324	407	196	271	850	742
2:Del:R:0	180	76	102	174	12	146	74	3	7	7	99	11	7	10	9	5	14	7	7	11	113	11	10	12	13	14	9	7	5	6	5	16	10	7	3	11	12	2	5	9	5	12	11	4	11	6	11	25	8	7	4	6	6	8	13	12	3	9	4	5
2:Del:R:1	303	56	194	247	8	124	217	11	6	13	194	26	12	13	10	17	18	13	32	24	146	32	29	23	11	49	19	5	14	12	29	32	26	29	10	25	41	14	16	32	20	15	24	8	16	5	14	19	13	12	16	10	19	29	15	25	4	13	10	15
2:Del:R:2	246	36	119	166	6	135	129	7	5	4	177	7	5	5	10	1	7	6	6	8	120	4	6	6	2	18	10	6	5	2	9	10	10	3	4	3	11	5	7	8	4	5	9	2	5	2	4	8	7	1	0	2	6	9	8	3	2	7	3	12
2:Del:R:3	2041	198	540	1230	0	1157	694	9	1	2	1063	4	3	2	1	0	5	3	6	3	781	2	4	3	2	58	4	1	0	2	3	15	5	1	0	5	5	0	1	2	0	1	3	0	0	2	1	9	0	1	1	0	0	4	2	1	1	0	0	1
2:Del:R:4	586	29	322	487	0	517	339	7	2	0	307	1	0	2	0	1	5	0	0	3	470	1	1	4	0	61	0	0	0	0	1	8	0	1	1	3	1	0	0	1	1	2	2	0	1	0	1	2	1	0	1	0	1	0	1	2	0	0	0	0
2:Del:R:5	1210	56	616	1005	3	1308	585	7	0	0	446	3	2	3	2	1	5	0	0	0	786	1	2	2	0	61	0	4	0	0	1	10	3	0	0	2	2	1	1	1	1	0	3	0	2	0	1	2	1	0	1	0	1	2	0	0	1	1	0	1
3:Del:R:0	35	11	6	24	8	23	15	1	1	0	19	2	5	2	4	4	2	2	2	5	15	3	1	3	2	2	1	3	2	4	1	1	2	0	2	1	10	1	2	0	4	6	4	0	4	5	1	9	2	3	2	1	2	4	5	3	2	2	3	7
3:Del:R:1	326	13	171	236	15	135	198	9	9	9	165	21	7	14	8	6	13	14	15	30	142	26	22	19	10	44	14	3	16	10	15	14	21	14	12	19	32	11	5	32	7	23	18	8	21	7	16	14	12	6	17	6	8	30	12	12	6	13	15	10
3:Del:R:2	115	3	69	78	4	53	62	4	2	4	62	3	2	6	2	3	4	2	5	6	63	4	6	6	2	14	4	1	2	3	10	3	8	2	2	6	5	0	3	3	3	9	5	4	2	4	5	4	5	2	4	1	2	6	11	1	1	4	4	1
3:Del:R:3	44	1	17	33	0	29	19	0	2	0	17	2	1	1	0	1	1	1	0	2	23	2	1	0	0	2	0	0	1	1	2	1	0	1	1	2	3	2	0	3	1	2	1	1	1	0	0	1	1	0	2	1	0	2	3	0	0	1	1	1
3:Del:R:4	27	1	15	29	0	23	20	0	0	0	21	0	2	2	0	0	1	0	0	0	29	0	0	1	0	3	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	2	0	0	0	2	0	0
3:Del:R:5	39	0	31	55	1	54	22	1	0	2	27	0	1	0	0	0	0	0	0	0	32	0	1	0	0	6	0	0	0	0	1	0	0	0	1	0	0	0	3	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0
4:Del:R:0	15	3	5	9	0	7	6	1	1	0	6	2	4	1	2	0	3	0	5	3	7	1	2	1	1	2	1	0	0	2	1	2	3	0	0	1	6	4	2	4	2	5	2	3	2	2	1	3	2	2	4	2	1	6	4	1	2	1	0	2
4:Del:R:1	135	6	74	100	9	51	70	4	2	8	67	7	5	6	4	4	10	8	4	16	57	17	10	6	7	21	9	6	1	8	4	11	11	5	2	9	19	10	5	16	5	10	7	7	7	7	8	8	8	5	3	10	3	10	19	10	3	8	8	2
4:Del:R:2	43	3	22	25	2	25	17	0	2	0	23	3	2	1	3	3	1	1	2	3	23	2	2	1	0	5	0	0	1	3	2	1	2	4	2	4	5	3	0	3	1	0	1	1	3	0	1	1	0	1	3	0	1	2	0	1	1	3	1	1
4:Del:R:3	27	0	12	20	0	27	19	2	0	1	14	0	0	1	1	0	0	1	1	3	11	0	3	0	0	0	0	0	0	0	2	5	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	1	1	1	0
4:Del:R:4	17	0	16	18	0	26	15	0	0	0	12	0	0	1	0	0	0	0	0	0	13	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4:Del:R:5	22	0	12	14	0	19	10	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
5:Del:R:0	27	13	21	39	10	20	15	7	4	10	5	22	8	7	12	10	8	8	3	11	10	12	14	10	5	7	7	5	24	5	9	14	13	12	8	5	39	9	10	15	6	14	12	2	2	11	8	31	12	10	19	7	5	24	6	26	3	5	4	34
5:Del:R:1	38	2	14	22	0	23	7	3	1	3	13	5	2	2	4	0	2	0	8	6	3	3	4	4	1	0	1	2	3	1	1	3	3	4	2	5	4	2	3	8	2	1	3	3	2	0	3	4	4	2	4	0	5	8	8	1	0	4	4	4
5:Del:R:2	17	1	10	18	0	13	7	0	0	0	6	0	0	1	1	0	1	1	0	3	5	0	1	1	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0
5:Del:R:3	10	0	9	11	1	11	7	0	0	0	4	0	0	0	0	0	0	0	1	0	6	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
5:Del:R:4	5	0	4	2	0	4	4	0	0	0	2	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	1	0	1	2	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2:Ins:R:0	64	38	36	85	7	62	19	78	19	2	11	12	83	5	21	8	84	7	4	12	46	2	5	8	11	2	4	39	8	5	3	45	1	1	4	2	13	2	6	3	2	11	8	2	8	11	2	163	5	8	4	10	3	6	0	0	3	1	3	38
2:Ins:R:1	12	11	13	29	3	17	10	2	3	3	7	1	12	2	4	2	11	2	3	3	15	3	4	2	3	2	1	3	7	1	0	4	3	4	1	2	22	2	5	4	3	13	4	2	2	1	5	12	3	1	13	2	5	5	5	8	3	1	4	3
2:Ins:R:2	30	8	12	48	1	28	19	4	2	0	11	3	5	0	4	3	11	3	1	4	14	4	2	2	1	0	5	4	3	2	5	6	2	2	2	4	12	2	2	4	1	7	2	0	2	3	0	13	3	3	3	1	5	6	3	6	1	3	6	4
2:Ins:R:3	114	27	35	145	0	100	47	13	5	0	61	0	6	3	6	3	45	1	2	2	113	2	1	2	2	6	0	12	3	2	0	30	2	1	0	1	5	1	3	0	0	1	1	0	1	0	1	28	2	0	3	0	1	0	0	1	0	0	1	1
2:Ins:R:4	448	96	220	537	5	371	179	28	9	2	200	6	26	9	19	1	92	5	6	2	401	4	9	9	0	25	3	22	1	1	5	75	10	2	3	2	7	2	6	7	0	8	3	0	5	3	2	72	5	2	3	1	2	9	0	3	2	2	3	9
2:Ins:R:5	1391	262	933	1794	19	1090	612	52	29	12	603	34	59	34	39	20	123	16	29	26	647	47	37	63	13	99	18	44	7	8	17	197	20	15	18	23	21	10	28	18	7	43	23	3	26	1	6	154	15	21	37	10	6	21	9	13	7	7	26	9
3:Ins:R:0	7	10	7	7	0	6	0	2	0	2	0	4	2	3	2	0	3	4	3	2	2	1	0	6	3	0	1	1	0	1	1	7	3	1	0	1	2	0	3	2	1	1	3	0	6	1	2	12	5	3	3	2	1	1	3	0	1	0	1	8
3:Ins:R:1	0	9	16	9	1	5	4	5	3	3	5	5	5	3	4	5	4	4	7	7	5	6	7	4	3	0	5	8	4	4	1	7	4	4	2	1	29	2	3	6	3	6	3	2	5	1	0	4	3	7	10	0	2	4	4	6	2	1	2	5
3:Ins:R:2	12	0	4	16	0	12	5	0	0	1	4	4	1	0	0	0	1	2	1	3	8	1	0	1	0	0	1	0	0	0	1	0	1	0	0	4	3	0	1	2	0	0	1	0	2	0	0	2	1	1	2	1	1	2	0	0	0	0	0	0
3:Ins:R:3	5	1	6	13	0	9	4	0	0	0	6	0	0	0	1	0	1	0	0	0	6	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
3:Ins:R:4	28	3	17	18	0	19	16	2	0	0	9	1	0	1	1	1	0	0	0	0	6	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0	0	1	0	2	2	1	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	0	3
3:Ins:R:5	145	12	89	179	3	134	69	5	1	0	53	4	2	4	1	1	1	1	2	5	65	5	6	3	1	11	0	3	3	1	3	10	0	5	2	1	5	1	2	5	1	5	1	0	4	0	0	3	2	2	1	0	1	2	3	1	2	2	0	9
4:Ins:R:0	9	8	10	19	2	8	3	7	2	0	3	1	11	1	4	2	16	3	3	4	1	0	4	5	4	1	0	11	0	0	2	24	3	1	2	2	4	1	3	2	1	1	0	2	2	2	0	37	2	0	0	0	1	1	1	0	1	0	2	10
4:Ins:R:1	2	0	14	16	1	11	11	4	1	5	4	7	2	4	4	1	4	6	4	7	2	5	2	4	1	1	1	3	3	2	2	3	7	1	1	3	26	1	5	0	3	11	5	1	5	3	6	5	5	5	3	2	1	5	4	4	0	0	6	6
4:Ins:R:2	12	2	2	16	1	4	3	3	0	0	6	0	0	0	0	0	0	1	0	0	2	2	0	1	0	0	2	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:3	29	4	11	31	0	12	5	1	0	0	8	0	0	0	1	0	1	0	0	0	11	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	1	1	0	0	1	2
4:Ins:R:4	12	4	13	18	1	19	7	1	1	1	11	2	0	0	2	0	1	2	2	2	5	0	0	2	0	1	0	2	0	2	1	1	0	1	1	1	0	1	0	2	0	2	2	0	1	0	1	2	1	1	1	0	1	2	0	0	1	0	0	2
