MutationType	SP18310	SP17172	SP96133	SP110242	SP114330	SP21017	SP22383	SP81312	SP22031	SP96112	SP19215	SP96120	SP16886	SP96124	SP19295	SP19670	SP17905	SP16934	SP20993	SP19983	SP18121	SP96122	SP119755	SP96126	SP19606	SP96118	SP21528	SP21400	SP23078	SP17430	SP96110	SP18946	SP21057	SP22750	SP19750	SP17016	SP16958	SP17329	SP96116	SP96129	SP21193	SP18787	SP96114	SP19582	SP17294	SP80367	SP82087	SP80615	SP80271	SP81172	SP81840	SP80657	SP81494	SP81711	SP80423	SP80754	SP81440	SP80950	SP82103	SP81137
4:Ins:R:5	20	10	33	60	1	61	22	4	2	0	20	2	0	2	6	4	0	2	3	2	15	2	8	1	1	2	2	0	2	0	1	1	3	1	0	2	2	0	4	1	0	4	1	0	2	1	0	5	3	0	2	0	0	2	1	2	0	1	1	3
5:Ins:R:0	12	10	9	34	6	15	5	11	8	2	4	4	22	4	4	0	13	2	1	2	5	3	5	5	3	1	0	15	3	0	1	20	0	0	2	1	8	1	8	1	2	1	3	2	1	4	0	43	1	3	1	2	2	5	3	1	1	0	2	9
5:Ins:R:1	11	30	25	27	11	21	26	9	12	9	5	25	5	16	15	14	18	15	18	20	7	27	16	19	5	0	10	17	46	4	8	21	10	7	8	19	96	7	14	14	9	13	15	6	13	9	13	25	12	2	31	7	12	16	9	22	10	8	9	117
5:Ins:R:2	3	2	4	2	1	5	2	0	0	0	1	0	0	1	0	1	1	0	2	0	0	1	0	1	1	0	0	1	0	0	1	0	3	0	0	0	3	0	1	1	0	0	2	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	2
5:Ins:R:3	2	1	2	4	0	5	0	0	0	0	1	1	0	1	0	0	0	1	1	2	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
5:Ins:R:4	1	1	4	5	0	4	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0
5:Ins:R:5	0	0	1	2	0	3	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2:Del:M:1	219	34	150	230	13	128	132	11	10	10	112	20	10	9	7	13	13	17	20	30	117	21	24	15	13	40	11	10	6	11	21	26	16	19	7	21	17	9	9	22	11	14	14	1	14	8	23	32	8	6	5	4	8	16	20	15	9	12	11	11
3:Del:M:1	16	5	11	14	4	9	6	1	0	1	12	6	0	1	0	0	1	1	1	1	7	5	4	4	2	2	2	1	4	3	3	4	7	3	0	2	5	1	3	2	1	4	3	1	1	3	1	6	2	2	0	0	3	6	6	1	0	1	0	4
3:Del:M:2	144	10	90	139	5	72	81	3	5	5	77	11	7	6	12	12	5	12	7	18	83	15	11	8	6	17	9	4	5	4	12	9	12	6	8	12	16	4	5	13	4	8	5	4	8	4	7	10	7	3	5	4	5	20	7	6	2	6	5	5
4:Del:M:1	30	2	15	19	1	12	11	2	1	0	8	0	1	4	1	1	2	2	2	1	13	2	1	2	4	2	2	1	0	2	0	3	1	2	2	3	4	1	4	4	1	1	2	1	3	0	1	4	1	3	3	1	5	5	1	3	2	0	0	0
4:Del:M:2	42	3	32	35	3	16	35	3	2	1	35	4	3	2	4	3	2	2	4	3	18	4	2	5	2	7	1	4	2	3	5	4	12	3	3	9	6	3	2	8	6	3	7	2	4	0	2	6	3	2	2	2	7	3	5	0	1	3	3	4
4:Del:M:3	78	5	35	85	3	37	37	5	0	4	29	7	3	4	6	1	4	8	4	16	28	3	6	3	3	14	0	3	4	3	6	4	10	6	0	9	11	2	2	11	2	2	5	1	4	2	6	14	5	3	7	3	2	6	7	7	0	8	2	7
5:Del:M:1	19	11	26	28	10	21	16	4	3	8	10	11	4	4	8	7	3	6	8	8	8	8	13	16	10	5	11	5	8	3	9	8	7	7	2	5	35	1	8	17	13	17	8	8	11	8	4	28	8	10	17	5	9	34	10	20	6	4	4	22
5:Del:M:2	8	11	17	31	6	12	17	10	5	7	8	11	6	3	6	3	4	6	7	10	8	8	14	11	10	3	7	5	11	11	7	9	11	10	7	9	26	4	8	11	9	12	5	5	7	6	6	40	11	10	12	8	9	20	9	7	3	2	8	19
5:Del:M:3	11	7	12	32	5	10	10	5	5	2	8	6	0	9	6	5	3	3	3	7	11	7	4	3	6	4	4	0	9	5	5	4	17	3	9	4	16	3	6	6	6	8	8	4	6	4	3	20	5	5	5	2	5	10	8	7	2	4	4	5
5:Del:M:4	19	6	7	17	1	15	4	1	0	2	9	4	3	2	0	3	3	3	3	3	5	6	2	1	3	3	2	2	3	3	4	6	8	0	1	2	8	1	1	5	4	2	1	2	4	1	1	9	3	5	1	1	2	7	2	3	0	4	4	1
5:Del:M:5	17	4	9	15	2	15	7	8	4	3	10	10	1	5	2	2	1	1	4	5	4	7	11	10	3	1	1	2	2	0	4	2	4	4	3	3	9	3	5	5	2	8	6	2	4	2	5	19	2	5	8	2	2	9	3	6	2	3	3	7
