MutationType	SP99325	SP18310	SP17172	SP96133	SP110242	SP21017	SP22383	SP81312	SP19215	SP16886	SP17905	SP18121	SP96118	SP21400	SP18946	SP80615	SP102897	SP98845	SP107012	SP55142	SP53810	SP116697	SP102133	SP125732	SP125746	SP125770	SP77956	SP124384	SP135287	SP85122	SP84384	SP84982	SP84392	SP84439	SP95454	SP94741	SP90209	SP90989	SP93540	SP93227	SP94348	SP94933	SP92364	SP94917	SP92460	SP89909
1:Del:C:0	228	170	82	146	201	171	145	107	90	79	426	135	24	70	148	250	80	42	73	655	754	148	50	19	76	73	10	172	59	158	223	83	134	195	38	81	106	88	127	127	84	85	87	70	29	38
1:Del:C:1	188	66	36	64	103	87	63	106	51	63	336	104	8	72	146	160	79	44	72	741	872	67	16	9	29	36	3	72	41	72	147	43	64	124	26	63	98	29	73	197	50	39	41	38	22	15
1:Del:C:2	286	146	35	107	204	136	116	53	109	26	131	188	15	25	45	62	60	53	93	603	844	44	13	7	63	29	2	59	72	129	195	73	149	244	33	81	106	58	103	197	83	29	54	60	28	27
1:Del:C:3	773	571	72	340	670	494	418	47	341	13	95	471	66	20	51	48	86	84	167	271	268	45	11	26	177	41	0	141	233	403	778	265	475	1004	147	229	299	162	374	458	227	72	198	161	88	81
1:Del:C:4	1824	1936	244	969	1584	1533	981	50	1039	13	56	1212	196	18	42	43	197	156	392	166	176	35	28	73	625	67	0	347	719	1193	2189	643	1650	2178	383	759	897	463	1304	969	743	232	551	273	217	234
1:Del:C:5	4401	5168	965	2274	4163	3715	2271	83	2265	20	71	2694	430	45	100	64	455	400	884	84	83	50	129	183	1814	235	2	924	1722	3774	5268	1764	4469	4713	1114	2005	3129	1369	3768	2366	2105	895	1576	694	575	576
1:Del:T:0	199	94	61	124	185	149	90	20	84	18	33	101	14	62	22	82	86	41	42	217	229	75	37	23	60	64	6	68	55	77	131	73	103	157	25	52	58	42	64	68	53	72	82	25	24	22
1:Del:T:1	277	156	59	117	228	162	124	26	100	17	173	171	19	23	53	120	95	39	81	168	261	40	16	25	65	38	3	222	85	107	165	108	181	288	32	68	104	52	89	215	43	48	100	43	20	23
1:Del:T:2	506	350	111	193	368	360	285	162	242	111	1495	308	40	136	407	414	142	69	151	163	113	88	48	31	133	65	3	115	148	239	359	214	276	549	69	144	918	111	180	2727	100	104	217	86	49	47
1:Del:T:3	1832	1763	410	1304	1807	1613	1549	315	1673	134	1726	1453	239	222	613	545	217	171	399	184	116	149	92	189	509	233	4	283	973	1299	1670	963	1556	1911	329	652	4888	709	1073	8065	559	399	886	255	197	228
1:Del:T:4	5081	5524	1267	4014	5047	4677	4124	392	4497	192	1996	4276	918	288	888	715	412	410	1150	141	52	255	164	560	1733	529	14	938	3064	4121	4821	2570	4855	5796	1060	1882	10435	1978	3369	13826	1691	1146	2380	696	534	674
1:Del:T:5	75876	89403	27932	51522	75859	73463	53851	3454	48655	885	5502	57787	4953	2012	5585	3099	6591	5256	16929	249	69	1979	3076	4968	29441	6153	64	12448	43576	66491	66373	37716	66892	58870	16314	33571	56596	35706	63020	58937	31931	22000	33911	9344	7528	7387
1:Ins:C:0	277	87	165	123	103	115	50	419	40	487	671	196	1	312	271	1186	10	12	28	30	29	24	97	12	60	41	3	48	32	64	52	91	64	367	12	50	43	45	59	47	42	249	127	29	10	6
1:Ins:C:1	40	14	8	15	26	17	13	13	7	10	30	28	0	17	11	44	12	6	8	17	20	16	17	2	7	26	1229	21	7	24	9	15	18	46	1	18	21	8	15	16	7	53	20	4	8	4
1:Ins:C:2	43	7	9	7	25	13	19	1	10	5	22	14	1	6	12	21	13	5	14	8	23	5	12	1	11	14	626	7	8	15	19	8	21	17	2	13	17	2	13	27	8	40	14	7	3	1
1:Ins:C:3	119	53	10	42	77	43	53	6	42	12	25	54	9	5	5	13	10	27	33	20	26	10	40	5	31	22	225	17	27	36	87	35	67	54	12	28	37	14	28	51	31	101	30	6	8	8
1:Ins:C:4	338	326	116	272	335	313	245	12	281	9	36	240	54	14	18	38	39	58	89	27	38	25	206	50	125	160	80	81	241	347	488	150	334	300	76	129	125	119	211	145	146	493	237	30	50	43
1:Ins:C:5	1551	1450	475	828	1979	1455	835	48	856	46	105	1012	106	59	82	147	171	172	341	39	35	208	1024	122	687	1056	24	326	740	1507	1467	692	1469	1459	445	795	1009	589	942	972	617	2159	1172	252	243	178
1:Ins:T:0	127	112	45	61	124	82	42	36	49	78	276	84	4	55	78	192	23	7	37	62	124	33	63	11	41	67	3	38	31	57	47	36	70	78	32	55	142	44	72	296	41	159	103	21	6	10
1:Ins:T:1	145	54	16	45	66	53	44	7	35	23	74	66	2	14	26	84	44	8	55	155	277	34	37	5	25	53	1264	25	28	48	43	24	51	92	20	34	87	28	38	122	23	109	55	24	20	9
1:Ins:T:2	931	308	47	214	322	184	190	8	184	27	93	370	58	22	34	82	114	103	333	166	233	36	156	20	202	127	771	107	119	186	243	92	271	334	110	166	193	60	170	233	127	590	159	83	92	63
1:Ins:T:3	558	191	43	143	258	161	131	53	115	87	335	216	35	51	86	222	86	46	213	110	163	56	115	12	138	112	502	75	77	108	130	60	183	269	77	111	250	48	123	323	89	334	123	61	39	33
1:Ins:T:4	560	474	140	325	514	367	291	232	269	334	1241	459	83	323	437	907	86	46	223	56	45	159	280	60	177	318	254	110	272	340	389	134	368	642	105	196	1173	132	283	1664	167	651	303	134	49	52
1:Ins:T:5	19768	17078	6377	9817	22444	16713	9381	5579	8584	4627	10146	23844	1567	6412	6956	9883	2738	1453	6371	425	155	4027	12434	1086	8050	9846	299	3704	8379	13162	9826	4490	11972	10478	5830	10014	41961	5700	12701	33262	7871	28573	13120	4040	3118	1924
2:Del:R:0	189	180	76	102	174	146	74	3	99	7	14	113	14	7	16	25	28	6	22	53	58	46	9	10	78	28	0	50	61	143	104	51	110	81	25	79	73	47	148	65	74	62	87	33	25	14
2:Del:R:1	592	303	56	194	247	124	217	11	194	12	18	146	49	5	32	19	136	46	79	98	80	88	24	45	190	43	8	80	170	258	350	117	236	296	88	149	148	142	401	123	194	83	147	117	82	73
2:Del:R:2	323	246	36	119	166	135	129	7	177	5	7	120	18	6	10	8	54	20	32	49	59	23	9	11	87	13	1	42	97	151	279	74	190	196	44	95	96	73	227	137	100	40	103	44	29	29
2:Del:R:3	1639	2041	198	540	1230	1157	694	9	1063	3	5	781	58	1	15	9	48	41	106	31	22	8	12	18	331	21	0	68	705	1382	1433	519	1421	1488	144	370	479	394	1184	560	338	185	341	89	63	71
2:Del:R:4	866	586	29	322	487	517	339	7	307	0	5	470	61	0	8	2	37	15	80	19	10	4	18	5	198	23	0	64	256	366	542	236	601	573	168	275	356	248	604	315	233	103	240	128	85	78
2:Del:R:5	1711	1210	56	616	1005	1308	585	7	446	2	5	786	61	4	10	2	62	29	159	5	3	3	41	6	325	32	0	124	448	672	720	384	1034	716	291	650	618	527	1387	460	550	173	384	240	156	103
3:Del:R:0	32	35	11	6	24	23	15	1	19	5	2	15	2	3	1	9	17	5	2	19	4	17	1	2	14	10	1	12	13	19	15	3	20	22	6	12	4	12	33	12	11	6	11	3	2	2
