MutationType	CPCT02030262T	CPCT02190001T	CPCT02160010T	CPCT02330006T	CPCT02030290T	CPCT02060058T	CPCT02130025T	CPCT02060167T	CPCT02090031T	CPCT02220061T	DRUP01020037T	CPCT02380033T	CPCT02100135T	CPCT02080286T	CPCT02380032T	CPCT02250006T	CPCT02050312T	CPCT02270017T	CPCT02060210T	CPCT02090039T	CPCT02110060T	CPCT02130044T	CPCT02130047T	WIDE01010068T	WIDE01010103T	CPCT02440009T	WIDE01010243T	CPCT02130079T	CPCT02130082T	CPCT02210054T	CPCT02120131T	CPCT02370030T	CPCT02090047T	CPCT02130118T	CPCT02080238T	CPCT02130120T	CPCT02030501T	CPCT02190041T	CPCT02130133T	CPCT02130129T	CPCT02290049T	CPCT02380050T	CPCT02090060T	CPCT02210068T	CPCT02410012T	DRUP01090022T	CPCT02050246T	CPCT02050244T	CPCT02060111T	CPCT02050070T	CPCT02250001T	CPCT02070231T	CPCT02210016T	CPCT02070132T	CPCT02180029T	CPCT02050195T	CPCT02060107T	CPCT02070177T	CPCT02030366T	CPCT02050223T	CPCT02060116T	CPCT02050239T	CPCT02210031T	CPCT02230035T	CPCT02050089T	CPCT02180009T	CPCT02330014T	CPCT02230001T	CPCT02040083T	CPCT02180020T	CPCT02050135T	CPCT02020483T	CPCT02080091T	CPCT02260012T	CPCT02210036T	CPCT02130014T	CPCT02130010T	CPCT02250002T	CPCT02090027T	DRUP01070119T	CPCT02050447T	CPCT02330135T	CPCT02200008T	CPCT02200009T
1:Ins:C:5	5	9	8	10	10	10	23	17	2	30	16	12	10	3	15	4	6	13	12	16	11	8	15	16	4	10	8	7	10	11	7	15	25	14	18	20	7	32	12	6	12	14	5	9	12	13	18	17	4	9	6	6	1916	6	4	8	21	8	19	1	5	15	7	17	66	3	2	3	16	23	22	16	15	31	30	7	16	9	2	136	12	4	8	6
1:Ins:T:0	3	6	11	8	23	4	8	9	5	14	14	10	6	2	4	9	4	6	5	3	4	3	8	14	3	3	3	5	12	7	2	5	23	7	10	7	3	13	8	1	10	4	5	19	9	9	8	14	9	4	7	7	307	3	11	8	14	6	14	4	3	8	4	6	26	15	1	0	9	29	14	5	9	6	15	8	13	4	3	35	12	10	4	4
1:Ins:T:1	5	8	3	4	7	5	8	6	3	17	9	6	6	5	7	6	9	4	3	11	2	7	7	8	2	1	9	5	10	12	2	12	17	5	9	11	2	7	12	3	10	4	11	15	4	12	6	10	5	3	8	8	89	12	6	2	14	6	4	5	3	13	5	6	7	16	8	3	12	12	14	10	9	9	9	3	15	4	1	15	11	6	5	3
1:Ins:T:2	2	6	3	6	8	1	8	6	2	10	7	4	4	3	7	7	4	3	6	6	1	5	1	9	0	1	1	5	8	3	3	3	8	5	6	6	2	8	6	5	5	2	4	6	4	5	6	8	3	3	3	5	327	4	5	1	5	4	4	1	5	7	0	6	15	9	1	1	2	9	9	4	7	4	4	2	14	7	2	28	4	5	5	0
1:Ins:T:3	5	3	5	4	4	3	4	7	4	10	9	6	7	3	6	4	3	3	2	4	5	4	2	6	2	3	3	4	8	3	3	4	6	1	10	3	6	4	2	3	9	2	5	1	4	3	7	4	5	1	4	7	232	5	5	3	6	3	10	3	1	1	1	10	19	6	1	1	3	13	10	7	3	5	5	4	6	2	3	26	7	0	3	1
1:Ins:T:4	2	8	10	5	2	5	11	4	1	5	5	2	3	0	1	6	5	1	2	6	6	7	7	15	3	12	3	7	10	4	5	6	12	3	7	17	4	10	2	2	8	2	3	9	14	7	16	6	9	0	7	6	468	8	4	3	2	5	12	6	0	4	2	6	44	3	1	2	7	15	24	7	3	5	17	3	8	1	4	23	9	3	3	2
1:Ins:T:5	109	159	309	275	198	296	385	281	123	502	255	268	227	37	197	139	193	208	205	258	360	211	370	456	60	333	150	164	324	175	194	231	373	277	332	424	186	413	133	135	363	166	180	196	254	279	491	381	192	67	175	251	17688	233	104	114	434	115	428	228	123	222	127	381	1242	97	104	54	192	565	439	285	329	310	704	156	290	150	101	1526	358	125	162	79
2:Del:R:0	2	4	5	4	16	6	9	7	6	7	15	5	4	4	5	13	2	7	6	4	6	5	6	9	4	1	4	5	10	7	2	4	13	3	7	3	1	7	14	5	6	3	5	9	2	13	5	8	7	8	7	2	618	2	2	9	3	6	5	7	4	13	7	5	22	32	0	3	9	10	13	7	5	7	6	5	9	0	4	13	3	4	3	8
2:Del:R:1	6	11	6	3	7	4	13	8	12	12	16	8	5	4	6	9	7	5	7	3	8	3	18	10	0	9	6	6	7	13	7	7	23	6	6	7	5	6	20	11	12	14	10	12	3	9	8	8	5	5	4	9	525	6	3	10	12	7	10	7	2	15	3	10	11	26	1	2	8	17	23	7	6	4	11	6	14	6	3	38	14	7	5	5
2:Del:R:2	2	2	1	2	9	2	6	3	2	2	10	0	0	2	0	2	1	5	3	3	2	2	3	1	0	2	1	2	4	6	1	3	10	1	5	2	1	1	2	1	2	3	2	2	0	3	2	0	2	2	3	4	441	1	0	1	1	1	6	1	2	4	5	5	7	9	0	0	3	6	2	5	3	4	5	5	7	1	1	23	1	1	0	1
