MutationType	CPCT02100011T	CPCT02020314T	CPCT02080016T	CPCT02010359T	CPCT02020322T	CPCT02010351T	CPCT02110004T	CPCT02040031T	CPCT02020341T	CPCT02080025T	CPCT02080022T	CPCT02100017T	CPCT02100021T	CPCT02020345T	CPCT02020344T	CPCT02020347T	CPCT02100020T	CPCT02100024T	CPCT02100023T	CPCT02080027T	CPCT02160001T	CPCT02160003T	CPCT02160004T	CPCT02030261T	CPCT02040035T	CPCT02160005T	CPCT02100027T	CPCT02010401T	CPCT02030265T	CPCT02080031T	CPCT02030264T	CPCT02100028T	CPCT02100029T	CPCT02020371T	CPCT02020369T	CPCT02040036T	CPCT02080036T	CPCT02030271T	CPCT02020377T	CPCT02030274T	CPCT02010419T	CPCT02050053T	CPCT02050060T	CPCT02030276T	CPCT02020382T	CPCT02020385T	CPCT02190002T	CPCT02080039T	CPCT02040047T	CPCT02080047T	CPCT02010422T	CPCT02060011T	CPCT02010434T	CPCT02080049T	CPCT02020401T	CPCT02160008T	CPCT02040055T	CPCT02160012T	CPCT02030289T	CPCT02050071T	CPCT02050074T	CPCT02050082T	CPCT02080053T	CPCT02300001T	CPCT02010382TII	CPCT02340049T	CPCT02160058T	CPCT02010720T	CPCT02470003T	CPCT02210076T	CPCT02120087T	CPCT02030447T	CPCT02011013T	DRUP01120002T	CPCT02230120T	CPCT02070424T	CPCT02011030T	CPCT02180050T	CPCT02460005T	CPCT02030448T	CPCT02010726T	CPCT02380034T	CPCT02080285T	CPCT02030337TII	CPCT02380035T	CPCT02010721T	CPCT02440021T	CPCT02080288T	CPCT02120179T	CPCT02060279T	CPCT02020898T	CPCT02040307T	DRUP01110007T	CPCT02080290T	CPCT02020664T	CPCT02210039T	CPCT02390038T	CPCT02150040T	CPCT02010708T	CPCT02140044T	CPCT02110050T	CPCT02080183T	CPCT02100195T	DRUP01010065T	CPCT02080184T	CPCT02090034T	CPCT02230124T	CPCT02030451T	CPCT02310006T	DRUP01050018T	CPCT02340066TIII	CPCT02390010T	CPCT02120099T	CPCT02390040T	CPCT02460001T	CPCT02200005T	CPCT02320008T	DRUP01220006T	CPCT02300032T	CPCT02380037T	CPCT02330076T	CPCT02011058T	CPCT02080296T	CPCT02150046T	CPCT02230126T	CPCT02180052T	CPCT02180053T	CPCT02340110T	CPCT02230125T	CPCT02390015T	CPCT02380036T	CPCT02050309T	CPCT02110056T	CPCT02390001TII	CPCT02160037T	CPCT02120183T	CPCT02110057T	CPCT02040321T	CPCT02040323T	DRUP01050019T	CPCT02050431T	CPCT02110079T	CPCT02380052T	CPCT02340066T	CPCT02340060T	CPCT02180057T	CPCT02340058T	CPCT02011073T	CPCT02210082T	CPCT02410017T	CPCT02110080T	CPCT02080196T	CPCT02020666T	CPCT02310004T	CPCT02060197T	CPCT02380039T	DRUP01220001T	CPCT02260028T	CPCT02010731T	WIDE01010011T	CPCT02060285T	CPCT02350021T	CPCT02080300T	CPCT02040219T	DRUP01060008T	CPCT02320009T	CPCT02210051T	CPCT02340112T	CPCT02390043T	CPCT02200007T	CPCT02120108T	CPCT02020946T	CPCT02030463T	WIDE01010018T	CPCT02040331T	CPCT02010765T	CPCT02040325T	CPCT02240011T	CPCT02050434T	CPCT02160039T	CPCT02150051T	CPCT02390021T	CPCT02080200T	CPCT02010772T	CPCT02210044T	CPCT02320010T	CPCT02040337T	CPCT02270021T	CPCT02010768T	CPCT02020966T	CPCT02110049T	CPCT02040329T	CPCT02340066TIV	CPCT02340071T	CPCT02030464T	CPCT02360012T	CPCT02080312T	CPCT02260029T	WIDE01010072T	CPCT02110063T	CPCT02020969T	WIDE01010069T	WIDE01010067T	WIDE01010076T	WIDE01010074T	CPCT02040071TII	CPCT02020680T	CPCT02020685T	CPCT02020693T	CPCT02010773T	CPCT02290030T	CPCT02020688T	CPCT02050337T	CPCT02050338T	WIDE01010124T	CPCT02230089T	CPCT02230120TII	CPCT02050333T	CPCT02020692T	WIDE01010135T	CPCT02230095T	CPCT02060289T	CPCT02140085TII	CPCT02160042T	CPCT02230128T	WIDE01010142T	WIDE01010185T	CPCT02180049T	CPCT02010791T	CPCT02120114T	CPCT02120117T	CPCT02220041T	CPCT02120121T	CPCT02160041T	WIDE01010093TII	WIDE01010173T	CPCT02250007T	CPCT02020597TIII	WIDE01010171T	WIDE01010162T	CPCT02050299T	CPCT02080029TII	WIDE01010207T	CPCT02030472T	CPCT02100164T	CPCT02100170T	WIDE01010174T	WIDE01010183T	WIDE01010212T	WIDE01010274T	CPCT02410004T	WIDE01010235T	WIDE01010231T	CPCT02370024T	CPCT02140091TII	CPCT02360015T	WIDE01010240T	CPCT02040230T	CPCT02320003T	WIDE01010248T	CPCT02010790T	CPCT02040235T	CPCT02080216T	CPCT02160047T	CPCT02270006T	CPCT02210053T	CPCT02360016T	WIDE01010270T	CPCT02060221T	WIDE01010288T	CPCT02270030T	CPCT02310011T	WIDE01010311T	CPCT02120001T	WIDE01010322T	CPCT02290035T	WIDE01010326T	CPCT02270028T	CPCT02030478T	WIDE01010308T	WIDE01010268T	CPCT02060214T	WIDE01010335T	CPCT02360017T	WIDE01010303T	CPCT02220044T	CPCT02120047TII	WIDE01010339T	WIDE01010352T	WIDE01010346T	CPCT02010824T	WIDE01010341T	WIDE01010332T	CPCT02360018T	CPCT02330104T	CPCT02050359T	CPCT02370025T	WIDE01010131T	WIDE01010371T	CPCT02020719T	WIDE01010400T	CPCT02010825T	CPCT02010359TII	WIDE01010405T	WIDE01010388T	DRUP01330020T	CPCT02230099T	CPCT02110069T	WIDE01010410T	CPCT02020721T	CPCT02230101T	WIDE01010418T	CPCT02300040T	WIDE01010048T	CPCT02290037T	WIDE01010249T	DRUP01010148T	WIDE01010372T	WIDE01010406T	WIDE01010432T	CPCT02010846T	CPCT02010746T	CPCT02250009T	CPCT02010838T	CPCT02170027T	CPCT02030484T	CPCT02050364T	CPCT02290040T	CPCT02080228T	CPCT02040257T	CPCT02160051T	CPCT02120137T	CPCT02150014T	CPCT02210059T	CPCT02040254T	CPCT02070344T	CPCT02300043T	CPCT02220047T	CPCT02360011T	CPCT02020711T	CPCT02150016T	CPCT02030258T	CPCT02250010T	DRUP01110005T	DRUP01180001T	CPCT02010863T	CPCT02070352T	CPCT02060179T	CPCT02120148T	CPCT02030500T	CPCT02150017T	CPCT02170029T	CPCT02010886T	CPCT02390029T	CPCT02080243T	CPCT02010890T	CPCT02150018T	CPCT02010896T	CPCT02360022T	CPCT02220053T	CPCT02040267T	CPCT02040266T	CPCT02010891T	CPCT02350007T	CPCT02020830T	CPCT02030383T	CPCT02350008T	CPCT02030289TIII	CPCT02160055T	CPCT02050383T	CPCT02290046T	CPCT02030522T	CPCT02110076T	CPCT02080250T	CPCT02230110T	CPCT02010900T	CPCT02120158T	CPCT02180070T	CPCT02210069T	CPCT02070360T	CPCT02180069T	CPCT02410009T	CPCT02080254T	CPCT02110077T	CPCT02010915T	CPCT02120154T	CPCT02080253T	CPCT02140083T	CPCT02020791T	DRUP01010091T	CPCT02100187T	CPCT02040282T	CPCT02290052T	CPCT02310018T	CPCT02310019T	CPCT02470001T	DRUP01220002T	CPCT02030521T	CPCT02010901T	CPCT02290048T	CPCT02210071T	CPCT02120165T	CPCT02020773T	CPCT02040290T	CPCT02020829T	CPCT02150027T	CPCT02010933T	CPCT02210073T	CPCT02190049T	CPCT02020824T	CPCT02010934T	CPCT02290057T	CPCT02020801T	CPCT02340066TII	CPCT02020795T	CPCT02010939T	CPCT02010936T	CPCT02020807T	CPCT02020597TII	CPCT02050409T	DRUP01020034T	CPCT02010940T	DRUP01210004T	CPCT02060272T	CPCT02130163T	DRUP01220003T	DRUP01210005T	CPCT02450016T	DRUP01120001T	CPCT02220026T	CPCT02010969T	CPCT02010643T	CPCT02040160T	CPCT02140085T	DRUP01080004T	CPCT02080070TII	CPCT02060128T	CPCT02060129T	CPCT02220060T	CPCT02090062T	CPCT02440018T	CPCT02030549T	CPCT02230022T	CPCT02030550T	CPCT02140091T	CPCT02020597T	CPCT02100110T	CPCT02230047T	CPCT02310003T	CPCT02390035T	CPCT02060150T	CPCT02460004T	CPCT02190051T	CPCT02020857T	CPCT02080153T	CPCT02040175T	CPCT02370006T	CPCT02220063T	CPCT02310021T	CPCT02160030T	CPCT02060278T	CPCT02060277T	CPCT02150004T	CPCT02010687T	CPCT02080143T	CPCT02160029T	CPCT02230118T	CPCT02010658T	CPCT02320007T	CPCT02040306T	CPCT02340025T	CPCT02120073T	CPCT02030394T	CPCT02180077T	CPCT02020617T	CPCT02310022T	CPCT02080261T	CPCT02380020T	CPCT02120063T	CPCT02010504T	CPCT02100115T	CPCT02100117T	CPCT02190019T	CPCT02210035T	CPCT02120061T	CPCT02210034T	CPCT02370008T	CPCT02330061T	CPCT02100125T	CPCT02340037T	CPCT02170014T	CPCT02170018T	CPCT02080029T	CPCT02240008T	CPCT02010661T	CPCT02010678T	CPCT02290018T	CPCT02080128T	CPCT02230058T	CPCT02240001T	CPCT02080127T	CPCT02270007T	CPCT02270009T	CPCT02020635T	CPCT02270008T	CPCT02050157T	CPCT02080103T	CPCT02050164T	CPCT02050160T	CPCT02300011T	CPCT02080100T	CPCT02180028T	CPCT02330032T	CPCT02100066T	CPCT02100067T	CPCT02080106T	CPCT02330027T	CPCT02020508T	CPCT02100075T	CPCT02010517T	CPCT02210017T	CPCT02160022T	CPCT02030340T	CPCT02020514T	CPCT02010521T	CPCT02050166T	CPCT02240003T	CPCT02390001T	CPCT02010572T	CPCT02240005T	CPCT02120016T	CPCT02100079T	CPCT02180030T	CPCT02040114T	CPCT02080112T	CPCT02330035T	CPCT02060093T	CPCT02300016T	CPCT02300018T	CPCT02030265TII	CPCT02010593T	CPCT02330037T	CPCT02120033T	CPCT02120029T	CPCT02040123T	CPCT02120024T	CPCT02120008T	CPCT02020539T	CPCT02070168T	CPCT02050183T	CPCT02290011T	CPCT02080122T	CPCT02210020T	CPCT02020545T	CPCT02020541T	CPCT02100093T	CPCT02080125T	CPCT02010535T	CPCT02160027T	CPCT02230021T	CPCT02230025T	CPCT02230028T	CPCT02330042T	CPCT02230036T	CPCT02410001T	CPCT02040138T	CPCT02020561T	CPCT02040134T	CPCT02050215T	CPCT02050209T	CPCT02050210T	CPCT02050218T	CPCT02300021T	CPCT02180038T	CPCT02030367T	CPCT02060121T	CPCT02230044T	CPCT02110042T	CPCT02010628T	CPCT02010633T	DRUP01010037T	CPCT02040145T	CPCT02120047T	CPCT02120051T	CPCT02120052T	CPCT02100105T	CPCT02100102T	CPCT02260008T	CPCT02100067TII	CPCT02210028T	CPCT02100104T	CPCT02020591T	CPCT02010639T	CPCT02080055T	CPCT02180007T	CPCT02080056T	CPCT02040070T	CPCT02040069T	CPCT02290001T	CPCT02100043T	CPCT02020407T	CPCT02210004T	CPCT02100035T	CPCT02010433T	CPCT02100049T	CPCT02290003T	CPCT02030305T	CPCT02100037T	CPCT02080060T	CPCT02010447T	CPCT02060059T	CPCT02100048T	CPCT02040071T	CPCT02050096T	CPCT02010461T	CPCT02100050T	CPCT02020436T	CPCT02160014T	CPCT02230002T	CPCT02160015T	CPCT02080064T	CPCT02080063T	CPCT02010468T	CPCT02300005T	CPCT02100051T	CPCT02160013T	CPCT02080069T	CPCT02080067T	CPCT02010427T	CPCT02330017T	CPCT02050109T	CPCT02070078T	CPCT02210010T	CPCT02080070T	CPCT02050117T	CPCT02080072T	CPCT02080073T	CPCT02040078T	CPCT02080076T	CPCT02010508T	CPCT02080019T	CPCT02190009T	CPCT02010509T	DRUP01010012T	CPCT02020441T	CPCT02140039T	CPCT02040086T	CPCT02060070T	DRUP01020002T	CPCT02100055T	CPCT02220008T	CPCT02300008T	CPCT02010520T	CPCT02020475T	CPCT02020478T	CPCT02010523T	CPCT02050120T	CPCT02050143T	CPCT02050138T	CPCT02010528T	CPCT02110020T	CPCT02300009T	CPCT02020493T	CPCT02020487T	CPCT02020345TII	CPCT02030329T	CPCT02370003T	CPCT02290008T	CPCT02160018T	CPCT02160019T	CPCT02110023T	CPCT02110028T	CPCT02010555T	CPCT02110029T	CPCT02210014T	CPCT02060075T	CPCT02020490T	CPCT02050127T	CPCT02040097T	CPCT02050146T	CPCT02080095T	CPCT02110030T	CPCT02290010T	CPCT02010554T	CPCT02050156T	CPCT02300014T	CPCT02230014T	CPCT02230016T	CPCT02220029T	CPCT02140053T	CPCT02050285T	CPCT02050288T	CPCT02020637T	CPCT02010682T	CPCT02330066T	CPCT02330067T	CPCT02020599T	CPCT02030384T	CPCT02010419TII	CPCT02020493TII	CPCT02010691T	CPCT02210037T	CPCT02040191T	CPCT02190026T	CPCT02390008T	CPCT02190024T	CPCT02010694T	CPCT02230071T	CPCT02230074T	CPCT02100132T	CPCT02330071T	CPCT02380026T	CPCT02080170T	CPCT02380024T	CPCT02040207T	CPCT02340047T	CPCT02360008T	CPCT02080173T	DRUP01080009T	CPCT02030428T	CPCT02300028T	WIDE01010647T	WIDE01010448T	WIDE01010481T	WIDE01010468T	WIDE01010489T	WIDE01010478T	WIDE01010534T	WIDE01010547T	WIDE01010550T	WIDE01010584T	WIDE01010564T	WIDE01010574T	WIDE01010035T	WIDE01010613T	WIDE01010659T	WIDE01010649T	WIDE01010701T	WIDE01010702T
A[Del(C):R1]A	0	2	4	8	1	5	1	6	3	11	2	8	1	2	5	0	1	4	1	3	3	14	10	4	5	3	4	3	4	2	1	1	4	4	15	3	14	2	4	2	7	6	4	5	8	9	2	5	7	2	11	2	3	7	7	0	6	5	7	5	3	2	1	1	0	4	5	2	1	3	6	6	5	6	0	1	2	3	4	3	1	3	2	6	65	3	4	3	1	1	2	8	5	3	5	3	1	1	5	4	4	3	1	10	7	1	9	2	3	11	10	2	2	1	26	19	3	4	3	1	179	11	15	7	6	2	12	13	2	10	4	2	4	1	4	7	1	5	3	6	3	3	11	11	4	5	2	0	1	8	3	0	3	4	5	3	5	0	7	3	0	15	3	1	2	2	2	8	2	3	6	15	0	5	1	7	1	2	5	3	3	4	5	3	1	0	7	1	11	4	3	39	9	2	6	8	1	10	10	1	2	135	1	5	4	2	97	4	5	8	0	7	7	6	4	7	0	3	8	3	3	3	4	1	4	1	5	6	5	4	13	3	1	3	4	3	7	4	3	12	3	1	1	9	9	7	6	6	5	3	4	5	1	6	16	3	3	0	3	5	6	8	4	3	11	4	2	8	0	7	2	3	4	4	3	14	2	5	2	4	5	36	4	2	4	6	5	3	18	3	1	11	9	3	5	3	7	7	7	16	5	1	9	0	1	235	19	2	1	2	4	1	9	2	5	3	170	15	9	8	5	8	3	1	6	4	3	6	7	3	1	4	0	13	9	3	5	5	5	8	5	8	5	6	9	3	4	3	3	33	1	0	5	5	14	0	3	9	4	3	1	10	0	5	1	1	9	8	1	1	1	5	8	6	12	4	5	8	11	8	4	2	4	6	10	3	12	7	6	8	6	2	9	4	6	2	9	2	14	4	8	3	6	6	10	8	1	9	10	4	6	3	4	11	2	5	1	5	5	9	11	0	2	2	8	7	11	0	4	9	10	8	2	2	10	5	5	5	3	2	4	7	1	4	10	4	19	3	5	6	4	0	4	4	6	0	3	10	5	1	2	5	0	8	2	2	3	8	2	6	5	10	2	5	2	3	8	10	3	3	1	9	6	2	1	1	7	3	3	2	6	3	3	3	4	3	3	8	6	3	1	8	5	0	3	4	8	7	8	2	0	4	1	9	2	6	1	7	3	2	1	3	1	78	2	4	8	4	1	0	9	7	12	13	12	8	3	3	1	1	4	5	3	4	3	9	6	5	3	2	5	2	1	3	3	4	5	0	2	3	6	2	6	3	3	6	7	4	4	10	1	3	2	0	9	17	1	7	6	1	109	5	2	16	6	12	3	5	4	3	2	1	9	1	2	9	8	5	4	0	8	38	5	1	6	6	2	4	6	4	1	11	1	5	8	4	5	2	6	6	6	5	7	3	1	3	4	1	3	4	3	7	1	2	2	0	14	4	1	1	3	8	0	10	3	7	1	4	9	3	10	9	1	3	2	12	4	3	6	2	1	11	7	2	6	2	17	6	1	0	4	0	8	5	5	3	5	2	10	3	5	6	3	0	3	5	7	1	11	0	9	6	2	2	11	4	8	3	8	8	5	6	0	6	5	4	2	0	0	5	9	3	0	8	1	3	2	1	4	2	1	8	1	5	5	3	2	6	3	10	8	5	8	4	2	7	3	5	5
A[Del(C):R1]G	0	0	0	1	1	2	0	2	0	1	1	1	0	1	0	0	1	0	0	1	2	1	0	0	0	1	0	1	1	0	0	0	1	0	1	4	3	0	0	0	0	6	1	0	0	3	2	1	3	1	1	0	2	1	0	0	0	1	0	1	2	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	2	1	1	0	0	1	1	1	3	0	0	0	1	1	0	0	2	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	1	2	1	2	1	0	1	1	0	0	3	1	22	3	2	2	3	0	0	1	2	1	0	0	1	0	1	0	1	0	1	0	1	1	1	0	2	0	2	0	0	2	0	0	0	3	1	1	3	0	0	1	0	2	0	1	0	0	0	0	0	2	0	1	1	1	1	5	2	0	0	1	2	0	1	0	0	1	0	0	0	1	0	3	0	0	1	0	0	2	2	1	0	20	0	0	0	0	4	1	0	5	0	5	1	1	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	0	0	0	0	3	1	2	0	1	0	0	1	0	0	0	2	0	0	1	0	0	3	1	2	0	1	0	0	0	1	0	0	0	1	0	1	3	0	3	0	1	0	5	2	0	0	0	1	0	1	0	1	2	0	0	0	2	0	1	2	2	1	0	3	0	0	24	2	0	1	0	0	0	0	1	1	0	21	2	3	0	0	0	2	0	0	0	1	0	2	0	1	1	1	1	1	0	2	2	1	2	1	4	0	0	1	3	0	1	0	4	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	2	0	1	0	1	1	0	2	1	2	0	0	0	0	0	0	0	2	1	0	2	1	1	1	1	2	0	3	2	0	2	1	1	2	1	1	1	0	1	1	0	0	1	0	1	0	1	0	3	0	3	0	1	0	0	2	3	1	1	0	3	1	0	0	1	1	1	2	0	0	0	2	0	3	0	1	1	0	0	1	0	2	0	0	0	0	0	1	0	3	0	0	1	0	3	1	1	1	2	1	0	1	0	2	2	0	0	1	0	3	1	1	4	1	0	1	0	0	0	0	1	1	0	0	2	0	0	2	1	0	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	3	0	0	0	1	1	5	0	0	0	0	0	0	1	0	2	3	0	1	1	0	0	0	0	0	0	1	1	2	2	1	0	0	1	3	2	3	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	6	0	1	0	1	2	0	0	2	0	1	2	3	0	2	0	0	0	0	1	1	0	2	1	0	3	9	1	1	4	0	0	0	0	2	1	1	0	0	4	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	2	1	1	3	1	0	1	1	1	1	0	2	0	1	1	1	0	0	2	0	3	3	0	1	2	0	0	0	0	1	1	0	0	0	2	0	0	0	2	2	0	0	1	0	0	6	0	4	3	1	1	2	0	1	3	0	0	1	1	0	0	2	0	1	1	0	1	1	2	0	3	0	0	1	0	1	0	0	1	5	0	0	1	0	0	2	0	0	0	1	1	0	2	0	0	2
A[Del(C):R1]T	1	4	1	11	2	2	2	5	1	7	0	2	4	1	5	2	5	9	2	0	3	23	7	2	0	2	2	0	3	2	0	3	9	2	6	5	8	2	2	5	7	5	2	3	2	6	5	2	9	2	6	1	3	4	1	0	9	4	8	1	2	1	0	1	3	2	6	2	2	2	1	4	8	3	2	2	1	0	7	2	1	0	3	4	9	3	2	1	0	2	2	3	3	3	1	6	2	1	10	8	4	4	0	6	4	2	1	5	1	6	7	2	2	0	20	5	5	5	2	2	25	19	10	3	5	1	15	12	3	1	3	2	1	3	16	8	0	8	3	5	1	1	2	7	6	1	1	0	0	13	2	1	4	4	2	3	7	3	4	1	0	18	2	1	2	1	2	4	2	0	3	12	1	7	3	6	1	3	2	2	2	2	4	5	2	1	0	1	6	9	3	8	9	4	4	3	1	9	17	1	4	28	2	2	2	1	12	2	12	6	0	4	3	4	8	14	2	0	2	0	1	5	3	1	3	1	16	6	3	1	14	0	0	2	4	1	6	3	1	9	3	0	3	5	4	8	6	6	3	2	1	2	2	3	16	1	0	3	4	4	5	3	8	1	14	1	2	5	1	1	1	5	1	2	2	15	6	2	1	3	2	6	6	1	3	4	5	1	17	3	1	9	4	2	6	1	7	7	4	17	4	1	12	2	0	27	12	3	0	2	5	2	5	1	4	1	34	14	4	3	6	2	2	4	5	1	4	5	8	1	1	3	1	12	2	1	4	10	1	4	0	1	7	7	10	4	2	0	2	6	5	5	7	2	16	1	0	4	2	1	1	13	2	3	0	2	3	6	3	4	2	0	3	7	16	9	8	5	5	8	3	2	1	5	4	3	5	7	1	10	3	2	5	0	9	1	12	2	7	4	6	3	5	6	1	11	1	7	9	3	1	2	4	6	1	8	7	1	2	5	4	1	4	0	7	10	9	3	4	11	5	0	0	2	15	3	2	0	8	1	1	1	3	7	4	5	18	3	4	12	0	2	4	1	0	1	1	5	5	0	1	5	1	3	3	0	4	9	1	3	14	25	0	3	4	2	8	11	6	2	3	7	5	1	1	4	5	2	0	4	1	3	2	9	0	1	3	8	1	2	2	6	2	0	2	4	4	4	6	2	0	2	0	4	1	2	4	1	3	5	1	0	3	14	2	5	2	2	4	1	2	1	5	14	5	10	1	5	5	1	4	12	4	3	1	8	8	5	1	3	1	0	0	6	1	3	6	1	0	5	1	2	1	4	1	4	5	5	6	5	1	5	1	2	5	3	0	3	8	1	18	1	0	27	2	6	2	4	4	1	3	1	8	0	1	8	7	2	6	0	7	12	2	0	6	1	0	0	0	3	1	16	1	5	3	2	2	2	0	6	4	2	11	1	0	1	3	2	1	2	4	7	3	4	3	2	19	1	2	2	3	7	1	9	3	5	0	3	5	2	4	6	4	0	4	2	3	9	4	0	0	10	5	4	1	3	26	5	1	3	1	1	9	2	1	2	4	1	8	0	1	3	1	1	3	2	0	1	11	5	7	4	1	1	2	0	6	3	9	6	3	5	1	2	6	7	5	1	1	6	9	9	1	6	1	0	1	0	4	2	1	2	3	13	7	4	0	5	0	4	2	1	14	2	3	5	0	4	0
A[Del(C):R2]A	0	2	1	3	2	2	1	1	0	5	2	2	2	2	1	5	4	3	0	1	1	5	3	3	1	3	1	1	0	2	2	0	2	1	2	1	5	1	7	2	1	3	3	1	2	3	1	1	2	3	4	2	1	2	3	1	3	1	0	0	1	3	2	1	1	2	6	1	0	1	4	0	3	2	1	3	0	0	1	2	0	0	1	0	13	1	1	1	0	5	1	2	1	1	4	2	3	1	1	4	2	0	1	2	2	2	6	5	0	2	3	1	0	1	2	4	0	2	5	1	34	9	2	2	1	1	1	2	0	2	0	2	1	2	3	7	2	4	2	0	3	1	0	2	1	4	2	1	2	4	2	0	1	4	3	0	3	0	4	0	2	5	1	0	2	1	1	2	3	1	1	2	0	5	2	2	0	0	1	0	0	1	4	1	1	1	0	1	2	3	1	51	5	1	4	1	4	4	7	2	1	31	2	1	1	0	20	0	1	2	0	0	2	0	2	1	1	1	1	1	1	2	1	0	1	0	2	3	1	1	2	0	1	2	3	0	4	2	0	7	1	0	0	2	2	3	3	4	1	0	0	1	2	2	6	0	1	0	1	1	5	3	5	1	5	0	1	7	1	0	0	0	4	1	0	0	0	4	2	2	0	37	4	4	2	2	1	0	12	2	0	2	2	1	4	1	2	1	2	8	1	0	5	1	0	60	11	1	1	0	1	0	1	2	2	0	39	6	5	3	8	2	3	0	4	0	2	0	4	2	1	1	1	4	1	2	1	2	3	2	1	1	0	3	1	3	1	1	2	37	3	0	4	3	4	1	1	5	1	1	2	1	0	3	0	1	1	6	1	3	0	1	4	4	10	2	2	1	2	2	2	3	1	3	6	1	3	5	2	6	1	2	5	2	3	2	6	1	7	1	2	2	5	3	2	3	1	1	6	1	2	2	1	1	0	2	0	1	4	2	5	1	6	2	3	4	4	1	1	5	3	2	0	1	3	3	2	0	0	0	4	1	0	2	0	4	3	1	4	4	0	0	0	2	2	0	2	2	5	1	2	2	0	1	4	1	2	4	1	4	3	1	0	5	1	0	2	3	4	2	0	2	4	5	1	7	0	0	4	3	0	4	0	3	1	0	0	2	0	3	2	3	1	0	0	2	2	4	0	1	0	5	0	6	2	0	1	1	4	1	1	2	2	14	3	0	1	0	1	0	4	3	3	7	1	4	2	6	0	0	0	2	1	2	0	5	1	1	4	0	0	0	1	1	0	2	1	2	0	4	0	2	1	0	2	1	2	2	5	3	3	2	2	0	6	15	0	2	2	2	16	2	0	1	0	1	1	2	3	3	3	0	2	0	0	1	8	1	4	2	2	12	3	0	2	1	0	1	1	2	1	3	0	2	1	3	2	1	0	0	3	6	2	0	0	1	0	3	1	0	1	2	0	1	0	0	7	0	0	1	0	4	4	5	0	6	2	0	1	2	8	1	0	1	4	8	1	1	1	0	2	1	1	1	4	2	3	3	1	1	2	0	4	2	1	1	1	1	2	2	1	1	3	0	0	0	2	1	2	4	4	4	1	0	3	1	3	2	3	2	0	1	2	2	3	3	1	1	1	5	5	4	0	5	1	1	2	0	2	0	3	1	2	2	3	1	0	6	0	3	0	1	7	0	0	4	1	7	0
