MutationType	DRUP01010001T	CPCT02010424T	CPCT02010349T	CPCT02020325T	CPCT02030246T	CPCT02070010T	CPCT02010370T	CPCT02010369T	CPCT02070013T	CPCT02060018T	CPCT02060022T	CPCT02070009T	CPCT02010398T	CPCT02010408T	CPCT02030246TII	CPCT02010386T	CPCT02020309T	CPCT02080045T	CPCT02020398T	CPCT02010392T	CPCT02090003T	CPCT02060274T	CPCT02020650T	CPCT02080181T	DRUP01340015T	CPCT02070436T	CPCT02050225TII	DRUP01070031T	CPCT02070278T	CPCT02010732T	CPCT02060181T	CPCT02080175T	CPCT02020903T	CPCT02070441T	CPCT02080181TII	CPCT02070290T	DRUP01090011T	CPCT02080297T	CPCT02010680T	CPCT02090064T	CPCT02020937T	CPCT02090065T	CPCT02060191T	CPCT02060192T	CPCT02011090T	CPCT02070463T	CPCT02011094T	CPCT02030458T	CPCT02060282T	DRUP01090012T	CPCT02090042T	CPCT02340078T	WIDE01010040T	CPCT02020683T	CPCT02020691T	DRUP01010077T	DRUP01050021T	CPCT02080206T	CPCT02060292T	CPCT02060290T	CPCT02090044T	WIDE01010138T	CPCT02130062T	WIDE01010160T	CPCT02020706T	CPCT02070313T	WIDE01010187T	WIDE01010169T	CPCT02100161T	CPCT02070317T	WIDE01010239T	WIDE01010233T	CPCT02070322T	WIDE01010262T	WIDE01010267T	WIDE01010293T	WIDE01010167T	CPCT02060211T	DRUP01080012T	WIDE01010356T	WIDE01010374T	WIDE01010393T	CPCT02090036T	CPCT02340018TII	CPCT02340088T	WIDE01010452T	CPCT02080227T	CPCT02060230T	CPCT02020750T	CPCT02060241T	CPCT02060245T	CPCT02070319T	CPCT02010856T	CPCT02090052T	CPCT02090053T	CPCT02070357T	CPCT02090057T	CPCT02270035T	CPCT02060254T	CPCT02070365T	CPCT02060258T	CPCT02080247T	CPCT02020794T	CPCT02020790T	CPCT02060253T	CPCT02020775T	CPCT02030513T	CPCT02380051T	CPCT02080248T	CPCT02070371T	CPCT02070366T	CPCT02050392T	CPCT02130147T	CPCT02020812T	CPCT02020820T	DRUP01090014T	CPCT02060240T	DRUP01060024T	CPCT02020848T	CPCT02010648T	CPCT02060130T	CPCT02010649T	CPCT02060127T	CPCT02340106T	CPCT02150034T	CPCT02030415T	CPCT02060235T	CPCT02010625T	CPCT02060275T	CPCT02340026T	CPCT02090063T	CPCT02010549T	CPCT02060066T	CPCT02020450T	CPCT02010406TII	CPCT02050167T	CPCT02110036T	CPCT02010599T	CPCT02010595T	CPCT02100091T	CPCT02060104T	CPCT02010600T	CPCT02110040T	CPCT02340018T	CPCT02050225T	CPCT02040141T	CPCT02340020T	CPCT02080139T	CPCT02060061T	CPCT02070051T	CPCT02010408TII	CPCT02010429T	CPCT02020438T	CPCT02040072T	CPCT02020428T	CPCT02010494T	CPCT02070095T	DRUP01070006T	DRUP01070005T	CPCT02020465T	CPCT02030325T	CPCT02090011T	CPCT02060071T	DRUP01070010T	CPCT02070111T	CPCT02070098T	CPCT02090012T	DRUP01090001T	CPCT02070108T	CPCT02010548T	CPCT02090014T	CPCT02010559T	CPCT02080102T	CPCT02030422T	CPCT02070249T	DRUP01070029T	CPCT02070247T	DRUP01010053T	DRUP01100003T	CPCT02070257T	CPCT02340046T	DRUP01080008T	DRUP01340002T	CPCT02010715T	WIDE01010465T	WIDE01010487T	WIDE01010492T	WIDE01010497T	WIDE01010521T	WIDE01010519T	WIDE01010527T	WIDE01010517T	WIDE01010699T	WIDE01010713T
A[Ins(T):R(5,7)]A	3	9	0	4	2	9	0	11	10	6	5	7	4	4	4	7	9	4	3	1	7	8	4	5	2	10	4	13	2	8	4	8	1	11	6	4	8	4	0	4	6	6	10	0	2	3	1	2	1	9	4	2	6	10	11	8	37	2	9	1	8	6	10	14	0	3	4	16	22	5	11	13	1	4	15	0	2	2	5	2	3	9	16	8	3	9	9	14	1	4	4	3	4	7	3	17	0	7	5	2	2	5	12	2	1	6	4	2	3	2	1	3	17	7	1	13	7	18	0	2	9	12	12	2	14	8	3	6	4	2	10	2	1	4	1	2	1	7	3	2	1	5	21	7	6	2	3	0	14	3	4	0	4	3	3	4	5	1	7	0	7	6	10	6	1	8	4	11	0	0	7	5	10	3	12	14	2	8	5	22	0	7	2	3	6	3	1	2	17	3	0	0	2	12
A[Ins(T):R(5,7)]C	6	8	2	3	3	4	1	11	7	5	3	12	1	3	3	14	13	7	0	2	12	7	6	3	2	17	5	10	2	10	3	8	3	6	3	5	7	6	2	7	7	8	12	1	1	7	1	3	3	17	4	0	3	6	5	7	69	3	18	2	9	9	4	6	0	6	7	21	29	11	11	14	3	4	9	0	3	5	9	5	0	7	18	4	3	10	6	32	0	3	1	3	6	4	1	20	0	6	9	1	2	6	10	5	2	3	7	3	5	4	1	2	28	5	2	21	13	28	0	0	2	21	8	6	20	9	3	13	5	2	9	2	1	6	0	4	0	2	9	11	0	7	20	5	7	3	2	0	16	5	2	0	3	4	1	4	8	0	7	0	10	6	8	6	0	6	4	4	1	3	10	8	6	2	10	17	3	6	14	11	2	5	1	2	6	4	3	3	28	6	0	1	2	17
A[Ins(T):R(5,7)]G	1	8	1	5	4	4	1	12	11	5	3	8	2	5	5	11	12	8	2	2	4	11	4	2	5	18	2	19	6	7	6	5	1	3	3	7	7	3	1	1	11	4	5	4	2	4	0	1	6	7	3	1	1	6	9	7	45	3	10	3	9	7	2	8	0	2	4	26	32	8	8	3	2	0	10	0	2	3	8	2	3	13	23	5	2	13	5	16	2	1	4	3	7	6	3	24	0	5	8	2	3	10	12	2	1	4	7	0	2	0	4	8	22	6	6	26	9	25	1	0	3	8	10	3	7	3	2	6	6	1	7	2	2	3	1	7	1	1	5	6	0	7	15	7	5	3	6	0	19	3	5	1	1	5	0	4	7	3	9	1	2	7	12	9	2	9	10	8	2	5	9	11	8	5	5	10	2	2	8	17	1	10	1	3	6	2	5	0	25	4	0	1	9	22
C[Ins(T):R(5,7)]A	1	4	0	2	2	6	1	6	5	0	0	3	3	1	1	2	2	4	0	0	5	8	2	1	1	4	2	2	1	6	4	3	1	1	1	4	4	1	2	1	1	2	3	0	0	1	1	0	2	6	3	0	1	2	1	6	19	0	0	1	3	0	3	6	1	1	1	10	12	3	3	5	2	3	9	0	0	3	4	3	2	3	11	1	0	4	2	10	0	1	1	1	2	1	2	15	0	7	2	0	2	3	6	0	0	1	5	0	2	1	0	2	6	1	3	13	6	7	0	1	3	2	5	1	1	2	1	4	3	0	2	1	1	0	1	2	1	1	1	0	0	4	6	2	4	1	2	0	11	1	1	0	2	0	0	1	2	0	3	0	4	1	8	2	1	4	2	4	1	2	3	5	6	2	3	4	1	1	1	8	1	4	1	2	0	1	1	2	12	2	0	0	1	11
C[Ins(T):R(5,7)]C	1	5	0	0	1	5	0	4	3	1	2	5	3	2	1	8	4	3	1	0	3	7	3	6	3	11	2	6	3	2	2	7	2	3	6	2	4	2	2	2	4	4	5	1	1	3	1	0	1	7	5	1	1	2	5	1	26	1	6	1	4	2	3	8	1	1	3	13	10	6	2	9	2	0	9	0	0	4	5	5	1	5	15	1	0	5	1	21	0	0	2	2	3	4	0	7	0	4	0	0	0	3	2	0	2	2	2	1	3	0	0	0	18	3	4	5	2	11	0	0	2	7	1	5	10	2	1	5	0	0	5	3	3	2	1	1	0	1	1	2	0	8	10	1	3	3	2	0	9	5	1	0	2	1	0	3	11	0	6	0	4	3	12	4	0	4	0	6	1	0	3	6	1	1	3	8	0	4	3	3	0	2	0	2	3	3	0	0	12	1	1	1	3	8
C[Ins(T):R(5,7)]G	3	4	1	1	1	3	0	3	3	1	3	3	2	4	2	6	3	5	2	0	3	8	4	2	1	8	0	4	1	4	3	2	1	3	2	2	2	0	0	1	4	1	5	0	1	2	0	3	0	4	4	0	4	4	4	4	18	1	4	1	1	1	1	3	1	0	1	13	16	8	3	6	1	2	10	0	2	3	5	2	1	6	13	3	2	10	4	11	1	1	2	3	5	0	0	11	0	5	2	0	0	3	5	2	1	2	4	0	0	0	1	1	16	3	3	9	5	11	0	1	2	6	3	1	9	2	0	5	3	1	1	1	1	0	0	3	0	4	2	4	0	5	9	3	2	3	1	1	9	2	4	0	3	2	0	3	6	1	2	1	6	1	8	6	2	3	2	1	1	0	3	4	4	1	8	4	0	1	4	6	0	4	1	2	0	2	2	1	6	1	0	0	0	8
G[Ins(T):R(5,7)]A	3	3	0	0	2	2	0	8	5	1	0	2	1	1	2	6	1	4	2	0	4	2	3	2	2	3	1	5	0	5	0	0	0	3	2	2	2	2	1	2	3	0	3	1	2	1	1	0	0	3	1	0	5	2	3	5	21	1	6	0	4	1	3	3	0	2	0	11	14	2	1	7	4	1	0	1	3	3	4	1	1	7	13	4	2	3	1	2	0	1	2	0	4	2	1	10	0	2	4	1	2	2	4	0	1	1	3	0	2	1	1	0	2	3	2	5	7	7	0	1	1	2	2	1	5	2	4	2	1	1	2	1	1	2	0	5	0	2	0	1	0	0	7	2	1	2	4	0	6	2	1	0	4	3	0	1	3	0	2	0	5	2	2	0	0	3	1	4	0	1	3	0	4	1	3	3	1	4	4	7	0	4	1	0	2	0	0	0	9	1	0	0	1	6
G[Ins(T):R(5,7)]C	2	7	0	4	2	3	0	9	1	2	1	6	2	3	7	7	3	4	5	0	3	3	3	1	5	5	3	4	0	3	1	2	0	4	2	5	3	4	2	1	3	4	2	0	1	1	1	1	1	8	2	0	2	2	4	3	37	0	2	1	3	4	2	13	1	1	2	15	13	6	7	11	2	0	7	1	1	0	6	2	1	6	8	4	2	2	1	12	0	1	1	0	1	2	0	8	0	5	7	3	1	8	5	1	3	1	2	1	5	1	0	1	12	2	0	11	1	5	0	0	1	11	5	3	12	5	4	5	4	2	3	1	1	2	0	3	0	2	1	3	0	6	6	5	2	3	1	0	10	1	3	0	4	3	0	1	3	1	5	0	8	3	8	1	0	1	4	3	1	1	4	4	6	1	8	4	2	2	4	7	1	5	2	1	1	1	0	0	5	1	0	0	0	12
G[Ins(T):R(5,7)]G	5	4	1	2	2	5	1	6	4	5	2	4	4	3	2	6	8	6	3	0	5	5	2	4	1	5	4	7	1	6	0	4	2	0	3	3	7	3	0	3	5	4	4	0	2	3	0	1	0	6	4	0	1	3	8	4	27	0	4	0	2	5	1	2	0	2	1	17	15	1	4	6	0	1	9	0	1	4	6	3	1	4	8	8	2	5	3	12	0	2	4	1	3	2	2	16	0	4	4	3	0	1	4	3	0	2	3	1	1	1	1	3	14	4	2	6	5	12	0	1	4	13	11	3	7	4	3	10	3	1	1	1	1	0	1	4	1	1	3	3	0	6	8	6	3	6	4	0	6	3	4	1	1	2	1	2	6	0	4	0	6	4	7	4	0	4	2	1	1	2	6	3	3	2	5	9	1	6	3	2	0	3	0	1	3	1	1	2	9	3	0	0	2	10
A[Ins(T):R(8,)]A	3	7	1	5	2	2	4	15	6	4	5	9	5	6	2	13	12	6	4	0	7	6	3	5	3	13	10	13	2	11	3	8	1	12	7	4	8	2	3	5	6	6	10	0	0	7	1	2	3	11	3	2	5	10	7	10	53	2	6	1	2	5	8	9	0	2	5	23	24	10	9	19	1	5	10	0	1	4	7	3	4	6	14	5	4	9	9	16	0	4	2	4	6	4	4	20	0	8	6	3	0	7	12	4	1	5	9	1	3	4	1	2	33	6	6	14	9	29	1	0	7	24	11	3	14	7	3	8	6	0	2	0	2	3	1	2	1	6	5	4	0	9	25	3	11	7	4	0	17	6	6	10	3	4	40	2	11	2	10	1	10	5	16	13	0	13	5	9	3	6	14	9	6	5	14	8	1	5	8	10	1	6	0	2	2	3	1	4	22	2	0	1	3	25
