MutationType	SP117655	SP117556	SP117627	SP117775	SP117332	SP117712	SP117017	SP117031	SP117759	SP117621	SP117425	SP117930	SP99287	SP99293	SP99289	SP99297	SP99301	SP99305	SP99309	SP99313	SP99317	SP99321	SP99325	SP99329	SP99333	SP99337	SP99341	SP99345	SP99113	SP99185	SP99209	SP99213	SP99221	SP99225	SP99241	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
1:Del:T:4	35	15	4	21	1	11	3	18	34	17	7	34	5	9	11	0	107	6	10	10	1	7	5081	8	4	7	6	1	2	12	14	12	1	13	20	5	11	2	7	6	17	5	3	5	3	11	5	11	12	30	6	13	3	72	3	17	10	6	6	12	19	21	7	2267	18	3117	1686	9	2	3	7	14	13	10	12	5	7	4	7	5	13	13	84	6	19	84	9	19	21	9	8	15	11	4	1	35	6	9	6	4	6	10	20	10	10	8	5	1	24	21	54	28	28	8	14	10	8	7	5	2
1:Del:T:5	349	136	50	217	12	25	19	164	388	106	87	261	6	13	29	1	561	11	25	11	0	33	75876	11	10	27	17	1	3	9	17	72	0	9	40	96	32	42	179	16	222	74	17	47	17	202	20	61	112	289	20	79	27	695	20	305	81	33	36	55	548	296	55	45729	270	64100	33138	37	18	15	21	79	61	172	113	26	23	21	6	37	235	60	775	25	165	1788	28	29	184	15	115	138	212	26	45	616	37	73	19	30	102	93	124	72	92	71	16	7	124	273	1033	166	313	45	172	112	71	24	12	13
1:Ins:C:0	19	6	2	6	0	2	0	16	14	7	21	7	0	1	7	1	0	1	5	3	0	0	277	1	0	4	2	0	0	0	2	2	1	2	7	5	4	5	20	41	11	7	6	2	1	7	3	5	9	1	6	15	6	12	1	8	4	3	4	2	22	10	4	84	25	102	49	3	1	0	7	14	1	68	5	3	16	3	1	3	2	2	15	3	5	73	4	5	33	7	7	7	5	4	6	7	3	1	4	3	2	7	53	6	4	3	2	0	7	25	107	35	7	0	6	2	3	5	3	6
1:Ins:C:1	1	0	0	1	1	2	2	0	1	2	0	2	0	2	2	0	1	1	1	3	0	1	40	1	0	1	0	0	1	0	2	0	0	0	3	2	3	1	4	11	8	5	2	1	2	4	0	2	4	3	1	6	6	5	2	6	7	1	4	3	1	3	4	22	2	40	18	2	2	5	2	6	1	3	2	5	5	1	2	5	6	3	7	3	0	12	6	6	7	2	3	3	1	2	1	2	3	2	0	1	3	5	2	1	0	2	2	0	1	3	14	6	2	1	2	1	1	6	1	1
1:Ins:C:2	2	1	0	1	0	2	1	3	0	6	1	1	1	0	2	0	0	0	0	0	1	0	43	1	1	3	1	0	0	0	2	0	0	0	1	1	1	2	1	1	0	1	0	0	1	5	3	1	4	0	1	0	1	5	0	1	3	0	1	1	5	4	3	10	1	30	9	2	1	0	1	0	1	0	0	3	2	0	2	3	3	2	6	2	1	5	5	2	3	0	0	0	2	1	0	2	4	1	1	2	2	2	1	2	1	1	0	1	3	1	1	3	2	1	3	2	0	1	0	1
1:Ins:C:3	4	1	1	2	0	0	0	0	1	0	3	2	0	1	3	0	2	0	0	2	0	0	119	1	0	1	1	0	0	1	1	0	0	0	5	4	4	2	3	3	2	2	1	3	1	2	1	0	3	0	2	2	1	6	3	4	1	1	1	1	6	1	1	39	2	71	29	1	1	0	1	2	3	3	1	1	0	3	0	1	1	0	3	3	3	2	0	4	2	2	0	1	0	2	3	7	2	4	0	0	3	3	0	1	1	2	0	0	1	2	3	5	2	2	2	0	0	0	0	1
1:Ins:C:4	3	2	1	3	0	1	1	0	1	2	3	4	0	0	1	0	8	0	1	0	0	0	338	0	0	1	2	0	0	0	1	0	0	1	4	3	1	2	1	0	0	1	0	1	1	3	3	1	0	2	2	2	2	4	0	2	0	1	0	0	8	8	0	179	4	265	148	2	3	1	3	2	0	3	0	4	1	2	0	4	0	4	7	3	0	9	1	1	6	1	0	2	4	0	7	1	1	2	0	0	1	2	3	3	1	0	0	0	3	3	5	6	7	4	2	0	2	2	0	1
1:Ins:C:5	16	9	5	9	0	13	12	14	26	14	11	44	1	0	5	1	12	3	6	2	1	1	1551	0	3	7	2	0	0	1	3	7	0	1	4	8	8	10	13	7	18	10	4	7	3	9	4	4	18	14	8	15	15	16	3	30	16	1	6	5	26	28	5	1155	11	1706	881	3	8	6	5	11	5	14	5	20	8	1	1	27	3	15	23	10	12	86	11	4	31	4	13	10	17	2	15	28	9	10	5	4	13	12	9	14	9	5	3	5	20	29	47	31	15	5	16	2	3	4	5	5
1:Ins:T:0	6	3	2	7	1	4	2	4	8	8	2	16	0	3	5	0	1	3	2	2	0	2	127	0	1	1	4	1	3	4	2	2	0	0	4	5	4	6	11	18	11	3	3	8	0	5	3	4	5	9	5	9	4	15	2	9	11	2	8	7	14	10	4	128	9	213	75	5	4	6	7	9	8	14	2	2	15	4	4	10	8	5	29	5	14	33	11	8	25	5	7	4	10	3	6	14	7	4	2	2	7	6	11	8	6	2	1	3	9	8	27	21	7	1	11	3	4	1	6	4
1:Ins:T:1	13	7	7	7	2	7	6	8	18	13	8	9	6	21	18	5	2	8	10	11	8	1	145	5	9	6	6	2	3	8	10	13	0	6	26	8	3	9	7	6	5	4	8	5	5	12	11	9	16	9	13	13	4	12	2	34	15	5	7	8	8	13	4	43	10	69	27	5	9	5	10	14	5	9	8	7	14	1	6	8	14	16	17	11	14	24	10	17	18	9	5	5	12	2	9	26	7	9	6	11	4	8	11	8	7	5	10	6	7	10	17	18	15	4	4	5	5	5	2	6
1:Ins:T:2	10	5	4	9	4	5	4	7	10	7	4	10	3	7	8	0	13	2	3	2	0	5	931	5	4	2	1	1	2	11	7	5	1	3	9	4	5	7	3	2	8	4	6	6	8	8	2	6	9	14	10	13	6	10	2	23	13	2	10	5	5	9	4	112	12	457	156	6	3	0	5	13	3	8	5	4	6	3	1	6	6	7	13	8	15	24	8	11	7	5	9	4	11	4	4	18	3	6	2	1	3	2	7	7	2	2	0	5	13	2	15	7	4	4	5	3	7	3	0	4
1:Ins:T:3	7	6	3	3	0	5	0	8	11	8	3	10	1	4	6	0	11	1	3	9	2	2	558	2	4	1	4	0	1	8	10	3	0	2	10	2	4	7	4	3	8	8	5	6	2	6	2	10	5	9	7	10	2	4	4	9	4	1	6	5	9	14	1	81	9	297	101	2	3	2	4	9	3	10	2	4	5	2	4	5	5	3	6	7	10	30	7	10	15	4	2	2	5	5	4	17	2	7	4	2	6	6	13	10	3	2	3	1	9	4	12	5	7	3	8	1	0	1	2	3
1:Ins:T:4	15	13	6	7	1	4	7	11	15	9	9	24	3	4	6	1	12	3	11	1	0	4	560	2	2	11	4	0	0	6	3	6	1	1	5	5	6	7	5	3	8	4	4	5	3	4	10	7	5	9	5	10	6	7	3	12	8	1	6	4	10	13	2	205	10	442	157	1	2	4	3	9	6	17	11	11	8	2	2	12	8	9	10	2	7	48	7	4	14	4	3	4	5	5	7	19	3	6	2	3	9	8	8	2	6	6	0	1	12	11	16	9	14	4	7	5	7	5	6	3
1:Ins:T:5	379	352	172	266	32	124	161	420	538	294	142	831	47	49	130	4	208	67	188	63	3	77	19768	16	96	206	148	9	1	43	124	204	3	40	124	167	208	232	234	54	387	183	43	166	119	313	163	206	325	300	161	272	177	323	47	432	289	70	220	235	550	635	82	9199	669	19059	8417	156	128	85	183	265	203	330	142	459	228	63	59	594	254	288	386	181	292	1690	205	108	865	87	221	216	436	153	347	554	152	220	84	124	403	324	196	275	253	98	8	58	475	520	985	327	308	85	324	88	144	80	64	76
2:Del:R:0	10	3	3	12	2	4	4	4	8	6	8	4	3	2	6	0	3	4	3	1	2	2	189	2	0	4	6	0	0	3	8	2	1	3	9	1	5	10	5	1	10	4	6	2	1	7	6	9	12	10	8	10	3	15	3	9	14	4	2	4	12	15	4	233	8	302	134	5	5	8	5	10	6	5	5	2	10	6	1	3	5	6	10	5	11	29	5	17	7	6	5	3	10	4	4	12	6	3	0	3	5	7	12	3	5	4	2	4	8	4	22	10	6	3	8	1	7	12	5	7
2:Del:R:1	11	4	5	15	6	14	7	13	16	13	14	6	1	2	11	0	12	9	3	9	0	3	592	6	3	5	5	0	0	6	10	7	0	3	12	7	8	32	11	3	15	5	3	4	2	7	6	14	16	14	4	6	6	11	2	16	10	1	4	1	24	24	8	365	17	479	275	8	6	4	5	6	10	9	6	8	9	3	4	8	8	10	12	8	10	47	6	27	17	4	9	5	14	5	2	20	10	8	2	8	10	8	10	10	7	4	1	4	11	8	42	24	13	6	8	4	7	6	11	10
2:Del:R:2	6	1	2	5	2	8	0	1	3	1	1	7	0	2	2	0	9	1	4	0	0	0	323	0	0	3	2	1	3	7	1	3	1	2	5	2	1	3	3	1	4	2	0	0	2	3	2	6	10	6	1	4	1	3	0	7	3	2	2	3	8	8	1	161	6	239	118	3	2	2	0	3	1	4	4	0	5	1	1	0	1	3	4	3	1	13	4	1	1	4	1	2	4	3	2	4	3	3	1	1	3	4	6	1	3	4	2	1	3	7	12	4	5	2	3	2	2	5	2	1
2:Del:R:3	0	1	0	2	0	1	1	2	0	1	3	3	0	0	2	0	9	0	2	0	0	1	1639	0	1	1	1	0	0	0	0	1	0	0	2	2	2	6	2	0	1	2	1	0	0	3	0	2	2	1	3	1	0	6	1	2	3	1	3	0	7	2	0	510	2	1003	399	1	3	2	3	1	1	0	0	2	5	1	0	3	3	3	6	1	3	9	2	2	3	1	0	1	4	2	0	6	0	1	0	1	2	1	3	2	1	0	0	1	3	2	11	4	2	0	0	1	2	1	1	3
2:Del:R:4	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	5	0	0	1	0	0	866	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	2	0	1	0	1	1	1	0	1	0	2	2	4	1	2	0	1	0	2	2	1	0	0	253	2	509	243	2	0	0	0	4	0	0	0	1	0	0	1	1	1	1	1	1	0	3	0	4	1	2	1	0	1	0	0	2	0	0	0	0	1	0	0	1	3	1	1	0	1	0	7	3	2	0	3	0	0	1	3	1
2:Del:R:5	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	6	0	0	0	0	0	1711	0	2	0	0	0	0	0	0	0	0	0	0	0	2	5	1	0	2	8	0	1	0	2	2	2	2	3	1	1	1	4	1	3	4	0	3	1	11	1	1	785	2	1538	814	1	4	0	1	2	1	1	0	0	3	0	0	0	2	2	4	1	0	17	2	3	1	2	1	1	3	1	1	6	3	0	0	0	0	4	1	6	0	1	3	2	5	3	7	5	1	3	2	1	2	2	3	1
3:Del:R:0	2	1	2	3	0	4	1	4	3	2	1	5	2	0	1	0	2	1	3	3	0	0	32	4	0	5	0	0	0	3	5	1	1	2	1	0	1	1	1	0	3	3	1	0	1	4	0	4	3	3	6	3	2	3	0	1	2	1	1	2	5	6	2	87	6	127	61	2	2	2	1	1	4	1	4	0	1	2	4	2	6	4	6	1	1	7	4	12	8	2	0	2	5	4	3	3	3	2	0	1	8	3	4	4	0	1	1	1	1	1	1	10	2	2	1	0	3	3	3	1
3:Del:R:1	21	7	11	19	3	8	4	5	30	15	12	4	2	4	7	1	28	4	11	7	1	5	527	7	3	3	6	1	3	7	7	7	0	5	9	5	5	15	12	3	22	6	3	2	2	16	11	7	18	21	3	10	6	10	1	7	17	2	5	5	19	19	5	373	16	516	349	3	4	6	4	9	8	5	7	7	6	1	1	10	14	13	12	5	7	38	2	8	9	5	9	3	9	7	4	13	3	7	3	8	4	9	7	3	3	4	2	4	8	4	23	11	9	3	4	4	13	5	6	7
3:Del:R:2	1	3	1	7	1	1	1	5	7	1	2	2	0	4	4	0	7	2	1	1	0	1	202	1	1	0	0	0	0	3	0	0	1	1	0	3	1	3	1	2	3	3	2	1	1	1	1	1	4	2	0	5	3	7	1	4	1	0	0	2	5	6	3	133	3	173	107	2	3	2	1	4	1	3	1	2	0	2	1	5	4	4	7	3	4	12	0	5	0	1	1	2	2	0	0	1	0	1	2	1	2	2	2	2	0	0	0	2	4	1	7	5	5	0	0	0	2	2	1	0
3:Del:R:3	2	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	2	0	1	0	0	0	71	0	0	1	0	0	0	0	1	0	0	0	2	3	0	1	0	0	0	0	0	0	0	4	2	0	1	0	0	3	0	3	0	0	0	0	0	1	2	1	0	36	0	60	40	0	1	1	1	2	1	0	0	0	0	0	0	0	1	0	5	0	1	2	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	1	2	0	0	0	0	0	4	1	1	1	2	1	0	0	0	0
3:Del:R:4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	22	0	38	17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	3	0	0	0	0	1	1	1	0	0
3:Del:R:5	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	47	0	73	33	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
4:Del:R:0	1	3	3	4	0	3	1	1	5	1	4	1	1	2	4	0	1	3	5	6	0	1	24	3	1	4	1	0	0	0	2	0	0	0	2	0	1	1	1	1	4	4	1	1	0	3	1	2	6	7	3	6	3	5	3	2	1	0	3	2	2	4	1	23	2	51	23	4	1	3	2	5	2	2	4	3	4	2	1	5	7	2	5	2	0	9	2	8	3	1	0	2	1	3	5	4	3	2	2	2	3	2	10	1	0	0	1	0	1	1	4	13	1	1	0	1	3	1	1	0
4:Del:R:1	8	5	7	11	1	9	5	4	15	6	5	4	0	3	3	0	14	7	2	3	0	4	211	1	3	7	2	1	1	3	5	12	0	3	7	6	6	15	6	5	16	4	7	0	3	11	6	3	7	8	5	17	6	8	6	8	9	1	3	5	14	8	8	208	14	314	159	5	5	9	6	16	11	6	4	10	9	2	7	15	6	10	11	4	6	19	4	10	11	4	4	1	8	7	3	13	9	12	0	7	13	8	13	7	5	4	2	5	10	9	19	13	6	3	8	5	8	4	3	2
4:Del:R:2	5	2	2	3	0	1	1	1	5	0	2	3	0	1	0	0	3	1	1	1	0	1	92	0	1	3	1	0	0	0	1	0	0	0	0	0	2	3	3	0	10	4	0	1	1	3	1	4	5	4	0	3	2	4	1	1	3	0	0	1	6	4	1	82	1	109	51	0	1	1	2	3	2	3	0	4	1	1	3	5	6	3	9	3	2	15	1	2	2	2	3	0	2	2	1	1	0	1	0	1	2	2	1	1	2	1	0	2	4	2	5	4	4	1	3	2	2	1	0	1
4:Del:R:3	1	2	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	60	0	0	0	0	0	0	1	0	0	0	2	2	0	1	2	1	0	3	0	0	0	1	1	3	2	2	1	1	1	3	1	0	3	2	0	0	1	2	0	1	39	1	107	45	2	1	0	0	2	2	0	1	1	0	0	0	1	1	2	1	1	1	8	0	1	3	1	1	1	3	3	0	1	0	1	0	0	1	2	1	2	1	0	0	0	1	2	3	3	0	0	0	2	0	1	0	2
4:Del:R:4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	15	1	48	22	0	0	1	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	4	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0
4:Del:R:5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	63	0	58	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	18	7	12	24	5	11	11	9	11	21	9	14	1	8	34	1	0	7	8	73	1	4	37	30	7	4	5	4	3	22	24	11	0	5	48	7	17	14	19	3	41	15	16	3	11	26	27	33	23	25	28	28	30	60	17	18	28	21	17	42	41	44	55	32	15	53	21	26	21	44	8	19	21	25	34	33	55	22	23	11	50	75	42	41	13	17	10	71	41	47	31	16	14	9	19	32	41	21	9	12	32	14	137	15	20	7	10	11	21	13	17	116	25	21	23	11	32	19	13	9
5:Del:R:1	8	3	3	5	4	3	1	1	9	0	5	1	0	3	0	0	2	1	1	1	0	0	33	2	1	3	1	0	0	1	1	5	0	1	3	7	2	5	3	2	5	5	5	6	3	6	4	3	7	8	2	6	3	10	2	6	4	1	1	2	12	6	6	35	5	81	29	5	3	4	2	6	6	5	2	7	5	0	3	7	9	4	10	5	3	34	2	1	12	4	3	1	12	2	0	16	5	1	4	3	5	3	13	2	2	2	0	0	6	5	6	18	9	1	5	4	1	2	1	1
5:Del:R:2	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	2	0	0	0	1	1	1	0	0	2	0	0	1	4	2	1	27	0	49	16	0	0	2	0	2	1	1	0	1	0	0	0	1	2	1	1	1	0	10	2	0	2	0	0	0	2	1	0	5	0	0	0	1	0	0	4	0	0	0	0	0	0	2	3	4	1	1	1	0	0	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	19	0	21	8	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	5	0	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
