MutationType	CPCT02020318T	CPCT02010377T	CPCT02060017T	CPCT02060166T	DRUP01080024T	CPCT02300029T	CPCT02130024T	CPCT02370015T	CPCT02080291T	CPCT02330082T	CPCT02130035T	CPCT02020667T	CPCT02190030T	CPCT02070304T	CPCT02230093T	CPCT02170024T	CPCT02050342T	CPCT02130064T	CPCT02130063T	CPCT02080208T	CPCT02130066T	CPCT02130067T	CPCT02100172T	CPCT02130084T	CPCT02060220T	CPCT02100169T	CPCT02080218T	CPCT02050332T	DRUP01080031T	CPCT02040245T	DRUP01050048T	DRUP01010142T	CPCT02080224T	CPCT02260021T	CPCT02020762T	CPCT02130116T	CPCT02050342TII	CPCT02130138T	CPCT02130139T	CPCT02230115T	CPCT02010902T	CPCT02290056T	CPCT02130152T	DRUP01170003T	DRUP01010095T	DRUP01030024T	CPCT02040292T	DRUP01050035T	CPCT02020577T	CPCT02050263T	DRUP01010108T	DRUP01010109T	DRUP01010113T	CPCT02120059T	CPCT02170010T	CPCT02030398T	CPCT02050250T	CPCT02050076TII	CPCT02050182T	CPCT02070187T	CPCT02030373T	CPCT02020589T	CPCT02040154T	CPCT02050091T	CPCT02020406T	CPCT02020405T	CPCT02070052T	CPCT02060063T	CPCT02230004T	CPCT02300006T	CPCT02080066T	CPCT02010492T	CPCT02020460T	DRUP01010019T	CPCT02050133T	CPCT02050144T	CPCT02050286T	CPCT02130006T	CPCT02130003T	CPCT02340039T	CPCT02230075T	CPCT02080169T	CPCT02150005T	WIDE01010522T	WIDE01010696T
1:Del:C:0	13	9	11	22	5	26	10	24	5	7	18	11	34	25	30	14	22	12	88	10	82	38	11	23	16	33	30	18	241	31	353	145	21	9	12	13	22	26	36	19	10	39	5	16	9	16	16	91	13	18	111	16	40	33	22	11	7	19	16	10	77	30	13	9	17	18	17	62	34	14	16	8	4	27	14	64	45	36	12	29	11	13	21	11	10
1:Del:C:1	5	20	6	6	7	15	13	16	9	7	7	10	29	8	10	17	15	13	27	10	31	44	1	16	14	14	23	9	100	21	133	63	13	9	6	10	14	16	10	8	7	36	7	13	9	12	11	44	11	15	47	9	37	18	14	9	7	14	12	6	28	18	9	9	9	10	10	21	19	7	9	12	1	28	10	25	27	21	6	9	4	9	16	9	4
1:Del:C:2	5	11	5	5	2	8	5	6	4	0	9	8	17	10	8	10	6	4	25	3	9	29	0	7	5	4	12	8	92	8	164	99	9	2	8	3	7	6	7	4	3	22	6	2	3	5	5	38	16	6	26	6	17	8	4	7	3	7	5	5	21	6	8	5	4	8	7	15	4	6	2	3	4	15	5	15	13	6	3	2	1	2	9	3	6
1:Del:C:3	2	15	3	3	2	5	4	7	2	2	4	3	9	5	3	9	3	7	9	1	11	18	0	5	12	7	6	2	288	14	415	216	4	3	2	2	2	7	4	4	1	9	2	3	1	6	2	16	1	6	18	6	11	7	3	0	4	2	4	3	8	3	3	4	2	4	2	2	2	3	3	1	1	21	4	8	7	4	1	2	1	4	2	2	3
1:Del:C:4	3	7	3	5	1	4	3	0	2	3	1	0	7	4	3	3	4	2	4	1	3	17	1	5	5	4	6	0	704	4	1078	571	6	3	1	0	4	5	2	2	3	7	1	1	3	2	3	9	0	2	21	3	3	3	5	2	2	3	0	3	8	3	2	1	2	4	1	3	3	3	2	1	1	8	3	6	4	4	4	2	2	4	3	0	3
1:Del:C:5	2	4	8	7	0	8	3	1	2	1	6	0	2	1	8	4	4	5	10	0	10	10	0	4	3	34	21	3	2453	15	4245	2049	3	1	1	1	4	6	9	3	2	4	2	0	2	17	5	18	2	6	48	4	5	13	1	5	5	16	0	4	21	2	3	2	5	4	8	8	1	4	1	1	1	10	13	36	15	14	3	9	1	1	3	3	1
1:Del:T:0	10	23	7	10	9	18	11	14	6	16	21	9	28	18	17	21	25	17	36	14	13	21	7	16	18	27	21	13	143	13	231	93	13	16	9	12	23	14	17	15	3	25	12	10	6	21	10	45	20	10	70	9	59	23	16	15	10	15	10	9	46	10	12	4	16	10	17	29	13	7	10	10	9	37	16	43	33	21	13	19	5	14	11	12	11
1:Del:T:1	4	12	5	15	4	11	10	4	8	6	7	7	27	9	11	12	17	10	25	8	22	10	6	9	9	9	20	5	101	11	192	102	13	9	7	9	16	7	15	5	6	18	9	13	6	10	11	54	16	13	70	13	38	12	13	3	3	9	12	5	15	15	10	7	2	5	10	19	9	6	8	3	13	22	14	29	16	12	8	8	2	5	12	10	9
1:Del:T:2	4	12	9	11	3	12	7	9	4	5	10	5	26	14	31	7	14	10	49	5	11	16	1	5	10	17	18	6	204	13	292	134	14	10	5	7	10	11	15	5	5	16	10	7	5	13	6	57	9	7	40	7	27	11	16	2	8	7	8	3	22	10	10	5	8	10	8	12	14	2	8	5	4	21	7	27	28	14	4	16	3	5	9	2	10
1:Del:T:3	12	15	6	6	10	13	7	6	3	4	11	12	13	16	13	9	13	6	76	10	18	15	3	13	16	23	15	14	792	17	1117	600	15	9	7	12	12	12	9	5	7	15	4	6	9	7	14	81	7	13	72	4	13	16	8	6	2	17	7	3	37	12	7	5	8	10	12	23	14	4	5	5	4	20	17	42	42	19	7	12	2	6	10	3	10
