MutationType	SP29914	SP31046	SP31334	SP30011	SP31174	SP32662	SP31126	SP32958	SP31422	SP33496	SP34005	SP30113	SP31030	SP33544	SP33688	SP30907	SP30185	SP33837	SP31790	SP30143	SP30071	SP30493	SP32014	SP30332	SP31814	SP29987	SP30083	SP32742	SP115162	SP29940	SP30843	SP32222	SP31190	SP30077	SP32694	SP33774	SP30093	SP33094	SP30803	SP30675	SP31854	SP31606	SP30213	SP32894	SP117260	SP117124	SP117932	SP117189	SP117217	SP117779	SP117376	SP117681	SP117408	SP118015	SP117509	SP117482	SP117003
1:Del:C:0	66	1	21	29	13	33	91	19	31	77	16	275	27	58	60	30	7	13	24	14	35	14	8	162	15	36	8	26	7	12	3	0	18	64	29	10	6	27	78	199	69	6	12	10	15	18	17	5	0	11	27	8	8	11	14	23	13
1:Del:C:1	57	3	12	25	8	11	56	8	20	29	7	560	12	31	17	39	3	7	5	7	33	6	9	314	5	20	7	13	6	5	3	1	18	26	16	13	7	10	33	348	60	4	7	5	16	13	10	4	0	6	8	4	2	4	15	14	2
1:Del:C:2	62	2	9	11	9	8	43	5	15	23	5	464	9	22	13	31	0	6	4	3	16	0	2	270	7	13	0	6	0	3	1	0	6	17	8	3	5	4	9	331	25	4	4	5	16	4	5	1	1	4	4	1	3	7	5	6	4
1:Del:C:3	27	2	7	5	6	5	19	2	4	9	2	156	2	14	8	14	1	5	6	4	14	2	1	108	4	13	4	4	1	4	4	0	4	8	7	4	4	5	6	100	15	2	2	3	5	4	5	1	0	0	3	1	0	3	3	3	4
1:Del:C:4	26	0	4	3	6	6	4	4	3	9	3	117	5	17	4	12	0	0	3	0	10	2	0	79	5	9	2	2	4	0	0	0	2	10	2	1	1	3	4	89	11	0	1	2	3	3	4	1	0	1	2	0	0	1	3	1	3
1:Del:C:5	16	2	3	2	7	5	8	5	5	7	0	76	7	5	4	4	0	1	0	4	7	1	6	53	7	5	1	4	2	4	1	0	6	4	1	4	4	4	0	48	10	2	1	1	4	4	5	1	0	3	12	0	2	5	6	6	2
1:Del:T:0	44	6	21	25	14	22	64	8	37	27	6	136	3	53	11	27	1	3	6	6	31	2	6	88	5	50	10	16	5	5	5	0	34	37	36	7	10	22	30	97	55	5	7	3	13	11	8	2	1	6	16	3	4	10	12	13	9
1:Del:T:1	35	1	10	26	6	12	53	5	18	13	3	136	6	31	12	19	1	4	7	4	18	6	3	63	5	25	5	4	6	5	2	0	19	22	16	2	2	10	13	69	44	7	3	2	13	4	16	2	1	7	10	4	4	6	13	8	6
1:Del:T:2	34	4	11	11	7	19	40	6	22	21	8	69	8	54	8	11	2	8	11	9	16	7	8	47	4	18	7	7	6	5	2	0	18	23	15	10	3	12	14	37	34	4	5	5	16	10	10	1	0	1	16	5	1	8	11	10	3
1:Del:T:3	30	0	10	14	17	17	40	9	28	18	3	84	17	40	17	17	1	5	10	6	21	2	7	65	4	22	5	10	11	6	2	0	19	34	24	5	8	11	18	60	32	5	10	3	7	7	9	1	0	5	16	1	1	17	16	15	7
1:Del:T:4	32	2	11	4	17	16	16	8	13	20	4	70	22	22	16	10	0	9	9	4	20	4	4	47	8	24	7	16	3	10	2	0	26	25	26	7	7	17	15	55	35	2	7	2	14	14	9	2	1	13	28	1	4	5	17	17	8
1:Del:T:5	258	13	33	25	60	88	107	29	99	196	13	129	189	79	58	57	5	13	75	21	100	9	95	151	34	115	46	30	9	50	9	0	63	132	96	12	103	84	27	106	116	10	19	12	33	123	117	8	2	64	492	25	12	51	169	111	68
1:Ins:C:0	12	3	1	1	3	7	4	4	6	6	2	40	5	14	15	8	0	1	5	2	4	0	3	24	4	4	4	4	2	0	0	0	1	2	5	0	2	6	2	39	7	3	1	0	2	1	4	1	1	1	3	0	0	3	5	5	2
1:Ins:C:1	8	0	2	3	0	5	9	2	5	6	2	15	4	3	6	6	0	0	0	1	1	1	2	6	0	3	0	6	0	0	0	0	6	3	4	0	0	2	2	13	5	1	1	1	0	2	1	0	0	2	3	0	0	0	1	1	1
1:Ins:C:2	1	1	0	4	1	1	9	2	2	0	0	15	0	2	0	4	2	0	1	0	4	0	1	6	1	3	1	2	1	2	0	0	0	1	3	1	2	0	2	8	2	0	1	0	0	0	1	1	0	2	2	0	2	1	0	1	2
1:Ins:C:3	9	0	3	0	2	1	5	1	1	0	1	31	0	2	0	3	0	1	1	2	0	0	0	19	0	5	1	0	0	1	1	0	0	1	1	1	0	3	1	31	2	1	0	0	0	1	1	0	0	1	3	0	0	0	4	0	1
1:Ins:C:4	11	1	0	0	3	1	0	1	1	2	0	42	9	1	0	2	2	0	2	0	6	0	1	21	1	4	1	3	1	6	0	0	1	0	1	1	1	2	1	33	2	1	0	0	1	5	2	0	0	3	11	0	1	1	6	3	2
1:Ins:C:5	26	6	5	4	3	13	13	12	6	23	3	37	25	8	13	7	1	3	5	2	12	5	9	27	5	15	8	12	3	8	2	0	6	4	20	5	4	5	6	28	8	7	4	4	2	8	9	4	0	3	27	8	5	1	14	12	9
1:Ins:T:0	14	0	3	4	2	7	10	3	5	11	1	51	4	13	5	7	0	4	3	1	3	0	2	36	3	9	0	3	4	2	0	0	5	11	6	1	4	5	1	51	9	3	2	0	3	1	0	0	0	1	6	1	2	3	1	3	2
1:Ins:T:1	23	0	33	12	11	8	31	8	36	47	3	151	4	54	8	59	2	2	3	6	55	5	0	85	5	82	8	8	2	1	6	0	41	65	43	5	5	27	28	99	81	4	7	3	18	6	6	1	4	3	5	1	0	1	5	1	2
1:Ins:T:2	13	2	5	8	2	2	20	5	12	14	3	89	3	16	6	21	0	2	5	5	19	2	1	63	3	28	3	4	2	4	0	0	11	17	15	1	5	16	4	103	27	3	3	2	6	5	3	4	0	4	6	1	0	1	12	3	4
1:Ins:T:3	5	0	10	10	3	3	20	4	3	6	2	78	4	8	6	11	5	1	0	3	11	1	3	54	1	21	4	3	1	3	0	0	10	8	11	3	2	6	8	58	20	3	2	1	3	4	7	3	0	1	6	2	0	0	1	2	5
1:Ins:T:4	8	0	3	6	2	6	13	7	4	19	1	28	8	10	5	9	2	3	4	1	10	0	5	16	0	13	3	8	1	6	1	0	14	11	9	2	1	7	6	28	11	4	1	3	3	6	12	0	0	0	9	1	3	1	7	6	7
1:Ins:T:5	398	71	98	160	150	213	212	273	159	381	86	325	354	248	209	104	25	65	126	107	183	42	127	245	115	245	101	192	54	128	61	0	194	224	209	103	132	183	105	211	340	148	112	94	51	147	200	28	4	67	304	27	11	112	222	142	112
2:Del:R:0	10	2	6	9	4	6	39	5	6	6	2	22	6	12	10	8	3	8	5	5	5	7	0	20	4	7	2	4	3	7	1	0	8	11	9	5	2	8	10	12	13	3	1	1	4	10	5	0	1	1	9	2	1	3	5	6	5
2:Del:R:1	6	7	8	12	11	17	29	13	17	15	5	30	20	13	18	8	4	5	13	9	12	9	4	28	7	15	6	16	9	8	6	0	7	24	13	3	11	13	12	23	15	2	8	6	12	15	16	2	0	12	26	3	2	10	14	6	6
2:Del:R:2	8	2	4	3	4	8	6	4	2	6	2	45	8	10	4	9	3	1	2	1	11	1	2	37	0	9	0	3	0	5	1	0	3	13	7	0	3	2	4	26	10	0	1	1	3	1	3	1	0	2	6	2	1	3	4	2	2
