MutationType	DRUP01010001T	CPCT02010424T	CPCT02010349T	CPCT02020325T	CPCT02030246T	CPCT02070010T	CPCT02010370T	CPCT02010369T	CPCT02070013T	CPCT02060018T	CPCT02060022T	CPCT02070009T	CPCT02010398T	CPCT02010408T	CPCT02030246TII	CPCT02010386T	CPCT02020309T	CPCT02080045T	CPCT02020398T	CPCT02010392T	CPCT02090003T	CPCT02060274T	CPCT02020650T	CPCT02080181T	DRUP01340015T	CPCT02070436T	CPCT02050225TII	DRUP01070031T	CPCT02070278T	CPCT02010732T	CPCT02060181T	CPCT02080175T	CPCT02020903T	CPCT02070441T	CPCT02080181TII	CPCT02070290T	DRUP01090011T	CPCT02080297T	CPCT02010680T	CPCT02090064T	CPCT02020937T	CPCT02090065T	CPCT02060191T	CPCT02060192T	CPCT02011090T	CPCT02070463T	CPCT02011094T	CPCT02030458T	CPCT02060282T	DRUP01090012T	CPCT02090042T	CPCT02340078T	WIDE01010040T	CPCT02020683T	CPCT02020691T	DRUP01010077T	DRUP01050021T	CPCT02080206T	CPCT02060292T	CPCT02060290T	CPCT02090044T	WIDE01010138T	CPCT02130062T	WIDE01010160T	CPCT02020706T	CPCT02070313T	WIDE01010187T	WIDE01010169T	CPCT02100161T	CPCT02070317T	WIDE01010239T	WIDE01010233T	CPCT02070322T	WIDE01010262T	WIDE01010267T	WIDE01010293T	WIDE01010167T	CPCT02060211T	DRUP01080012T	WIDE01010356T	WIDE01010374T	WIDE01010393T	CPCT02090036T	CPCT02340018TII	CPCT02340088T	WIDE01010452T	CPCT02080227T	CPCT02060230T	CPCT02020750T	CPCT02060241T	CPCT02060245T	CPCT02070319T	CPCT02010856T	CPCT02090052T	CPCT02090053T	CPCT02070357T	CPCT02090057T	CPCT02270035T	CPCT02060254T	CPCT02070365T	CPCT02060258T	CPCT02080247T	CPCT02020794T	CPCT02020790T	CPCT02060253T	CPCT02020775T	CPCT02030513T	CPCT02380051T	CPCT02080248T	CPCT02070371T	CPCT02070366T	CPCT02050392T	CPCT02130147T	CPCT02020812T	CPCT02020820T	DRUP01090014T	CPCT02060240T	DRUP01060024T	CPCT02020848T	CPCT02010648T	CPCT02060130T	CPCT02010649T	CPCT02060127T	CPCT02340106T	CPCT02150034T	CPCT02030415T	CPCT02060235T	CPCT02010625T	CPCT02060275T	CPCT02340026T	CPCT02090063T	CPCT02010549T	CPCT02060066T	CPCT02020450T	CPCT02010406TII	CPCT02050167T	CPCT02110036T	CPCT02010599T	CPCT02010595T	CPCT02100091T	CPCT02060104T	CPCT02010600T	CPCT02110040T	CPCT02340018T	CPCT02050225T	CPCT02040141T	CPCT02340020T	CPCT02080139T	CPCT02060061T	CPCT02070051T	CPCT02010408TII	CPCT02010429T	CPCT02020438T	CPCT02040072T	CPCT02020428T	CPCT02010494T	CPCT02070095T	DRUP01070006T	DRUP01070005T	CPCT02020465T	CPCT02030325T	CPCT02090011T	CPCT02060071T	DRUP01070010T	CPCT02070111T	CPCT02070098T	CPCT02090012T	DRUP01090001T	CPCT02070108T	CPCT02010548T	CPCT02090014T	CPCT02010559T	CPCT02080102T	CPCT02030422T	CPCT02070249T	DRUP01070029T	CPCT02070247T	DRUP01010053T	DRUP01100003T	CPCT02070257T	CPCT02340046T	DRUP01080008T	DRUP01340002T	CPCT02010715T	WIDE01010465T	WIDE01010487T	WIDE01010492T	WIDE01010497T	WIDE01010521T	WIDE01010519T	WIDE01010527T	WIDE01010517T	WIDE01010699T	WIDE01010713T
1:Del:C:0	38	54	9	14	19	14	29	52	59	13	17	35	26	13	29	49	22	69	11	8	23	23	43	25	28	136	11	11	6	27	17	31	20	14	30	31	22	39	19	14	18	20	43	17	9	15	9	13	7	16	15	7	43	63	49	25	158	11	30	15	87	17	30	33	6	10	66	64	105	24	12	29	16	37	26	0	12	44	80	23	17	122	18	106	20	19	19	15	11	9	33	27	24	52	14	260	20	23	35	11	8	24	48	21	20	13	40	10	12	26	15	16	52	12	12	38	20	41	21	30	14	17	19	27	50	173	10	9	16	14	10	28	13	12	16	20	16	13	8	115	4	14	112	94	13	14	21	5	46	13	15	12	45	51	7	27	36	4	38	20	32	26	29	20	5	24	55	14	33	15	27	10	35	12	63	14	16	14	134	19	19	52	13	20	8	26	30	17	71	34	10	31	15	24
1:Del:C:1	20	23	6	8	15	9	6	32	38	6	10	21	13	16	20	15	17	56	5	8	2	19	30	18	10	48	14	10	9	12	12	24	9	5	25	14	13	18	17	6	5	13	29	15	7	7	2	10	3	12	12	4	41	46	23	10	82	8	22	7	42	10	15	18	2	9	52	28	63	7	15	12	12	41	14	0	17	19	57	15	13	71	5	36	15	19	21	11	9	5	15	21	10	15	12	83	10	10	21	11	7	20	27	22	9	12	18	5	13	10	6	6	38	3	12	19	16	27	8	7	13	8	14	9	29	88	10	12	9	12	10	16	6	4	11	11	10	7	8	68	6	7	40	29	16	5	9	5	28	8	13	10	26	22	4	15	21	5	27	7	16	17	14	13	13	16	20	8	15	4	11	9	19	7	45	5	7	13	81	17	8	28	15	10	3	5	8	10	39	28	5	16	2	16
1:Del:C:2	9	12	2	4	7	3	5	20	24	9	3	9	13	7	7	17	6	27	0	3	5	6	22	6	8	45	5	3	0	7	5	8	6	3	7	11	4	6	9	3	4	4	23	1	3	1	2	1	2	2	6	1	15	18	23	7	29	1	17	1	23	11	11	5	2	4	31	11	34	2	6	6	5	18	4	1	5	10	25	5	3	29	3	19	4	5	6	5	4	1	6	14	9	5	0	34	6	7	4	2	7	6	22	9	6	2	10	0	6	5	6	8	18	1	4	8	8	18	1	2	7	4	4	9	14	43	8	2	2	3	2	6	2	4	4	6	2	2	5	38	4	3	19	17	7	2	7	1	4	3	8	8	4	17	2	6	8	0	9	4	5	6	5	7	5	9	10	4	10	5	8	6	13	9	28	4	1	8	38	7	7	17	5	3	2	4	2	6	21	23	0	3	6	13
1:Del:C:3	6	3	3	1	6	4	3	11	4	2	2	8	7	1	6	9	3	10	1	5	2	4	9	8	5	23	4	4	3	6	3	6	2	2	11	8	2	4	1	2	0	0	11	5	1	5	2	1	2	5	2	2	9	15	10	6	22	0	3	1	9	4	7	3	0	2	9	9	13	3	3	3	1	8	7	0	2	2	11	9	2	16	4	11	3	3	1	4	0	0	6	4	1	4	2	19	3	6	2	1	2	2	7	3	1	2	4	2	2	4	2	4	14	0	2	8	4	9	0	7	4	3	6	4	16	21	2	1	1	7	1	7	1	3	4	3	4	6	1	24	0	1	12	5	1	1	4	2	3	2	3	2	8	8	4	5	4	1	4	2	4	5	8	1	2	5	8	1	4	1	4	2	6	5	12	1	0	5	31	5	1	13	5	1	1	1	3	1	11	16	0	3	1	8
1:Del:C:4	0	7	0	2	3	2	3	3	0	3	0	2	1	1	2	4	5	7	0	2	4	6	2	2	1	4	2	0	2	1	1	7	3	1	2	3	1	3	0	2	3	1	7	1	0	2	0	0	0	2	0	0	2	6	3	1	20	0	1	0	4	1	5	2	1	1	9	2	8	1	0	4	6	5	2	0	3	1	6	5	2	8	0	8	2	3	4	3	0	2	2	5	3	3	1	12	3	1	4	0	2	1	4	3	1	2	2	2	1	2	0	0	9	1	2	3	2	4	1	4	2	2	2	2	5	17	2	3	4	2	4	2	1	1	4	3	3	1	0	26	0	2	7	4	3	0	2	0	3	0	0	1	3	4	0	6	2	0	2	0	5	3	5	2	2	7	7	1	1	1	2	2	4	1	5	1	0	0	28	2	1	5	2	1	1	3	1	1	10	4	1	3	3	4
1:Del:C:5	2	6	1	1	2	0	0	3	0	0	1	4	3	5	2	0	1	11	0	2	2	4	3	3	2	9	2	0	1	2	3	1	0	4	4	2	2	2	3	2	2	1	5	0	1	0	0	2	1	1	3	0	3	2	6	2	35	1	1	0	7	2	4	6	0	1	5	5	12	4	1	3	0	1	2	0	1	3	10	5	1	6	4	6	3	3	4	5	1	1	7	3	3	3	2	12	1	2	5	2	2	4	6	1	3	4	3	1	2	3	3	7	2	2	2	9	4	3	1	4	3	3	1	3	5	33	3	2	0	1	1	1	1	0	1	0	4	7	0	19	4	2	8	5	1	3	1	1	6	1	5	1	1	3	2	1	1	0	4	1	3	5	1	2	2	6	3	1	1	1	7	1	6	4	3	2	0	2	26	6	1	5	1	1	0	3	4	0	10	5	0	1	0	5
1:Del:T:0	18	21	5	12	23	8	9	43	39	16	16	19	21	9	19	17	13	60	5	8	7	23	53	13	11	45	15	11	3	7	15	23	6	12	17	11	7	19	10	13	9	12	48	10	6	11	5	6	5	12	8	6	51	60	32	7	92	9	28	4	72	10	18	17	5	13	43	37	58	14	12	15	14	43	12	2	6	25	72	21	10	65	16	43	8	24	11	17	3	4	19	17	14	18	4	85	8	13	14	7	7	16	27	11	7	13	15	5	8	12	6	20	64	8	10	11	24	13	10	19	16	9	12	13	43	75	10	7	7	21	16	13	7	6	15	10	7	10	10	111	11	13	44	41	14	9	11	7	14	8	8	9	8	21	15	17	6	2	22	7	24	14	15	15	4	16	22	7	9	8	15	8	19	7	65	8	4	17	119	22	12	28	20	8	3	16	16	12	37	45	1	13	9	16
1:Del:T:1	24	34	7	5	6	8	0	25	34	5	13	8	28	6	9	8	5	52	1	10	6	12	21	15	6	32	9	5	5	7	7	11	9	10	13	21	2	8	8	7	4	8	24	2	1	8	3	10	5	4	7	1	41	51	20	5	296	2	17	2	251	7	5	7	5	2	33	27	50	7	4	15	5	36	13	2	7	13	58	9	9	43	3	21	10	6	6	9	4	5	7	14	9	24	3	42	4	4	8	4	2	7	19	12	8	4	6	4	8	16	8	7	47	4	7	13	13	25	18	10	10	2	5	7	24	120	4	10	4	8	8	8	8	2	12	11	7	3	4	79	3	4	22	22	7	8	9	3	4	10	4	9	12	12	5	10	9	0	8	2	6	4	8	6	1	8	10	5	15	6	8	6	16	4	45	2	5	10	93	7	7	21	9	4	3	6	10	9	41	26	4	10	3	8
1:Del:T:2	21	19	2	5	11	13	9	29	27	8	9	8	14	9	12	16	12	53	6	8	3	6	22	12	9	65	6	8	6	7	8	8	7	10	13	20	6	18	5	3	7	19	30	5	5	6	8	4	3	3	8	2	24	35	19	5	54	3	21	3	41	13	16	13	1	4	28	27	68	8	4	11	7	31	10	2	4	24	59	15	12	56	8	30	5	8	8	13	3	5	12	11	9	21	8	81	6	6	26	8	4	17	22	16	7	5	13	0	6	5	5	4	30	3	6	14	14	21	9	14	11	3	9	7	33	59	2	13	6	10	8	10	6	2	5	6	8	6	4	96	4	10	43	28	6	6	8	3	18	11	9	8	17	16	1	9	12	2	11	6	11	5	11	10	2	9	16	6	7	4	11	3	14	3	38	3	2	8	113	8	6	13	8	6	2	9	11	2	29	28	0	25	6	12
1:Del:T:3	22	23	7	5	13	8	13	27	24	9	4	23	15	4	14	21	16	36	4	3	12	7	14	15	9	68	9	5	5	9	7	8	4	9	16	18	4	13	8	4	3	12	24	4	7	14	5	9	1	3	6	1	19	25	19	9	85	3	13	3	46	14	18	6	2	4	23	34	54	8	2	13	13	36	15	0	4	32	41	14	16	61	6	27	3	8	4	15	6	3	14	16	11	20	16	107	5	4	33	6	4	18	36	11	7	6	13	4	8	5	8	10	32	5	8	13	18	21	6	12	8	7	11	9	27	43	6	9	8	17	8	16	5	7	4	6	7	10	0	48	2	6	63	36	9	7	10	1	15	4	4	8	21	14	2	7	26	2	23	7	9	9	9	19	3	17	25	10	11	4	12	4	15	3	27	7	2	4	58	6	9	14	17	6	4	4	19	9	38	18	4	7	5	14
1:Del:T:4	9	8	4	3	11	4	9	16	12	3	5	13	13	7	11	19	5	27	8	2	4	14	13	12	7	65	3	2	1	5	9	8	4	6	13	14	6	12	6	6	3	10	14	8	2	3	0	6	1	8	2	1	18	13	19	5	69	3	14	2	37	7	8	13	1	3	11	27	32	9	6	10	7	19	9	2	3	23	35	10	6	46	7	27	7	3	4	7	1	5	9	13	9	16	3	80	2	7	19	7	5	2	20	4	3	6	9	6	6	9	5	6	17	11	8	19	10	15	1	16	7	7	13	5	16	26	4	4	4	7	1	11	4	2	3	5	2	4	3	23	1	12	27	26	4	7	3	2	21	2	5	4	14	6	1	11	14	1	16	4	9	8	10	9	1	7	21	8	8	3	6	5	11	2	12	6	1	6	29	9	4	14	6	2	1	4	9	3	33	14	2	7	4	12
