MutationType	SP1086	SP1003	SP1677	SP1305	SP963	SP1144	SP1132	SP1712	SP1114	SP1431	SP975	SP1059	SP1419	SP1009	SP1724	SP96136	SP967	SP1781	SP1174	SP953	SP1377	SP1365	SP1491
1:Del:C:0	36	34	43	83	49	30	103	22	25	10	40	94	39	29	22	77	4	58	19	60	16	39	14
1:Del:C:1	20	27	41	54	30	13	131	7	63	8	8	84	15	24	20	44	10	24	9	49	15	30	13
1:Del:C:2	20	13	32	35	18	29	54	1	49	1	8	48	9	12	13	16	4	14	7	43	7	16	7
1:Del:C:3	11	8	21	23	10	18	21	2	31	0	6	30	4	9	3	24	5	7	4	28	3	8	7
1:Del:C:4	8	6	21	18	5	8	9	3	25	2	6	16	6	5	6	17	1	8	2	14	4	4	2
1:Del:C:5	7	6	4	5	1	5	5	3	11	4	6	14	9	7	5	12	2	7	13	15	1	3	6
1:Del:T:0	9	15	25	56	17	8	16	5	25	9	38	57	12	19	13	30	6	8	17	25	9	24	4
1:Del:T:1	13	21	31	28	17	5	16	5	26	4	15	38	10	13	13	28	3	10	7	32	3	18	6
1:Del:T:2	13	24	15	40	13	9	13	4	15	3	16	34	7	22	6	26	3	13	11	15	6	26	8
1:Del:T:3	16	30	20	33	11	9	15	6	7	4	19	50	19	12	6	19	6	5	11	32	7	16	1
1:Del:T:4	14	19	21	23	13	7	11	1	13	6	17	30	22	12	7	18	3	23	19	30	3	15	10
1:Del:T:5	34	79	33	98	34	23	46	14	24	41	79	86	146	24	19	95	50	77	328	107	20	52	69
1:Ins:C:0	2	3	4	10	4	5	6	2	4	0	6	33	2	5	2	6	0	3	7	6	3	2	4
1:Ins:C:1	3	4	2	6	1	0	1	0	4	2	6	6	2	3	3	5	1	1	0	4	2	3	4
1:Ins:C:2	1	2	0	9	0	1	3	2	1	0	3	2	0	2	1	2	0	2	0	3	1	3	5
1:Ins:C:3	1	0	5	6	0	4	3	1	1	0	2	2	1	2	0	6	0	2	1	7	4	1	2
1:Ins:C:4	2	4	2	8	0	1	1	3	1	1	2	1	2	3	2	5	1	1	3	1	1	1	6
1:Ins:C:5	5	6	5	9	4	4	5	5	6	7	9	9	8	5	4	10	6	14	14	11	8	6	8
1:Ins:T:0	4	3	3	13	5	5	2	4	4	3	5	14	5	5	2	5	1	5	2	3	1	3	1
1:Ins:T:1	12	4	9	27	12	9	21	4	7	10	10	24	12	8	8	17	5	8	3	8	7	7	9
1:Ins:T:2	3	12	6	17	3	4	4	1	4	7	5	19	3	13	3	5	4	9	3	7	6	4	3
1:Ins:T:3	1	8	8	8	3	3	7	4	9	4	0	3	5	13	3	7	2	8	2	10	3	3	6
1:Ins:T:4	2	12	7	3	3	3	7	4	5	11	4	11	7	3	3	5	3	12	7	9	4	5	4
1:Ins:T:5	80	135	104	166	95	59	126	141	126	175	142	154	160	120	63	119	121	332	328	177	145	185	98
2:Del:R:0	2	10	5	27	10	2	13	1	4	2	13	13	11	6	6	20	3	7	4	3	2	10	4
2:Del:R:1	9	14	7	20	11	7	7	5	6	4	15	16	25	6	2	19	2	11	14	8	7	12	10
2:Del:R:2	4	6	10	4	3	1	4	1	6	2	5	7	5	1	1	5	1	3	3	11	1	5	0
2:Del:R:3	6	4	10	1	8	2	3	0	8	0	2	0	0	2	1	3	0	1	1	15	0	1	0
2:Del:R:4	0	1	4	0	0	1	0	0	7	0	0	1	0	2	0	1	0	1	0	6	0	2	0
