MutationType	CPCT02020340T	CPCT02140010T	CPCT02110007T	CPCT02140015T	CPCT02020376T	CPCT02050051T	CPCT02140017T	CPCT02040048T	CPCT02060029T	CPCT02060039T	CPCT02050077T	CPCT02060050T	CPCT02020866T	CPCT02120177T	CPCT02140095T	CPCT02120176T	CPCT02120085T	CPCT02100138T	CPCT02080177T	CPCT02230079T	CPCT02340107T	CPCT02120096T	CPCT02120102T	CPCT02440023T	CPCT02160060T	CPCT02180055T	CPCT02140104T	CPCT02140105T	CPCT02190055T	CPCT02030551TII	CPCT02050317T	CPCT02180078T	CPCT02220075T	CPCT02230085T	CPCT02120195T	CPCT02080302T	CPCT02070470T	CPCT02300034T	CPCT02020955T	CPCT02020965T	CPCT02140094TII	CPCT02210083T	CPCT02100200T	CPCT02140106T	CPCT02140059T	WIDE01010156T	CPCT02100174T	CPCT02120200T	CPCT02140070T	CPCT02040248T	CPCT02060149T	CPCT02020718T	CPCT02230096T	CPCT02180064T	CPCT02020764T	CPCT02440012T	CPCT02020752T	CPCT02140071T	CPCT02140074T	CPCT02140017TII	CPCT02120143T	CPCT02030431T	CPCT02180067T	CPCT02160052T	CPCT02140080T	CPCT02170036T	CPCT02290045T	CPCT02060269T	CPCT02230113T	CPCT02050407T	CPCT02030543T	CPCT02190050T	CPCT02140087T	CPCT02100190T	CPCT02140094T	CPCT02130164T	CPCT02140093T	CPCT02020592T	CPCT02180076T	CPCT02020865T	CPCT02230059T	CPCT02180022T	CPCT02120014T	CPCT02180033T	CPCT02140046T	CPCT02080111T	CPCT02120027T	CPCT02140042TII	CPCT02070169T	CPCT02160024T	CPCT02020566T	CPCT02230033T	CPCT02030356T	CPCT02090021T	CPCT02330047T	CPCT02100107T	CPCT02020580T	CPCT02180003T	CPCT02020414T	CPCT02050087T	CPCT02010458T	CPCT02020447T	CPCT02060067T	CPCT02020480T	CPCT02140042T	CPCT02120002T	CPCT02030332T	CPCT02230015T	CPCT02060138T	CPCT02360007T	CPCT02040181T	CPCT02300027T	CPCT02120090T	WIDE01010520T	WIDE01010600T	WIDE01010710T	WIDE01010727T
1:Del:C:0	49	40	58	29	27	41	57	86	26	31	44	76	45	46	77	44	30	38	43	71	53	61	12	62	33	31	13	54	71	29	15	45	42	63	56	72	18	59	32	38	80	10	68	21	72	9	45	14	14	29	35	43	64	37	36	48	32	31	54	54	40	32	23	49	22	11	32	32	16	20	51	51	44	37	21	37	62	8	22	66	25	25	61	88	30	32	50	16	26	58	5	23	41	46	40	54	31	6	43	25	21	23	43	47	50	37	34	38	70	193	54	51	36	63	14	62	21
1:Del:C:1	35	33	65	34	14	27	61	63	23	37	30	62	25	28	65	45	28	30	23	49	46	53	5	56	31	25	19	34	54	24	9	35	28	46	42	50	2	46	27	33	61	11	48	26	31	10	30	14	15	16	14	31	39	15	24	29	13	31	36	60	30	17	20	50	9	3	18	31	7	24	39	35	31	27	25	20	39	2	19	83	19	26	43	47	23	12	31	10	10	47	2	18	29	42	38	46	14	3	39	21	10	27	27	32	27	30	38	33	40	91	37	35	32	47	10	37	10
1:Del:C:2	35	32	35	23	6	24	63	40	13	16	18	32	11	28	49	43	18	17	20	26	35	28	4	41	24	13	6	30	31	15	5	28	25	20	30	49	8	24	21	20	37	5	35	16	32	5	21	8	8	14	10	22	33	20	19	26	13	25	21	64	22	15	15	30	12	3	13	24	2	14	26	26	24	22	14	22	38	5	11	42	11	18	24	45	13	8	22	8	5	31	1	15	22	27	18	30	12	3	19	6	4	13	15	22	18	17	14	16	35	107	28	28	19	24	13	25	11
1:Del:C:3	9	15	16	11	7	8	14	27	14	14	16	16	7	18	27	15	7	7	7	18	23	17	3	18	12	10	8	14	22	9	7	15	7	16	11	22	2	16	5	7	19	3	21	9	19	2	13	4	4	10	5	9	17	12	13	6	8	16	14	14	12	8	9	18	3	0	3	5	3	6	10	11	9	6	7	12	12	4	7	20	12	15	14	50	9	6	11	7	6	11	0	10	9	18	10	13	7	2	13	12	1	7	10	9	14	14	9	6	24	212	14	19	7	15	4	19	2
1:Del:C:4	6	4	5	3	1	4	15	14	4	3	11	10	9	3	9	6	3	7	2	7	3	4	0	6	3	6	3	7	6	9	1	3	4	14	6	11	2	7	2	4	8	2	10	3	6	3	6	0	3	7	2	3	4	6	6	9	3	5	7	15	8	1	1	9	3	1	3	4	1	3	15	1	2	7	3	2	8	0	0	5	5	6	9	134	2	7	6	3	2	8	0	4	4	5	6	2	2	0	7	1	5	9	2	4	4	4	2	2	2	528	4	5	2	8	3	8	0
1:Del:C:5	3	2	2	2	1	3	5	4	5	1	3	4	3	2	6	5	2	5	6	6	5	3	0	6	3	4	2	4	5	8	0	1	1	1	8	2	2	5	3	4	3	1	7	3	6	1	1	2	1	2	1	2	4	3	4	3	2	5	2	5	3	3	1	2	1	4	3	3	2	0	1	1	1	3	1	4	0	0	0	3	2	3	7	573	4	2	10	0	2	2	0	0	2	2	2	3	3	0	2	3	2	2	2	4	2	3	4	2	1	1565	3	7	0	4	0	7	2
1:Del:T:0	61	64	74	44	12	44	102	107	42	56	58	58	48	52	104	73	48	38	45	72	53	41	9	86	57	18	16	67	73	39	11	51	39	74	58	83	16	63	42	55	64	14	77	29	74	15	38	24	25	36	25	38	58	45	46	59	26	54	61	99	43	38	27	57	11	10	23	40	11	43	49	70	54	55	17	49	95	12	20	100	32	43	68	69	31	12	45	23	26	66	0	30	38	68	40	69	22	11	58	27	17	23	38	33	40	58	43	50	89	139	80	52	35	93	16	55	29
1:Del:T:1	64	42	63	35	19	37	91	109	32	43	32	65	34	51	73	54	26	29	40	67	48	65	8	55	59	19	6	59	67	37	8	44	44	62	52	66	17	54	44	49	62	24	84	27	88	10	30	13	15	41	27	47	70	31	34	43	29	42	48	92	37	35	27	68	9	9	24	37	8	30	49	53	46	38	30	30	78	10	12	90	27	30	48	67	21	16	39	12	19	53	3	27	49	48	48	41	17	4	49	27	5	28	29	43	32	36	28	35	71	122	70	72	39	69	21	39	12
1:Del:T:2	69	51	77	32	14	51	124	144	40	58	52	80	34	66	109	79	48	33	46	73	79	59	13	90	78	22	14	79	72	32	7	50	41	94	55	82	23	74	41	71	88	13	110	37	98	14	33	19	18	37	32	39	71	40	47	69	35	54	72	121	40	33	32	78	12	7	21	40	6	31	52	72	61	64	37	41	110	12	23	109	40	32	75	79	30	15	56	14	17	78	0	26	51	73	38	66	26	8	55	28	8	44	35	68	41	53	36	40	105	168	74	78	49	87	25	37	19
1:Del:T:3	47	44	70	35	15	30	76	91	21	34	52	62	32	50	91	63	21	26	41	80	41	54	15	81	46	17	12	57	55	23	7	49	54	79	55	73	16	72	34	36	45	6	65	20	68	9	36	23	14	37	20	32	70	31	41	44	29	44	54	75	43	27	20	60	11	2	22	30	7	36	40	43	46	40	17	44	86	7	13	99	18	27	50	166	31	6	46	9	16	52	0	16	44	57	44	56	18	3	48	18	11	27	36	49	27	44	33	37	62	505	62	48	24	56	13	44	7
