MutationType	CPCT02020389T	CPCT02080033T	CPCT02060156T	DRUP01340014T	DRUP01010121T	CPCT02130034T	CPCT02260015T	CPCT02220071T	CPCT02010710T	CPCT02340068T	CPCT02130050T	DRUP01060016T	CPCT02260017T	CPCT02020682T	DRUP01030013T	CPCT02130059T	WIDE01010296T	CPCT02380044T	CPCT02060117T	CPCT02080220T	CPCT02210056T	CPCT02020734T	CPCT02020716T	CPCT02080226T	DRUP01080014T	DRUP01270003T	CPCT02190044T	CPCT02130131T	CPCT02220054T	CPCT02330075T	CPCT02130134T	CPCT02130148T	CPCT02070381T	DRUP01070053T	DRUP01060025T	DRUP01100007T	CPCT02380019T	CPCT02020598T	DRUP01070059T	CPCT02080152T	CPCT02070406T	CPCT02450002T	DRUP01070024T	DRUP01060027T	CPCT02030381T	DRUP01220005T	CPCT02370010T	CPCT02020623T	CPCT02290023T	DRUP01010022T	CPCT02070159T	CPCT02030354T	CPCT02020565T	CPCT02060114T	CPCT02060118T	CPCT02220002T	DRUP01030002T	CPCT02070060T	CPCT02030320T	CPCT02060035T	CPCT02070110T	CPCT02020492T	CPCT02030327T	CPCT02020503T	CPCT02380029T	CPCT02020636T	CPCT02130013T	DRUP01110002T	WIDE01010639T	DRUP01010167T	WIDE01010570T
1:Del:C:0	16	17	23	12	32	51	50	74	16	19	49	31	30	38	182	55	69	61	12	25	11	10	11	30	65	29	29	87	36	37	39	46	13	32	114	29	54	26	14	69	41	48	36	54	25	43	117	66	31	222	37	11	11	25	35	17	25	61	7	12	33	71	19	71	368	46	55	378	15	113	52
1:Del:C:1	5	11	15	8	11	31	16	29	7	10	25	20	21	19	70	14	53	26	8	17	11	4	16	21	39	16	28	22	12	22	17	24	7	5	45	21	34	10	8	38	40	15	15	21	16	14	46	20	26	94	25	6	3	14	12	6	26	40	10	9	17	22	10	42	106	37	30	154	6	62	33
1:Del:C:2	1	7	3	5	14	10	19	19	3	7	16	16	7	12	100	18	25	28	5	8	0	2	2	7	33	13	11	13	8	12	10	5	7	3	24	4	17	6	6	38	18	5	14	20	6	9	25	9	12	82	12	1	8	10	5	2	5	21	7	3	17	13	4	24	110	22	30	122	2	75	14
1:Del:C:3	2	4	4	2	8	10	5	52	3	3	7	8	5	4	302	4	6	3	1	2	3	3	1	3	105	3	4	5	4	6	1	6	3	2	14	5	11	2	3	89	5	6	4	11	6	3	14	4	2	210	7	2	4	8	3	5	9	15	2	3	5	3	1	6	289	4	6	334	3	231	19
1:Del:C:4	0	3	8	0	3	6	3	110	6	1	4	4	7	3	750	7	6	9	1	3	2	3	1	3	223	3	4	6	3	2	2	5	5	1	9	1	2	3	4	261	5	3	0	8	3	3	10	1	2	639	6	1	1	4	6	2	5	4	1	1	0	7	2	6	850	9	5	906	2	642	12
1:Del:C:5	1	9	20	4	21	6	11	489	10	9	6	3	6	18	2338	4	10	9	6	6	6	4	1	5	775	5	5	7	4	13	5	3	2	2	12	12	8	4	2	934	5	11	2	8	1	7	13	8	5	2194	6	4	2	2	9	2	4	6	7	5	1	7	4	7	3173	5	6	3341	8	1867	8
1:Del:T:0	11	25	24	8	21	15	52	45	16	14	14	31	31	29	110	16	52	30	9	11	10	7	7	23	53	8	18	6	17	26	14	23	6	16	49	18	26	15	7	49	26	25	8	26	29	17	46	12	21	90	11	12	10	22	13	13	11	44	8	9	9	28	16	49	245	55	44	217	5	75	15
1:Del:T:1	5	10	23	7	9	11	19	36	8	9	12	27	16	15	102	11	36	16	4	7	9	3	5	13	42	9	10	3	13	17	9	9	6	6	22	5	15	4	5	29	23	12	10	15	16	12	17	6	21	77	6	5	8	17	12	3	1	23	5	1	16	26	6	24	156	39	30	146	4	66	12
1:Del:T:2	1	8	12	5	7	15	19	37	13	12	15	22	17	18	153	8	35	17	8	8	13	5	6	17	61	7	14	4	10	16	11	23	6	11	43	10	18	6	8	39	18	7	11	32	19	10	39	5	13	127	6	10	2	12	12	1	12	22	10	3	10	20	8	25	245	26	28	217	6	113	15
1:Del:T:3	6	6	14	8	22	18	35	150	18	10	19	11	10	26	578	8	23	13	4	4	6	2	3	16	300	5	23	7	14	15	13	13	9	7	46	12	27	7	9	210	23	14	9	22	14	12	47	16	14	573	7	8	10	7	12	6	8	19	7	3	9	11	9	16	1066	15	20	824	3	587	19
1:Del:T:4	8	16	13	4	22	23	29	475	10	6	14	13	21	47	1782	12	27	4	9	7	5	5	4	10	828	9	16	2	21	29	14	17	2	12	46	11	16	8	2	594	16	12	8	21	7	22	43	16	13	1871	5	7	6	11	6	6	11	23	7	7	7	6	14	16	3138	20	18	2515	6	1721	23
1:Del:T:5	124	67	264	23	343	110	287	9429	140	34	107	46	192	698	32841	140	195	54	72	73	75	78	39	51	14994	96	35	66	149	281	46	83	6	83	116	202	52	29	9	13592	33	339	34	57	29	153	106	214	132	35307	27	65	52	31	64	42	53	154	146	93	37	48	78	145	59876	74	100	49004	152	26087	206
1:Ins:C:0	6	6	9	70	1	4	10	20	3	2	3	1	19	9	38	1	7	4	1	2	4	2	3	6	22	1	1	12	4	4	5	7	0	5	17	6	9	0	2	31	20	4	3	6	4	72	20	5	2	37	9	7	5	1	6	1	9	5	4	4	2	5	6	4	64	4	7	109	3	32	14
1:Ins:C:1	2	0	5	16	1	2	1	12	3	1	0	1	4	4	17	1	6	8	1	3	4	4	2	4	8	1	4	5	2	3	7	2	1	5	6	6	6	2	4	13	16	5	8	4	5	25	6	5	2	17	1	5	2	2	2	3	0	5	1	1	6	1	1	6	21	5	3	34	0	15	5
1:Ins:C:2	1	1	0	3	1	3	4	6	1	0	3	1	1	1	10	1	5	3	1	0	1	5	1	3	0	0	2	1	1	4	2	1	0	0	6	2	5	0	3	3	3	2	1	2	2	6	6	1	3	13	1	0	3	1	5	3	1	10	4	3	1	4	2	2	12	3	4	16	1	18	3
1:Ins:C:3	0	2	3	6	2	1	3	4	3	1	3	7	2	2	28	3	4	4	1	1	1	2	0	1	11	1	2	2	3	2	0	1	3	4	1	2	2	1	7	8	5	2	2	2	3	11	1	1	2	18	0	0	0	2	1	0	2	3	2	0	1	1	0	3	37	2	1	36	2	31	5
1:Ins:C:4	1	2	4	4	3	3	3	35	1	4	0	3	1	2	89	1	4	2	6	2	3	3	1	1	38	1	4	0	0	3	2	2	0	3	2	10	4	0	16	32	3	4	3	1	2	4	2	3	3	122	0	0	0	1	1	2	3	1	2	1	1	1	4	3	127	5	3	230	2	164	2
1:Ins:C:5	5	15	17	17	12	6	9	201	11	7	14	6	17	17	479	9	19	20	11	24	14	12	6	11	341	5	3	6	11	20	5	5	5	4	9	11	7	5	29	247	2	13	8	4	9	28	11	10	14	567	14	2	6	9	3	5	13	8	21	13	3	8	3	12	643	11	10	1172	14	601	16
1:Ins:T:0	2	6	8	26	10	7	10	33	6	7	9	6	9	15	74	9	14	21	4	7	3	0	3	11	35	9	4	5	6	20	3	8	5	6	30	7	12	5	5	33	21	14	8	9	6	46	26	5	11	89	7	6	5	0	6	2	12	21	10	4	10	8	4	11	115	16	23	191	9	85	20
