MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
2:Del:R:3	0	0	0	705	1	1382	1433	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	4	0	3	0	1	2	0	0	1	0	0	1	5	4	1	3	2	1	1	1	0	519	1	1	3	4	1	2	0	3	4	1421	4	3	1	1	3	2	0	2	1488	2	2	1	3	3	0	3	1	1	0	5	3	2	1	0	3	5	5	5	0	775	2	6	3	606	3	0	8	3	2	2	3	3	0	2	6	4	1	2	3208	7	0	3	1	1	2	3	3	1	5	9	3
2:Del:R:4	0	0	0	256	0	366	542	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	4	1	1	0	1	3	0	1	1	236	0	1	1	5	0	0	0	1	2	601	2	0	0	1	1	0	1	0	573	1	1	3	4	3	2	2	0	0	1	2	0	2	0	2	0	3	3	2	1	366	1	1	4	298	4	2	3	4	3	1	2	10	1	1	2	2	2	0	869	4	0	2	1	2	1	5	1	0	1	3	0
2:Del:R:5	0	0	0	448	0	672	720	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	3	4	1	1	8	5	6	2	6	384	6	3	8	7	3	0	5	1	7	1034	4	4	2	4	2	1	3	2	716	5	2	12	10	2	5	3	5	1	3	13	2	10	3	0	3	7	6	7	2	1144	1	1	3	559	4	2	9	5	2	8	3	10	0	7	8	8	5	1	2809	11	1	7	2	6	5	3	0	4	8	4	4
3:Del:R:0	0	0	0	13	2	19	15	0	1	2	1	5	4	1	0	0	0	1	0	0	0	3	1	2	1	2	3	0	4	0	3	3	0	0	0	0	0	2	3	0	0	6	6	1	3	1	1	3	5	2	2	2	4	6	2	4	5	20	8	6	0	4	4	3	3	0	22	3	8	3	2	0	2	9	0	0	3	3	2	7	3	2	1	1	6	2	2	99	3	3	4	55	7	2	4	3	3	8	4	4	3	1	6	4	1	0	178	3	3	5	1	2	7	6	3	2	3	12	4
3:Del:R:1	0	0	3	175	6	241	409	0	4	11	2	14	18	4	5	2	0	7	0	26	0	22	3	1	5	11	18	0	16	0	6	8	8	0	0	3	1	6	23	10	4	34	18	16	17	12	3	114	30	17	19	14	14	24	10	16	43	229	31	33	5	18	13	6	16	17	249	25	12	21	34	11	2	29	8	5	6	23	16	28	9	7	21	20	18	17	7	340	13	13	13	42	19	17	21	25	12	15	23	29	5	7	34	36	12	17	342	34	21	33	15	13	15	16	3	8	17	42	9
3:Del:R:2	0	0	0	64	1	88	154	0	1	4	0	4	2	1	0	1	0	2	0	3	0	5	1	0	0	5	10	0	5	0	1	5	5	0	0	0	1	4	8	4	1	9	4	3	7	3	0	58	2	1	3	3	4	6	2	8	8	84	8	3	1	2	6	3	2	5	118	8	1	8	4	2	3	13	3	1	2	4	5	6	2	4	5	2	7	5	4	93	4	0	3	30	6	5	6	7	2	4	5	13	3	1	3	11	2	7	137	10	3	9	6	4	1	3	1	4	2	16	3
3:Del:R:3	0	0	0	18	0	30	46	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	2	2	2	0	2	1	0	27	0	0	3	1	0	0	0	1	1	28	2	0	0	1	2	1	0	1	45	1	1	2	1	3	1	1	3	0	1	2	2	4	2	1	2	1	1	1	0	37	0	2	1	12	0	2	1	1	0	2	1	7	0	0	2	9	0	2	66	7	3	1	0	1	1	0	1	0	1	6	0
3:Del:R:4	0	0	0	10	1	21	25	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	2	0	2	11	2	1	0	1	2	1	1	3	1	30	1	0	0	0	4	1	3	2	20	0	0	2	1	1	4	2	6	0	0	0	0	0	0	0	0	1	0	0	0	27	2	0	0	12	0	0	0	2	0	0	0	0	0	0	1	0	0	1	47	2	3	0	0	0	0	1	0	0	0	2	0
3:Del:R:5	0	0	0	21	0	37	37	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	15	2	1	1	1	1	1	0	1	0	49	1	1	1	0	0	0	2	1	29	2	0	0	1	0	0	2	5	0	1	1	0	1	0	0	3	0	1	0	1	71	0	0	0	30	0	1	0	1	0	2	1	0	1	0	1	0	1	0	123	1	0	1	0	0	0	0	0	0	0	2	0
4:Del:R:0	0	0	0	5	0	14	8	0	2	3	0	5	0	2	0	1	0	1	0	4	0	3	1	1	0	1	0	0	0	0	2	3	1	0	0	0	0	1	7	1	1	2	8	0	1	0	1	4	3	5	2	1	3	7	1	2	1	6	10	5	0	1	3	3	3	1	11	3	4	1	3	2	2	7	1	2	4	5	0	4	1	5	1	7	11	2	0	40	3	2	4	21	1	3	5	7	6	2	2	8	0	5	7	3	3	0	91	8	3	4	5	2	3	8	2	2	6	8	0
