MutationType	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
[Del(C):R1]A	4	5	22	15	14	10	6	11	12	18	26	10	122	12	7	5	170	9	15	25	28	5	36	12	20	3	10	19	25	5	11	239	15	13	22	22	12	22	25	7	13	12	29	3
[Del(C):R1]T	5	14	24	12	28	15	6	10	14	26	44	6	124	23	10	18	124	14	23	70	42	12	69	11	16	3	7	54	26	9	8	228	36	22	34	20	22	26	36	22	20	17	53	21
[Del(C):R2]A	3	6	8	1	13	4	1	4	4	8	18	2	47	13	9	3	42	4	5	23	9	4	9	4	10	1	4	10	3	5	6	93	11	4	21	5	6	11	7	2	6	9	11	4
[Del(C):R2]T	4	6	4	9	9	3	4	9	7	10	20	3	54	10	2	15	91	4	11	33	18	5	18	8	7	1	12	12	16	5	10	71	11	7	17	17	17	13	17	10	6	11	19	6
[Del(C):R3]A	2	2	4	6	7	6	0	5	3	11	8	2	56	2	4	3	32	5	5	14	7	6	5	3	4	0	3	16	8	4	3	89	4	4	9	10	8	9	12	3	4	6	9	4
[Del(C):R3]T	0	1	3	5	6	1	0	1	4	4	6	4	47	3	2	2	44	3	1	14	9	3	10	7	4	0	2	5	4	1	6	67	4	7	5	5	3	5	8	3	4	5	5	2
[Del(C):R(4,5)]A	2	3	10	4	7	5	4	5	7	9	9	3	498	4	2	9	158	5	7	13	17	3	10	5	6	0	4	12	7	3	4	838	16	3	9	6	2	9	2	0	8	11	7	0
[Del(C):R(4,5)]T	1	0	3	3	4	0	1	2	5	4	6	4	403	4	2	3	233	4	5	9	5	3	5	3	5	0	1	12	3	3	2	796	5	1	7	7	3	3	8	2	3	3	8	5
[Del(C):R(1,5)]G	0	1	11	1	6	6	5	6	6	8	8	2	192	7	3	4	115	4	3	13	10	5	5	1	9	0	2	5	7	0	5	302	11	3	9	4	4	3	5	1	5	7	9	3
Del(C):R(6,9)	1	8	31	18	19	19	2	14	15	13	18	8	2758	19	6	8	1821	13	19	23	23	14	23	15	29	3	5	37	19	11	4	3956	35	7	10	15	6	20	23	4	17	15	19	9
A[Del(T):R(1,4)]A	3	11	20	14	12	13	6	14	26	30	27	4	377	20	11	19	320	13	22	37	37	15	28	10	20	2	15	38	32	10	10	734	27	13	23	17	24	40	42	15	23	25	31	10
A[Del(T):R(1,4)]C	2	2	13	9	5	3	4	7	9	5	13	1	155	13	2	11	113	1	2	15	18	9	18	3	10	1	3	24	12	5	2	351	4	7	11	10	4	9	8	5	11	5	7	6
A[Del(T):R(1,4)]G	5	1	9	10	7	5	3	1	4	11	16	2	132	8	11	7	114	4	5	16	11	6	13	12	8	0	5	14	16	5	3	308	10	8	9	9	8	7	17	7	7	4	12	5
C[Del(T):R(1,4)]A	1	3	13	16	7	8	3	9	9	14	17	7	170	14	8	20	127	10	10	17	25	8	13	8	9	1	6	16	11	5	7	581	10	4	8	13	11	16	20	9	12	16	16	14
C[Del(T):R(1,4)]C	5	5	14	8	10	3	8	4	9	18	19	6	192	11	9	8	124	5	11	28	23	10	12	6	10	2	7	26	14	2	9	553	18	10	11	9	7	14	16	8	8	11	19	5
C[Del(T):R(1,4)]G	0	3	19	3	7	5	1	4	10	12	10	6	127	20	9	3	58	6	6	16	15	13	15	5	9	1	5	10	9	1	3	458	14	2	16	11	13	9	21	9	10	10	13	12
G[Del(T):R(1,4)]A	1	7	27	3	9	5	3	9	14	23	22	2	174	12	3	14	67	2	17	25	22	19	11	4	9	3	4	20	21	4	4	399	10	10	13	27	6	13	21	12	16	27	16	15
G[Del(T):R(1,4)]C	1	3	13	2	4	1	4	4	9	13	12	3	131	6	1	9	49	3	6	28	17	12	12	5	1	2	4	9	10	3	4	373	4	4	9	18	7	4	11	6	13	14	10	10
G[Del(T):R(1,4)]G	1	2	27	2	6	4	3	6	10	11	20	3	154	13	8	9	57	2	11	21	23	13	16	4	7	1	4	14	17	0	9	350	11	10	15	17	10	14	11	7	16	26	20	8
A[Del(T):R(5,7)]A	3	11	69	49	40	43	11	31	59	39	50	27	3524	36	14	27	3348	15	65	63	53	20	67	68	61	1	17	85	74	22	30	9221	72	14	30	48	30	50	62	29	34	46	44	31
A[Del(T):R(5,7)]C	1	6	37	29	17	26	5	20	32	37	37	11	1640	29	9	19	2349	8	36	46	31	16	48	23	37	3	7	56	38	12	9	4020	52	13	24	30	29	28	43	18	32	29	33	19
A[Del(T):R(5,7)]G	2	11	34	38	20	25	12	17	33	26	27	5	2217	23	8	12	2587	8	36	33	20	13	33	21	31	1	8	49	26	11	11	5881	43	12	23	24	14	27	43	9	24	27	19	15
C[Del(T):R(5,7)]A	1	6	37	27	24	15	8	19	26	18	25	12	1822	17	8	12	1332	9	39	28	21	14	30	17	25	2	6	46	20	7	12	5207	26	14	15	15	12	22	38	12	16	33	20	13
C[Del(T):R(5,7)]C	1	3	17	14	16	7	6	14	16	21	26	8	1803	18	7	8	1727	4	27	28	11	13	28	16	11	1	1	28	16	11	8	4387	27	6	20	13	14	15	25	9	16	24	16	7
C[Del(T):R(5,7)]G	1	7	20	15	16	14	8	15	18	17	22	13	1620	8	8	4	1111	7	19	28	15	5	27	15	16	0	6	32	21	12	8	4603	22	8	27	16	8	8	25	7	9	22	20	8
G[Del(T):R(5,7)]A	0	2	19	15	9	5	4	5	12	9	15	2	1552	8	4	5	1047	2	20	20	16	12	22	8	10	1	0	16	17	6	6	4300	22	4	2	9	3	21	24	9	14	16	14	7
G[Del(T):R(5,7)]C	2	4	25	18	11	15	3	7	20	14	20	3	1112	6	2	10	1313	5	20	21	18	14	14	16	12	1	0	22	16	2	3	2749	12	3	10	6	9	13	26	6	8	14	13	6
G[Del(T):R(5,7)]G	0	4	19	14	7	8	2	7	8	14	16	3	1111	7	6	8	1155	6	24	18	17	11	23	9	12	0	4	19	12	7	5	3046	19	5	12	11	14	13	15	1	11	15	8	5
A[Del(T):R(8,)]A	0	15	130	82	85	61	18	62	108	85	109	35	7185	64	30	50	6278	24	120	125	73	42	117	98	99	4	19	162	116	30	39	14597	171	28	70	68	56	87	134	45	52	67	74	52
A[Del(T):R(8,)]C	0	11	106	85	53	54	17	58	86	61	83	23	4438	44	9	39	6466	26	95	90	63	34	90	75	87	3	12	113	80	30	23	8992	123	31	42	48	33	73	114	34	50	60	44	27
A[Del(T):R(8,)]G	0	6	76	43	34	38	11	35	42	43	45	22	4184	30	8	21	3584	14	48	58	45	25	63	49	53	1	6	64	49	24	21	8671	83	13	26	42	30	38	72	16	32	42	28	24
C[Del(T):R(8,)]A	2	6	80	47	61	40	13	41	48	58	59	34	5262	34	29	23	3260	18	78	68	35	46	74	60	57	2	14	74	84	32	25	9578	82	18	56	34	27	42	88	27	33	70	50	33
C[Del(T):R(8,)]C	0	9	123	68	62	51	12	43	64	87	64	42	5935	51	16	41	4540	21	121	81	56	55	66	61	57	2	14	90	70	23	15	10948	114	17	45	45	23	55	95	28	55	69	40	22
C[Del(T):R(8,)]G	0	10	76	36	48	38	11	34	35	24	40	33	5925	27	12	21	3129	13	53	54	27	21	56	34	45	3	7	49	61	27	24	10688	86	17	35	33	16	42	66	10	29	30	37	25
