MutationType	SP97749	SP49235	SP50177	SP97775	SP97685	SP97747	SP97771	SP97681	SP98082	SP49334	SP49124	SP115501	SP98305	SP49247	SP49328	SP98092	SP120755	SP49417	SP49175	SP49223	SP49187	SP49157	SP49379	SP49541	SP98164	SP49481	SP98078	SP106677	SP106743	SP98359	SP98192	SP98053	SP106631	SP49551	SP49651	SP98265	SP98297	SP98060	SP98289	SP115498	SP98096	SP49114	SP98090	SP49286	SP49469	SP49205	SP98327	SP49449	SP49391	SP49531	SP49322	SP49433	SP109384	SP98065	SP49591	SP49385	SP98313	SP49119	SP109301	SP115830	SP49229	SP98853	SP98855	SP98859	SP98865	SP98879	SP98871	SP98867	SP98861	SP98877	SP98889	SP98887	SP98875	SP98851	SP98833	SP98873	SP98883	SP98849	SP98869	SP98893	SP98847	SP98881	SP98841	SP98845	SP98839	SP98843	SP98863	SP98891	SP98885	SP107047	SP107050	SP99261	SP107052	SP99269	SP99271	SP107056	SP107060	SP99279	SP107063	SP107068	SP107071	SP107073	SP98896	SP99003	SP107076	SP107078	SP107080	SP98898	SP107084	SP107088	SP107091	SP107094	SP112224	SP107097	SP107101	SP98900	SP107104	SP107109	SP107111	SP107115	SP98902	SP107119	SP98904	SP98909	SP107121	SP107123	SP98907	SP107132	SP107136	SP107141	SP98913	SP107146	SP107150	SP98915	SP107152	SP107155	SP112125	SP98921	SP112130	SP112133	SP98925	SP112138	SP112141	SP98927	SP112147	SP112152	SP112156	SP98933	SP112160	SP98937	SP112165	SP112168	SP98941	SP112170	SP112174	SP98945	SP112178	SP112180	SP98949	SP112182	SP98953	SP112186	SP98955	SP112188	SP112190	SP112192	SP112194	SP98959	SP112196	SP112198	SP112201	SP98965	SP112205	SP112208	SP98967	SP112210	SP112211	SP98973	SP112213	SP50097	SP112215	SP112217	SP98975	SP112219	SP112221	SP112228	SP50099	SP98981	SP112234	SP98985	SP112237	SP98989	SP112241	SP112245	SP98991	SP112248	SP112051	SP98997	SP112252	SP99001	SP112257	SP99007	SP112261	SP50101	SP112265	SP112268	SP99011	SP112269	SP99013	SP112273	SP112274	SP50105	SP112276	SP99019	SP99021	SP112283	SP112288	SP99025	SP112290	SP99029	SP99033	SP99037	SP99041	SP99045	SP112300	SP99049	SP112304	SP50107	SP112310	SP99053	SP99057	SP99061	SP50109	SP99065	SP106993	SP50111	SP99069	SP99073	SP99077	SP99081	SP99085	SP99089	SP99093	SP99097	SP99101	SP106998	SP99105	SP99109	SP50113	SP50115	SP50117	SP107004	SP99117	SP99121	SP107007	SP99125	SP99129	SP99133	SP50119	SP99137	SP50121	SP50123	SP99141	SP50125	SP99145	SP99149	SP50129	SP99153	SP99157	SP99161	SP99165	SP50131	SP50133	SP99169	SP50135	SP50137	SP99173	SP99177	SP99181	SP50139	SP107010	SP99189	SP50141	SP99193	SP50145	SP50147	SP107012	SP50149	SP107017	SP107019	SP107023	SP50151	SP50153	SP99197	SP50155	SP99201	SP50157	SP99205	SP50159	SP50161	SP107025	SP107028	SP50163	SP99217	SP50165	SP107030	SP50167	SP99229	SP99233	SP107032	SP50169	SP50171	SP50173	SP50175	SP107034	SP50179	SP99237	SP107037	SP107041	SP50181	SP99249	SP99253	SP50183	SP99257	SP107044	SP50185	CPCT02020315T	CPCT02020321T	CPCT02020330T	CPCT02010372T	CPCT02020326T	CPCT02020403T	CPCT02040063T	CPCT02060054T	CPCT02060053T	CPCT02020886T	CPCT02130167T	CPCT02080186T	CPCT02130172T	CPCT02020413TII	CPCT02130180T	CPCT02130057T	CPCT02130186T	CPCT02130184T	CPCT02020690T	CPCT02080215T	CPCT02050360T	CPCT02130096T	CPCT02020759T	CPCT02130127T	CPCT02060242T	CPCT02050386T	CPCT02290055T	CPCT02130048T	CPCT02130155T	CPCT02130156T	CPCT02130157T	CPCT02130158T	CPCT02020852T	CPCT02020839T	CPCT02130159T	CPCT02020861T	CPCT02060276T	CPCT02350014T	CPCT02030315T	CPCT02090015T	CPCT02020533T	CPCT02020546T	CPCT02050224T	CPCT02180031T	CPCT02080057T	CPCT02020421T	CPCT02080054T	CPCT02020413T	CPCT02020448T	CPCT02190014T	CPCT02080101T	CPCT02030336T	CPCT02050295T
1:Del:C:0	17	23	27	70	29	31	45	35	46	20	32	26	48	54	33	27	16	41	18	6	25	44	19	48	56	10	48	27	13	25	6	41	12	38	23	38	57	10	27	60	32	74	111	33	30	12	27	12	11	54	34	16	20	31	25	43	15	32	49	21	16	34	23	20	12	32	18	35	67	28	25	44	33	4	26	50	32	17	11	40	32	39	19	42	23	26	6	31	24	51	44	28	21	37	24	49	26	29	29	26	60	6	54	31	63	20	41	39	35	9	35	11	31	31	94	41	26	15	34	1	38	41	17	49	63	24	63	7	39	11	42	41	33	15	44	29	28	28	29	28	15	16	45	50	47	15	30	28	20	11	25	71	66	56	18	11	58	24	57	29	38	33	77	21	58	43	37	13	47	34	11	35	35	39	17	38	34	86	44	68	41	57	19	54	19	34	24	21	51	48	35	10	17	15	21	29	43	45	41	14	4	18	18	36	25	36	64	43	27	56	15	38	13	44	26	19	34	39	62	30	54	10	39	37	27	39	36	61	34	19	11	96	24	23	59	23	32	31	39	33	40	26	31	11	18	44	19	46	74	29	24	33	50	45	45	25	37	24	40	47	30	40	32	33	11	30	35	19	26	25	34	51	17	8	18	7	38	42	19	18	39	19	2	23	37	51	73	35	12	37	25	38	55	80	61	14	28	15	46	39	50	9	29	11	39	40	27	25	13	7	54	44	13	6	27	28	28	41	22	20	27	31	63	38	12	25	37	3	36	22	27	23	66	52	15	41	21	34	23	66	36	43	42	31	49	26	29	48	50	26	49	20	20	28	16	34	26	24	35	9	29	39	35	34	33	49	20	13	48	44	10	37	38	108	6	26	16	63	27
1:Del:C:1	21	31	28	55	18	40	43	43	24	27	25	19	60	64	39	23	7	30	32	8	37	77	35	50	71	9	54	25	12	26	9	48	26	41	13	32	68	7	50	61	51	77	133	49	18	9	32	8	12	70	20	14	14	32	19	32	22	34	59	25	12	51	23	17	9	45	15	64	43	59	52	61	49	4	24	74	46	12	18	39	39	40	28	44	33	28	13	51	55	73	45	44	21	46	40	76	37	42	15	27	63	6	64	25	81	12	41	58	52	9	45	14	37	36	94	32	30	10	37	0	44	46	26	83	70	44	69	10	41	16	43	32	45	21	53	18	29	28	35	29	21	11	80	37	41	19	28	29	37	13	23	71	93	97	18	20	82	36	89	38	38	45	93	32	78	48	53	14	41	35	17	42	47	46	30	61	30	77	59	135	66	75	38	77	23	49	38	25	68	74	18	15	21	11	10	45	48	86	46	14	3	13	20	28	18	46	70	32	17	80	11	37	13	34	44	17	35	40	95	66	81	11	48	47	14	53	35	69	50	37	13	125	25	24	94	14	41	47	33	32	50	34	75	5	13	71	21	34	73	30	24	57	42	57	49	51	42	37	44	85	32	46	25	39	16	41	46	26	24	19	38	58	27	15	30	6	46	58	31	13	33	18	2	30	28	70	72	36	20	44	32	26	63	43	85	12	35	15	34	68	31	14	38	9	49	36	48	18	19	5	66	56	31	6	40	39	19	49	26	45	28	54	76	73	15	26	43	2	28	9	32	35	97	99	4	35	21	42	19	62	35	56	55	46	50	16	24	58	45	31	52	26	6	23	26	31	26	24	38	12	28	46	41	24	28	60	12	9	74	69	6	46	37	90	9	39	17	43	38
1:Del:C:2	11	17	13	32	9	33	30	36	27	19	19	6	31	33	28	14	3	16	15	2	27	48	21	25	49	8	34	12	4	13	9	34	16	34	5	20	49	5	23	48	25	57	82	22	11	4	26	3	11	47	11	11	17	19	9	24	2	18	48	12	6	40	13	9	5	22	12	24	49	27	25	36	34	5	17	30	18	12	7	24	20	25	28	53	18	26	3	27	29	49	18	32	18	28	29	43	24	27	20	22	45	4	52	26	40	17	14	28	35	7	27	10	15	13	44	16	10	7	19	1	45	29	15	59	41	22	54	3	30	8	35	24	17	11	46	16	25	13	22	24	6	8	45	38	20	11	14	23	24	7	16	51	49	45	9	11	30	26	56	25	28	23	72	22	50	37	28	8	32	23	13	18	25	16	23	17	23	46	35	75	43	45	12	40	12	33	30	17	54	40	13	15	20	15	7	35	32	59	26	14	2	11	7	26	8	38	51	25	6	52	4	29	6	16	24	5	17	19	62	39	35	8	26	44	10	25	20	42	29	16	4	74	13	16	58	9	28	32	17	18	28	27	41	3	4	33	11	24	45	14	16	36	20	38	41	23	24	31	23	40	14	26	17	23	9	25	17	18	16	14	15	39	15	3	12	5	20	25	15	14	20	9	1	23	12	45	93	33	11	20	31	22	51	29	52	7	11	13	32	32	23	6	19	10	39	23	31	14	9	5	44	50	19	1	21	18	12	35	13	21	15	21	36	33	11	7	30	1	22	8	24	42	60	63	9	24	20	23	8	29	22	28	23	29	38	12	13	37	35	17	31	21	10	11	13	28	15	7	24	3	15	32	17	8	9	46	6	3	57	75	2	29	22	52	5	18	14	20	16
1:Del:C:3	8	4	11	19	6	10	17	17	8	11	10	6	14	16	17	12	2	13	8	4	16	23	17	18	28	2	18	6	2	10	3	12	12	7	6	10	19	0	18	23	15	23	43	12	13	2	23	3	4	22	7	6	1	5	2	15	5	12	27	11	3	12	6	5	2	10	5	12	18	5	10	24	19	4	4	18	18	6	4	12	11	11	12	84	15	13	4	17	10	18	14	19	9	8	7	14	7	18	9	6	18	0	17	14	30	4	13	20	15	5	11	4	14	14	30	5	7	1	10	0	23	19	6	25	15	11	22	5	12	4	13	14	12	7	17	6	8	4	12	16	7	4	30	5	17	3	8	9	9	6	9	18	19	18	2	3	24	10	30	10	4	21	25	4	21	9	12	4	24	10	6	20	14	11	5	14	11	18	17	44	28	20	8	12	5	15	14	9	18	17	4	7	6	6	3	12	11	33	26	8	1	3	3	11	9	18	25	13	4	20	4	15	4	13	12	5	13	12	37	15	19	2	12	18	4	15	7	29	16	8	1	43	11	8	29	5	22	20	6	4	8	15	18	4	1	12	8	17	21	10	8	19	12	22	20	9	10	10	12	20	5	21	13	9	6	16	11	11	8	9	9	12	9	3	5	0	9	10	6	4	11	4	1	7	13	26	167	5	5	6	9	10	22	16	21	4	9	6	6	13	11	3	7	3	12	5	10	3	4	1	20	22	2	1	6	7	7	23	7	13	4	14	18	17	4	10	15	1	19	1	8	15	30	36	1	9	8	15	5	19	16	16	17	15	23	8	11	18	24	6	8	13	3	7	5	17	12	6	12	2	6	21	14	7	5	18	7	3	30	20	2	22	16	32	2	8	6	18	11
1:Del:C:4	5	2	3	7	1	5	8	10	4	1	5	2	7	15	10	7	1	10	2	1	13	11	12	15	13	1	9	3	1	5	0	7	5	5	3	6	15	1	7	20	11	20	25	5	4	1	8	0	5	10	2	3	2	3	2	6	6	1	13	2	3	6	8	0	1	10	1	6	18	13	9	16	11	2	4	26	6	5	2	11	10	2	10	156	8	15	2	15	10	8	10	4	6	5	2	16	9	13	2	11	10	2	8	7	17	6	11	7	3	2	7	1	12	10	18	5	6	0	2	1	16	7	3	11	17	6	18	0	7	1	8	5	2	5	12	4	5	5	5	12	1	3	13	7	6	4	4	7	2	5	2	18	8	18	3	3	8	11	18	7	8	6	17	6	16	6	8	2	11	8	1	3	6	8	5	9	10	13	12	30	10	19	2	15	2	16	7	7	18	11	1	3	4	4	4	6	11	16	12	3	0	3	6	6	2	16	14	9	6	10	2	12	2	7	5	0	2	8	17	6	11	3	7	7	4	10	9	19	13	3	0	21	7	7	18	4	8	9	7	5	11	12	11	1	1	14	2	8	18	2	7	10	8	12	16	9	7	12	6	13	2	10	3	6	2	11	4	5	4	4	3	7	4	2	2	6	5	11	6	0	8	2	1	3	4	17	392	9	3	7	6	1	20	7	13	6	3	2	4	13	6	2	7	0	9	6	5	2	3	2	12	14	5	1	1	5	7	12	3	4	2	10	15	6	4	5	9	0	5	4	8	11	14	24	1	9	5	4	2	6	4	8	11	8	14	4	5	14	14	3	13	8	4	5	4	7	6	5	8	2	6	10	9	2	3	19	7	3	23	23	2	8	11	6	5	6	4	7	8
1:Del:C:5	0	3	1	7	2	4	2	3	6	3	2	2	11	8	6	1	1	5	2	2	5	4	5	12	8	1	8	0	3	4	0	8	3	2	2	5	1	1	2	7	6	7	11	2	3	2	6	0	1	9	2	1	2	4	2	2	0	2	8	4	0	5	2	0	0	8	1	5	1	10	8	8	6	0	3	3	3	3	3	9	4	2	4	400	3	3	2	10	6	7	3	5	0	3	2	15	1	4	1	1	6	0	8	4	6	1	3	5	5	2	4	1	0	3	4	2	0	0	5	0	7	6	1	9	6	4	7	1	5	1	9	4	4	2	5	6	3	3	4	3	1	4	9	6	4	2	4	3	3	2	2	5	5	3	2	4	3	2	4	3	4	7	5	2	3	1	7	0	7	5	1	6	5	4	3	7	3	11	5	10	9	5	6	7	1	1	6	2	6	7	3	1	3	0	3	6	3	9	9	3	0	1	0	3	2	4	8	5	3	10	2	2	0	3	3	0	0	5	8	2	6	0	4	5	2	4	3	7	4	1	0	5	2	5	4	0	4	4	1	3	5	2	10	0	4	1	2	2	14	7	1	6	8	10	8	4	5	0	5	8	1	6	2	3	3	3	4	2	3	3	1	7	3	1	4	2	5	8	3	0	5	1	0	2	4	3	884	5	2	1	6	1	9	5	9	1	8	0	6	7	3	0	5	3	10	6	3	2	1	1	4	5	2	0	1	2	3	3	3	4	5	6	7	2	1	2	7	0	4	2	5	16	12	15	0	4	4	7	2	1	6	4	11	5	12	8	3	9	9	6	9	11	3	2	5	4	7	4	6	0	2	14	5	2	3	7	6	2	7	9	4	4	3	1	1	2	1	9	5
1:Del:T:0	11	16	42	48	21	23	32	39	24	28	55	15	40	32	16	20	9	30	26	10	16	30	42	22	32	8	40	21	7	24	11	27	24	20	19	30	48	5	59	32	23	43	59	28	20	9	31	5	12	58	19	15	12	43	15	18	13	30	31	13	15	31	18	15	6	23	33	34	31	23	35	54	50	3	12	35	18	23	14	43	19	36	20	41	19	26	10	16	29	38	31	24	22	24	18	30	18	25	17	22	38	2	37	28	69	12	23	19	14	16	27	14	22	17	64	23	13	15	18	1	36	26	24	36	64	28	39	5	41	13	31	17	31	13	21	17	28	20	28	43	10	15	45	36	25	17	13	23	25	13	22	40	49	33	15	9	59	23	44	22	21	24	91	13	53	29	28	15	37	27	12	23	18	41	25	36	40	50	21	55	32	53	18	51	12	23	22	17	42	36	17	16	21	11	11	27	38	53	38	13	5	16	17	26	24	37	41	29	27	52	12	34	8	28	15	12	28	20	58	24	31	9	28	35	11	34	19	52	60	22	7	55	32	13	52	15	25	25	20	29	39	18	49	6	10	67	11	21	51	24	32	20	17	40	38	38	24	23	24	31	12	32	18	36	10	32	26	25	16	24	18	41	20	10	22	7	25	19	24	14	30	13	0	20	21	57	42	23	30	26	29	13	34	56	74	22	19	18	28	32	26	7	30	15	16	25	26	15	29	3	57	31	18	6	13	24	18	34	7	37	14	28	35	37	20	21	24	1	28	15	18	35	49	58	9	36	18	27	13	78	31	24	24	50	31	30	21	33	42	27	52	36	6	18	21	33	25	27	38	6	18	29	18	14	27	32	9	12	36	38	6	28	33	151	9	31	13	39	26
1:Del:T:1	22	9	30	36	16	23	27	35	28	15	35	6	25	35	12	13	5	30	16	6	17	27	21	21	41	8	32	15	2	21	9	18	12	14	16	24	39	8	20	30	18	50	41	30	13	7	20	1	20	25	18	18	11	34	12	38	10	24	23	16	7	31	17	16	11	21	19	29	31	15	31	40	28	3	12	27	22	6	14	19	11	23	10	39	27	13	6	10	20	25	21	20	14	21	22	29	22	24	13	18	33	1	28	25	61	14	24	30	26	6	23	5	20	22	53	8	16	7	20	0	33	18	15	24	43	11	47	5	33	15	28	20	20	10	34	17	23	14	21	24	6	11	26	23	15	9	16	18	22	11	16	23	35	32	20	9	44	22	33	20	25	19	84	9	37	29	20	11	25	21	12	36	12	28	13	31	30	35	29	40	30	33	12	38	12	23	9	11	36	18	9	10	17	9	7	29	34	39	26	14	4	12	16	21	21	26	29	22	16	20	2	21	9	20	13	9	35	14	41	23	29	5	15	27	9	37	26	35	32	16	5	51	29	13	44	7	27	30	24	22	43	25	28	8	10	44	9	18	40	16	15	21	13	25	31	17	25	23	17	27	10	29	17	31	13	16	17	20	20	12	16	25	10	6	22	8	22	11	15	5	18	11	3	17	21	39	81	17	14	27	14	15	23	49	41	12	23	14	24	20	19	6	23	10	15	24	29	11	14	5	32	18	17	4	16	28	12	30	12	22	15	22	20	49	15	19	18	0	24	8	27	29	46	50	4	16	23	16	12	79	44	23	19	42	29	20	23	33	36	18	27	16	8	13	20	26	12	14	17	10	17	22	19	11	16	23	14	7	41	28	11	16	30	112	8	26	14	24	15
1:Del:T:2	20	21	21	34	15	18	32	38	24	23	48	12	30	37	8	21	11	23	11	2	8	22	19	19	34	18	34	20	4	16	5	35	13	13	12	28	23	3	17	28	15	62	36	17	26	11	28	3	18	27	11	13	10	27	14	40	12	25	30	9	7	34	15	18	4	26	11	13	27	17	21	26	31	5	14	21	18	12	15	26	18	20	6	69	31	10	5	18	21	32	22	26	15	17	8	21	16	19	9	17	21	1	41	16	63	9	17	24	29	12	26	8	28	24	41	22	19	10	37	0	31	24	15	44	38	21	38	6	29	11	25	16	21	11	21	21	13	13	24	22	8	9	23	19	29	12	17	20	18	3	20	28	32	30	7	12	26	24	37	22	20	16	74	17	42	16	16	7	15	12	5	15	17	21	10	42	28	63	20	48	24	32	17	33	12	16	16	8	25	29	16	9	11	10	15	24	18	33	30	17	2	15	19	29	14	32	36	15	14	29	9	25	10	17	18	13	27	16	39	10	22	5	17	25	8	37	27	34	27	10	5	47	29	16	30	12	24	15	25	29	39	20	26	4	6	49	5	13	44	20	18	26	15	30	31	19	17	16	16	22	11	21	20	20	8	24	22	20	9	13	20	33	14	8	12	7	22	26	23	12	13	11	1	16	14	26	151	15	16	31	13	16	16	48	28	11	27	7	27	15	21	4	18	9	24	18	23	13	17	6	23	18	14	1	10	26	11	21	11	20	20	15	29	34	12	15	16	0	27	12	37	30	39	46	2	19	28	29	14	69	42	25	29	29	38	13	20	36	30	22	35	18	4	12	13	26	14	22	17	3	11	18	12	16	27	20	8	8	34	28	5	23	26	86	9	17	14	32	21
1:Del:T:3	20	10	26	22	19	22	24	17	21	21	35	14	34	33	25	27	9	18	11	8	7	30	12	17	28	7	25	15	10	17	8	28	21	13	12	32	28	4	19	26	19	41	46	26	28	10	31	6	14	26	28	10	9	15	10	18	10	16	21	18	12	26	21	16	10	14	7	24	19	16	28	31	29	2	5	21	17	7	10	20	12	23	12	171	18	12	6	23	15	27	20	18	16	15	11	26	27	20	13	18	19	0	28	33	47	11	17	19	18	12	18	6	15	23	32	24	13	8	25	0	34	15	14	24	24	20	28	2	29	8	26	21	18	11	21	8	11	14	12	22	4	11	29	18	13	8	12	19	21	6	19	31	35	19	9	10	40	16	34	20	25	12	60	13	25	23	16	9	24	17	8	21	31	22	20	33	18	53	25	27	22	25	7	19	8	13	19	9	25	25	26	5	21	17	9	15	22	35	26	14	4	9	15	16	16	29	24	38	14	38	6	25	8	14	12	4	15	18	26	10	15	6	17	21	11	32	17	24	25	16	6	33	25	10	37	13	21	22	23	23	26	17	30	4	15	20	8	25	52	14	12	17	29	27	38	23	25	8	20	22	10	29	18	22	13	28	24	9	15	15	12	33	10	2	16	5	13	13	16	8	25	9	0	16	15	27	399	25	14	28	18	16	29	69	28	6	26	10	22	19	22	8	16	8	18	16	19	7	20	4	25	14	16	3	7	18	17	24	13	9	15	23	21	26	10	15	20	0	21	11	17	23	42	33	6	28	21	23	9	38	41	32	25	30	28	24	35	32	35	20	32	16	2	22	19	25	25	12	39	4	12	30	13	8	45	22	14	2	31	29	9	22	22	49	7	20	16	22	14
