MutationType	CPCT02030434T	CPCT02060161T	CPCT02030441T	CPCT02030426T	CPCT02100147T	CPCT02030445T	CPCT02060147T	CPCT02030453T	CPCT02090038T	CPCT02100151T	CPCT02100159T	CPCT02030465T	CPCT02100166T	CPCT02070311T	CPCT02030467T	CPCT02060225T	CPCT02060224T	CPCT02030466T	CPCT02070341T	CPCT02080225T	CPCT02030476T	CPCT02070351T	CPCT02070353T	CPCT02060247T	CPCT02060257T	CPCT02030506T	CPCT02050390T	CPCT02030483T	CPCT02030487T	CPCT02070373T	CPCT02050396T	CPCT02030510T	CPCT02030516T	CPCT02030537T	CPCT02030529T	CPCT02060246T	CPCT02030532T	DRUP01060020T	CPCT02060264T	CPCT02030399T	CPCT02050254T	CPCT02030392T	CPCT02030397T	CPCT02100121T	CPCT02100116T	CPCT02030385T	CPCT02030387T	CPCT02080162T	CPCT02100122T	CPCT02030386T	CPCT02030400T	CPCT02030396T	CPCT02050176T	CPCT02100081T	CPCT02100084T	DRUP01050008T	CPCT02100085T	CPCT02100092T	CPCT02100090T	CPCT02100094T	CPCT02100089T	CPCT02100101T	CPCT02100095T	CPCT02030368T	CPCT02030369T	CPCT02100108T	CPCT02030375T	CPCT02030377T	CPCT02030374T	DRUP01050003T	CPCT02330058T	CPCT02030417T	CPCT02100129T	CPCT02100134T	CPCT02030410T	CPCT02030421T	CPCT02030430T	CPCT02030416T
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	87	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	143	0	0	0	0	0	0	2	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	1	0
3:Ins:R:5	1	0	0	0	2	0	0	1	1	0	2	0	2	0	1	0	0	0	1	1	1	0	0	2	1	0	1	0	0	0	3	0	0	2	0	0	90	1	2	1	3	33	0	2	0	0	0	34	0	1	0	0	2	2	1	0	1	1	3	0	0	69	0	2	0	1	1	0	1	78	0	0	0	2	1	1	9	0
4:Ins:R:0	8	3	5	2	5	5	2	4	7	2	6	6	14	6	5	3	6	1	7	4	2	2	5	5	2	4	9	5	5	4	18	1	8	7	3	6	235	6	2	5	4	61	5	4	3	4	4	54	0	5	3	0	5	9	5	6	3	5	4	3	3	55	5	5	7	6	2	4	7	252	7	3	4	8	5	7	83	6
4:Ins:R:1	2	0	0	2	1	1	1	2	0	0	2	0	4	3	2	2	3	1	4	0	2	0	0	1	2	1	2	3	2	1	3	0	2	1	1	2	18	0	0	2	1	5	3	1	1	6	2	4	3	3	0	0	2	1	0	1	3	1	2	3	2	11	3	2	0	1	4	1	0	23	2	2	2	1	1	1	6	1
4:Ins:R:2	2	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	34	0	0	0	0	4	0	0	0	1	1	4	0	0	0	0	0	1	0	0	0	1	0	1	0	8	0	0	0	0	0	0	0	34	0	0	0	1	0	0	12	1
4:Ins:R:3	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	51	0	0	0	0	6	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	15	1	0	0	0	0	1	0	55	0	0	0	0	0	0	13	1
4:Ins:R:4	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	1	1	0	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	48	0	1	0	0	7	0	1	1	1	0	12	0	0	2	0	0	0	0	0	0	1	0	0	0	25	0	1	1	2	0	0	0	45	0	0	0	1	0	0	10	0
4:Ins:R:5	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	1	1	0	0	0	1	0	0	0	1	2	2	0	0	0	1	1	1	29	1	2	2	0	8	2	0	0	1	0	19	1	0	2	2	0	1	0	1	0	2	0	0	1	38	0	0	1	0	0	0	0	30	2	1	0	1	0	2	5	0
5:Ins:R:0	47	43	98	55	31	33	36	31	45	17	23	70	66	48	43	47	140	54	59	74	75	30	19	26	24	41	41	22	44	28	52	21	47	50	34	55	605	102	28	26	45	236	62	38	83	40	90	128	46	66	44	93	22	20	29	17	11	19	18	12	22	182	25	100	63	55	64	34	37	546	65	79	60	79	61	80	228	32
5:Ins:R:1	4	2	6	4	5	8	6	6	3	4	5	10	10	9	9	10	3	0	4	5	3	5	2	4	8	5	14	5	6	10	4	6	15	6	4	9	41	7	5	5	7	15	4	5	13	8	5	12	3	2	6	8	12	9	6	12	3	7	5	4	4	19	1	5	9	6	8	2	4	45	10	5	3	1	2	9	25	8
5:Ins:R:2	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	1	12	2	0	0	1	7	1	0	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	8	0	0	1	1	0	1	0	17	1	2	0	0	0	0	4	1
5:Ins:R:3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	2	1	4	0	0	1	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	0	7	0	1	0	0	0	0	1	0
5:Ins:R:4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0
5:Ins:R:5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0
2:Del:M:1	5	6	17	26	16	9	35	21	10	13	11	7	16	18	15	35	4	5	13	22	22	5	12	9	15	17	31	11	12	77	24	8	29	7	13	93	64	16	11	12	9	338	7	23	26	21	15	34	8	9	28	13	32	11	17	14	15	14	14	4	67	29	7	17	18	19	12	7	12	56	20	14	8	9	19	8	107	15
3:Del:M:1	1	2	1	1	3	1	15	3	7	0	1	1	7	8	3	12	1	0	8	13	5	1	4	3	5	1	5	2	1	16	17	2	4	2	3	17	6	7	4	3	2	25	1	1	8	12	4	4	1	2	5	2	15	2	1	9	2	4	3	0	9	1	1	1	1	1	2	2	1	2	9	1	1	4	5	3	6	1
3:Del:M:2	2	3	8	2	6	2	7	17	6	7	5	3	3	10	8	18	4	1	3	11	18	1	3	12	4	4	10	8	6	31	12	10	15	7	4	61	26	8	9	2	10	181	2	13	8	11	11	22	2	3	7	4	15	2	13	7	5	8	15	2	40	11	0	8	5	7	6	3	7	28	8	7	5	2	16	11	17	5
4:Del:M:1	3	1	7	8	8	4	8	6	8	3	4	4	12	10	6	14	5	1	9	10	5	1	4	3	12	4	9	7	4	26	10	0	1	7	3	22	21	13	3	3	9	74	2	6	13	16	4	10	1	2	6	6	6	5	5	5	7	4	4	0	14	11	3	1	8	2	6	2	2	15	7	8	2	1	8	4	18	4
4:Del:M:2	3	2	3	12	10	7	16	20	3	6	11	7	9	10	14	18	1	2	5	10	15	3	6	5	1	11	13	8	5	25	7	5	16	6	3	34	11	6	15	9	11	112	2	17	8	6	12	5	11	9	15	10	8	7	16	5	10	7	17	5	31	3	0	10	5	9	9	2	3	9	6	7	5	6	20	12	7	7
4:Del:M:3	9	5	15	23	20	12	17	14	5	12	14	16	16	5	15	25	4	5	11	18	22	2	10	8	3	12	13	16	18	29	10	16	17	17	16	50	20	14	27	13	26	167	6	18	17	20	20	9	6	12	32	19	14	13	22	5	20	15	19	2	55	8	5	23	16	11	21	5	12	24	13	17	8	2	17	17	17	10
5:Del:M:1	14	10	15	9	4	8	64	8	22	7	7	18	63	53	17	50	30	11	49	83	10	8	5	13	26	11	72	13	8	82	75	8	9	15	8	70	36	57	14	23	3	61	14	7	105	58	27	26	11	6	6	5	98	6	8	41	4	3	3	7	6	22	8	18	14	10	12	13	14	37	53	14	6	13	11	16	61	6
5:Del:M:2	6	10	5	9	5	6	30	5	14	3	2	9	37	39	5	23	12	9	43	37	8	6	4	4	25	7	45	4	7	42	53	3	7	7	8	33	17	22	5	11	7	22	4	5	46	36	6	10	5	1	9	7	48	4	7	19	8	6	4	2	4	6	4	7	5	5	6	8	4	12	28	7	4	8	8	7	16	11
5:Del:M:3	7	7	7	4	3	3	15	4	9	7	1	2	16	20	9	19	5	2	18	19	9	1	5	5	10	4	27	6	5	25	19	5	8	7	5	24	18	14	11	10	6	24	4	4	24	23	6	10	4	6	5	7	17	4	10	7	4	5	3	5	16	5	5	9	4	4	4	5	4	19	6	2	5	3	3	6	20	2
5:Del:M:4	0	3	1	6	9	0	8	2	4	1	1	3	11	5	6	8	5	4	4	11	10	1	4	3	6	3	17	4	2	7	10	6	6	3	5	12	5	7	12	4	9	21	3	4	11	15	7	5	4	3	4	5	13	1	8	11	4	4	5	1	9	2	2	1	3	2	9	4	2	9	9	3	3	2	4	5	5	3
5:Del:M:5	3	1	3	4	2	2	7	2	4	6	1	2	8	6	6	10	3	0	13	3	7	3	3	0	2	3	12	1	4	13	1	2	5	2	2	8	15	7	3	2	1	17	2	3	12	5	1	6	2	1	4	2	11	1	5	7	4	4	1	1	2	5	0	2	3	2	3	1	1	18	3	4	1	5	1	1	14	3
