MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027
1:Del:C:0	24	41	28	39	5	27	39	21	13	56	37	12	35	103	34	101	43	25	61	25	17	10	23	32	68	7	38	7	18	6	222	155	121	54	19	13	52	6	30	19	25	22	7	12	21	59	147	66	172	5	48	58	21	41	32	37	31	14	27	13	230	17	42	15	29	7	53	25	34	32	130	37	67	27	40	1	26	22	101	32	14	76	18	25	28	63	14	50	26	45	67	45	9	17	45	18	9	139	36	15	29	36	16	97	46	28	7
1:Del:C:1	20	31	24	11	1	15	11	12	8	31	29	4	19	42	16	51	19	15	46	20	5	10	16	12	37	7	24	7	7	5	102	75	68	28	14	10	17	5	17	12	13	9	2	6	15	32	54	34	72	5	21	23	12	11	25	15	23	8	16	16	89	9	29	4	14	4	24	19	15	16	52	16	32	16	20	5	13	12	50	15	4	29	13	11	12	25	14	28	15	19	32	23	4	19	25	10	4	69	22	13	15	12	3	43	16	10	3
1:Del:C:2	11	8	10	5	1	9	8	8	3	14	13	2	8	22	8	33	6	12	20	9	2	3	8	7	11	0	9	4	4	1	50	24	31	11	6	5	9	3	5	3	10	3	0	2	5	14	35	13	59	1	19	12	8	6	11	7	11	4	10	9	53	2	12	0	7	2	15	6	13	7	24	9	17	5	7	0	4	3	34	9	2	14	7	7	7	13	5	15	8	7	22	9	8	2	13	6	4	34	6	4	5	13	2	29	12	7	3
1:Del:C:3	2	8	6	7	0	3	12	4	2	3	5	3	11	17	6	23	5	6	14	7	1	0	4	4	3	1	6	0	4	1	24	27	13	11	2	5	10	1	3	3	3	4	2	3	5	7	37	6	141	3	12	5	2	4	9	4	6	0	2	2	30	1	12	2	6	3	4	6	8	5	14	1	14	7	9	0	5	5	12	3	2	11	3	4	6	12	4	13	3	8	15	12	2	3	4	4	1	24	5	6	4	7	1	20	2	3	5
1:Del:C:4	1	6	4	4	1	5	5	3	1	2	5	0	6	10	4	15	2	3	6	4	2	0	2	4	5	1	7	0	2	0	20	11	10	4	3	2	4	0	2	3	1	4	0	2	2	0	11	5	347	1	5	8	1	3	4	1	4	4	5	2	18	2	5	0	4	2	3	0	8	4	10	3	10	2	3	0	3	1	11	2	4	10	1	3	2	4	2	6	4	2	2	6	1	2	6	1	0	18	3	2	3	2	1	4	4	3	1
1:Del:C:5	1	2	3	1	0	1	1	3	0	2	2	1	1	4	2	5	3	3	4	2	0	2	0	1	1	0	3	1	2	0	8	5	9	2	1	3	1	0	0	1	1	2	0	0	2	1	5	4	924	0	2	3	1	2	1	5	2	7	3	1	9	1	4	1	3	1	4	1	4	1	5	2	15	0	3	2	8	1	7	2	0	4	4	2	4	7	2	4	1	1	4	1	1	0	4	1	1	5	1	2	1	1	0	4	3	0	1
1:Del:T:0	16	43	22	24	5	12	30	13	14	34	44	8	14	49	29	91	29	21	53	11	3	6	20	19	37	2	21	4	20	4	152	63	101	42	15	12	28	7	29	13	18	14	2	7	20	42	112	23	68	13	48	27	17	29	31	15	30	10	20	17	200	9	45	6	28	13	25	25	24	29	80	28	57	36	24	4	12	24	97	24	6	41	12	21	13	38	15	58	29	32	42	33	7	18	42	11	11	134	25	13	17	28	9	105	37	27	10
1:Del:T:1	106	264	113	111	1	67	175	8	9	183	213	6	129	327	133	379	116	78	245	7	2	4	73	29	343	5	100	6	10	19	751	462	482	239	83	54	160	5	92	114	40	3	2	51	47	181	675	11	222	18	151	22	7	117	158	6	154	2	201	43	614	2	157	2	15	32	123	76	130	169	497	95	226	84	65	5	95	90	450	77	5	201	12	70	59	85	34	283	86	102	130	108	23	38	238	10	6	528	122	44	46	145	34	341	136	98	5
1:Del:T:2	8	26	14	16	3	14	21	5	6	26	33	4	17	44	17	67	18	11	31	13	4	5	8	16	27	5	19	5	9	2	84	47	80	32	12	9	22	3	18	5	9	10	3	8	6	28	73	20	115	3	23	22	8	16	13	17	11	4	11	14	110	9	22	5	19	7	22	14	17	20	58	10	47	15	18	2	15	26	69	9	4	27	14	19	8	28	15	37	10	16	25	20	4	13	30	8	1	63	15	13	8	11	4	52	14	13	4
1:Del:T:3	16	53	39	31	4	19	31	9	10	32	46	6	32	72	29	72	26	22	46	18	4	6	26	14	54	1	24	7	6	0	155	71	91	40	17	9	27	2	23	21	21	9	4	8	21	52	123	31	283	3	49	20	9	27	30	21	27	5	34	16	135	8	37	5	27	6	25	28	26	25	88	18	59	20	17	0	19	17	94	26	5	38	11	18	18	43	11	54	13	18	41	36	8	20	35	7	5	112	27	12	16	25	7	59	33	20	1
1:Del:T:4	12	23	16	11	2	10	17	4	10	19	21	6	14	49	19	40	15	12	33	17	2	3	8	9	27	6	20	5	4	2	74	59	63	15	8	17	18	1	15	12	8	16	2	5	13	22	48	23	938	2	19	20	6	11	12	14	14	7	14	9	99	7	12	7	22	7	13	16	35	15	47	17	38	13	15	3	11	18	51	9	3	22	12	11	19	31	8	25	11	10	23	21	6	5	22	5	3	47	17	15	6	18	3	43	18	11	5
