MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027
[Del(C):R1]A	8	14	9	15	2	8	17	6	5	17	18	3	13	39	14	39	14	10	17	9	3	3	6	17	20	0	15	3	5	2	90	54	45	17	9	5	13	2	13	7	6	5	2	5	5	31	51	11	36	3	17	23	6	20	14	13	8	1	16	5	75	2	12	7	6	3	17	9	19	9	45	11	24	11	16	0	8	12	39	9	2	31	8	11	11	17	6	18	13	12	16	22	4	7	9	12	2	56	11	6	13	11	7	35	11	9	3
[Del(C):R1]T	15	22	17	22	2	19	18	11	8	33	15	8	20	57	19	52	22	15	41	15	13	6	15	14	42	5	22	4	11	4	112	91	72	33	7	7	38	4	12	9	18	15	5	6	13	26	87	53	129	2	30	33	14	17	15	22	21	12	9	8	145	14	29	8	21	4	32	14	15	22	78	25	38	14	23	0	14	9	52	22	10	39	10	14	17	41	8	29	13	29	48	21	4	8	31	6	6	62	23	6	16	23	8	59	32	16	2
[Del(C):R2]A	7	18	8	5	1	7	4	2	2	11	12	1	11	11	4	18	8	4	14	11	2	1	7	4	17	2	10	3	2	2	41	24	23	11	6	3	5	4	9	4	8	4	0	4	7	13	18	7	23	2	5	7	5	4	7	3	7	3	4	7	34	4	16	2	3	2	14	11	6	5	16	6	16	8	6	3	6	5	9	8	0	9	4	4	5	12	7	13	4	6	7	11	2	8	12	4	3	26	8	4	5	4	0	16	9	7	0
[Del(C):R2]T	10	13	14	4	0	7	5	8	5	15	16	2	6	21	11	30	9	10	24	5	2	6	7	7	18	3	13	4	4	3	53	40	37	15	7	7	10	1	8	6	3	5	1	2	6	17	33	26	44	2	12	14	6	6	16	11	13	5	12	7	43	4	13	1	10	2	9	7	8	10	31	9	10	4	10	1	5	6	35	4	4	17	9	6	7	13	7	12	11	10	21	9	2	10	8	4	1	34	12	8	10	6	3	24	6	3	3
[Del(C):R3]A	4	5	3	2	0	4	5	6	1	3	6	1	5	9	4	18	2	5	11	3	1	2	5	6	2	0	5	3	2	0	18	10	13	3	0	0	4	2	1	0	4	1	0	0	3	5	16	9	23	0	7	8	5	2	7	3	4	1	3	4	18	0	4	0	3	0	6	4	5	3	14	4	5	2	4	0	1	1	9	3	1	8	4	2	6	7	1	8	4	2	11	3	4	2	8	3	1	11	0	3	1	6	1	11	5	3	0
[Del(C):R3]T	5	3	6	2	1	3	3	1	2	11	5	1	2	12	4	10	3	6	5	5	1	1	2	1	9	0	3	1	1	1	25	12	14	7	6	5	4	1	3	2	5	1	0	2	2	9	17	2	27	1	10	4	2	3	3	3	6	2	5	4	29	1	5	0	3	1	5	1	5	4	9	5	10	3	2	0	3	2	15	5	1	4	2	3	1	4	3	5	4	5	10	2	2	0	5	1	3	15	4	1	3	7	1	13	4	3	2
[Del(C):R(4,5)]A	2	4	3	6	1	3	6	3	1	1	4	3	8	13	6	24	3	5	9	4	2	0	3	4	2	2	8	0	4	0	19	12	14	6	3	3	5	0	1	1	1	4	1	2	3	2	28	6	238	2	7	3	0	3	6	4	3	2	5	3	20	2	8	2	7	3	3	1	7	3	10	3	8	7	7	0	2	2	11	2	5	11	1	4	3	11	3	11	5	9	7	6	2	0	5	3	0	17	5	5	4	5	1	11	2	4	4
[Del(C):R(4,5)]T	0	9	6	4	0	5	8	1	2	2	5	0	5	10	4	10	4	3	8	6	1	0	3	2	3	0	3	0	1	0	17	19	7	7	0	1	8	0	3	3	3	3	1	2	4	3	17	4	187	2	4	7	2	3	4	0	5	2	1	1	18	1	5	0	2	0	3	3	3	4	8	0	11	2	2	0	5	2	9	2	1	10	3	3	4	5	2	7	2	1	6	9	0	3	3	2	1	16	2	3	1	2	1	8	3	2	2
[Del(C):R(1,5)]G	7	6	6	6	1	3	9	10	1	13	8	2	9	22	2	22	10	3	18	7	2	4	5	4	11	4	5	0	5	1	43	30	18	9	6	4	5	1	7	8	4	4	1	2	5	6	17	6	84	1	13	7	4	7	9	5	8	2	5	3	38	3	8	1	5	3	10	6	10	4	19	3	18	6	9	2	7	4	29	6	2	11	1	3	1	7	2	9	0	7	12	12	4	5	12	4	1	47	7	4	3	6	1	16	8	4	3
Del(C):R(6,9)	1	2	3	1	0	1	1	3	0	2	2	1	1	4	2	5	3	3	4	2	0	2	0	1	1	0	3	1	2	0	8	5	9	2	1	3	1	0	0	1	1	2	0	0	2	1	5	4	924	0	2	3	1	2	1	5	2	7	3	1	9	1	4	1	3	1	4	1	4	1	5	2	15	0	3	2	8	1	7	2	0	4	4	2	4	7	2	4	1	1	4	1	1	0	4	1	1	5	1	2	1	1	0	4	3	0	1
A[Del(T):R(1,4)]A	68	210	84	93	0	50	124	9	13	143	169	4	92	238	92	281	88	55	190	7	2	4	57	25	248	2	68	7	9	5	534	292	329	173	56	39	122	4	77	81	29	5	0	34	39	151	470	19	217	13	117	21	3	90	104	9	116	6	138	32	466	4	114	2	10	23	77	71	97	109	347	70	173	68	45	0	64	74	332	54	3	142	7	44	40	66	35	200	58	66	116	85	15	37	145	8	7	391	80	34	41	99	25	242	110	69	2
A[Del(T):R(1,4)]C	0	6	4	6	0	3	7	5	0	10	9	3	5	22	5	20	8	3	8	6	0	4	7	6	11	2	7	2	4	0	32	20	34	10	5	1	7	3	6	0	3	9	1	3	4	14	26	9	46	2	9	5	9	8	3	4	7	1	3	4	43	1	8	4	9	0	11	6	13	7	12	3	9	3	4	3	8	3	29	7	4	12	6	5	4	16	3	17	2	2	7	10	1	3	12	3	2	28	4	6	2	7	2	27	9	4	3
A[Del(T):R(1,4)]G	6	9	8	7	2	5	7	3	6	12	16	5	5	13	6	27	5	6	18	5	2	3	7	8	9	4	7	1	6	1	32	17	36	9	5	3	5	1	6	7	6	3	2	1	9	5	26	6	58	4	13	10	7	7	8	5	5	4	7	9	37	1	7	2	5	5	10	6	2	6	24	6	19	8	4	1	6	7	25	4	5	9	8	6	6	10	6	15	8	4	10	8	4	4	12	6	3	30	7	2	3	7	1	19	11	4	4
C[Del(T):R(1,4)]A	17	45	27	20	3	15	36	3	3	35	51	3	22	65	30	82	24	18	46	8	2	1	17	11	60	0	20	6	7	3	164	82	85	38	17	12	19	3	18	15	15	3	2	10	11	34	129	11	76	6	42	10	8	20	31	10	22	3	29	12	140	8	31	2	11	12	21	23	20	29	103	21	43	21	20	0	13	10	84	25	2	37	4	16	14	20	11	58	16	29	25	22	4	10	45	3	2	102	25	9	7	19	3	67	29	22	3
C[Del(T):R(1,4)]C	3	6	8	4	1	4	3	2	3	7	12	3	8	10	4	13	5	7	10	4	2	2	2	8	5	0	9	3	3	1	44	10	24	14	2	6	11	1	7	3	2	3	4	4	6	16	28	11	74	3	15	4	2	4	7	4	7	1	6	3	44	2	7	1	14	2	10	5	9	12	22	6	23	12	6	0	4	5	27	3	1	15	4	7	4	12	3	9	6	7	8	12	1	6	9	3	1	32	8	1	5	8	2	28	5	7	4
