MutationType	CPCT02220038T	CPCT02290013T
1:Del:C:0	26	34
1:Del:C:1	18	26
1:Del:C:2	18	4
1:Del:C:3	7	1
1:Del:C:4	3	4
1:Del:C:5	10	9
1:Del:T:0	13	20
1:Del:T:1	14	12
1:Del:T:2	15	15
1:Del:T:3	23	18
1:Del:T:4	19	16
1:Del:T:5	225	78
1:Ins:C:0	6	8
1:Ins:C:1	3	3
1:Ins:C:2	3	0
1:Ins:C:3	1	1
1:Ins:C:4	4	2
1:Ins:C:5	28	11
1:Ins:T:0	8	10
1:Ins:T:1	8	8
1:Ins:T:2	7	4
1:Ins:T:3	8	3
1:Ins:T:4	13	7
1:Ins:T:5	457	241
2:Del:R:0	11	10
2:Del:R:1	12	15
2:Del:R:2	5	3
2:Del:R:3	6	1
2:Del:R:4	3	4
2:Del:R:5	8	3
3:Del:R:0	5	4
3:Del:R:1	7	10
3:Del:R:2	1	1
3:Del:R:3	0	0
3:Del:R:4	0	1
3:Del:R:5	0	1
4:Del:R:0	2	1
4:Del:R:1	3	13
4:Del:R:2	4	3
4:Del:R:3	1	0
4:Del:R:4	0	3
4:Del:R:5	0	0
5:Del:R:0	33	29
5:Del:R:1	11	9
5:Del:R:2	1	0
5:Del:R:3	1	2
5:Del:R:4	0	0
5:Del:R:5	0	0
2:Ins:R:0	12	9
2:Ins:R:1	4	2
2:Ins:R:2	1	0
2:Ins:R:3	1	2
2:Ins:R:4	3	1
2:Ins:R:5	19	7
3:Ins:R:0	4	3
3:Ins:R:1	2	0
3:Ins:R:2	0	0
3:Ins:R:3	0	1
3:Ins:R:4	0	0
3:Ins:R:5	2	0
4:Ins:R:0	7	6
4:Ins:R:1	1	2
4:Ins:R:2	0	0
4:Ins:R:3	1	1
4:Ins:R:4	0	0
4:Ins:R:5	2	0
5:Ins:R:0	36	60
5:Ins:R:1	8	4
5:Ins:R:2	2	0
5:Ins:R:3	0	0
5:Ins:R:4	0	1
5:Ins:R:5	0	0
2:Del:M:1	16	22
3:Del:M:1	4	6
3:Del:M:2	8	6
4:Del:M:1	1	3
4:Del:M:2	1	7
4:Del:M:3	5	15
5:Del:M:1	23	16
5:Del:M:2	18	9
5:Del:M:3	13	6
5:Del:M:4	11	5
5:Del:M:5	17	4
