Samples	ID1	ID2	ID3	ID5	ID8	ID9	ID14	ID19
SP18310	19571	114411	0	0	0	0	0	0
SP17172	6788	33092	0	0	0	0	0	0
SP96133	11276	66112	0	0	0	0	0	0
SP110242	26240	98255	0	0	0	0	0	0
SP114330	893	395	0	0	0	0	0	0
SP21017	19071	93308	0	0	0	0	0	0
SP22383	10672	68616	0	0	0	0	0	0
SP81312	6892	4697	0	0	0	0	0	0
SP22031	2725	769	0	0	0	0	0	0
SP96112	505	248	0	0	0	0	0	0
SP19215	10035	63696	0	0	0	0	0	0
SP96120	1045	630	0	0	0	0	340	0
SP16886	5332	1135	0	0	0	0	1196	0
SP96124	911	726	0	0	0	0	0	0
SP19295	3020	1258	0	0	0	0	0	0
SP19670	756	394	0	0	0	0	0	0
SP17905	11138	6410	0	8118	0	0	0	0
SP16934	584	560	0	0	0	0	390	0
SP20993	1079	673	0	0	0	0	252	0
SP19983	887	988	0	0	0	0	397	0
SP18121	27184	72846	0	0	0	0	0	0
SP96122	1293	1181	0	0	0	0	0	0
SP119755	1078	1333	0	0	0	0	0	0
SP96126	2071	1229	0	0	0	0	0	0
SP19606	339	259	0	0	0	173	229	0
SP96118	2095	7370	0	0	0	0	0	0
SP21528	892	410	0	0	0	0	0	0
SP21400	7842	2709	0	0	0	0	0	0
SP23078	246	194	0	0	0	0	613	0
SP17430	344	143	0	0	0	139	0	0
SP96110	642	603	0	0	0	0	0	0
SP18946	8904	7897	0	0	0	0	0	0
SP21057	930	1202	0	0	0	0	0	0
SP22750	803	423	0	0	0	0	0	0
SP19750	843	389	0	0	0	0	0	0
SP17016	704	808	0	0	0	0	0	0
SP16958	1409	872	0	0	0	0	0	0
SP17329	391	238	0	234	0	0	0	0
SP96116	827	492	0	0	0	0	0	0
SP96129	867	840	0	0	0	0	0	0
SP21193	566	475	0	0	0	0	0	0
SP18787	1469	790	0	0	0	0	0	0
SP96114	994	433	0	0	0	0	0	0
SP19582	228	96	0	258	0	0	0	0
SP17294	1019	891	0	0	0	0	355	0
SP80367	199	81	0	0	0	0	813	0
SP82087	559	273	0	0	0	0	214	0
SP80615	11937	4281	0	0	0	0	3121	0
SP80271	786	587	0	0	0	0	0	0
SP81172	246	317	0	284	0	162	294	0
SP81840	1295	1069	0	0	0	0	0	0
SP80657	482	200	0	0	0	0	0	0
SP81494	446	201	0	538	0	0	0	0
SP81711	1233	596	0	600	0	0	0	0
SP80423	418	397	0	332	0	0	0	0
SP80754	467	306	0	547	0	0	0	0
SP81440	359	118	0	0	0	0	0	0
SP80950	396	393	0	0	0	0	0	0
SP82103	1139	339	0	0	0	0	0	0
SP81137	398	228	0	0	0	0	2028	0
DRUP01010006T	1082	736	0	0	0	0	0	0
CPCT02020319T	788	744	0	0	0	0	279	0
CPCT02040021T	904	684	0	0	0	0	281	0
CPCT02110003T	857	339	0	0	0	0	0	0
CPCT02140012T	557	588	0	1450	0	0	0	0
CPCT02040027T	1065	1420	0	0	0	0	0	0
CPCT02100013T	844	1006	0	933	429	0	0	0
CPCT02050048T	746	570	0	0	0	0	0	299
CPCT02060015T	842	1004	0	0	0	0	326	0
CPCT02010397T	1248	1049	0	0	0	0	0	0
CPCT02040040T	984	680	0	0	0	0	347	0
CPCT02110008T	1179	998	0	0	0	0	0	0
CPCT02050057T	1595	978	0	0	0	0	0	0
CPCT02050061T	568	294	0	334	0	0	0	0
CPCT02110011T	796	677	0	0	0	0	0	0
CPCT02020383T	702	567	0	0	0	0	380	0
CPCT02010414T	437	962	0	0	0	0	762	0
CPCT02210001T	1006	964	0	0	0	0	0	0
CPCT02210003T	1522	1020	0	0	0	0	0	0
CPCT02330007T	621	353	0	0	0	0	551	249
CPCT02050068T	226	254	0	502	0	0	0	0
CPCT02050075T	701	955	0	0	0	0	905	0
CPCT02040058T	860	905	0	0	0	0	463	0
CPCT02330009T	613	442	0	0	0	0	0	0
DRUP01010007T	1008	2742	0	0	0	0	536	0
DRUP01070001T	14409	90773	0	0	0	0	0	0
CPCT02040021TII	1314	1086	0	0	0	0	0	0
CPCT02340048T	815	538	0	0	0	0	986	0
CPCT02330131T	543	378	0	0	0	368	0	0
CPCT02190027T	886	674	0	0	0	0	0	0
CPCT02050300T	1020	888	0	0	0	0	0	0
DRUP01070063T	0	653	0	0	0	0	3497	0
CPCT02060160T	632	647	0	0	358	0	0	388
CPCT02030443T	363	540	0	727	0	0	603	0
CPCT02020651T	1129	854	0	0	0	0	554	0
DRUP01090009T	610	683	0	0	0	0	265	0
CPCT02070273T	1046	750	0	0	0	0	545	0
CPCT02210041T	548	879	0	0	0	0	368	0
CPCT02010750TII	876	796	0	0	0	0	442	0
CPCT02160059T	1125	458	0	0	0	0	0	0
DRUP01340003T	0	0	0	0	0	0	3496	0
CPCT02080283T	947	723	0	0	0	0	747	0
DRUP01330002T	1151	1422	0	0	0	0	0	0
CPCT02330078T	1419	582	0	0	0	469	0	0
CPCT02010730T	615	820	0	496	0	0	290	0
CPCT02050307T	642	467	0	535	0	0	0	0
DRUP01340004T	1792	1938	0	0	0	0	0	0
CPCT02120078T	764	246	775	0	0	0	0	0
CPCT02100139T	821	811	0	0	0	0	0	0
CPCT02230077T	691	538	0	788	0	627	0	0
CPCT02230078T	680	542	0	0	0	0	538	0
CPCT02010735T	800	472	0	0	0	0	0	0
DRUP01010051TII	1459	987	0	0	0	0	0	0
CPCT02440004T	1681	1969	0	0	0	0	0	0
CPCT02220032T	820	971	0	1261	0	0	444	0
CPCT02130031T	981	793	0	0	0	0	0	440
DRUP01020018T	1081	853	0	0	0	492	0	0
CPCT02310005T	644	654	0	0	317	358	0	0
CPCT02250005T	3668	34187	0	0	0	0	0	0
CPCT02330080T	1131	1109	0	0	0	0	0	0
CPCT02100144T	663	1022	0	0	0	0	907	0
CPCT02330085T	1133	1186	0	0	0	0	695	0
CPCT02010742T	799	691	0	0	0	0	0	0
DRUP01010123T	32554	164236	0	0	0	0	0	0
DRUP01220007T	765	647	0	0	0	544	504	0
CPCT02300033T	248	197	0	0	0	0	721	312
DRUP01010059T	654	955	0	0	0	0	0	0
DRUP01010070T	723	585	0	0	0	0	400	0
CPCT02160038T	718	501	0	0	0	0	0	0
CPCT02440024T	167	0	0	108	0	0	0	75
CPCT02030442T	1291	856	0	0	0	1081	0	0
CPCT02330089T	1372	1040	0	0	0	0	0	0
CPCT02210042T	411	498	0	0	0	0	0	231
DRUP01070039T	109	384	0	0	262	0	0	365
CPCT02220067T	804	641	0	0	0	476	355	0
CPCT02340057T	943	926	0	0	0	0	0	0
CPCT02010743T	466	654	0	0	0	0	293	286
CPCT02030454T	834	1011	0	0	0	0	0	0
CPCT02320001T	718	1356	0	0	0	0	1722	0
CPCT02390017T	788	856	0	0	0	0	389	0
CPCT02370012T	2150	1747	0	0	0	0	0	0
CPCT02240007TII	815	553	0	0	0	0	0	352
CPCT02010747T	946	407	0	0	0	0	0	0
CPCT02010750T	948	785	0	0	0	0	0	0
CPCT02330092T	262	249	0	185	0	0	0	167
DRUP01340017T	22438	172635	0	0	0	0	0	0
CPCT02060259T	1175	1108	0	0	0	0	0	0
CPCT02080197T	1186	886	0	0	0	0	0	0
CPCT02110059T	512	1064	0	0	0	0	0	0
CPCT02220076T	949	508	0	0	0	0	0	0
CPCT02010751T	503	162	0	0	0	0	0	205
CPCT02220077T	187	356	0	237	0	0	439	0
DRUP01060010T	628	1424	0	0	0	0	639	0
CPCT02140061T	431	1119	0	0	0	0	0	0
CPCT02270018T	760	522	0	0	0	0	0	0
CPCT02310007T	961	585	0	0	0	0	315	0
CPCT02230087T	1376	1001	0	0	0	0	0	0
CPCT02150048T	1367	1279	0	0	0	1357	0	0
DRUP01010122T	24282	136061	0	0	0	0	0	0
CPCT02330095T	1148	970	0	0	0	0	0	0
CPCT02340075T	1621	1341	0	0	0	0	0	0
DRUP01010072T	928	569	0	0	0	0	393	0
CPCT02330087T	214	217	0	432	0	0	651	0
CPCT02240010T	1081	956	0	0	0	0	382	0
CPCT02110062T	1790	795	0	0	840	0	0	0
WIDE01010038T	236	236	0	227	0	0	427	0
CPCT02050325T	1073	925	0	0	0	0	609	0
CPCT02050327T	1308	897	0	0	0	0	0	0
CPCT02050329T	1306	1094	0	0	0	0	497	0
WIDE01010060T	584	363	0	409	0	0	0	0
WIDE01010100T	704	654	0	0	0	0	0	0
DRUP01340006T	514	650	0	1411	0	0	371	0
CPCT02220036T	629	726	0	0	0	0	422	0
WIDE01010066T	828	1077	0	0	0	0	0	0
WIDE01010077T	864	651	0	0	0	0	0	0
CPCT02040226T	1250	833	0	0	0	0	0	0
CPCT02330098T	202	343	0	0	133	0	0	240
WIDE01010091T	820	464	0	0	0	297	0	0
CPCT02110064T	615	428	0	0	0	302	0	0
WIDE01010063T	475	299	0	317	0	0	0	0
WIDE01010097T	807	425	0	0	0	0	0	0
WIDE01010096T	586	481	0	484	330	0	0	0
CPCT02370022T	1368	845	0	0	0	0	0	0
CPCT02020695T	886	494	0	0	457	0	0	0
CPCT02100201T	1054	877	0	0	0	0	0	0
CPCT02050335T	309	221	0	254	0	0	401	189
CPCT02160040T	294	610	0	0	713	780	1119	0
CPCT02240012T	356	458	0	537	0	0	254	0
WIDE01010128T	950	744	0	0	0	0	395	0
CPCT02220081T	625	490	0	0	0	0	0	0
CPCT02100165T	556	622	0	0	0	0	345	0
DRUP01230004T	21135	157309	0	0	0	0	0	0
DRUP01060002T	607	321	0	0	256	0	346	544
WIDE01010206T	430	516	0	0	0	0	1339	0
WIDE01010001T	438	468	0	0	0	0	0	0
CPCT02120112T	1440	1110	0	0	0	0	440	0
CPCT02120119T	710	631	0	0	0	0	0	328
WIDE01010154T	1255	665	0	853	0	0	0	0
CPCT02370020T	772	777	0	0	0	0	0	333
CPCT02230090T	862	627	0	668	0	0	0	0
CPCT02210048T	210	148	0	193	0	0	218	209
WIDE01010159T	1214	1439	0	0	0	0	0	0
WIDE01010179T	1275	814	0	0	0	0	0	0
WIDE01010177T	766	341	0	379	0	0	217	0
WIDE01010166T	827	875	0	0	591	0	0	0
CPCT02130069T	936	492	0	0	0	0	0	0
WIDE01010168T	1357	1074	0	0	0	0	0	0
CPCT02340074T	606	673	0	0	0	0	544	495
CPCT02290032T	406	444	0	0	0	0	0	264
WIDE01010200T	939	926	0	829	0	0	0	0
DRUP01340016T	33062	129170	0	0	0	0	0	0
WIDE01010228T	1127	686	0	0	0	0	0	410
WIDE01010227T	1294	1013	0	0	0	0	0	0
WIDE01010232T	722	734	0	0	0	0	0	0
WIDE01010196T	911	566	0	0	0	0	0	0
CPCT02050352T	620	653	0	0	0	0	910	0
CPCT02100173T	427	535	0	0	0	0	718	316
CPCT02210049T	540	562	0	0	0	0	287	266
WIDE01010236T	909	608	0	0	0	0	0	0
CPCT02210050T	1644	827	0	0	0	0	0	0
WIDE01010218T	1581	1480	0	0	0	0	0	0
WIDE01010261T	1231	640	0	0	0	0	0	0
CPCT02350002T	848	1195	0	0	0	0	433	0
CPCT02130089T	545	577	0	0	290	0	0	388
WIDE01010251T	464	344	0	0	0	0	264	0
WIDE01010273T	574	361	0	0	0	0	0	0
WIDE01010252T	1100	455	0	0	0	0	0	0
WIDE01010258T	618	471	0	0	0	241	212	0
WIDE01010291T	717	1374	0	0	0	0	0	0
CPCT02120124T	486	370	0	0	0	0	510	237
WIDE01010269T	496	457	0	463	344	0	611	0
CPCT02060231T	769	835	0	0	0	0	1275	0
WIDE01010300T	799	625	0	0	0	0	356	0
