Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
SP95454	16882	3036	2818	2988	1737	563	0	298	0	0	0	0	0	0	0	0	0	0	0
SP94741	35497	4762	5441	5170	2311	1393	0	558	0	0	0	0	0	0	0	0	0	0	0
SP90209	47531	56962	17274	5445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP90989	38560	5767	2364	2609	0	1011	0	317	0	0	0	0	0	0	0	0	0	0	0
SP93540	58746	5546	7791	9179	0	2481	12297	0	0	0	0	0	0	0	0	0	0	0	0
SP93227	46080	74988	30	2220	0	0	0	0	6021	0	0	0	0	0	0	0	0	0	0
SP94348	34043	3762	4450	5795	994	1138	0	184	0	0	0	0	0	0	0	0	0	0	0
SP94588	9	69	135	0	0	1	0	42	7	34	3	38	0	13	0	70	25	87	0
SP90725	30	0	60	4	56	0	0	0	9	5	1	24	0	3	119	47	47	2	0
SP94236	31	7	19	3	0	13	0	0	0	22	6	39	167	88	81	0	22	13	0
SP93772	32	0	37	1	0	0	0	41	42	30	4	31	132	13	0	0	22	0	0
SP92195	32	0	111	0	16	0	0	27	104	43	6	37	1	53	30	0	8	42	4
SP89957	138	0	89	0	17	4	0	0	48	2	5	35	84	19	0	0	35	0	3
SP92268	90	25	27	0	38	0	0	1	6	3	3	41	22	18	141	8	0	15	0
SP92707	33	0	52	0	0	0	0	11	20	0	3	34	159	4	15	0	0	0	2
SP89687	74	0	73	0	0	0	0	0	33	46	0	31	45	65	0	94	3	29	7
SP90269	0	14	185	12	0	10	0	18	10	19	4	28	91	17	0	28	15	5	32
SP94933	22061	2440	13361	652	21794	0	0	3867	0	0	0	0	0	0	0	0	0	0	111
SP95126	147	0	36	11	0	0	0	0	90	80	0	0	122	98	0	117	0	115	0
SP95646	36	30	88	5	6	7	0	6	57	20	5	30	122	80	0	0	1	0	12
SP89443	28	8	76	0	0	19	0	0	20	5	2	60	61	52	0	0	32	0	8
SP89651	23	0	37	7	0	1	0	4	24	37	0	21	73	40	0	0	3	0	13
SP94060	25	0	88	10	0	0	0	6	2	0	3	33	162	35	0	0	13	0	0
SP92787	6	4	28	0	0	2	0	8	29	17	0	52	80	21	0	27	0	10	8
SP92723	41	0	123	14	0	3	6	8	20	9	1	15	173	21	0	0	0	0	0
SP92364	35123	8615	4651	3282	6037	454	0	1505	0	0	0	0	0	0	0	0	0	0	17
SP95406	2	50	0	15	0	0	0	0	8	6	0	37	113	0	19	46	4	0	4
SP91746	15	57	10	0	30	0	0	0	0	20	0	12	146	13	0	0	13	0	7
SP92332	7	126	0	2	0	0	0	0	51	112	0	20	0	150	102	145	5	0	0
SP91730	9	0	30	16	0	0	0	22	44	501	0	23	50	90	56	133	15	0	0
SP92947	53	26	84	5	97	0	0	0	1	7	0	18	63	6	41	23	15	60	8
SP91666	81	0	171	0	0	23	0	25	39	6	0	21	0	70	53	52	0	0	5
SP90245	1	12	78	1	0	10	0	24	54	31	1	76	52	71	0	110	9	0	0
SP90893	19	0	61	5	2	0	0	12	56	20	2	55	102	91	0	0	10	0	6
SP89519	58	0	111	6	5	2	0	12	6	5	0	2	25	0	17	0	24	135	0
SP94917	9611	2278	2556	1943	0	563	0	238	0	0	0	0	0	16	626	0	42	0	0
SP92659	354	530	2087	0	132	0	0	0	247	7	26	2	0	23	0	0	8	0	286
SP94332	72	14	9	0	0	0	0	0	0	715	8	246	0	0	0	0	0	0	12
SP94661	49	16	61	0	36	0	12	0	0	20	0	16	195	47	0	0	18	0	8
SP93652	24	22	68	0	72	0	0	0	42	14	5	72	115	2	0	0	3	0	2
SP90125	16	95	16	3	0	1	0	0	1	3	17	56	74	69	47	0	36	7	11
SP94540	32	25	273	0	0	7	0	6	5	27	8	49	94	0	0	28	10	0	3
SP95222	112	21	95	0	0	1	0	0	137	52	0	29	0	77	0	218	0	0	0
SP89389	83	0	5	0	0	0	0	0	20	32	3	34	0	31	157	84	3	95	0
SP90503	21	53	39	0	0	8	0	0	14	3	0	64	46	9	0	0	5	77	4
SP92460	7713	1685	1303	1625	992	321	0	241	0	0	0	0	0	0	306	0	0	0	0
SP92931	50	0	101	11	0	0	0	0	52	22	0	45	15	0	0	106	0	106	7
SP91265	129	77	0	14	0	0	0	0	45	16	2	72	13	104	200	0	12	72	2
SP89909	7458	2681	298	1740	0	134	0	120	0	0	0	0	0	0	231	0	0	0	0
SP90629	81	0	0	7	0	5	0	0	120	38	6	60	0	234	140	197	23	0	21
SP95550	81	52	22	0	0	0	0	0	19	82	0	7	0	24	99	195	0	60	0
CPCT02020389T	129	20	105	0	14	4	0	5	0	14	21	23	24	27	0	0	7	64	24
CPCT02080033T	43	27	168	4	96	0	0	0	0	0	79	59	74	11	357	0	12	0	12
CPCT02060156T	267	0	123	40	145	28	0	16	15	12	106	110	3	5	0	0	0	253	27
DRUP01340014T	16	8	38	4	0	1	0	40	7	0	13	26	0	0	0	0	19	0	269
DRUP01010121T	318	29	71	40	94	23	0	8	25	54	44	18	46	21	0	198	44	29	3
CPCT02130034T	87	83	44	13	67	0	0	0	27	36	110	41	18	113	75	0	59	77	9
CPCT02260015T	231	57	69	5	54	6	0	0	54	112	201	287	0	17	60	237	0	0	19
CPCT02220071T	10199	903	1006	979	166	706	0	194	0	30	164	29	0	83	0	0	0	0	81
