Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP95454	18648	1663	3515	3934	562	0	0	0	0
SP94741	38818	2132	6595	5925	1662	0	0	0	0
SP90209	52468	52939	15392	5966	447	0	0	0	0
SP90989	41871	3222	3216	1120	796	391	0	3	9
SP93540	72922	2584	6024	9551	4959	0	0	0	0
SP93227	55333	72432	0	0	0	1574	0	0	0
SP94348	37082	1229	4117	6704	1234	0	0	0	0
SP94588	16	82	126	31	0	159	58	8	53
SP90725	38	22	146	31	0	92	62	2	14
SP94236	17	16	97	13	26	284	0	15	43
SP93772	20	61	19	24	0	123	89	7	42
SP92195	0	134	66	1	8	176	63	9	57
SP89957	133	49	92	0	1	125	56	8	15
SP92268	92	40	128	21	0	120	5	9	23
SP92707	26	28	96	7	0	150	2	8	16
SP89687	84	42	71	0	0	240	0	0	63
SP90269	0	25	194	41	5	110	70	14	29
SP94933	24536	572	32365	2533	0	0	4280	0	0
SP95126	151	128	2	20	0	431	0	0	84
SP95646	11	102	82	0	20	233	17	8	32
SP89443	12	30	59	0	32	136	72	4	26
SP89651	14	23	39	5	8	120	23	3	48
SP94060	21	2	130	20	0	171	14	7	12
SP92787	0	46	18	0	5	132	49	4	38
SP92723	36	26	158	30	8	156	0	2	18
SP92364	38918	5863	9460	3871	0	0	1572	0	0
SP95406	9	65	10	39	0	131	26	0	24
SP91746	14	56	62	13	0	114	37	0	27
SP92332	15	195	5	13	4	364	0	0	124
SP91730	20	63	27	50	1	262	0	0	566
SP92947	61	28	197	35	0	132	41	0	13
SP91666	68	53	180	0	44	187	0	0	14
SP90245	0	86	43	0	24	251	61	5	60
SP90893	0	65	44	0	4	228	56	4	40
SP89519	60	0	144	42	0	155	0	0	7
SP94917	10333	1533	2196	2715	826	265	0	0	5
SP92659	243	862	2132	0	12	189	193	71	0
SP94332	68	0	0	0	0	0	58	29	921
SP94661	56	17	146	6	0	209	13	2	29
SP93652	10	79	111	0	4	104	78	11	44
SP90125	9	92	37	9	6	181	67	29	22
SP94540	23	40	310	0	13	107	0	18	56
SP95222	121	206	2	0	7	338	0	0	68
SP89389	97	41	70	28	0	251	0	8	52
SP90503	10	71	31	4	17	137	40	2	31
SP92460	8544	1021	1654	2413	360	0	183	0	11
SP92931	63	64	79	30	0	226	0	7	46
SP91265	114	147	60	34	0	345	0	10	48
SP89909	8444	1680	0	2256	142	129	0	9	2
SP90629	80	151	0	0	26	599	0	15	61
SP95550	122	98	59	13	0	252	0	1	96
CPCT02020389T	134	14	133	0	0	105	32	41	22
