Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
SP95454	3.58E+02	1.48E+02	1.57E+02	1.05E+02	3.88E+02	3.60E+00	1.17E+02	5.06E-01	1.09E+00
SP94741	6.73E+02	2.49E+02	2.56E+02	1.67E+02	7.19E+02	5.42E+00	1.91E+02	7.83E-01	1.67E+00
SP90209	1.42E+03	1.58E+03	4.38E+02	4.06E+02	2.35E+03	0.00E+00	2.44E+02	1.30E+00	3.05E-01
SP90989	6.34E+02	1.38E+02	1.33E+02	1.08E+02	6.64E+02	1.05E+01	5.34E+01	1.52E+00	1.56E+00
SP93540	1.30E+03	2.98E+02	1.85E+02	3.44E+02	1.40E+03	1.26E+01	9.89E+01	1.76E+00	1.20E+00
SP93227	1.72E+03	2.58E+03	1.29E+02	5.46E+02	3.36E+03	1.47E+01	3.69E+01	1.53E+00	4.39E-01
SP94348	6.78E+02	1.98E+02	1.67E+02	1.72E+02	7.41E+02	7.72E+00	1.08E+02	1.08E+00	1.15E+00
SP94588	1.04E+00	2.35E+00	3.45E+00	3.32E+00	2.91E+00	4.12E+00	3.70E+00	7.04E-01	1.02E+00
SP90725	1.35E+00	2.94E+00	3.77E+00	2.72E+00	1.56E+00	3.26E+00	3.36E+00	5.41E-01	8.25E-01
SP94236	1.77E+00	1.66E+00	1.85E+00	2.58E+00	2.85E+00	5.44E+00	5.00E+00	7.48E-01	1.18E+00
SP93772	1.14E+00	1.90E+00	2.14E+00	2.52E+00	2.50E+00	3.81E+00	3.50E+00	5.92E-01	1.12E+00
SP92195	8.89E-01	3.83E+00	2.83E+00	2.18E+00	3.48E+00	3.76E+00	3.39E+00	7.64E-01	1.23E+00
SP89957	2.61E+00	2.56E+00	2.34E+00	1.35E+00	3.10E+00	3.72E+00	3.37E+00	4.72E-01	8.26E-01
SP92268	2.51E+00	3.87E+00	4.27E+00	2.49E+00	2.88E+00	2.98E+00	3.36E+00	4.16E-01	8.78E-01
SP92707	1.29E+00	1.91E+00	2.02E+00	2.04E+00	2.52E+00	3.46E+00	2.90E+00	4.00E-01	7.57E-01
SP89687	2.00E+00	3.15E+00	2.23E+00	1.97E+00	3.05E+00	4.45E+00	4.07E+00	0.00E+00	1.53E+00
SP90269	6.08E-01	1.64E+00	4.01E+00	3.89E+00	1.56E+00	2.63E+00	3.29E+00	1.99E+00	9.56E-01
SP94933	6.60E+02	1.51E+03	1.46E+03	7.61E+02	5.35E+02	8.91E+00	1.15E+03	3.74E+00	1.34E+00
SP95126	3.74E+00	4.84E+00	1.41E+00	4.56E+00	7.85E+00	8.67E+00	7.26E+00	0.00E+00	1.76E+00
SP95646	1.34E+00	3.04E+00	2.28E+00	2.14E+00	3.20E+00	4.57E+00	4.06E+00	5.89E-01	9.92E-01
SP89443	1.40E+00	1.69E+00	1.60E+00	1.40E+00	1.47E+00	4.53E+00	4.69E+00	4.02E-01	1.16E+00
SP89651	9.05E-01	1.51E+00	1.32E+00	1.34E+00	1.56E+00	2.83E+00	2.26E+00	5.13E-01	1.24E+00
SP94060	1.13E+00	1.71E+00	2.64E+00	2.15E+00	1.79E+00	4.16E+00	4.20E+00	5.60E-01	6.66E-01
