Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
SP111062	1:Del:C:0	0.06541661721472784	0.050781491119612616	0.0019915289187072394	0.035453373073367433	0.7894955767615175	0.056861412912067234
SP111062	1:Del:C:1	0.02085436146190366	0.022207684036649942	0.0012206599385593032	0.022233094764571568	0.8927526368520345	0.04073156294628112
SP111062	1:Del:C:2	0.024427593891987624	0.006230176973347293	0.00011059051779951789	0.024637549595917775	0.9179980359816919	0.026596053039255767
SP111062	1:Del:C:3	0.1681859677279051	0.09990904108211571	0.003339702718829671	0.011735588837272803	0.6933572097492752	0.02347248988460144
SP111062	1:Del:C:4	0.38387411680472233	0.06128080413478784	0.0027480869916133278	0.0010737448198000787	0.5252316357508421	0.025791611498234425
SP111062	1:Del:C:5	0.749738538469379	0.018551378505256833	0.002602296621801108	0.019164037394936943	0.1893694343453429	0.020574314663283303
SP111062	1:Del:T:0	0.09116568894766024	0.11107973150795412	0.012391476637241577	0.02719605957513774	0.7022630585405149	0.05590398479149147
SP111062	1:Del:T:1	0.2268777196309121	0.043660714342461396	0.016438305130515515	0.017558959063443107	0.6559302822321884	0.03953401960047945
SP111062	1:Del:T:2	0.17795968588854016	0.13995272574265796	0.007376714536559938	0.0157664491968453	0.5950641041796488	0.06388032045574775
SP111062	1:Del:T:3	0.3193683193582533	0.09593756822292625	0.00825899840621849	0.00209929363921156	0.5232257116019522	0.05111010877143825
SP111062	1:Del:T:4	0.5731903134881267	0.07794726354511822	0.0072982359042803036	0.0	0.2958395796045107	0.045724607457964105
SP111062	1:Del:T:5	0.9384103501516913	0.024653153610660256	0.004544408610440975	0.00410932503268256	0.0074116220260897914	0.020871140568434945
SP111062	1:Ins:C:0	0.09128179640984396	0.024790271583155724	0.6731739310332233	0.17369852575599595	0.016736965479498163	0.020318509738283048
SP111062	1:Ins:C:1	0.0653882292871786	0.392197748942167	0.023766230995873838	0.07780703240327422	0.41716632339852877	0.023674434972977502
SP111062	1:Ins:C:2	0.09364897581109867	0.1574366306565494	0.004667584005805005	0.02970646720769665	0.6807961135817635	0.033744228737086754
SP111062	1:Ins:C:3	0.12868609325386735	0.42859113070839844	0.0028002410560867058	0.04081038012830777	0.39463195374128496	0.00448020111205479
SP111062	1:Ins:C:4	0.2934476948964427	0.4009997603368619	0.00443629308129276	0.01660094507961754	0.2730295100888611	0.01148579651692395
SP111062	1:Ins:C:5	0.24209333368552927	0.680129086659789	0.002470717290777089	0.0198816850363565	0.04495937290843091	0.010465804419117103
SP111062	1:Ins:T:0	0.07211142631738024	0.3443228741933292	0.011578927039771246	0.09854517177192212	0.42362808153318104	0.04981351914441619
SP111062	1:Ins:T:1	0.0	0.12001701298374436	0.002192529358814558	0.04883957880627005	0.791805530795394	0.03714534805577699
SP111062	1:Ins:T:2	0.03659320267463584	0.22593734396477075	0.0026797348985980315	0.035101500084590495	0.6681306388310534	0.031557579546351584
SP111062	1:Ins:T:3	0.06454294156613989	0.34247224913895113	0.003832716334016167	0.030179845144789223	0.535006319823928	0.023965927992175576
SP111062	1:Ins:T:4	0.10785830180975824	0.6232401112330941	0.0030015578278216907	0.0031526639258734157	0.24520358224961064	0.01754378295384194
SP111062	1:Ins:T:5	0.11761462725621605	0.8473899557884258	0.0026345293451307352	0.00999640538966425	0.008233787624521068	0.014130694596042168
SP111062	2:Del:R:0	0.16569157200104964	0.09809029670195475	0.001750467512662178	0.035778515298533986	0.6382403844318238	0.0604487640539756
SP111062	2:Del:R:1	0.18095658340220452	0.2945401418876765	0.0029176480587272567	0.014324266853755624	0.4696383489625856	0.037623010835050506
SP111062	2:Del:R:2	0.1753948641755716	0.2406554684732908	0.0016227941103141644	0.020761043882236953	0.5358211703936048	0.025744658964981543
SP111062	2:Del:R:3	0.6841748121660972	0.004063871862907799	0.00035733180353618476	0.04565021199840308	0.26235170208043923	0.0034020700886165838
SP111062	2:Del:R:4	0.7381815811476403	0.002647161895132374	0.0006627699153319529	0.05802334829524081	0.18913986853160344	0.01134527021505105
SP111062	2:Del:R:5	0.8625568438609412	0.0	0.0	0.08153265123702978	0.02979373549418123	0.02611676940784787
SP111062	3:Del:R:0	0.10563623647741462	0.004945215524158924	0.002224378303604807	0.04874475632583921	0.6574041187389774	0.18104529463000515
SP111062	3:Del:R:1	0.19453629650442142	0.3445922458034401	0.0026855019743353163	0.009410866627989999	0.4273241736823093	0.021450915407503955
SP111062	3:Del:R:2	0.28893745262070203	0.3095055284635521	0.0023900927650889335	0.020176086236704704	0.36926048058698935	0.00973035932696297
SP111062	3:Del:R:3	0.3036547583321495	0.11655898018948438	0.0012664165102012548	0.03599847879918708	0.5423313493042843	0.0001900168646936861
SP111062	3:Del:R:4	0.4922456013993231	0.19176603723137695	0.003672876781126333	0.14241909495231833	0.0684614774864003	0.10143491214945492
SP111062	3:Del:R:5	0.6194277106430298	0.01716789260547284	0.003113397039890339	0.10060403421523816	0.15139176877277416	0.10829519672359487
SP111062	4:Del:R:0	0.1232585333377596	0.005366398467571915	0.0023747186272410044	0.08384064891433333	0.5731544644091101	0.2120052362439841
SP111062	4:Del:R:1	0.2396915354151915	0.20610159144989915	0.002799742505919308	0.0292508445934589	0.4816092209225773	0.04054706511295383
SP111062	4:Del:R:2	0.2641489210572462	0.1555349666618191	0.0020798971173453186	0.08233262968312031	0.48417401534312665	0.011729570137342386
SP111062	4:Del:R:3	0.38054385488799414	0.383067960748173	1.3371201621511947e-05	0.08666470754661248	0.11738248194852989	0.032327623667069046
SP111062	4:Del:R:4	0.5221307842909387	0.04464873095305393	0.0007060673911810993	0.06891068040065333	0.29183169463759234	0.07177204232658062
SP111062	4:Del:R:5	0.8474981769623774	0.0262076926263657	1.2761158119043043e-05	0.12305660574512986	0.001349324565908243	0.0018754389420997065
SP111062	5:Del:R:0	0.00047039016080776457	0.028763184303831964	0.0020113699298552013	0.13947614880418216	0.4579760835071473	0.37130282329417563
SP111062	5:Del:R:1	0.25256229296664556	0.3198494321950573	0.0040488223983160265	0.07440410575713646	0.19307419293874925	0.15606115374409535
SP111062	5:Del:R:2	0.17874488796424795	0.2378689165972497	0.0028029533776927707	0.16026290946197538	0.2031177773765991	0.21720255522223492
SP111062	5:Del:R:3	0.5905582091947429	0.0889263503911548	2.528454433236906e-05	0.16066464070085776	0.05594293722616108	0.10388257794275096
SP111062	5:Del:R:4	0.6583542740568373	0.01935486246357446	0.00019946954741943343	0.09678549060590035	0.21132277938866265	0.013983123937605863
SP111062	5:Del:R:5	0.6244442237298585	0.0	0.002520482376007122	0.11824092613171563	0.21309445553661246	0.04169991222580633
SP111062	2:Ins:R:0	0.1407786547147764	0.3897896834628224	0.019580495364272022	0.24230832268715546	0.17375640307983345	0.03378644069114032
SP111062	2:Ins:R:1	0.01801902566763969	0.4199015095305421	0.002876845035567666	0.06457965635347618	0.48512260551574404	0.009500357897030286
SP111062	2:Ins:R:2	0.07248235841115343	0.5418315933704237	0.0017883510188220343	0.043529870021018685	0.29979099354250366	0.040576833636078356
SP111062	2:Ins:R:3	0.23710950217889182	0.4349538110461306	0.0032766978471751476	0.08575588667350663	0.21784306364633388	0.021061038607962015
SP111062	2:Ins:R:4	0.31264000195722236	0.6110405925278412	0.0025007324583751966	0.05304880517794439	0.0030791842310211115	0.01769068364759584
SP111062	2:Ins:R:5	0.3558280780777929	0.585886899551121	0.0009260415572532992	0.05249632073025028	9.558725432324458e-09	0.004862650524857267
SP111062	3:Ins:R:0	0.007888975273761744	0.5021063839241505	0.02127938878703928	0.36996911147299893	0.0021233627579892397	0.09663277778406017
SP111062	3:Ins:R:1	0.03023314819608817	0.6486638963816683	0.005190300750804136	0.011822368494128464	0.28473584925823453	0.019354436919076543
SP111062	3:Ins:R:2	0.2679608487256536	0.4238301021260078	0.005290698105933846	0.03796925118367419	0.17420024040174334	0.09074885945698724
SP111062	3:Ins:R:3	0.25668464563609905	0.3164781842546135	0.008493773334679745	0.15837758648752287	0.2593081560236971	0.000657654263387709
SP111062	3:Ins:R:4	0.7998257749819276	0.036421199837319	0.022118134603780523	0.014383895524586139	0.02997160872121616	0.09727938633117042
SP111062	3:Ins:R:5	0.3063687761993968	0.6508156154992649	0.003664036878132654	0.02887056842032816	3.761916378341684e-06	0.010277241086498938
SP111062	4:Ins:R:0	0.08407797968967848	0.32117143566701883	0.01229918957708251	0.5596462069251358	0.0015935432207942533	0.021211644920290245
SP111062	4:Ins:R:1	0.00528698650183857	0.6279586274760751	0.004415788592323425	0.040133132173653635	0.30384344622383586	0.018362019032273393
SP111062	4:Ins:R:2	0.20034093902972228	0.4264779691666087	0.003696962086746369	0.17694680618835215	0.039322051133067165	0.15321527239550334
