MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	4.34E-04	5.69E-04	5.55E-04	2.61E-03	2.60E-03	2.50E-03	3.40E-03
1:Del:C:1	3.83E-04	5.59E-04	6.05E-04	2.81E-03	3.40E-03	3.55E-03	2.94E-03
1:Del:C:2	2.44E-04	2.30E-04	6.08E-04	2.12E-03	2.03E-03	2.48E-03	1.67E-03
1:Del:C:3	1.47E-04	3.23E-04	3.35E-04	9.66E-04	1.05E-03	1.27E-03	1.07E-03
1:Del:C:4	8.14E-05	1.60E-04	1.33E-04	7.71E-04	9.62E-04	1.02E-03	7.94E-04
1:Del:C:5	3.95E-04	3.80E-04	3.81E-04	5.28E-04	4.35E-04	9.36E-04	4.61E-04
1:Del:T:0	4.07E-04	4.86E-04	7.67E-04	3.48E-03	3.03E-03	3.13E-03	3.12E-03
1:Del:T:1	4.23E-04	3.35E-04	7.37E-04	2.49E-03	2.05E-03	2.34E-03	2.18E-03
1:Del:T:2	3.64E-04	4.42E-04	5.46E-04	1.95E-03	2.29E-03	1.68E-03	2.80E-03
1:Del:T:3	5.70E-04	1.49E-04	4.83E-04	1.82E-03	2.06E-03	1.30E-03	1.81E-03
1:Del:T:4	7.08E-04	2.65E-04	5.32E-04	1.84E-03	2.31E-03	1.56E-03	1.84E-03
1:Del:T:5	3.38E-03	2.90E-03	2.12E-03	1.11E-03	3.45E-03	1.26E-02	1.10E-03
1:Ins:C:0	2.37E-03	2.22E-04	5.02E-04	5.13E-04	1.74E-04	3.87E-03	2.23E-04
1:Ins:C:1	1.69E-04	2.93E-04	2.85E-04	3.87E-04	4.27E-04	5.50E-04	1.71E-04
1:Ins:C:2	9.10E-05	7.94E-05	1.31E-04	4.51E-04	4.61E-04	4.45E-04	3.71E-04
1:Ins:C:3	9.35E-05	2.52E-04	1.95E-04	1.61E-04	1.62E-04	3.17E-04	1.69E-04
1:Ins:C:4	2.17E-04	2.11E-04	1.35E-04	1.63E-04	2.31E-04	4.22E-04	5.31E-05
1:Ins:C:5	2.67E-04	5.35E-04	4.76E-04	6.82E-04	5.86E-04	8.86E-04	6.48E-04
1:Ins:T:0	5.39E-04	5.83E-04	4.72E-04	8.83E-04	8.75E-04	1.74E-03	7.42E-04
1:Ins:T:1	5.15E-04	4.12E-04	5.56E-04	2.36E-03	1.92E-03	2.63E-03	2.43E-03
1:Ins:T:2	4.04E-04	3.09E-04	3.45E-04	1.06E-03	1.01E-03	1.17E-03	6.41E-04
1:Ins:T:3	1.86E-04	3.22E-04	2.99E-04	9.43E-04	8.83E-04	1.17E-03	8.86E-04
1:Ins:T:4	2.42E-04	2.13E-04	3.67E-04	6.70E-04	4.85E-04	7.47E-04	2.51E-04
