MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
1:Del:C:0	0.015359372983220964	0.015746860071085392	0.007951622971449978	0.07085820354521274	0.0701859918050468	0.03727701095864177	0.1145594781357795
1:Del:C:1	0.009407504305709153	0.011524331767577677	0.009564544501408818	0.039862893247045575	0.09773805036209524	0.03758610687917099	0.027716489436193398
1:Del:C:2	0.005154989266593475	0.0022533683734218355	0.016599175881128757	0.029017788809142075	0.04018157877966587	0.022693529008538462	0.014044319104156955
1:Del:C:3	0.002686953260563314	0.005107200267266307	0.004639535097740008	0.00934623372294709	0.012512955179181518	0.012882721248215602	0.006964866648116583
1:Del:C:4	0.0013581337392469094	0.001210162719071377	0.0012472297633212292	0.006312113381809752	0.01040388342584606	0.008811643502687047	0.005332824649353683
1:Del:C:5	0.011581223914399743	0.005339146631758922	0.00755362150426663	0.0029829959749298495	0.0022975749544661994	0.008926321835904218	0.004148682184398211
1:Del:T:0	0.012566815819591284	0.007641235110349953	0.023428357276134192	0.08397068824619054	0.04596311794826761	0.03166270829504356	0.035679002199321984
1:Del:T:1	0.010121733220166788	0.002584921622647016	0.022077706311829388	0.050093078427016734	0.03423641241621226	0.024069138730628766	0.021270710055123345
1:Del:T:2	0.008845344309229404	0.00833280103863217	0.01395473983604461	0.02168576602419762	0.03126436299760826	0.020545001545688137	0.05238236585166305
1:Del:T:3	0.014832286713644862	0.0009288206156088563	0.008108462947420776	0.022275976212113163	0.031894076191820206	0.01594700623943936	0.0411239898763597
1:Del:T:4	0.020040361536666752	0.002943986890022643	0.010206716627581046	0.018752346081892027	0.024075893709086815	0.014058140492415987	0.02395200430924888
1:Del:T:5	0.3970432841777802	0.03583335204751165	0.017197271078689482	0.0044229773676121905	0.0198308440899541	0.10087584909952545	0.004079875582568775
1:Ins:C:0	0.07727034590649509	0.0010282918740909964	0.0071340144560400635	0.0007959233030990731	0.00041430194220716033	0.014580104156747353	0.00048456200705651045
1:Ins:C:1	0.003955499160801992	0.004815617398126051	0.005204186684568413	0.002792389535360371	0.003354562930464482	0.0042745244150319195	0.0007043075871753502
1:Ins:C:2	0.0016816014479263685	0.000713208561646752	0.0010691786823103656	0.0038449993723062904	0.0037886627966389596	0.002698661698198066	0.0018804790135478556
1:Ins:C:3	0.001634207508068357	0.0041572896586149	0.002300546722516401	0.0007111086755663543	0.0012382580676777622	0.0020453350208676823	0.000607556622108234
1:Ins:C:4	0.003216489990381888	0.0023373272903958763	0.0011030297393483579	0.0006128124674626179	0.0010151656844705314	0.003358680604305997	0.00013804529800459875
1:Ins:C:5	0.008932837611386617	0.0216824562381953	0.009905272432370112	0.007008449900895357	0.004934500947217657	0.009981033357908018	0.005287671322184906
1:Ins:T:0	0.016138408876722677	0.017880316730588673	0.00708658164825465	0.005779334581454734	0.004587707601550335	0.015547566820168867	0.00590901174620285
1:Ins:T:1	0.016720275730476714	0.0061592706669762265	0.008422120042378084	0.04224072198034264	0.03466386243875604	0.030381552313192516	0.04134942919277819
1:Ins:T:2	0.011018453767464962	0.005263324344414286	0.0052920965582598	0.010524604792110495	0.011026363012497313	0.009700357362744398	0.004586788403597666
1:Ins:T:3	0.005307737734256079	0.006414656480410485	0.004270482385763898	0.008339996579996978	0.009786443263146793	0.011520207875728375	0.005086394808236036
1:Ins:T:4	0.009225331991910935	0.0020743868731491946	0.006873103074540267	0.005231822223383205	0.0025023247066057763	0.007912760858313845	0.0010546294467565075
1:Ins:T:5	0.19717840482771862	0.5551707535982132	0.17648922376425616	0.03852004791447371	0.01796537818347133	0.18754758883267642	0.0014172389813847984
2:Del:R:0	0.0045924100150296	0.002570682927544112	0.012492840872192233	0.02495323234470561	0.01852067606660256	0.01129211961029796	0.011218284200160723
2:Del:R:1	0.006150715885451063	0.0209703678637743	0.007702631176507566	0.020546066464157776	0.02268829456275853	0.01720228012680309	0.0071975626702396765
2:Del:R:2	0.0013160015577523155	0.0035684411202282717	0.0031701716702082195	0.006358424270559339	0.008673600751587856	0.004699013689313318	0.0020031059329589595
2:Del:R:3	0.001290611155321244	0.0046115493400338894	0.0033652294549392538	0.0006728028841749278	0.0014349995649060076	0.002758232580864899	0.0003366601202956332
2:Del:R:4	0.0012184996730627519	0.001586162148044963	0.00173962622599646	0.0008419494729132281	0.0008125979357199586	0.0017109730926875598	8.362333970049818e-05
2:Del:R:5	0.003666740097987713	0.0005290990165497078	0.0022418164335444857	0.0051336407593476	0.005458245441335521	0.0032589154361221517	0.1866978657245636
3:Del:R:0	0.0009578188732120907	0.0006046225800946559	0.00536275217502407	0.009689262668857737	0.008487744272959787	0.004819239152502632	0.006772856211877283
