MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
1:Del:C:0	8.64E-04	6.54E-05	1.46E-03	3.18E-03	1.20E-03	5.84E-03	1.08E-03	3.14E-03	2.94E-03	2.27E-03
1:Del:C:1	3.67E-04	3.53E-05	6.77E-04	1.53E-03	5.85E-04	3.09E-03	6.90E-04	2.17E-03	1.69E-03	1.43E-03
1:Del:C:2	2.26E-04	2.79E-05	4.22E-04	8.34E-04	3.62E-04	1.56E-03	3.52E-04	1.24E-03	9.15E-04	1.16E-03
1:Del:C:3	1.30E-04	2.47E-05	2.67E-04	6.24E-04	2.30E-04	1.33E-03	3.10E-04	1.23E-03	6.49E-04	8.15E-04
1:Del:C:4	1.03E-04	3.01E-05	2.75E-04	5.22E-04	2.46E-04	8.45E-04	2.50E-04	6.81E-04	3.79E-04	5.74E-04
1:Del:C:5	6.33E-05	7.58E-05	1.40E-04	3.74E-04	2.95E-04	7.00E-04	2.58E-04	7.30E-04	3.80E-04	4.27E-04
1:Del:T:0	3.41E-04	5.04E-05	8.36E-04	1.45E-03	5.69E-04	3.07E-03	8.00E-04	2.57E-03	2.19E-03	1.74E-03
1:Del:T:1	2.02E-04	2.88E-05	5.78E-04	1.12E-03	4.36E-04	2.25E-03	6.01E-04	1.89E-03	1.68E-03	7.89E-04
1:Del:T:2	3.21E-04	5.74E-05	6.53E-04	9.74E-04	5.63E-04	2.03E-03	4.35E-04	1.43E-03	1.44E-03	1.02E-03
1:Del:T:3	4.30E-04	9.21E-05	6.71E-04	1.51E-03	6.90E-04	2.51E-03	2.29E-04	1.25E-03	1.27E-03	1.18E-03
1:Del:T:4	3.48E-04	1.14E-04	4.70E-04	1.51E-03	7.37E-04	2.15E-03	6.11E-05	1.21E-03	1.61E-03	7.02E-04
1:Del:T:5	6.56E-04	1.45E-03	7.03E-04	2.18E-03	4.28E-03	1.47E-03	4.60E-04	1.26E-03	9.35E-04	1.48E-03
1:Ins:C:0	1.12E-04	7.89E-05	2.89E-04	5.14E-04	4.49E-04	5.94E-04	1.71E-04	4.26E-04	1.97E-04	3.35E-03
1:Ins:C:1	8.67E-05	2.57E-05	1.88E-04	3.34E-04	8.47E-05	4.75E-04	1.09E-04	3.84E-04	3.39E-04	1.44E-03
1:Ins:C:2	3.20E-05	1.95E-05	1.09E-04	2.02E-04	1.52E-04	3.71E-04	1.29E-04	3.33E-04	3.20E-04	3.26E-04
1:Ins:C:3	1.61E-05	3.56E-05	4.48E-05	1.51E-04	4.85E-05	3.37E-04	1.63E-04	3.52E-04	1.14E-04	5.88E-04
1:Ins:C:4	2.18E-06	8.22E-05	3.77E-05	1.36E-04	3.10E-06	2.19E-04	1.26E-04	1.71E-04	2.31E-04	4.12E-04
1:Ins:C:5	2.12E-06	2.68E-04	3.03E-05	2.32E-05	1.03E-04	3.85E-04	3.04E-04	3.43E-04	5.18E-04	8.92E-04
1:Ins:T:0	1.86E-04	6.17E-05	3.06E-04	3.85E-04	3.66E-04	1.67E-03	4.53E-04	1.43E-03	7.44E-04	1.49E-03
1:Ins:T:1	1.04E-04	3.78E-05	4.04E-04	8.77E-04	5.34E-05	2.47E-03	5.17E-04	2.17E-03	1.20E-03	1.27E-03
1:Ins:T:2	5.97E-05	7.20E-05	1.80E-04	5.15E-04	2.25E-04	1.61E-03	4.08E-04	1.39E-03	8.24E-04	8.15E-04
1:Ins:T:3	4.84E-05	6.23E-05	1.16E-04	4.02E-04	2.01E-04	9.79E-04	3.22E-04	1.04E-03	6.98E-04	5.39E-04
1:Ins:T:4	3.83E-05	1.29E-04	1.17E-04	2.98E-04	2.38E-04	8.04E-04	1.05E-04	9.34E-04	7.42E-04	3.80E-04
1:Ins:T:5	5.02E-04	1.54E-03	1.04E-03	3.26E-03	3.58E-03	9.05E-03	1.26E-03	1.00E-02	7.79E-03	1.71E-03
2:Del:R:0	1.76E-04	1.29E-05	1.06E-04	7.18E-04	3.59E-04	1.55E-03	4.82E-04	1.23E-03	1.25E-03	8.89E-04
2:Del:R:1	1.50E-04	3.02E-05	4.41E-04	7.81E-04	4.26E-04	1.63E-03	3.21E-04	1.71E-03	1.62E-03	1.08E-03
2:Del:R:2	6.13E-05	1.59E-05	1.56E-04	4.22E-04	2.41E-04	7.09E-04	2.01E-04	7.21E-04	8.45E-04	5.41E-04
2:Del:R:3	3.96E-05	1.95E-05	3.85E-05	8.33E-05	1.67E-04	5.20E-04	2.08E-04	2.68E-04	3.96E-04	5.56E-04
2:Del:R:4	8.35E-06	2.63E-05	1.52E-05	1.14E-04	1.31E-04	1.76E-04	1.41E-04	1.87E-04	1.99E-04	3.62E-04
2:Del:R:5	0.00E+00	5.03E-05	3.81E-05	0.00E+00	2.12E-04	2.17E-03	2.99E-04	2.28E-03	1.16E-03	3.00E-03
3:Del:R:0	1.54E-04	2.92E-06	2.06E-04	3.20E-04	1.41E-04	9.31E-04	1.83E-04	7.87E-04	7.13E-04	1.01E-03
3:Del:R:1	1.68E-04	3.27E-05	2.53E-04	6.23E-04	4.94E-04	1.40E-03	3.77E-04	1.51E-03	1.68E-03	4.89E-04
3:Del:R:2	6.64E-06	1.28E-05	8.18E-05	2.15E-04	1.77E-04	6.02E-04	6.71E-05	7.67E-04	8.77E-04	1.64E-04
3:Del:R:3	1.13E-05	3.40E-06	2.24E-05	1.05E-04	7.88E-05	2.62E-04	1.25E-04	2.57E-04	1.92E-04	2.60E-04
3:Del:R:4	2.29E-06	1.51E-10	1.74E-05	9.54E-06	2.59E-05	1.83E-04	3.03E-05	2.99E-04	2.29E-04	8.16E-05
3:Del:R:5	8.08E-06	1.95E-10	1.98E-05	2.21E-05	6.24E-06	1.53E-04	1.09E-05	2.52E-04	2.13E-04	1.08E-04
4:Del:R:0	1.36E-04	5.69E-06	1.69E-04	2.60E-04	5.48E-05	9.65E-04	3.10E-04	7.54E-04	7.40E-04	5.55E-04
4:Del:R:1	8.45E-05	1.13E-05	3.27E-04	5.60E-04	4.00E-04	1.39E-03	2.65E-04	1.54E-03	1.35E-03	1.04E-03
4:Del:R:2	3.77E-05	9.03E-06	1.92E-05	1.99E-04	1.39E-04	3.73E-04	2.15E-04	4.77E-04	5.49E-04	3.41E-04
4:Del:R:3	1.40E-05	1.73E-10	1.82E-05	4.64E-05	5.06E-05	5.88E-04	5.48E-05	5.87E-04	3.38E-04	4.44E-04
4:Del:R:4	0.00E+00	6.89E-06	2.24E-05	6.49E-05	2.29E-05	1.57E-04	3.45E-05	1.54E-04	1.87E-04	4.23E-05
4:Del:R:5	3.92E-06	6.82E-11	7.59E-06	2.47E-05	4.10E-05	9.96E-05	4.14E-05	8.98E-05	1.18E-04	1.57E-04
5:Del:R:0	2.56E-03	2.94E-05	2.49E-03	1.21E-03	0.00E+00	3.88E-03	1.28E-03	1.99E-03	2.30E-03	8.05E-04
5:Del:R:1	1.48E-04	6.29E-06	1.53E-04	2.03E-04	2.00E-04	1.33E-03	4.40E-04	1.01E-03	8.85E-04	1.38E-03
5:Del:R:2	3.02E-06	7.35E-06	2.04E-05	2.59E-05	8.58E-05	3.35E-04	1.28E-04	3.80E-04	2.87E-04	3.57E-04
5:Del:R:3	7.16E-06	1.28E-05	0.00E+00	2.24E-05	4.63E-05	9.77E-05	3.32E-05	8.76E-05	9.43E-05	1.05E-04
5:Del:R:4	1.90E-09	1.77E-06	3.28E-09	8.97E-06	2.47E-05	1.99E-05	1.66E-08	1.13E-05	2.68E-06	4.21E-08
5:Del:R:5	2.90E-08	2.12E-09	1.50E-06	3.21E-09	8.01E-06	4.53E-06	3.48E-06	1.00E-05	1.26E-05	1.42E-05
2:Ins:R:0	1.22E-04	5.38E-05	3.12E-47	1.10E-04	5.69E-05	2.13E-03	6.27E-04	1.24E-03	1.12E-04	2.50E-03
2:Ins:R:1	8.76E-06	2.20E-05	1.34E-04	3.98E-04	9.98E-05	8.72E-04	2.98E-04	8.20E-04	3.12E-04	8.50E-04
2:Ins:R:2	2.95E-05	2.00E-05	8.54E-05	1.54E-04	6.97E-05	4.69E-04	1.84E-04	5.06E-04	2.39E-04	5.17E-04
2:Ins:R:3	2.56E-05	3.49E-05	0.00E+00	6.66E-05	7.45E-05	3.57E-04	1.83E-04	2.94E-04	1.58E-04	5.20E-04
2:Ins:R:4	4.05E-06	7.92E-05	8.77E-06	3.39E-05	5.61E-05	2.68E-04	1.18E-04	1.42E-04	8.23E-05	4.19E-04
2:Ins:R:5	4.33E-05	2.60E-04	3.22E-05	1.31E-04	4.56E-04	6.83E-04	3.95E-04	3.50E-04	3.56E-04	8.96E-04
3:Ins:R:0	7.85E-05	6.59E-06	1.54E-05	3.85E-05	5.24E-05	1.18E-03	4.60E-04	6.79E-04	1.15E-04	1.42E-03
3:Ins:R:1	7.70E-06	1.49E-05	8.86E-05	1.68E-04	5.91E-05	5.60E-04	2.45E-04	5.94E-04	4.53E-04	4.81E-04
3:Ins:R:2	3.23E-05	1.00E-05	2.44E-05	1.06E-04	5.27E-06	1.76E-04	1.80E-05	1.94E-04	1.16E-04	3.24E-04
3:Ins:R:3	1.15E-05	9.02E-06	2.00E-05	3.70E-05	1.34E-05	3.04E-05	2.16E-06	1.46E-05	6.65E-06	1.97E-05
3:Ins:R:4	3.79E-06	1.67E-05	2.72E-05	5.00E-06	6.00E-06	4.45E-05	1.46E-05	5.84E-05	3.57E-05	2.68E-05
3:Ins:R:5	1.21E-05	4.44E-05	2.02E-05	2.21E-05	4.91E-05	1.51E-04	4.56E-05	1.50E-04	9.84E-05	2.14E-04
4:Ins:R:0	4.96E-05	1.44E-05	1.39E-05	5.94E-05	1.85E-04	2.25E-03	6.81E-04	1.29E-03	8.45E-05	2.42E-03
4:Ins:R:1	2.35E-06	1.10E-05	1.44E-04	2.90E-04	5.72E-05	1.01E-03	3.04E-04	9.23E-04	4.62E-04	8.36E-05
4:Ins:R:2	1.22E-05	1.29E-05	1.89E-05	7.34E-05	5.34E-07	1.85E-04	1.06E-04	1.49E-04	5.64E-05	1.81E-04
4:Ins:R:3	3.94E-07	2.16E-05	1.20E-05	3.53E-05	1.69E-05	6.89E-05	4.89E-05	3.71E-05	1.36E-05	1.05E-04
4:Ins:R:4	9.20E-06	2.35E-05	2.97E-05	4.15E-05	6.83E-06	1.10E-04	3.00E-05	1.33E-04	8.28E-05	9.02E-05
4:Ins:R:5	1.14E-06	4.45E-05	1.42E-05	6.02E-05	8.43E-05	1.02E-04	1.77E-05	1.59E-04	1.22E-04	1.87E-04
5:Ins:R:0	1.52E-09	5.31E-08	1.11E-08	5.36E-09	6.16E-08	1.85E-03	2.90E-03	1.07E-07	1.02E-08	3.84E-07
5:Ins:R:1	1.71E-04	2.66E-05	4.08E-04	9.02E-04	2.30E-04	1.80E-03	4.29E-04	1.66E-03	1.15E-03	1.11E-03
5:Ins:R:2	2.25E-05	7.04E-06	3.52E-05	1.37E-04	2.06E-05	2.56E-04	9.81E-05	2.38E-04	1.38E-04	3.09E-04
5:Ins:R:3	5.58E-06	1.27E-05	1.83E-05	1.25E-05	1.11E-05	7.37E-05	4.54E-05	1.04E-04	9.44E-05	1.55E-04
5:Ins:R:4	1.38E-10	1.53E-05	8.79E-06	1.85E-05	4.12E-06	6.39E-05	4.57E-06	6.70E-05	3.58E-05	4.53E-05
5:Ins:R:5	2.91E-06	1.26E-05	2.63E-05	3.60E-06	4.06E-06	4.61E-05	3.00E-05	5.50E-05	4.06E-05	1.51E-05
2:Del:M:1	1.90E-04	3.99E-05	3.44E-04	7.60E-04	4.36E-04	1.68E-03	4.33E-04	1.34E-03	1.46E-03	9.04E-04
3:Del:M:1	1.12E-04	6.49E-11	1.62E-04	4.15E-04	2.15E-05	1.01E-03	2.47E-04	7.22E-04	9.93E-04	2.91E-04
3:Del:M:2	1.51E-04	2.23E-05	2.38E-04	4.21E-04	2.35E-04	1.04E-03	1.43E-04	9.62E-04	1.13E-03	6.53E-04
4:Del:M:1	1.34E-04	1.13E-05	2.25E-04	3.29E-04	1.75E-04	8.38E-04	3.05E-04	7.18E-04	8.23E-04	8.77E-04
4:Del:M:2	1.34E-04	1.75E-05	1.43E-04	4.95E-04	2.41E-04	8.95E-04	2.62E-04	9.59E-04	1.09E-03	4.07E-04
4:Del:M:3	1.34E-04	1.80E-05	4.41E-05	3.88E-04	2.56E-04	9.98E-04	1.79E-04	9.54E-04	1.05E-03	5.83E-04
