MutationType	ID83A	ID83B
1:Del:C:0	3.17E-04	1.61E-04
1:Del:C:1	3.24E-04	1.28E-04
1:Del:C:2	2.29E-04	1.00E-04
1:Del:C:3	1.44E-04	8.00E-05
1:Del:C:4	1.19E-04	5.34E-05
1:Del:C:5	1.11E-04	1.45E-04
1:Del:T:0	2.82E-04	1.61E-04
1:Del:T:1	2.34E-04	1.48E-04
1:Del:T:2	2.30E-04	1.26E-04
1:Del:T:3	1.74E-04	1.40E-04
1:Del:T:4	1.91E-04	1.67E-04
1:Del:T:5	4.00E-04	1.07E-03
1:Ins:C:0	1.16E-08	3.34E-04
1:Ins:C:1	8.97E-05	8.30E-05
1:Ins:C:2	7.14E-05	5.53E-05
1:Ins:C:3	6.65E-05	7.31E-05
1:Ins:C:4	5.35E-05	7.46E-05
1:Ins:C:5	1.52E-04	1.60E-04
1:Ins:T:0	1.46E-04	2.13E-04
1:Ins:T:1	2.61E-04	1.44E-04
1:Ins:T:2	1.21E-04	1.22E-04
1:Ins:T:3	1.35E-04	1.16E-04
1:Ins:T:4	1.18E-04	1.20E-04
1:Ins:T:5	1.03E-03	8.05E-04
2:Del:R:0	1.61E-04	9.43E-05
2:Del:R:1	2.02E-04	1.52E-04
2:Del:R:2	1.12E-04	6.80E-05
2:Del:R:3	7.16E-05	7.90E-05
2:Del:R:4	4.77E-05	5.44E-05
2:Del:R:5	2.18E-04	7.40E-05
3:Del:R:0	1.17E-04	5.14E-05
3:Del:R:1	2.44E-04	1.13E-04
3:Del:R:2	9.62E-05	4.30E-05
3:Del:R:3	8.03E-05	1.82E-05
3:Del:R:4	6.96E-05	2.30E-05
3:Del:R:5	1.02E-04	8.45E-10
4:Del:R:0	1.09E-04	5.79E-05
4:Del:R:1	1.98E-04	7.66E-05
4:Del:R:2	8.96E-05	5.94E-05
4:Del:R:3	8.00E-05	5.14E-05
4:Del:R:4	7.51E-05	0.00E+00
4:Del:R:5	4.02E-05	3.09E-05
5:Del:R:0	3.40E-04	1.88E-04
5:Del:R:1	1.15E-04	8.13E-05
5:Del:R:2	5.93E-05	3.07E-05
5:Del:R:3	2.13E-05	2.73E-05
5:Del:R:4	3.48E-09	2.81E-11
5:Del:R:5	2.84E-05	4.35E-10
2:Ins:R:0	1.47E-04	1.53E-04
2:Ins:R:1	1.07E-04	6.26E-05
2:Ins:R:2	7.27E-05	3.40E-05
2:Ins:R:3	3.38E-05	4.66E-05
2:Ins:R:4	6.74E-05	1.07E-04
2:Ins:R:5	1.76E-04	2.21E-04
3:Ins:R:0	1.03E-04	9.33E-05
3:Ins:R:1	8.00E-05	6.08E-05
3:Ins:R:2	2.14E-05	2.53E-05
3:Ins:R:3	3.48E-09	2.81E-11
3:Ins:R:4	2.15E-08	2.06E-05
3:Ins:R:5	4.79E-05	7.87E-05
4:Ins:R:0	1.09E-04	1.31E-04
4:Ins:R:1	1.10E-04	8.95E-05
4:Ins:R:2	4.34E-05	3.99E-05
4:Ins:R:3	6.56E-06	4.28E-05
4:Ins:R:4	1.13E-08	3.61E-05
4:Ins:R:5	4.32E-05	7.30E-05
5:Ins:R:0	7.92E-04	5.91E-04
5:Ins:R:1	1.64E-04	1.17E-04
5:Ins:R:2	4.79E-05	4.63E-05
5:Ins:R:3	2.64E-05	1.80E-05
5:Ins:R:4	2.41E-05	1.79E-05
5:Ins:R:5	3.29E-05	2.32E-05
2:Del:M:1	1.94E-04	1.62E-04
3:Del:M:1	9.44E-05	5.88E-05
3:Del:M:2	1.68E-04	8.16E-05
4:Del:M:1	9.16E-05	4.08E-05
4:Del:M:2	1.77E-04	6.43E-05
4:Del:M:3	2.05E-04	6.15E-05
5:Del:M:1	2.43E-04	1.43E-04
5:Del:M:2	2.20E-04	1.27E-04
5:Del:M:3	1.56E-04	9.58E-05
5:Del:M:4	1.05E-04	6.96E-05
5:Del:M:5	1.54E-04	1.18E-04
