Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP95454	5.26E+02	1.05E+02	8.95E+01	1.17E+02	1.25E+02	4.34E+01	4.00E-01	3.90E+01	9.91E-01	1.48E+00	7.10E+00	2.99E-01	5.75E+02
SP94741	1.02E+03	1.75E+02	1.48E+02	1.96E+02	1.99E+02	9.05E+01	2.17E-01	6.65E+01	1.52E+00	2.18E+00	1.84E+01	3.75E+00	1.10E+03
SP90209	1.74E+03	8.14E+02	1.19E+03	6.04E+02	2.32E+02	2.14E+02	1.53E+00	7.37E+01	8.60E-01	0.00E+00	2.27E+01	1.02E+00	1.69E+03
SP90989	1.01E+03	9.93E+01	1.36E+02	1.29E+02	8.36E+01	7.83E+01	9.69E-01	3.98E+01	1.47E+00	3.17E+00	1.96E+01	3.87E+00	1.06E+03
SP93540	1.85E+03	1.50E+02	2.68E+02	3.84E+02	1.38E+02	2.12E+02	9.25E-01	1.21E+02	1.33E+00	1.50E+00	4.86E+01	2.15E+00	2.00E+03
SP93227	1.74E+03	9.83E+02	1.60E+03	5.91E+02	1.02E+02	3.88E+02	1.16E+00	5.06E+01	4.46E-01	4.55E+00	2.57E+01	6.50E+00	1.64E+03
SP94348	1.01E+03	1.09E+02	1.43E+02	2.12E+02	1.29E+02	8.09E+01	6.95E-01	4.54E+01	1.16E+00	8.72E-01	1.78E+01	3.11E+00	1.09E+03
SP94588	1.17E+00	3.14E+00	1.93E+00	1.77E+00	3.35E+00	2.18E+00	4.94E-01	4.06E+00	1.08E+00	2.10E+00	3.62E+00	8.09E-01	3.68E+00
SP90725	1.43E+00	3.57E+00	1.13E+00	1.98E+00	3.98E+00	1.51E+00	3.36E-01	3.29E+00	8.44E-01	2.15E+00	2.40E+00	7.94E-01	3.22E+00
SP94236	1.32E+00	2.38E+00	1.38E+00	1.58E+00	1.31E+00	1.83E+00	6.05E-01	6.65E+00	1.23E+00	2.36E+00	5.68E+00	6.74E-01	5.13E+00
SP93772	1.24E+00	1.88E+00	1.76E+00	1.81E+00	2.15E+00	1.82E+00	4.40E-01	3.34E+00	1.17E+00	2.33E+00	3.12E+00	4.62E-01	3.48E+00
SP92195	1.21E+00	3.43E+00	3.24E+00	1.95E+00	2.97E+00	2.24E+00	4.45E-01	3.66E+00	1.24E+00	2.41E+00	4.72E+00	7.45E-01	3.29E+00
SP89957	4.35E+00	2.69E+00	2.07E+00	1.48E+00	2.70E+00	1.06E+00	3.79E-01	3.43E+00	7.57E-01	2.33E+00	2.97E+00	4.28E-01	4.83E+00
