Samples	ID83A	ID83B
SP135192	0	2
SP135335	13	43
SP135278	8	16
SP135287	62281	1998
SP135345	112	171
SP85122	96210	4230
SP84384	101638	0
SP135184	0	7
SP135226	50	179
SP135436	455	851
SP135262	21	112
SP135431	460	1172
SP135425	227	613
SP135222	105	367
SP135230	125	185
SP135205	47	52
SP135180	0	5
SP135213	155	197
SP135217	0	1
SP135405	206	602
SP135238	8	0
SP135270	228	637
SP135411	104	180
SP135188	55	145
SP135194	133	234
SP135186	113	320
SP135420	371	406
SP135258	15	55
SP135234	316	830
SP135293	0	5
SP135393	190	407
SP135299	149	668
SP135415	33	165
SP135310	0	1
SP135323	33	114
SP135390	6	39
SP135209	17	59
SP135240	116	578
SP135182	1429	1399
SP85251	46	370
SP84408	52	229
SP84491	908	2339
SP84743	1294	1890
SP83967	175	306
SP105253	514	1568
SP84998	386	529
SP84062	19	192
SP84982	52976	0
SP84790	374	845
SP105673	379	998
SP85339	566	1088
SP84719	454	407
SP105425	665	958
SP84056	237	1091
SP105261	193	339
SP85379	642	1229
SP105086	520	1053
SP84392	101546	629
SP105018	457	4250
SP84858	924	1005
SP84086	22	617
SP105213	440	558
SP105577	365	448
SP85431	55	468
SP84962	122	590
SP105006	431	552
SP84439	94994	885
SP105159	232	441
SP85230	101	946
SP84922	1482	844
SP85130	732	846
SP104984	243	504
SP85222	89	223
SP105375	626	2461
SP85287	186	863
CPCT02060042T	0	217
CPCT02130027T	135	563
CPCT02290024T	1009	1745
CPCT02230080T	693	1104
CPCT02070282T	688	1109
CPCT02060201T	447	1220
CPCT02010752T	204	537
CPCT02130046T	528	945
CPCT02190033T	708	1689
WIDE01010213T	988	1226
CPCT02440010T	832	1861
WIDE01010272T	402	502
DRUP01070085T	75191	15910
CPCT02380045T	347	1634
CPCT02150013T	239	626
CPCT02010769T	419	938
CPCT02450014T	41923	225563
CPCT02130122T	183	1047
CPCT02230107T	1170	859
DRUP01090017T	1032	2364
CPCT02020781T	828	1559
CPCT02310016T	486	715
CPCT02300050T	1165	1285
CPCT02020808T	863	1118
CPCT02050414T	667	1870
CPCT02230042T	7	325
CPCT02040170T	179	637
CPCT02330059T	1170	2061
CPCT02330063T	948	1570
CPCT02020512T	256	730
CPCT02110031T	372	873
CPCT02030347T	167318	0
CPCT02050179T	1229	1854
CPCT02010591T	300	750
CPCT02170007T	827	846
CPCT02210025T	589	1523
CPCT02030376T	524	614
CPCT02050110T	636	1666
CPCT02030318T	1084	1701
CPCT02100056T	519	229
CPCT02030326T	486	1129
CPCT02120007T	851	1206
WIDE01010573T	698	1639
WIDE01010693T	399	716
