spectrum	cosine	total_mutations
SP17172	0.971029412189185	39880
SP123975	0.970304493936174	2211
DRUP01070038T	0.969811209278693	23510
DRUP01070020TII	0.966151071956035	27525
CPCT02160034T	0.965967192258892	4753
SP92364	0.961264401315074	59684
CPCT02070164T	0.961259342442076	30268
CPCT02210064T	0.96054129991027	4172
CPCT02100019T	0.960296783502434	111646
DRUP01070119T	0.958847644969137	8900
WIDE01010075T	0.957446653796492	22955
CPCT02040169T	0.957126368648614	13060
CPCT02011050T	0.956779191108816	43027
DRUP01070020T	0.956592869041962	31750
CPCT02070041T	0.954556966662538	14321
DRUP01070085T	0.954445445183052	91101
CPCT02050089T	0.954334297530069	4420
CPCT02050211T	0.953034203573026	106833
CPCT02230086T	0.952267936882402	34084
SP90989	0.951405243026343	50628
CPCT02080157T	0.951049545600729	39002
CPCT02010441T	0.950643594368193	76919
DRUP01050017T	0.950048874762733	70285
CPCT02140022T	0.950029130753996	15130
DRUP01010007T	0.949992765319977	4286
CPCT02020514T	0.949260164715816	35793
DRUP01070042T	0.949142599369873	42405
DRUP01010123T	0.948972944017832	196790
DRUP01010025T	0.948792450406499	149016
WIDE01010460T	0.947714181115443	204297
SP94348	0.947572303846607	50366
CPCT02070023TII	0.947541911759585	138090
CPCT02180033T	0.947187054878861	15890
SP21017	0.946431857478759	112379
DRUP01010167T	0.946088657276717	42684
CPCT02360007T	0.946049062269466	42480
CPCT02070192T	0.945862681866798	49881
DRUP01050048T	0.945455847694704	110429
DRUP01070008T	0.94542641405562	115375
SP85122	0.945324448789035	100440
CPCT02020387T	0.945168958454119	100544
CPCT02380035T	0.944759788522168	34292
DRUP01010044T	0.944752478243367	4748
DRUP01140001T	0.944728102456179	14579
DRUP01010122T	0.944062880239236	160343
DRUP01070026T	0.943865325874563	56025
CPCT02050279T	0.94355346169863	141401
DRUP01070026TII	0.943446573508355	96888
SP95454	0.943418942196493	28322
CPCT02010786T	0.943142952226151	106804
WIDE01010578T	0.943108278436366	24148
DRUP01340016T	0.943096611701824	162232
SP107012	0.943046046284324	29773
CPCT02130140T	0.943039200326286	74708
DRUP01080014T	0.942868502630322	22852
CPCT02010654T	0.942524502727808	52749
DRUP01070001T	0.942290341765564	105182
CPCT02030347T	0.942103123971715	167318
CPCT02120042T	0.941633611960981	194860
SP22383	0.941530959241531	79288
CPCT02220071T	0.941335755794531	14540
CPCT02070140T	0.941307771193461	42345
CPCT02070131T	0.941249800280579	20037
CPCT02010882T	0.94109409438335	181149
DRUP01110002T	0.940626925922223	83496
SP110242	0.940405278270372	124495
CPCT02330125T	0.939789946712816	79990
DRUP01010018T	0.939752417811332	167719
CPCT02050170T	0.939395094306082	19763
CPCT02170035T	0.939362563139842	142375
DRUP01050001T	0.939221065545606	128648
DRUP01090003T	0.93910983617924	126173
DRUP01010020T	0.939098311800784	74163
SP111119	0.938712581747159	3850
SP99325	0.938652477045732	126072
CPCT02210016T	0.938367554096993	198585
CPCT02070023T	0.938131745823514	126973
SP111031	0.937962359162799	3259
DRUP01070015T	0.937816531426417	69331
DRUP01050002T	0.937771149958117	184976
DRUP01010051T	0.937691156543868	131345
DRUP01020053T	0.937312419871491	208437
SP18121	0.937178024538841	100030
DRUP01050028T	0.936917584528439	64442
DRUP01010142T	0.936531848082305	54855
CPCT02220030T	0.936385571669994	100505
CPCT02080152T	0.936384903299117	21881
DRUP01010022T	0.935713825323661	53409
SP135287	0.93544411517411	64279
SP125746	0.935423985415354	47457
DRUP01010047T	0.935059465533229	141263
CPCT02020680T	0.933950706792249	41891
DRUP01080031T	0.933776292292886	72052
DRUP01050049T	0.932677068557764	69581
SP92460	0.932593643781948	14186
CPCT02020323T	0.932573377126879	14621
DRUP01010047TII	0.932451182746285	122322
SP84982	0.931623256544755	52976
CPCT02020704TII	0.931438314561276	66125
CPCT02030363T	0.931107946724753	1169
CPCT02030349T	0.930937384270178	55964
CPCT02230098T	0.930675055237344	2682
CPCT02020308T	0.930588661483598	71916
CPCT02050443T	0.930578252901675	70198
CPCT02020704T	0.930423273439068	62443
CPCT02080048T	0.930257511268323	29441
SP93540	0.93025402707884	96040
CPCT02030546T	0.930010877232449	103164
SP94741	0.929395643578516	55132
CPCT02250005T	0.929096172067273	37855
CPCT02080273T	0.928909900974877	97063
CPCT02120105T	0.928519679482076	4610
DRUP01230004T	0.928439625996784	178444
CPCT02010815T	0.928375657827657	3226
CPCT02010598T	0.928220147968909	2037
CPCT02140091T	0.927667422316228	4830
DRUP01040016T	0.927546406159814	153646
SP110847	0.927392899029996	1726
DRUP01030013T	0.927055224742335	52794
DRUP01010037T	0.926851959859594	38898
CPCT02060103T	0.923608381433414	2395
CPCT02230107T	0.923557145496091	2029
SP18310	0.923508166223263	133982
CPCT02210004T	0.92345030842129	45927
SP94917	0.923377661799723	17873
WIDE01010069T	0.923118367111426	102327
CPCT02020986T	0.922716649000767	66350
SP127638	0.922662954296588	1656
CPCT02070024T	0.922539699203065	28103
SP84392	0.921477490488912	102175
SP124384	0.921304322736461	22000
DRUP01010148T	0.920918401579882	113635
SP96133	0.920594079240657	77388
CPCT02030357T	0.9195150210025	208583
SP102897	0.919401018779788	13474
CPCT02380029T	0.919236712684811	86292
CPCT02210067T	0.918524481509043	2002
CPCT02010955T	0.918374110207009	2129
DRUP01030018T	0.918336751753351	211805
SP19215	0.917163487619687	73731
CPCT02050380T	0.917134287128261	4442
CPCT02030277T	0.916312363919577	3736
WIDE01010606T	0.915871669731898	160869
DRUP01340017T	0.914716106536283	195073
CPCT02030430T	0.911226984128417	15061
DRUP01070080T	0.910747919280646	133385
CPCT02170013T	0.910610148642695	1788
CPCT02290041T	0.909903441620093	1848
CPCT02180068T	0.909242571297879	6171
CPCT02340070T	0.908369281827361	1913
CPCT02330132T	0.908094051364083	3272
CPCT02150030T	0.907595425458409	1727
CPCT02140061T	0.906277292757032	1550
CPCT02140024T	0.906129071843385	6100
SP89909	0.905353819213457	12662
SP59392	0.905289435296641	213
CPCT02200005T	0.905126842970502	12501
SP111114	0.905041474619175	3627
CPCT02100141T	0.904328643997388	3214
CPCT02010569T	0.902322731816009	3876
CPCT02230073T	0.900274810606562	1797
