spectrum	cosine	total_mutations
CPCT02011050T	0.980234172421835	43027
WIDE01010075T	0.978641821400538	22955
CPCT02040169T	0.976799463499606	13060
DRUP01070038T	0.976225140030791	23510
CPCT02050211T	0.974914615264885	106833
DRUP01010123T	0.974889967430528	196790
CPCT02070023TII	0.974653689798385	138090
DRUP01070020TII	0.974610011720205	27525
DRUP01070085T	0.974195636116309	91101
DRUP01070008T	0.973459279400214	115375
CPCT02130140T	0.973350141635587	74708
CPCT02010441T	0.973349978795148	76919
CPCT02100019T	0.972955246085782	111646
SP17172	0.97260728171288	39880
CPCT02050279T	0.972213826477198	141401
CPCT02120042T	0.972116295562276	194860
DRUP01010122T	0.972066141288607	160343
CPCT02010786T	0.971658293276664	106804
CPCT02070192T	0.971649457182699	49881
CPCT02070164T	0.971441996182151	30268
WIDE01010578T	0.971248054917626	24148
DRUP01070001T	0.970939374979867	105182
CPCT02180033T	0.970907536188441	15890
DRUP01080014T	0.970437647210076	22852
DRUP01050048T	0.970164585374057	110429
DRUP01070026T	0.970154448160802	56025
DRUP01010051T	0.970152059349805	131345
DRUP01010025T	0.970029657692835	149016
DRUP01070015T	0.9698133889792	69331
CPCT02230086T	0.969739668141159	34084
DRUP01050017T	0.969667956793118	70285
DRUP01050001T	0.969621523882103	128648
DRUP01090003T	0.969575283611369	126173
CPCT02330125T	0.969422402644303	79990
CPCT02020514T	0.969056799659199	35793
DRUP01010047T	0.968776159044725	141263
WIDE01010460T	0.968681498618467	204297
DRUP01050002T	0.968642530554754	184976
CPCT02210016T	0.968636233836388	198585
DRUP01010018T	0.968596545492634	167719
CPCT02010882T	0.968309861811355	181149
DRUP01010020T	0.968217956843772	74163
CPCT02070023T	0.968192983572868	126973
DRUP01340016T	0.967433384181988	162232
CPCT02380035T	0.967371789043243	34292
SP21017	0.967219023742122	112379
DRUP01010047TII	0.967002146946466	122322
DRUP01070026TII	0.966976846307344	96888
CPCT02170035T	0.966899851695823	142375
DRUP01010022T	0.966785580094529	53409
SP90989	0.966707812471508	50628
DRUP01010167T	0.966572482537557	42684
DRUP01050028T	0.966355929921308	64442
DRUP01070020T	0.966251197671847	31750
CPCT02030347T	0.966039997366887	167318
CPCT02070131T	0.965726361128114	20037
CPCT02010654T	0.965720014368193	52749
DRUP01070042T	0.965393098339604	42405
DRUP01010142T	0.964824555537996	54855
CPCT02020387T	0.964551145089787	100544
CPCT02020704TII	0.964533643071715	66125
CPCT02020704T	0.963459181867072	62443
DRUP01080031T	0.963382389915066	72052
CPCT02160034T	0.963334668795348	4753
CPCT02080273T	0.963006573145339	97063
CPCT02020308T	0.962615771706963	71916
CPCT02360007T	0.962258104839712	42480
DRUP01050049T	0.962146844984979	69581
DRUP01070119T	0.962139402957023	8900
DRUP01020053T	0.961952225682836	208437
CPCT02030349T	0.961355282832623	55964
SP94348	0.961161600850743	50366
WIDE01010069T	0.960749939205912	102327
CPCT02050170T	0.960212260727974	19763
CPCT02070041T	0.960144528132787	14321
SP92364	0.960106671164722	59684
DRUP01030013T	0.96000957732179	52794
DRUP01110002T	0.959983441733237	83496
SP22383	0.959849414963529	79288
CPCT02050443T	0.959632990411795	70198
DRUP01230004T	0.959619196071029	178444
DRUP01010148T	0.959038736662726	113635
CPCT02080157T	0.957937295404245	39002
SP123975	0.957929808639762	2211
CPCT02070140T	0.957563412620533	42345
CPCT02020680T	0.956807471764687	41891
CPCT02020323T	0.956762581222324	14621
SP110242	0.95649552865239	124495
DRUP01040016T	0.955561043690758	153646
CPCT02250005T	0.954780856905152	37855
SP107012	0.954442625491639	29773
SP85122	0.954058749068126	100440
DRUP01340017T	0.953421229564173	195073
SP84982	0.953305709636553	52976
CPCT02220030T	0.952977461355855	100505
SP99325	0.952889759375573	126072
CPCT02210004T	0.952504985292897	45927
CPCT02030357T	0.952454030658204	208583
CPCT02030546T	0.951591923620681	103164
SP124384	0.951402036879541	22000
SP125746	0.951326349103763	47457
DRUP01030018T	0.951290525299272	211805
CPCT02220071T	0.950569036130813	14540
CPCT02080152T	0.949907102692032	21881
SP95454	0.949816087642169	28322
CPCT02140022T	0.949020395663806	15130
SP135287	0.948083177042926	64279
SP93540	0.947296785804106	96040
CPCT02020986T	0.946674186953047	66350
SP94741	0.946663163047343	55132
SP111119	0.946487794773155	3850
CPCT02120105T	0.945782047792795	4610
DRUP01140001T	0.944645443856809	14579
SP102897	0.944613222071618	13474
CPCT02210064T	0.944414990772924	4172
CPCT02050089T	0.943605724092388	4420
SP96133	0.943469396954118	77388
CPCT02030277T	0.943232686856734	3736
CPCT02010815T	0.94306167780659	3226
CPCT02070024T	0.94301438402068	28103
CPCT02380029T	0.942993249582606	86292
SP92460	0.942307152909069	14186
SP18310	0.940865447708603	133982
DRUP01010037T	0.940712930311466	38898
SP84392	0.940624661266021	102175
SP18121	0.940351358807918	100030
DRUP01070080T	0.93947526461576	133385
SP94917	0.939436353149317	17873
CPCT02230098T	0.938462219993133	2682
CPCT02200005T	0.93672579250812	12501
CPCT02140024T	0.935790488763271	6100
CPCT02140091T	0.93238078351731	4830
DRUP01010007T	0.932104994913261	4286
CPCT02210067T	0.93196573858568	2002
SP19215	0.929590279391697	73731
SP110847	0.929165725078135	1726
SP111031	0.927826710126231	3259
SP89909	0.927640815679364	12662
DRUP01010044T	0.926835148180974	4748
CPCT02030363T	0.926220228282633	1169
CPCT02230107T	0.925259779900019	2029
SP98845	0.924551929282701	9214
CPCT02050380T	0.921996026947991	4442
CPCT02230072T	0.921858697703093	39266
WIDE01010606T	0.921124555159774	160869
CPCT02080048T	0.921061843475989	29441
CPCT02330132T	0.918419490093789	3272
CPCT02150030T	0.918308258462302	1727
SP127638	0.91800538501496	1656
SP84384	0.916759420648476	101638
CPCT02010955T	0.915356720317811	2129
DRUP01230001T	0.915246188621321	39283
CPCT02290041T	0.914355695408087	1848
CPCT02340070T	0.911988659874942	1913
CPCT02010598T	0.910278947773218	2037
CPCT02140061T	0.909533598550962	1550
WIDE01010451T	0.909056775970387	6627
CPCT02010569T	0.908377175279757	3876
CPCT02170013T	0.907892422637539	1788
CPCT02030430T	0.90662562153388	15061
CPCT02060103T	0.903479071808752	2395
SP111114	0.903165865361871	3627
CPCT02010835T	0.902450482505055	3372
CPCT02100141T	0.901755535317999	3214
CPCT02100127T	0.901647969359669	2903
