Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
CPCT02010773T	162	244	23	33	74	22	63	104	105	39	58	87	42	55	51	17	41	10
CPCT02290030T	19	54	0	12	20	2	70	8	5	13	1	31	21	4	9	3	0	3
CPCT02020688T	100	70	0	22	0	36	33	92	1	61	57	76	79	31	0	22	13	25
CPCT02050337T	136	118	18	19	54	7	73	64	38	8	23	29	13	41	28	30	27	10
CPCT02050338T	5	20	10	6	25	7	91	29	9	36	24	9	34	31	15	13	11	9
WIDE01010124T	34	91	4	66	130	49	51	61	57	118	54	52	25	88	25	11	19	17
CPCT02230089T	51	113	12	325	361	49	45	18	82	65	50	8	13	0	21	25	9	22
CPCT02230120TII	24	119	18	23	3	11	34	57	0	13	10	0	40	19	30	13	79	8
CPCT02050333T	16	23	5	26	35	2	79	13	51	5	13	82	0	17	6	10	5	12
CPCT02020692T	116	48	10	28	31	10	81	67	3	58	30	77	40	16	9	5	34	7
WIDE01010135T	12	18	14	10	15	18	26	12	0	23	13	0	27	7	9	15	30	5
CPCT02230095T	15	71	9	13	17	11	68	7	0	11	6	0	32	34	6	13	23	0
CPCT02060289T	167	202	26	33	46	19	28	29	39	65	56	28	20	92	81	25	66	33
CPCT02140085TII	71	113	15	38	1	29	32	40	0	0	19	140	131	37	26	19	66	155
CPCT02160042T	9	3	0	15	16	14	53	27	8	6	8	35	0	15	19	7	24	16
CPCT02230128T	10	191	5	16	35	9	22	16	25	33	19	0	107	25	22	24	25	88
WIDE01010142T	40	45	5	12	11	8	20	20	0	20	11	31	41	30	21	7	11	7
WIDE01010185T	78	0	39	274	182	120	39	0	13	23	82	0	0	306	295	47	0	19
CPCT02180049T	24	92	11	57	174	42	77	9	19	152	26	187	22	0	47	56	3	3
CPCT02010791T	58	84	18	6	41	13	77	54	30	85	26	18	14	30	37	16	15	9
CPCT02120114T	99	107	0	21	20	43	98	3	4	35	23	9	21	60	15	16	35	10
CPCT02120117T	34	118	7	967	302	95	194	62	156	32	69	5	133	67	29	21	38	110
CPCT02220041T	46	86	0	47	110	24	132	11	11	23	34	147	29	78	41	12	2	25
CPCT02120121T	16	105	14	15	18	14	99	53	8	4	9	28	11	22	11	9	16	1
CPCT02160041T	37	76	4	15	30	29	43	67	0	21	29	0	9	5	8	15	7	35
WIDE01010093TII	43	20	15	141	146	25	27	6	18	52	36	0	33	49	22	30	15	16
WIDE01010173T	7	25	0	11	56	13	26	2	29	82	14	31	4	10	25	31	15	2
CPCT02250007T	26	34	12	56	55	8	119	7	24	14	28	121	13	28	34	46	11	13
CPCT02020597TIII	25	203	1	15	63	14	32	50	93	33	20	20	97	128	58	23	65	93
WIDE01010171T	36	17	8	11	0	3	27	19	0	9	16	42	75	2	20	27	18	81
WIDE01010162T	14	158	0	759	329	59	81	0	425	5	21	0	141	0	0	8	35	163
CPCT02050299T	8	23	7	2	17	9	83	6	35	12	70	24	9	0	10	20	15	1
CPCT02080029TII	80	89	24	18	7	11	69	45	15	14	15	14	22	43	27	13	36	5
WIDE01010207T	37	134	8	24	40	1	29	30	35	10	12	94	27	26	36	27	9	12
CPCT02030472T	35	221	13	36	157	36	152	18	53	174	177	109	0	22	46	53	35	15
CPCT02100164T	84	49	7	23	38	0	81	42	0	27	60	4	50	27	22	55	28	5
CPCT02100170T	72	48	4	36	112	49	69	38	0	118	66	114	39	0	37	65	0	8
WIDE01010174T	59	118	4	17	82	24	19	7	26	55	33	0	19	43	26	47	67	14
WIDE01010183T	34	97	6	204	98	29	40	0	206	0	65	37	52	4	12	22	3	23
WIDE01010212T	141	129	8	8	185	17	12	0	99	128	40	60	71	25	36	34	13	3
WIDE01010274T	121	35	0	26	0	11	15	0	0	31	16	91	49	47	49	7	18	67
CPCT02410004T	41	39	0	33	46	26	108	45	6	16	31	55	3	14	42	10	24	18
WIDE01010235T	111	65	18	14	20	38	17	48	0	34	42	69	64	17	17	14	3	13
WIDE01010231T	17	29	4	48	32	11	19	68	0	36	8	62	18	46	15	24	10	13
CPCT02370024T	24	110	9	41	154	44	50	47	11	100	49	0	45	7	56	60	29	6
CPCT02140091TII	2525	1151	871	504	131	9	109	1168	0	6	63	0	216	19	44	13	0	159
CPCT02360015T	33	81	22	17	23	9	107	17	0	41	16	0	49	44	19	24	23	16
WIDE01010240T	0	62	15	17	11	2	35	19	6	21	20	14	25	26	16	5	7	12
CPCT02040230T	54	57	5	15	24	5	74	34	9	77	10	47	26	41	30	14	36	7
CPCT02320003T	38	109	14	15	45	29	78	30	18	37	38	70	19	33	41	35	19	17
WIDE01010248T	27	38	6	9	7	16	18	27	0	32	20	32	28	19	32	14	19	6
CPCT02010790T	30	77	4	789	241	78	66	0	164	0	22	136	85	23	10	10	0	63
CPCT02040235T	200	96	13	39	50	43	73	72	32	12	41	157	54	126	61	24	25	15
CPCT02080216T	33	104	0	467	254	26	142	51	297	68	29	20	38	0	31	28	5	29
CPCT02160047T	126	65	11	6	22	5	135	47	22	9	53	66	23	27	27	17	15	2
CPCT02270006T	208	23	3	83	192	62	54	56	33	265	85	104	38	0	47	68	80	29
CPCT02210053T	22	46	13	8	33	9	86	50	0	52	13	0	46	44	19	5	23	16
CPCT02360016T	24	61	20	12	16	10	60	0	11	41	11	0	2	11	16	13	9	7
