MutationType	ID1	ID2	ID5	ID8	ID9	ID13	ID19	ID21
5:Del:R:0	0.00000835	0.00003850	0.01844795	0.23797886	0.00077205	0.02009754	0.00426298	0.00453387
5:Del:R:1	0.00019068	0.00297751	0.00041034	0.00057226	0.00047955	0.00298053	0.00177092	0.02553589
5:Del:R:2	0.00012636	0.00039753	0.00047093	0.00051684	0.00026497	0.00006990	0.00101898	0.00283669
5:Del:R:3	0.00001890	0.00015815	0.00025717	0.00000816	0.00000612	0.00000640	0.00012637	0.00085461
5:Del:R:4	0.00000311	0.00008470	0.00009730	0.00011290	0.00000725	0.00000146	0.00000224	0.00000053
5:Del:R:5	0.00003130	0.00002120	0.00058502	0.00004430	0.00002990	0.00000235	0.00000224	0.00000053
2:Ins:R:0	0.00040204	0.00033185	0.00634945	0.00191671	0.00116234	0.01061841	0.07827026	0.00004810
2:Ins:R:1	0.00000788	0.00027166	0.01838764	0.00166182	0.00210019	0.00180137	0.02359708	0.00507626
2:Ins:R:2	0.00022135	0.00103534	0.00720795	0.00030459	0.00076094	0.00068852	0.00363960	0.00022299
2:Ins:R:3	0.00051427	0.00038133	0.00117229	0.00017758	0.00035163	0.00074354	0.00118317	0.00108099
2:Ins:R:4	0.00291310	0.00197742	0.00006880	0.00001660	0.00003070	0.00021335	0.00380259	0.00176933
2:Ins:R:5	0.01812158	0.01363338	0.00099412	0.00176438	0.00000000	0.00084658	0.03327522	0.01425982
3:Ins:R:0	0.00000031	0.00005780	0.00379248	0.00066786	0.00025457	0.00008210	0.05448195	0.00159281
3:Ins:R:1	0.00025469	0.00122705	0.00612276	0.00067172	0.00082336	0.00368833	0.00510145	0.00000115
3:Ins:R:2	0.00004410	0.00021007	0.00114347	0.00013577	0.00011826	0.00020251	0.00126260	0.00141705
3:Ins:R:3	0.00016670	0.00000302	0.00001020	0.00003790	0.00000518	0.00002370	0.00056696	0.00005850
3:Ins:R:4	0.00008890	0.00014181	0.00001180	0.00012204	0.00001610	0.00000349	0.00020118	0.00014990
3:Ins:R:5	0.00124870	0.00186471	0.00010257	0.00003660	0.00000000	0.00003540	0.00101487	0.00074308
4:Ins:R:0	0.00000000	0.00001680	0.00243919	0.00077776	0.00016439	0.00111880	0.04975165	0.00000649
4:Ins:R:1	0.00074438	0.00120373	0.00361230	0.00110390	0.00071557	0.00269163	0.00147968	0.00050832
4:Ins:R:2	0.00007550	0.00001220	0.00037646	0.00007990	0.00004240	0.00006930	0.00101738	0.00066398
4:Ins:R:3	0.00015754	0.00013417	0.00000187	0.00000858	0.00002150	0.00000064	0.00030994	0.00033518
4:Ins:R:4	0.00031965	0.00024939	0.00000641	0.00020551	0.00000000	0.00001210	0.00152857	0.00032259
4:Ins:R:5	0.00100132	0.00219354	0.00063598	0.00088523	0.00000218	0.00000031	0.00000012	0.00056024
5:Ins:R:0	0.00000000	0.00000000	0.00475007	0.00031833	0.00016585	0.00259023	0.33665180	0.00492955
5:Ins:R:1	0.00144313	0.00013566	0.00479343	0.00976111	0.00125400	0.01350195	0.00843231	0.01709467
5:Ins:R:2	0.00025483	0.00000553	0.00029880	0.00010115	0.00010285	0.00004590	0.00024644	0.00069312
5:Ins:R:3	0.00023709	0.00009770	0.00016555	0.00007090	0.00008020	0.00004610	0.00173759	0.00015937
5:Ins:R:4	0.00026187	0.00000215	0.00012671	0.00000674	0.00005050	0.00000243	0.00016509	0.00002510
5:Ins:R:5	0.00011983	0.00011563	0.00062634	0.00019055	0.00000989	0.00004330	0.00000224	0.00000707
2:Del:M:1	0.00119782	0.00017555	0.02868795	0.00491367	0.00390097	0.00887241	0.00236192	0.01183853
3:Del:M:1	0.00008190	0.00000055	0.01315715	0.00929034	0.00301133	0.00114008	0.00014290	0.01645659
3:Del:M:2	0.00147959	0.00294406	0.00900421	0.00430269	0.00154330	0.00045031	0.00118844	0.07634243
4:Del:M:1	0.00008380	0.00014700	0.00873220	0.00580955	0.00192772	0.00127080	0.00123037	0.02168316
4:Del:M:2	0.00014548	0.00055061	0.00604719	0.00159159	0.00329745	0.00015972	0.00011789	0.05593900
4:Del:M:3	0.00016068	0.00069357	0.00344244	0.00109834	0.00254408	0.00027058	0.00041202	0.07849465
5:Del:M:1	0.00000082	0.00062496	0.00861707	0.28072426	0.00003540	0.01174078	0.00007270	0.00065179
5:Del:M:2	0.00000000	0.00011771	0.00785102	0.12361016	0.00022124	0.00705542	0.00069074	0.00003070
5:Del:M:3	0.00000000	0.00005670	0.00715797	0.04613041	0.00057091	0.00216598	0.00061764	0.00022253
5:Del:M:4	0.00003880	0.00046284	0.00249255	0.01636726	0.00044831	0.00028174	0.00005320	0.00358987
5:Del:M:5	0.00066512	0.00236732	0.00111237	0.01281488	0.00000000	0.01313191	0.00331746	0.00341540
