Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP127630	726	325	64	61	32
SP127634	240	278	507	389	35
SP127636	496	460	183	71	28
SP127628	312	220	83	14	1
SP127640	620	313	153	71	7
SP127638	457	972	123	90	14
SP127632	1406	259	209	220	12
SP59388	162	149	45	11	2
SP116649	422	372	191	35	0
SP59416	229	135	96	25	5
SP124977	517	164	78	33	10
SP59356	172	100	103	26	4
SP116612	483	139	152	94	0
SP116659	167	400	274	23	5
SP116668	731	432	594	7	9
SP116630	1144	244	27	101	0
SP59412	551	285	179	49	4
SP116686	129	61	101	79	0
SP116694	439	229	191	69	7
SP116712	41	38	25	13	0
SP116726	357	446	175	65	16
SP116723	99	33	91	26	0
SP59276	35	91	35	17	0
SP116703	99	21	94	12	0
SP59312	571	503	136	62	11
SP116701	308	240	193	81	5
SP59296	91	128	39	0	3
SP59280	190	210	82	0	0
SP59344	45	106	53	8	3
SP59460	231	397	159	27	6
SP59404	102	141	20	12	0
SP116709	141	144	95	46	13
SP59448	1914	1144	179	116	5
SP116614	476	558	200	45	6
SP59464	149	32	90	11	4
SP59364	145	149	269	34	0
SP116663	1031	636	86	114	33
SP59444	69	68	105	35	0
SP116690	885	535	240	140	23
SP59270	63	64	30	8	0
SP59352	166	242	186	47	3
SP116652	107	47	18	13	0
SP116715	2264	730	260	141	47
SP116718	257	113	154	52	8
SP116720	94	47	105	4	0
SP59284	257	178	5	14	6
SP116618	142	67	101	70	1
SP59436	20	0	38	3	0
SP116645	340	689	248	37	0
SP59320	121	68	133	4	2
SP116672	49	12	48	14	0
SP116635	115	133	123	31	0
SP59328	105	109	43	14	3
SP116627	130	46	66	23	2
SP116725	67	59	26	4	0
SP59292	106	62	100	12	0
SP116683	184	232	162	76	13
SP59372	25	0	33	77	9
SP116610	257	324	203	307	27
SP116638	75	126	99	25	0
SP59336	120	50	17	7	5
SP124971	735	511	213	70	3
SP116665	75	8	52	8	0
SP116674	213	263	140	48	3
SP116657	786	713	331	151	0
