MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
3:Ins:R:1	0.00072455	0.00224386	0.00236079	0.00725965	0.00076146	0.00156007	0.00508923	0.00856340
3:Ins:R:2	0.00006431	0.00030234	0.00045444	0.00070462	0.00123539	0.00103181	0.00022589	0.00355917
3:Ins:R:3	0.00001508	0.00000410	0.00000001	0.00061328	0.00001161	0.00001469	0.00010885	0.00006337
3:Ins:R:4	0.00002478	0.00003504	0.00017857	0.00018828	0.00019727	0.00002991	0.00008894	0.00051073
3:Ins:R:5	0.00013842	0.00169177	0.00076860	0.00000577	0.00050824	0.00024564	0.00120201	0.00139141
4:Ins:R:0	0.00001719	0.00230574	0.00109908	0.02858379	0.00001755	0.00199123	0.00056461	0.04875935
4:Ins:R:1	0.00099590	0.00325425	0.00345384	0.00355315	0.00101465	0.00262173	0.00140942	0.02213590
4:Ins:R:2	0.00001388	0.00030357	0.00030377	0.00143695	0.00017727	0.00082622	0.00078778	0.00087713
4:Ins:R:3	0.00000122	0.00015659	0.00034400	0.00084439	0.00102961	0.00020955	0.00090636	0.00020014
4:Ins:R:4	0.00002087	0.00080003	0.00030786	0.00049456	0.00004534	0.00008910	0.00148776	0.00048109
4:Ins:R:5	0.00016680	0.00199217	0.00037035	0.00015080	0.00056694	0.00000000	0.00186749	0.00041055
5:Ins:R:0	0.00000004	0.00000016	0.00000066	0.43628115	0.00000034	0.00000013	0.00000030	0.00215956
5:Ins:R:1	0.00039645	0.01442159	0.00614729	0.00800650	0.00868857	0.01975809	0.02826292	0.02110685
5:Ins:R:2	0.00001941	0.00146786	0.00058281	0.00106725	0.00020115	0.00151760	0.00238306	0.00194486
5:Ins:R:3	0.00019713	0.00077294	0.00017144	0.00028845	0.00034432	0.00000000	0.00054841	0.00025980
5:Ins:R:4	0.00001682	0.00002324	0.00034271	0.00000135	0.00059872	0.00013275	0.00027563	0.00035882
5:Ins:R:5	0.00000000	0.00021852	0.00016227	0.00003187	0.00001367	0.00019436	0.00042886	0.00026186
2:Del:M:1	0.02605033	0.00068041	0.00607958	0.00151838	0.00177729	0.00358429	0.12860759	0.00223213
3:Del:M:1	0.02085943	0.00210665	0.00157852	0.00034610	0.00074933	0.00195403	0.00481543	0.00156455
3:Del:M:2	0.01147579	0.00291902	0.00241308	0.00021794	0.00278269	0.00664067	0.03308438	0.00093903
4:Del:M:1	0.01635655	0.00373439	0.00007878	0.00131297	0.00061709	0.00790716	0.01081019	0.00862275
4:Del:M:2	0.00741544	0.00253837	0.00058725	0.00151040	0.00344431	0.00995066	0.02747292	0.00068077
4:Del:M:3	0.00494827	0.00335235	0.00189678	0.00023039	0.00085327	0.00673098	0.05718411	0.00042664
5:Del:M:1	0.13023794	0.00723732	0.00288246	0.05531103	0.00418134	0.08665400	0.00203256	0.00480213
5:Del:M:2	0.06488674	0.00277344	0.00616507	0.00567575	0.00233171	0.18386808	0.00003234	0.00172098
5:Del:M:3	0.02322366	0.00000000	0.00503689	0.00035474	0.00021600	0.15491133	0.00318189	0.00125083
5:Del:M:4	0.00839548	0.00168605	0.00012043	0.00068930	0.00240106	0.08279737	0.00359484	0.00485760
5:Del:M:5	0.00023764	0.00278834	0.00329992	0.00868559	0.00147861	0.09294184	0.00371729	0.00953710
