Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
SP101845	5.03E+00	2.20E+00	4.62E+00	3.99E+00	1.09E+00	4.20E+00	4.78E+00	2.37E-01	5.00E+00	2.12E+00	4.90E+00	4.42E+00	1.35E-01
SP101682	8.73E-01	1.83E+00	1.20E+00	2.55E+00	1.23E+00	3.29E+00	2.40E+00	2.93E-01	2.66E+00	3.49E+00	3.39E+00	3.20E+00	4.48E-01
SP61553	4.29E-01	2.86E+00	1.83E-01	7.91E-01	1.16E+00	3.61E+00	1.34E+00	1.97E-01	1.05E+00	1.65E+00	1.57E+00	2.62E+00	7.07E-01
SP101724	1.96E+00	3.38E+00	2.27E+00	4.01E+00	1.55E+00	4.57E+00	2.84E+00	2.03E-01	4.81E+00	2.16E+00	4.23E+00	4.02E+00	7.81E-01
SP102103	7.37E-01	9.83E-01	8.47E-01	2.89E+00	8.26E-01	2.56E+00	2.55E+00	0.00E+00	2.92E+00	2.04E+00	3.19E+00	2.97E+00	1.41E-01
SP102174	1.23E+00	1.54E+00	1.23E+00	3.12E+00	1.02E+00	2.99E+00	3.01E+00	4.01E-01	3.12E+00	2.01E+00	3.34E+00	3.36E+00	4.39E-01
SP101622	8.88E+00	8.84E-01	8.32E+00	3.72E+00	8.61E-01	2.14E+00	4.69E+00	0.00E+00	3.44E+00	1.48E+00	3.58E+00	2.36E+00	7.01E-01
SP102161	1.87E+00	1.26E+00	1.72E+00	2.38E+00	9.09E-01	2.30E+00	2.46E+00	3.09E-01	2.09E+00	1.87E+00	3.39E+00	2.36E+00	2.48E-01
SP101654	1.12E+00	2.31E+00	9.68E-01	3.16E+00	1.62E+00	3.78E+00	3.42E+00	1.87E-01	3.77E+00	4.49E+00	3.95E+00	3.76E+00	3.61E-01
SP102074	1.05E+00	1.12E+00	1.07E+00	1.59E+00	6.26E-01	2.24E+00	1.61E+00	1.98E-01	2.14E+00	1.55E+00	2.00E+00	2.27E+00	2.81E-01
SP101694	1.74E+00	1.24E+00	1.62E+00	3.54E+00	1.30E+00	3.38E+00	2.68E+00	1.98E-01	3.63E+00	2.30E+00	4.02E+00	3.01E+00	7.40E-01
