De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-ID83A, Signature ID1 (27.30%) & Signature ID2 (72.70%), 15.51,  4.30, 0.522, 1.00, 1.00
Signature 83-ID83B, Signature ID1 (100.00%), 58.13,  9.53, 2.146, 1.00, 1.00
Signature 83-ID83C, Signature ID1 (6.34%) & Signature ID3 (93.66%), 21.71,  12.60, 0.106, 0.99, 0.99
Signature 83-ID83D, Signature ID6 (33.78%) & Signature ID8 (66.22%), 45.03,  25.63, 0.196, 0.97, 0.97
Signature 83-ID83E, Signature ID1 (28.24%) & Signature ID2 (10.00%) & Signature ID9 (21.44%) & Signature ID11 (40.32%), 59.38,  32.97, 0.637, 0.94, 0.94
Signature 83-ID83F, Signature ID8 (25.30%) & Signature ID19 (74.70%), 55.72,  30.07, 0.298, 0.95, 0.95
Signature 83-ID83G, Signature ID18 (76.96%) & Signature ID25 (23.04%), 26.04,  17.95, 0.137, 0.98, 0.98
Signature 83-ID83H, Signature ID1 (7.58%) & Signature ID4 (92.42%), 25.99,  14.45, 0.209, 0.99, 0.99
