MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
2:Ins:R:3	9.64E-05	5.81E-05	1.54E-04	1.28E-04	1.40E-04	4.89E-05	1.59E-04	1.31E-04	1.03E-04	1.94E-04	8.72E-05	5.36E-05	1.72E-04	1.03E-04
2:Ins:R:4	1.71E-04	1.48E-04	4.96E-04	3.19E-04	3.77E-04	1.10E-04	4.43E-04	1.18E-04	2.15E-04	1.52E-04	3.85E-04	8.84E-05	3.47E-04	2.78E-05
2:Ins:R:5	8.25E-04	9.56E-04	3.71E-03	1.83E-03	2.48E-03	1.41E-04	3.20E-03	3.10E-04	9.65E-04	8.86E-04	1.34E-03	3.46E-04	8.72E-04	4.28E-05
3:Ins:R:0	4.34E-04	6.89E-05	7.88E-04	8.66E-04	8.66E-04	2.02E-04	6.53E-04	4.72E-04	2.72E-04	7.41E-04	3.28E-04	1.55E-04	7.83E-04	4.13E-05
3:Ins:R:1	2.22E-04	1.94E-04	6.63E-04	5.10E-04	2.88E-04	1.31E-04	1.19E-03	3.35E-04	9.07E-04	2.03E-04	6.52E-04	8.13E-05	5.14E-04	8.34E-05
3:Ins:R:2	5.94E-05	4.22E-05	1.36E-04	8.05E-05	7.00E-05	3.73E-05	1.63E-04	9.75E-05	1.17E-04	9.34E-05	2.37E-04	6.21E-05	2.21E-04	6.33E-10
3:Ins:R:3	2.44E-05	8.38E-06	3.95E-05	3.33E-05	3.96E-05	2.60E-05	5.03E-05	2.74E-05	5.06E-05	6.09E-05	7.57E-05	0.00E+00	5.74E-05	3.04E-05
3:Ins:R:4	2.45E-05	2.47E-06	5.33E-05	8.31E-05	5.99E-05	4.57E-05	7.25E-05	5.37E-05	5.50E-05	6.97E-06	2.91E-05	2.82E-05	4.20E-05	4.67E-10
3:Ins:R:5	1.17E-04	1.08E-04	3.19E-04	3.00E-04	2.38E-04	9.16E-05	3.75E-04	2.97E-05	2.81E-04	4.93E-05	2.44E-04	5.27E-05	3.67E-05	2.66E-10
4:Ins:R:0	6.58E-04	0.00E+00	1.40E-03	1.25E-03	1.57E-03	2.48E-04	1.16E-03	3.05E-04	4.11E-04	9.85E-04	5.96E-04	1.31E-04	6.39E-04	1.54E-04
4:Ins:R:1	1.58E-04	1.65E-04	7.08E-04	5.16E-04	4.25E-04	1.26E-04	1.30E-03	2.76E-04	9.39E-04	4.02E-04	9.41E-04	5.23E-05	9.84E-04	8.12E-05
4:Ins:R:2	5.87E-05	1.21E-05	1.37E-04	1.44E-04	1.45E-04	3.30E-05	9.92E-05	9.63E-05	1.05E-04	5.92E-05	8.56E-05	6.92E-05	6.34E-05	1.42E-09
4:Ins:R:3	1.44E-05	3.73E-05	9.60E-05	4.81E-05	6.43E-05	2.29E-05	8.87E-05	2.21E-05	5.45E-05	3.81E-05	1.01E-04	5.84E-06	4.93E-05	1.58E-09
4:Ins:R:4	3.11E-05	4.13E-05	1.33E-04	1.23E-04	1.19E-04	4.92E-05	1.31E-04	6.64E-05	1.43E-04	1.19E-04	1.64E-04	5.83E-05	5.96E-05	6.07E-10
4:Ins:R:5	5.94E-05	7.13E-05	2.72E-04	2.18E-04	1.74E-04	8.26E-05	2.64E-04	1.45E-04	2.57E-04	1.16E-04	1.57E-04	4.19E-05	6.53E-05	2.88E-05
5:Ins:R:0	9.73E-04	0.00E+00	2.67E-03	2.64E-03	2.22E-03	1.87E-10	3.21E-03	2.83E-09	1.53E-04	4.97E-03	1.24E-03	3.01E-08	1.83E-04	1.22E-04
5:Ins:R:1	7.09E-04	4.98E-04	2.30E-03	1.91E-03	1.17E-03	3.77E-04	3.70E-03	1.02E-03	2.96E-03	9.34E-04	2.58E-03	3.31E-04	1.53E-03	1.40E-04
5:Ins:R:2	8.84E-05	3.87E-05	1.34E-04	1.50E-04	1.34E-04	3.99E-05	1.80E-04	2.07E-05	1.01E-04	8.55E-05	1.32E-04	5.19E-05	1.29E-04	3.51E-05
5:Ins:R:3	4.15E-05	1.12E-05	8.72E-05	1.05E-04	7.21E-05	2.11E-05	8.14E-05	2.50E-05	7.61E-05	6.50E-05	1.09E-04	5.37E-05	4.94E-05	4.56E-05
