Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
SP101845	5.21E+00	2.02E+00	4.71E+00	4.43E+00	1.09E+00	6.50E+00	2.76E-01	6.07E+00	2.71E+00	1.80E-01
SP101682	9.40E-01	1.47E+00	1.15E+00	2.81E+00	1.27E+00	3.14E+00	3.27E-01	4.01E+00	3.74E+00	4.84E-01
SP61553	4.47E-01	2.00E+00	2.64E-01	8.98E-01	1.23E+00	1.80E+00	2.14E-01	3.40E+00	2.30E+00	8.60E-01
SP101724	1.96E+00	2.43E+00	1.96E+00	4.15E+00	1.55E+00	5.79E+00	2.29E-01	5.11E+00	3.18E+00	8.80E-01
SP102103	8.23E-01	8.99E-01	8.18E-01	2.74E+00	8.88E-01	4.06E+00	0.00E+00	3.25E+00	2.63E+00	1.07E-01
SP102174	1.42E+00	1.25E+00	1.28E+00	3.67E+00	1.15E+00	5.11E+00	4.79E-01	4.14E+00	2.83E+00	5.78E-01
SP101622	9.21E+00	8.28E-01	8.76E+00	3.17E+00	9.65E-01	4.73E+00	0.00E+00	2.46E+00	2.21E+00	8.51E-01
SP102161	1.92E+00	9.86E-01	1.76E+00	2.30E+00	9.37E-01	3.11E+00	3.44E-01	2.93E+00	2.16E+00	4.88E-01
SP101654	1.10E+00	2.34E+00	8.51E-01	3.63E+00	1.87E+00	4.93E+00	1.99E-01	4.98E+00	4.70E+00	4.84E-01
SP102074	1.14E+00	1.01E+00	1.13E+00	1.98E+00	6.47E-01	2.91E+00	2.22E-01	2.68E+00	1.77E+00	4.03E-01
SP101694	1.70E+00	1.47E+00	1.64E+00	3.50E+00	1.35E+00	4.67E+00	2.15E-01	4.67E+00	3.08E+00	9.17E-01
SP101616	1.83E+00	1.84E+00	1.62E+00	4.24E+00	1.18E+00	5.52E+00	0.00E+00	3.03E+00	2.26E+00	7.94E-01
SP101666	4.13E+00	1.84E+00	3.96E+00	3.22E+00	7.97E-01	4.82E+00	1.79E-01	4.36E+00	1.60E+00	9.08E-01
SP101558	5.16E+00	9.15E-01	4.87E+00	1.89E+00	6.35E-01	2.55E+00	0.00E+00	1.18E+00	8.09E-01	2.59E-01
SP102096	1.02E+00	1.68E+00	1.37E+00	2.12E+00	8.19E-01	3.58E+00	2.74E-01	3.86E+00	2.79E+00	7.19E-01
SP102084	1.98E+00	2.63E+00	1.70E+00	2.17E+00	1.54E+00	3.45E+00	2.70E-01	4.23E+00	2.61E+00	2.71E-01
SP101580	2.93E+00	1.63E+00	2.79E+00	2.03E+00	7.74E-01	3.23E+00	2.65E-01	3.07E+00	2.23E+00	8.73E-01
SP102064	6.45E+00	1.33E+00	5.81E+00	2.22E+00	9.41E-01	3.01E+00	2.98E-01	2.14E+00	1.73E+00	9.79E-01
SP101564	1.01E+00	1.22E+00	9.46E-01	1.71E+00	8.85E-01	2.20E+00	2.26E-01	2.35E+00	2.18E+00	3.56E-01
SP101921	7.59E-01	1.78E+00	6.79E-01	2.73E+00	9.50E-01	4.31E+00	0.00E+00	3.83E+00	2.72E+00	5.65E-01
SP101648	4.44E+00	9.16E-01	4.32E+00	1.81E+00	4.77E-01	2.89E+00	0.00E+00	3.08E+00	1.93E+00	9.38E-01
SP101628	9.58E-01	1.49E+00	1.08E+00	2.46E+00	8.22E-01	3.39E+00	2.69E-01	3.14E+00	2.35E+00	5.92E-01
SP101708	1.02E+00	1.24E+00	6.73E-01	2.35E+00	1.18E+00	3.36E+00	2.66E-01	2.33E+00	2.03E+00	8.02E-01
SP102055	6.25E-01	1.28E+00	2.32E-01	1.67E+00	7.60E-01	2.03E+00	1.92E-01	2.56E+00	2.02E+00	4.39E-01
SP101634	5.84E+00	6.08E-01	5.44E+00	2.30E+00	4.54E-01	3.18E+00	2.16E-01	2.39E+00	1.15E+00	4.34E-01
SP101588	1.20E+00	1.65E+00	1.31E+00	2.57E+00	1.42E+00	3.52E+00	2.27E-01	3.42E+00	2.91E+00	6.76E-01
SP101584	1.17E+00	1.18E+00	1.14E+00	2.98E+00	1.05E+00	4.43E+00	0.00E+00	3.52E+00	3.82E+00	6.66E-01
SP101686	6.38E-01	1.30E+00	6.22E-01	2.12E+00	8.83E-01	3.22E+00	0.00E+00	3.04E+00	2.53E+00	5.16E-01
SP101532	6.44E+00	9.21E-01	5.97E+00	2.45E+00	9.27E-01	2.92E+00	0.00E+00	2.53E+00	1.42E+00	5.76E-01
SP101732	6.84E+00	1.16E+00	6.14E+00	3.71E+00	1.11E+00	5.77E+00	4.84E-01	4.12E+00	2.89E+00	6.17E-01
SP101528	1.18E+00	6.57E-01	1.20E+00	3.53E+00	8.42E-01	4.41E+00	0.00E+00	2.87E+00	1.70E+00	7.25E-02
