Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
CPCT02020389T	3.32E+00	1.44E+00	2.50E+00	2.39E+00	4.60E+00	2.63E+00	1.96E+00	1.01E+00
CPCT02080033T	1.86E+00	2.38E+00	5.40E+00	4.48E+00	6.70E+00	3.93E+00	2.08E+00	9.53E-01
CPCT02060156T	4.08E+00	1.56E+00	6.83E+00	5.14E+00	7.71E+00	4.74E+00	3.21E+00	1.44E+00
DRUP01340014T	1.05E+00	1.73E+00	2.91E+00	6.06E+00	1.36E+01	2.15E+00	1.17E+01	5.10E-01
DRUP01010121T	6.03E+00	2.91E+00	6.53E+00	4.75E+00	8.81E+00	5.39E+00	1.89E+00	1.30E+00
CPCT02130034T	3.15E+00	3.18E+00	3.87E+00	4.04E+00	6.34E+00	5.07E+00	2.61E+00	1.47E+00
CPCT02260015T	7.23E+00	4.43E+00	3.85E+00	8.26E+00	1.25E+01	8.43E+00	6.05E+00	4.07E+00
CPCT02220071T	1.52E+02	3.25E+01	4.19E+01	4.31E+01	1.73E+02	6.46E+00	6.11E+00	1.81E+00
CPCT02010710T	3.50E+00	2.54E+00	4.68E+00	4.10E+00	4.44E+00	2.94E+00	2.87E+00	1.52E+00
CPCT02340068T	1.32E+00	1.79E+00	2.62E+00	2.85E+00	3.90E+00	3.18E+00	1.75E+00	7.71E-01
CPCT02130050T	2.32E+00	2.83E+00	3.62E+00	6.29E+00	6.92E+00	6.06E+00	5.38E+00	2.07E+00
DRUP01060016T	1.34E+00	2.30E+00	2.04E+00	1.26E+01	1.47E+01	1.23E+01	4.83E+00	4.42E+00
CPCT02260017T	3.44E+00	2.87E+00	3.14E+00	3.50E+00	6.04E+00	5.61E+00	2.27E+00	1.34E+00
CPCT02020682T	1.75E+01	5.19E+00	9.28E+00	7.31E+00	1.98E+01	5.32E+00	3.81E+00	1.43E+00
DRUP01030013T	5.63E+02	1.28E+02	1.44E+02	2.27E+02	6.70E+02	1.48E+01	1.44E+01	3.95E+00
CPCT02130059T	3.95E+00	1.73E+00	7.79E+00	6.10E+00	9.39E+00	4.36E+00	3.39E+00	1.23E+00
WIDE01010296T	5.28E+00	3.52E+00	1.14E+01	2.11E+01	2.30E+01	2.09E+01	3.03E+00	5.35E+00
CPCT02380044T	1.90E+00	1.19E+00	6.70E+00	1.42E+01	1.66E+01	1.58E+01	4.57E+00	2.35E+00
CPCT02060117T	2.33E+00	1.68E+00	7.46E+00	5.78E+00	7.67E+00	2.62E+00	2.21E+00	8.19E-01
CPCT02080220T	2.14E+00	1.56E+00	8.92E+00	6.63E+00	8.76E+00	3.41E+00	3.22E+00	1.37E+00
CPCT02210056T	2.24E+00	1.36E+00	5.19E+00	3.85E+00	5.90E+00	2.74E+00	2.67E+00	9.57E-01
CPCT02020734T	2.64E+00	6.78E-01	6.02E+00	4.61E+00	6.84E+00	2.47E+00	3.72E+00	1.12E+00
CPCT02020716T	1.39E+00	1.02E+00	3.68E+00	2.76E+00	3.87E+00	2.07E+00	1.95E+00	8.36E-01
CPCT02080226T	1.41E+00	2.43E+00	2.61E+00	4.60E+00	5.64E+00	5.45E+00	2.74E+00	1.58E+00
DRUP01080014T	2.54E+02	6.35E+01	7.75E+01	6.73E+01	2.91E+02	5.86E+00	5.99E+00	1.60E+00
DRUP01270003T	2.31E+00	1.45E+00	3.79E+00	3.54E+00	4.86E+00	3.75E+00	1.61E+00	6.58E-01
