Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID11	ID19	ID21	ID23	ID83G
SP124017	10	0	0	37	0	0	0	0	0	0	0	0
SP123856	6	0	0	0	0	16	0	0	0	28	23	0
SP123854	0	0	0	0	0	0	43	26	0	48	0	0
SP123888	7	0	0	0	0	25	20	14	0	42	0	0
SP123870	0	0	0	0	0	0	19	0	0	72	0	0
SP123958	0	0	0	0	0	0	19	20	0	25	0	0
SP123844	7	0	0	61	0	16	0	0	0	32	0	0
SP123872	25	0	51	0	0	26	34	22	0	0	0	0
SP123874	14	0	0	0	0	0	0	0	0	43	58	0
SP123836	17	0	0	42	0	0	0	27	0	92	0	0
SP43633	8	8	0	0	0	14	23	0	0	0	24	0
SP36498	0	0	0	584	0	105	0	0	0	0	0	0
SP37516	0	0	0	403	0	87	66	0	0	0	0	0
SP39997	0	0	0	619	0	119	0	0	0	0	0	0
SP35617	33	0	0	430	0	102	106	0	0	0	0	0
SP37636	32	0	0	141	0	61	45	34	0	0	0	0
SP39907	0	0	0	293	0	65	131	0	0	0	0	0
SP40736	0	0	0	571	0	158	120	0	0	0	0	0
SP42154	55	0	0	532	0	93	0	0	0	0	0	0
SP39594	0	0	0	475	0	146	103	0	0	0	0	0
SP41453	39	0	0	436	0	99	0	0	0	0	0	0
SP34452	0	0	0	924	0	228	150	0	0	0	0	0
SP42829	60	0	0	635	0	94	0	0	0	0	0	0
SP37970	0	0	0	748	0	169	0	99	0	0	0	0
SP34186	67	0	0	782	0	181	0	0	0	0	0	0
SP37903	0	0	0	981	0	204	0	0	0	0	0	0
SP35849	33	0	0	191	0	55	0	0	0	0	0	0
SP36586	141	64	0	139	0	0	0	0	0	0	0	0
SP34431	0	0	0	289	0	58	75	49	0	0	0	0
SP37432	0	0	0	325	0	87	65	0	0	0	0	0
SP35989	0	0	0	313	0	89	0	0	0	0	0	0
SP39102	25	0	0	303	0	56	68	0	0	0	0	0
SP34493	40	0	0	0	0	68	58	0	0	0	184	0
SP36036	27	0	0	248	0	87	60	0	0	0	0	0
SP35951	0	0	0	696	0	128	0	0	0	0	0	0
SP39248	0	0	0	268	0	69	87	0	0	0	0	0
SP34246	0	0	0	520	0	135	110	0	0	0	0	0
SP35412	0	0	0	559	0	150	0	0	0	0	0	0
SP39298	0	0	0	1148	0	282	217	0	0	0	0	0
SP38044	0	0	0	692	0	199	0	0	0	0	0	0
SP38271	0	0	0	545	0	164	0	77	0	0	0	0
SP43201	0	0	0	342	0	146	72	0	0	0	0	0
SP34191	0	0	0	303	0	75	100	0	0	0	0	0
SP40047	36	73	0	606	0	180	120	0	0	0	0	0
SP39349	0	0	0	347	0	111	67	52	0	0	0	0
SP37369	0	0	0	299	0	81	94	0	0	0	0	0
SP38759	0	0	0	409	0	140	117	82	0	0	0	0
SP36218	0	0	0	143	0	47	0	51	0	78	0	0
SP43510	0	0	0	688	0	165	0	0	0	0	0	0
SP43770	0	0	0	408	0	116	87	0	0	0	0	0
SP43651	65	0	0	876	0	173	137	110	0	0	0	0
SP106656	0	0	0	951	0	198	158	0	0	0	0	0
SP97249	188	0	0	630	0	206	134	0	0	0	0	0
SP106638	0	0	0	1075	0	268	198	0	0	0	0	0
SP97161	0	0	0	1067	0	217	0	0	0	0	0	0
SP43696	0	0	0	1148	0	209	0	0	0	0	0	0
SP97113	0	0	0	674	0	154	0	0	0	0	0	0
SP97124	0	0	0	1056	0	307	155	135	0	0	0	0
SP43808	0	0	0	536	0	145	0	0	0	0	0	0
SP43822	458	0	0	0	0	0	0	0	0	0	0	0
SP43514	0	0	0	521	0	128	0	0	0	0	0	0
SP97258	0	0	0	637	0	186	140	0	0	0	0	0
SP97194	80	0	0	1341	0	319	271	165	0	0	0	0
SP109470	106	0	0	1030	0	213	179	0	0	0	0	0
SP97278	0	0	0	798	0	146	0	0	0	0	0	0
SP109544	68	0	0	846	0	131	0	0	0	0	0	0
SP97104	45	0	0	0	229	132	98	0	0	0	0	0
SP106577	0	0	0	1280	0	224	0	0	0	0	0	0
SP109457	241	0	0	193	0	0	0	0	0	0	0	0
SP109478	12	0	0	151	0	34	0	0	0	0	0	0
SP43688	0	0	0	749	0	151	0	0	0	0	0	0
SP97243	0	0	0	465	0	164	98	0	0	0	0	0
SP97269	0	0	0	887	0	209	205	0	0	0	0	0
SP113926	0	0	0	227	0	89	0	0	0	0	0	0
SP106560	0	0	0	369	0	159	119	0	0	0	0	0
SP43792	0	0	0	1054	0	239	0	0	0	0	0	0
SP106602	0	0	0	501	0	122	111	0	0	0	0	0
SP97145	0	0	0	243	0	59	58	0	0	0	0	0
SP43664	113	0	0	1272	0	338	0	0	0	0	0	0
SP43532	0	0	0	944	0	169	0	0	0	0	0	0
SP102816	0	0	0	382	0	153	94	81	0	0	0	0
SP102795	119	0	0	1096	0	278	0	0	0	0	0	0
SP103197	0	0	0	553	0	176	154	0	0	0	0	0
SP102827	0	0	0	1145	0	229	0	0	0	0	0	0
SP103233	0	0	0	592	0	152	115	0	0	0	0	0
SP103507	0	0	0	300	0	0	0	0	0	0	524	0
SP103100	0	0	0	423	0	86	0	0	0	0	0	0
SP103416	0	0	0	394	0	92	0	0	0	0	0	0
SP103005	21	22	0	278	0	85	52	0	0	0	0	0
SP102759	0	0	0	1068	0	234	0	0	0	0	0	0
SP102741	49	0	0	426	0	147	101	0	0	0	0	0
SP102945	35	0	0	433	0	153	0	0	0	0	0	0
SP103826	0	0	0	490	0	113	0	0	0	0	0	0
SP103706	0	0	0	742	0	179	125	0	0	0	0	0
SP102897	3684	9790	0	0	0	0	0	0	0	0	0	0
SP102881	54	0	0	305	0	91	67	0	0	0	0	0
SP103715	0	0	0	426	0	106	85	0	0	0	0	0
SP102929	0	0	0	419	0	127	103	73	0	0	0	0
SP103619	0	0	0	112	0	37	0	0	0	0	69	0
SP103844	0	0	0	365	0	74	0	0	0	0	0	0
SP103128	39	0	0	512	0	152	0	0	0	0	0	0
SP103300	0	0	0	744	0	206	146	0	0	0	0	0
SP103057	0	0	0	591	0	121	0	0	0	0	224	0
SP103340	32	0	0	596	0	110	0	0	0	0	0	0
SP102913	41	0	0	496	0	142	96	0	0	0	0	0
SP102783	56	0	0	813	0	202	128	0	0	0	0	0
SP103080	69	0	0	610	0	176	175	107	0	0	0	0
SP103436	27	0	0	422	0	68	0	0	0	0	0	0
SP102804	0	0	0	707	0	133	190	0	0	0	0	0
SP102957	0	0	0	0	0	0	0	0	0	0	1295	0
SP102873	27	0	0	376	0	92	0	0	0	0	0	0
SP103213	0	0	0	453	0	115	0	0	0	0	0	0
SP103467	0	0	0	116	0	23	28	27	0	0	0	0
SP103261	0	0	0	1344	0	254	0	0	0	0	0	0
SP103156	0	0	0	760	0	137	0	0	0	0	0	0
SP103288	0	0	0	346	0	66	0	0	0	0	0	0
SP103444	0	0	0	457	0	107	0	0	0	0	0	0
SP103685	0	0	0	453	0	93	79	63	0	0	0	0
SP103140	0	0	0	932	0	155	166	0	0	0	0	0
SP103673	0	0	0	874	0	177	137	0	0	0	0	0
SP102839	0	0	0	545	0	141	0	0	0	0	0	0
SP103245	0	0	0	707	0	184	0	0	0	0	0	0
SP103037	0	0	0	248	0	54	0	0	0	0	0	0
SP103408	0	0	0	712	0	0	0	0	0	0	0	0
SP103021	0	0	0	463	0	119	99	0	0	0	0	0
SP103679	0	0	0	310	0	0	98	0	0	0	0	0
SP103065	0	0	0	855	0	163	145	0	0	0	0	0
SP102965	0	0	0	412	0	95	69	0	0	0	0	0
SP103221	0	0	0	1111	0	209	0	0	0	0	0	0
SP103547	0	0	0	629	0	181	0	0	0	0	0	0
SP102973	50	0	0	599	0	116	0	0	0	0	452	0
SP103515	0	0	0	536	0	133	102	72	0	0	0	0
SP102747	0	0	0	172	0	37	0	0	0	0	0	0
SP103730	69	0	0	392	0	151	104	0	0	0	0	0
SP103535	0	0	0	451	0	203	0	0	0	0	731	0
SP102718	0	0	0	540	0	151	89	0	0	0	0	0
SP103483	0	0	0	359	0	62	0	0	0	0	0	0
SP103428	0	0	0	787	0	174	161	0	0	0	0	0
SP102755	0	0	0	1560	0	356	0	0	0	0	0	0
SP103694	0	0	0	1104	0	262	186	0	0	0	0	0
SP103595	0	0	0	378	0	107	0	66	0	0	0	0
SP103396	0	0	0	180	0	60	46	30	0	0	0	0
SP102716	0	0	0	234	0	57	45	0	0	0	0	0
SP102733	31	0	0	0	0	68	75	81	0	0	203	0
SP102989	43	0	0	456	0	153	144	78	0	0	0	0
SP103603	41	35	0	323	0	150	153	0	0	0	0	0
SP102921	23	0	0	319	0	99	91	53	0	0	0	0
SP103742	73	0	0	616	0	148	125	0	0	0	0	0
SP103555	12	0	0	0	0	0	0	0	0	0	75	0
SP103523	0	0	0	272	0	86	59	0	0	0	0	0
SP103575	74	0	0	396	0	89	89	0	0	0	0	0
SP103045	0	0	0	637	0	140	0	0	0	0	0	0
SP103455	0	0	0	810	0	182	0	0	0	0	0	0
SP103856	0	0	0	0	0	29	53	24	0	0	63	0
CPCT02020340T	0	0	0	701	0	258	0	0	0	0	0	0
CPCT02140010T	53	0	0	612	0	151	0	0	0	0	0	0
CPCT02110007T	70	0	0	671	0	152	122	0	130	0	0	0
CPCT02140015T	66	0	0	429	0	150	0	0	151	0	0	0
CPCT02020376T	126	0	0	179	0	132	0	0	76	0	0	0
CPCT02050051T	77	0	0	472	0	118	0	0	84	0	0	0
CPCT02140017T	213	0	0	1275	0	307	0	0	0	0	0	0
CPCT02040048T	151	0	0	1379	0	315	0	0	0	0	0	0
CPCT02060029T	332	0	0	582	0	0	0	0	0	0	0	0
CPCT02060039T	39	0	0	567	0	129	0	0	0	0	0	0
CPCT02050077T	129	0	0	547	0	153	0	0	128	0	0	0
CPCT02060050T	140	0	0	727	0	192	199	0	0	0	0	0
CPCT02020866T	29	0	0	317	0	130	97	0	63	0	0	0
CPCT02120177T	0	0	0	584	0	111	99	0	0	0	0	0
CPCT02140095T	0	0	0	791	0	0	0	0	0	0	0	789
CPCT02120176T	347	139	0	797	0	162	0	0	0	0	0	0
CPCT02120085T	105	0	0	356	0	161	0	0	215	0	0	0
CPCT02100138T	258	0	0	442	0	129	0	0	0	0	0	0
CPCT02080177T	310	0	0	634	0	0	0	0	0	0	0	0
CPCT02230079T	186	69	0	699	0	207	175	0	0	0	0	0
CPCT02340107T	286	138	0	767	0	0	0	0	0	0	0	0
CPCT02120096T	0	0	0	586	0	221	0	0	206	0	0	0
CPCT02120102T	11	0	0	114	0	30	0	0	36	0	0	0
CPCT02440023T	106	0	0	738	0	173	0	0	0	0	0	338
CPCT02160060T	54	0	0	678	0	146	0	0	0	0	0	0
CPCT02180055T	81	0	0	252	0	85	0	0	109	0	0	0
CPCT02140104T	143	45	0	188	0	73	0	0	0	0	0	0
CPCT02140105T	85	0	0	642	0	130	115	90	0	0	0	0
CPCT02190055T	167	0	0	741	0	195	177	0	0	0	0	0
CPCT02030551TII	341	0	0	0	0	0	0	0	200	0	0	715
CPCT02050317T	24	0	0	64	0	89	0	0	142	0	0	0
CPCT02180078T	0	0	0	528	0	146	119	0	0	0	0	0
CPCT02220075T	71	0	0	490	0	116	99	0	0	0	0	0
CPCT02230085T	263	0	0	965	0	290	0	0	0	0	0	0
CPCT02120195T	92	0	0	519	0	175	132	0	0	0	0	0
CPCT02080302T	108	0	0	834	0	215	174	0	0	0	0	0
CPCT02070470T	16	16	0	183	0	45	0	0	49	0	0	0
CPCT02300034T	100	0	0	700	0	185	0	0	143	0	0	0
CPCT02020955T	53	0	0	471	0	96	0	0	0	0	0	0
CPCT02020965T	61	0	0	638	0	162	0	0	0	0	0	0
CPCT02140094TII	0	0	0	494	0	325	0	0	0	0	0	702
CPCT02210083T	62	0	0	193	0	0	0	0	54	0	0	0
CPCT02100200T	87	0	0	820	0	165	137	0	0	0	0	0
CPCT02140106T	40	0	0	332	0	55	0	0	62	0	0	0
CPCT02140059T	69	0	0	1021	0	183	0	0	0	0	0	0
WIDE01010156T	45	0	0	177	0	46	0	0	0	0	0	0
CPCT02100174T	51	76	74	247	0	120	96	0	116	0	0	0
CPCT02120200T	17	0	40	212	0	77	0	0	36	0	0	0
CPCT02140070T	147	43	0	158	0	102	0	0	124	0	0	0
CPCT02040248T	65	0	0	408	0	144	0	0	88	0	0	0
CPCT02060149T	57	0	0	259	0	106	0	0	109	0	0	0
CPCT02020718T	101	0	0	399	0	127	0	0	105	0	0	0
CPCT02230096T	325	109	0	816	0	235	0	0	0	0	0	0
CPCT02180064T	36	0	0	431	0	104	0	0	124	0	0	0
CPCT02020764T	302	0	0	387	0	210	0	0	286	0	0	0
CPCT02440012T	88	0	0	580	0	220	0	0	128	0	0	0
CPCT02020752T	86	0	0	303	0	94	0	0	67	0	0	0
CPCT02140071T	49	0	0	442	0	145	0	0	163	0	0	0
CPCT02140074T	90	0	0	635	0	156	126	0	0	0	0	0
CPCT02140017TII	171	0	0	1089	0	293	0	0	200	0	0	0
CPCT02120143T	78	0	0	401	0	124	87	0	90	0	0	0
CPCT02030431T	90	0	0	350	0	62	0	0	88	0	0	0
CPCT02180067T	66	0	0	274	0	74	0	0	111	0	0	0
CPCT02160052T	0	0	0	885	0	201	0	0	0	0	0	0
CPCT02140080T	91	0	0	117	0	62	0	0	69	0	0	0
CPCT02170036T	455	265	0	0	0	0	0	0	185	0	0	0
CPCT02290045T	45	0	0	182	0	87	64	0	90	0	0	0
CPCT02060269T	54	0	0	423	0	130	0	0	90	0	0	0
CPCT02230113T	71	0	0	0	0	39	0	0	84	0	66	0
CPCT02050407T	103	0	0	339	0	117	0	0	120	0	0	0
CPCT02030543T	136	0	0	500	124	174	0	0	167	0	0	0
CPCT02190050T	116	0	0	635	0	137	0	0	120	0	0	0
CPCT02140087T	40	0	0	523	0	154	0	0	91	0	0	0
CPCT02100190T	225	0	0	479	0	178	0	0	179	0	0	0
CPCT02140094T	0	0	0	174	0	200	0	0	312	0	0	0
CPCT02130164T	0	0	0	540	0	126	0	0	0	0	0	0
CPCT02140093T	91	0	0	1001	0	125	0	0	0	0	0	0
CPCT02020592T	0	0	0	0	0	134	0	0	211	0	0	0
CPCT02180076T	30	0	0	175	0	56	0	0	0	0	0	126
CPCT02020865T	0	0	0	1216	0	269	0	0	0	0	0	0
CPCT02230059T	55	0	0	308	0	124	0	0	146	0	0	0
CPCT02180022T	300	83	0	484	0	0	0	0	0	0	0	0
CPCT02120014T	82	53	0	577	0	187	127	0	144	0	0	0
CPCT02180033T	3362	12528	0	0	0	0	0	0	0	0	0	0
CPCT02140046T	126	70	0	354	0	104	0	0	0	0	0	0
CPCT02080111T	283	0	606	0	0	185	0	0	0	0	0	0
CPCT02120027T	184	90	0	447	0	140	126	0	0	0	0	0
CPCT02140042TII	32	18	0	140	0	37	0	0	0	0	0	87
CPCT02070169T	15	0	0	152	0	76	48	0	56	0	0	0
CPCT02160024T	128	0	0	649	0	201	128	0	0	0	0	0
CPCT02020566T	0	0	0	0	0	38	0	0	112	0	0	0
CPCT02230033T	90	0	0	308	0	85	0	0	84	0	0	0
CPCT02030356T	0	0	0	508	0	185	0	0	90	0	0	0
CPCT02090021T	55	0	0	584	0	193	0	0	212	0	0	0
CPCT02330047T	51	0	0	415	0	166	0	0	265	0	0	0
CPCT02100107T	141	0	0	624	0	243	0	0	282	0	0	0
CPCT02020580T	91	0	0	181	0	122	0	0	218	0	0	0
CPCT02180003T	0	0	0	0	0	91	0	0	207	0	0	0
CPCT02020414T	90	55	0	558	0	124	0	0	146	0	0	0
CPCT02050087T	88	0	0	292	0	107	0	0	63	0	0	0
CPCT02010458T	80	0	0	0	0	95	76	0	127	0	0	0
CPCT02020447T	174	0	0	414	0	110	0	0	0	0	0	0
CPCT02060067T	43	0	0	353	103	201	0	0	127	0	0	0
CPCT02020480T	42	0	0	493	0	137	106	0	0	0	0	0
CPCT02140042T	117	72	0	352	0	139	143	0	0	0	0	0
CPCT02120002T	55	0	0	582	0	129	0	0	0	0	0	0
CPCT02030332T	102	0	0	437	0	93	0	0	103	0	0	0
CPCT02230015T	59	38	0	396	0	115	96	0	0	0	0	0
CPCT02060138T	91	0	0	791	0	334	0	0	244	0	0	0
CPCT02360007T	8410	34070	0	0	0	0	0	0	0	0	0	0
CPCT02040181T	68	0	0	758	0	240	0	0	147	0	0	0
CPCT02300027T	69	0	0	773	0	169	0	0	0	0	0	0
CPCT02120090T	45	0	0	402	0	124	0	0	113	0	0	0
WIDE01010520T	72	0	0	945	0	287	0	0	0	0	0	0
WIDE01010600T	0	0	0	286	0	70	0	0	0	0	0	0
WIDE01010710T	419	281	0	621	0	0	0	0	0	0	0	0
WIDE01010727T	37	0	0	194	0	56	0	0	56	0	0	0
