Samples	ID1	ID2	ID4	ID5	ID6	ID8	ID9	ID11	ID19	ID21	ID23	ID83G
SP123975	302	1909	0	0	0	0	0	0	0	0	0	0
SP124044	7	0	0	26	0	0	11	0	0	23	0	0
SP123972	73	54	0	0	80	0	85	0	0	0	0	121
SP123850	0	0	0	0	0	24	0	16	0	61	40	0
SP123902	14	0	52	0	0	44	49	0	0	0	0	0
SP123884	0	0	0	94	0	43	0	28	0	54	0	0
SP123964	0	0	0	52	0	28	0	0	0	57	0	0
SP123995	0	0	0	72	0	0	0	0	0	66	0	0
SP123846	0	0	43	0	0	0	0	0	0	62	0	71
SP124003	9	0	0	0	0	18	0	0	0	37	29	0
SP123876	9	0	0	44	0	0	30	0	0	50	0	0
SP123878	10	0	0	61	0	20	0	0	0	0	0	0
SP123842	0	0	0	67	0	32	0	0	0	0	0	0
SP123900	0	0	0	143	0	0	0	0	0	0	0	0
SP123978	0	0	0	0	0	14	20	0	0	0	0	31
SP123897	15	0	23	0	0	14	0	0	0	0	40	0
SP124013	0	0	0	53	0	19	0	0	0	53	0	0
SP124021	6	0	0	33	0	0	17	0	0	33	0	0
SP123852	7	0	0	61	0	0	0	17	0	36	0	0
SP123998	26	0	0	0	0	34	0	0	0	0	0	110
SP123967	0	0	0	60	17	0	19	0	0	0	0	0
SP123988	0	0	0	229	0	62	0	0	0	0	0	0
SP123984	0	0	0	66	0	0	0	0	0	37	0	0
SP123858	11	0	25	0	15	0	0	0	0	0	0	37
SP123890	0	0	0	43	0	21	0	0	0	34	0	0
SP123950	0	0	39	45	21	0	36	0	0	0	0	0
SP123886	12	0	0	0	0	22	28	0	0	0	0	0
SP124033	0	0	0	0	0	0	0	0	0	46	0	41
SP123892	14	0	0	72	0	37	0	0	0	57	0	0
SP123840	0	0	0	0	0	0	0	21	0	45	56	0
SP123969	12	0	0	40	0	30	25	0	0	36	0	0
SP123953	10	12	0	0	0	26	0	22	0	0	47	0
SP123955	0	0	0	0	19	31	0	0	0	0	45	0
SP123882	0	0	0	0	0	32	48	0	0	132	0	0
SP123894	0	0	0	0	0	0	52	0	0	146	0	0
