MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	0.003910628440439723	0.0016953899650252425	0.0038152533976972334	0.004995966799542657	0.0049997505315695885	0.015521899205632508	0.016288213722291403	0.031164799802791094	0.024301673571608264	0.03739441702142358	0.03597429505229229	0.06904302797396668	0.018545836855707876	0.061348241325467824	0.16337529541924595	0.035021523910500035	0.01305670489280601	0.012109502124376377	0.022247134478166116
1:Del:C:1	0.0010787705298571381	0.0005231626865133876	0.0013660127881303197	0.00348338453542965	0.004017571957811027	0.007046004513540538	0.006137053215352353	0.014091422812198289	0.009898468911414967	0.019203673037700354	0.012732646272052079	0.038593709368724374	0.0118976142158499	0.0351078927773051	0.06909656115341932	0.014111825919244439	0.004854188370227348	0.033014470460038865	0.00937683437630767
1:Del:C:2	0.0012369033379945903	0.0002847848797955521	0.0012523003284877633	0.007986829215078615	0.004168467912677443	0.005079898292460711	0.005264310746715637	0.007124824242200702	0.0033460838402970695	0.011778232175856829	0.00978903855662793	0.01869116288708028	0.006233825126837473	0.01190321274640155	0.03501001763157546	0.008525862682763546	0.004284594975906657	0.011638893744034248	0.006543623350880807
1:Del:C:3	0.002198694785183761	0.00024109042085910916	0.0015642935756477528	0.031104047377593817	0.004023425283667166	0.004137555960405734	0.004613105253797585	0.004196460006151028	0.00012295791355427355	0.00735284780850634	0.005176278056437695	0.009225683390686754	0.00443039896665141	0.006161564671201631	0.007216424985070944	0.011127953011018689	0.0036118008959601868	0.00625511627955575	0.00547519607214781
1:Del:C:4	0.005729623069782974	0.00038401743954523225	0.003233410227257991	0.09419512965716421	0.0012864155021088664	0.001100286409491673	0.002963087331586394	0.0021641348832054062	0.0007737149921780428	0.003399375639273785	0.003702658720169438	0.004733194918628669	0.003381944045249838	0.005937751846597621	0.004170045453155353	0.002777148907687845	0.004553041387298435	0.000573076813069946	0.008323129297600075
1:Del:C:5	0.013876916856243043	0.004418431881890683	0.013478997896309011	0.20989649859257042	0.0030798152157956336	0.006539384028174027	0.003473591291694902	0.005964127357583493	0.005287441243096964	8.572453971396499e-05	0.017531315719296572	3.390368589393233e-05	0.003286755684384843	0.0019431723021966717	0.003921137155448519	0.0029321958053878916	0.012212470017575755	0.0005590703235202455	0.022137542972168377
1:Del:T:0	0.0037470841302274494	0.0010721913089219014	0.0025778811333020714	0.003602848390037252	0.0032434786079102197	0.009679280726704747	0.011807694736053236	0.021348020340083165	0.013754624123248505	0.013297671554610133	0.029679643120762194	0.12582032058387996	0.016451403027167542	0.03490000617457554	0.05558895595604554	0.04196188803063706	0.01563636862760177	0.032213471249560824	0.01922446880274947
1:Del:T:1	0.0019584889241377823	0.0006579107083234703	0.0021850330934285013	0.00510285162483342	0.005035303217373439	0.00516715927165933	0.017519009618554265	0.010181137229374145	0.00724542841547418	0.004746433638210874	0.020021754572903772	0.16837956491857767	0.0112632220546584	0.023927052057670154	0.018491889243836112	0.018144712838016108	0.012006706411484628	0.0024890355683976394	0.019459890348662155
1:Del:T:2	0.0030570111401175383	0.0003677699295894854	0.002515739618393127	0.00936811678489903	0.006690970501149422	0.007438488299085293	0.011514650163298938	0.017460524067573716	0.004008105709726806	0.01567031499464065	0.027098338262876494	0.06882702216273173	0.014639039492703888	0.022344377678819	0.02955794710549526	0.022407736295717767	0.01025865387520753	0.023617939995601772	0.013557595136880991
1:Del:T:3	0.015537759388098493	0.0007069709549978142	0.008426368834043386	0.029203212623251602	0.005596425491967238	0.009197541220928543	0.009621445598895662	0.023162937065353616	0.00974423855368741	0.021516504462342708	0.0374843473371584	0.1018861379183545	0.011926450527361078	0.02719710336823482	0.048726269602775575	0.0067439466912765055	0.01610896295751445	0.006396853067858501	0.02374470830061
