Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
SP1086	12	5	25	80	42	87	10	0	3	39	56	0	0	45	13	21	13	4
SP1003	79	19	13	138	49	70	0	0	0	92	57	29	0	0	40	26	32	4
SP1677	23	0	11	106	54	211	10	7	0	67	52	12	0	5	19	22	24	9
SP1305	85	47	0	130	518	121	122	0	23	82	103	0	0	0	490	57	28	20
SP963	14	0	0	86	84	82	3	0	0	28	80	43	32	36	7	14	11	10
SP1144	2	35	9	23	13	107	35	0	1	8	31	0	0	51	31	17	14	12
SP1132	29	3	0	97	63	329	6	0	4	0	180	96	0	0	4	6	19	4
SP1712	1	18	7	156	11	0	0	8	2	11	44	0	14	14	0	7	10	5
SP1114	11	6	22	114	0	326	0	10	0	15	0	31	0	0	22	11	0	10
SP1431	33	3	11	213	9	0	11	1	0	4	12	38	0	16	0	36	9	0
SP975	63	19	6	141	541	0	145	0	16	35	21	0	0	33	295	0	35	9
SP1059	56	0	12	133	71	281	41	0	2	133	140	30	0	26	0	57	23	98
SP1419	95	25	11	150	27	23	39	0	0	29	55	5	0	222	16	7	72	3
SP1009	7	24	21	105	30	50	11	0	8	37	37	118	0	0	0	37	12	12
SP1724	12	14	9	52	14	67	3	1	0	19	31	37	0	0	9	18	1	6
SP96136	73	0	17	67	235	103	68	0	0	54	124	0	134	9	213	20	28	7
SP967	54	0	1	151	13	30	0	0	0	8	0	8	0	6	1	17	4	0
SP1781	58	71	8	347	16	53	3	10	0	11	109	13	0	44	25	19	23	6
SP1174	331	120	7	276	30	13	28	0	0	16	12	29	0	105	0	0	35	16
SP953	76	30	39	162	0	244	0	20	2	79	79	0	0	83	48	9	6	15
SP1377	0	54	0	128	22	36	9	0	1	7	20	17	0	54	2	18	6	7
SP1365	40	50	0	168	142	59	3	0	3	51	55	132	0	10	27	0	15	3
SP1491	64	40	3	76	136	6	53	0	0	0	7	56	0	22	162	14	13	4
CPCT02060013T	85	0	17	61	693	58	86	37	64	77	56	108	0	203	0	6	103	16
CPCT02100026T	104	59	2	73	21	82	40	7	55	26	11	40	0	0	22	14	7	10
CPCT02070020T	233	309	9	33	41	38	94	27	62	88	144	0	0	48	67	71	72	28
CPCT02030269T	27	4	5	108	16	0	13	40	43	13	17	30	18	46	28	11	13	0
CPCT02010944TIII	53	57	33	69	22	132	26	81	15	42	40	0	0	58	16	34	30	11
CPCT02020867T	35	88	3	24	120	0	301	55	59	39	50	81	0	0	0	42	9	325
CPCT02070272T	391	385	0	193	465	114	208	107	122	55	16	0	87	102	336	54	21	20
CPCT02020648T	43	54	28	78	38	142	30	104	33	37	119	0	0	50	64	4	34	6
CPCT02020362T	89	247	20	222	60	53	0	212	55	27	64	0	0	0	6	156	18	28
CPCT02440020T	78	508	5	239	56	36	33	55	30	28	38	76	72	0	35	22	14	16
CPCT02210077T	162	270	11	38	0	219	21	48	22	48	54	0	136	0	31	59	21	36
CPCT02070445T	193	214	15	65	1	0	10	85	13	27	121	0	0	60	20	14	17	19
CPCT02020894T	111	95	11	12	20	54	3	75	0	19	29	36	157	0	35	27	16	21
CPCT02020896T	153	19	13	50	15	18	0	0	26	23	52	97	0	0	0	18	26	17
CPCT02140101T	46	341	59	186	79	247	29	90	41	77	199	0	0	18	10	493	47	31
CPCT02210040T	249	219	14	223	0	14	0	34	20	175	16	0	0	43	19	7	27	51
DRUP01010020T	51828	12195	8341	414	0	317	5	0	167	460	0	172	0	0	0	0	212	52
CPCT02020902T	125	13	0	109	232	32	86	146	41	10	54	0	52	150	235	24	30	44
CPCT02070443T	185	129	0	25	8	4	49	115	9	12	47	9	119	97	0	9	34	12
CPCT02080295T	236	550	29	177	23	12	28	31	34	277	21	0	130	17	23	21	15	23
CPCT02020916T	58	8	46	12	32	215	25	0	32	22	48	0	78	139	15	187	24	26
CPCT02020915T	66	31	10	123	9	12	0	91	12	0	13	0	107	16	18	9	23	20
CPCT02160036T	46	89	15	88	0	0	25	50	82	13	23	0	0	31	61	5	32	6
CPCT02120184T	118	95	0	39	253	105	17	71	3	71	70	138	0	0	34	53	48	25
CPCT02050315T	3	23	3	74	6	20	8	101	51	11	21	101	0	0	0	25	14	10
CPCT02120182T	49	84	12	93	26	69	20	44	26	23	42	0	0	52	30	23	18	19
CPCT02020940T	4	0	0	55	44	15	0	21	18	36	5	174	0	0	11	66	39	7
CPCT02010712T	401	446	32	539	0	3	17	116	111	51	8	99	0	0	52	9	34	175
CPCT02070294T	26	81	0	8	0	0	7	53	88	0	24	60	0	155	46	2	31	20
CPCT02070299T	401	144	35	193	37	382	10	106	97	69	67	0	0	37	39	35	20	25
CPCT02050437T	294	605	16	127	11	47	60	9	47	50	84	116	0	0	12	77	0	39
CPCT02050436T	42	31	120	81	103	724	22	173	38	40	265	46	0	0	22	0	33	22
CPCT02020952T	267	182	20	123	18	0	23	118	6	25	138	53	0	0	20	23	45	29
CPCT02020642TII	361	278	26	0	840	67	574	147	136	137	199	0	0	0	437	38	0	347
CPCT02020958T	19	37	79	36	7	352	14	141	15	27	50	0	0	0	33	20	19	22
CPCT02020684T	0	0	3	16	63	20	0	5	95	5	6	12	0	25	24	18	6	1
WIDE01010111T	11	187	32	112	19	291	152	90	18	48	34	41	0	110	98	47	29	0
CPCT02020958TII	18	32	90	49	19	352	10	141	18	25	46	0	0	20	17	16	19	20
CPCT02020972T	543	271	38	180	28	25	76	89	68	7	262	47	260	0	2	37	7	23
CPCT02020971T	23	34	8	62	15	124	13	5	19	13	28	16	62	33	3	22	0	3
CPCT02330103T	186	146	0	0	37	0	20	0	66	6	54	87	292	18	53	61	32	12
WIDE01010148T	327	226	11	233	62	2	31	48	36	394	6	36	228	11	2	27	43	22
CPCT02070480T	75	15	0	36	30	17	53	0	33	18	13	24	93	42	4	13	15	32
CPCT02360014T	19	27	13	281	338	17	1345	29	310	39	16	3	27	51	95	0	7	195
CPCT02140107T	104	179	13	0	434	43	122	53	44	2	103	76	0	0	487	78	9	31
CPCT02070485T	324	256	23	5	63	99	69	56	37	30	116	0	0	198	59	63	56	11
WIDE01010202T	206	220	9	90	18	56	27	49	35	43	50	36	57	96	13	0	38	35
CPCT02020583TII	318	588	9	254	28	106	20	111	73	54	143	0	0	90	44	43	32	18
CPCT02020703T	13	116	11	26	104	219	32	122	180	18	95	0	0	113	24	18	27	14
CPCT02020973T	84	202	39	25	21	259	15	14	38	52	32	31	112	0	8	21	30	15
CPCT02020940TII	12	0	5	157	19	2	3	43	30	47	17	199	0	0	29	78	49	3
WIDE01010230T	24	113	16	114	0	0	5	31	22	7	33	65	0	0	5	22	2	12
CPCT02320002T	74	85	2	0	100	0	38	99	72	32	27	37	0	131	0	27	50	10
CPCT02050351T	34	42	0	79	8	30	13	0	54	5	29	50	0	29	56	58	24	3
CPCT02020979T	81	114	2	104	28	17	43	12	20	11	8	0	57	68	26	14	24	11
CPCT02080315T	77	154	22	73	257	152	75	101	50	44	78	0	0	22	155	51	20	64
CPCT02120203T	50	12	18	125	296	43	82	200	13	7	101	0	0	0	241	33	23	52
DRUP01050023T	73	71	12	150	15	105	16	36	138	29	40	0	28	0	34	27	16	3
CPCT02020983T	60	37	0	162	3	0	7	14	37	3	12	62	130	0	23	20	3	11
CPCT02140034T	2	0	15	35	99	52	2	32	113	80	14	127	0	0	20	34	39	8
WIDE01010280T	225	167	15	43	19	15	20	38	10	32	13	53	0	48	0	15	12	15
CPCT02020984T	1	11	15	28	32	98	15	39	27	0	69	82	154	0	18	28	28	13
CPCT02070154TII	139	263	0	232	796	100	70	0	979	66	26	0	0	0	28	15	15	14
CPCT02020986T	51836	765	10301	1295	14	0	10	0	143	375	49	0	1550	0	0	0	0	12
CPCT02020988T	180	126	4	76	22	12	40	0	38	33	48	39	108	119	47	53	46	18
CPCT02050445T	54	104	6	153	0	90	20	33	13	23	2	51	0	0	14	19	7	14
CPCT02070331T	207	160	0	195	0	4	11	21	27	21	6	0	120	23	10	7	32	18
CPCT02020989T	79	79	3	153	0	21	22	15	44	5	58	38	71	0	28	21	6	64
CPCT02050356T	53	0	0	25	30	13	30	16	133	11	8	0	153	31	18	42	0	29
WIDE01010412T	173	36	1	145	65	18	58	46	30	14	32	116	0	66	0	3	33	52
CPCT02140110T	40	129	4	28	6	71	8	31	7	31	3	71	89	0	0	0	0	10
CPCT02020717T	127	44	2	0	365	0	78	18	110	1318	6	0	91	0	0	0	32	2
CPCT02130095T	33	82	0	19	7	70	36	94	34	26	19	28	0	0	25	35	1	20
DRUP01030012T	626	876	23	21	52	101	21	0	102	83	115	99	0	139	23	34	97	15
CPCT02070336T	71	0	0	2	2744	233	454	0	76	207	20	542	0	0	0	0	146	0
CPCT02070332T	3	26	11	5	263	0	49	3	102	0	2	0	0	0	240	0	0	12
CPCT02050371T	37	57	12	178	23	14	35	107	57	6	156	0	26	0	25	13	29	14
