MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
1:Del:C:0	7.03E-05	7.86E-04	2.95E-03	5.53E-03	4.56E-03	3.59E-03	1.89E-03	4.07E-03	1.72E-03	1.29E-03	4.47E-03	4.78E-03	2.86E-03	8.67E-04
1:Del:C:1	6.64E-05	5.23E-04	4.86E-03	5.43E-03	3.69E-03	5.46E-03	1.03E-03	4.47E-03	2.84E-03	7.65E-04	4.69E-03	2.59E-03	2.09E-03	6.19E-04
1:Del:C:2	7.26E-05	1.93E-04	2.92E-03	3.33E-03	3.04E-03	3.40E-03	6.18E-04	2.60E-03	1.76E-03	1.68E-04	2.98E-03	2.26E-03	1.50E-03	6.46E-04
1:Del:C:3	1.35E-04	2.02E-04	1.67E-03	1.97E-03	2.16E-03	1.75E-03	5.56E-04	1.18E-03	9.65E-04	1.57E-04	1.61E-03	1.71E-03	1.33E-03	5.29E-04
1:Del:C:4	1.73E-04	6.65E-05	1.87E-03	1.19E-03	1.63E-03	1.40E-03	2.99E-04	7.21E-04	7.39E-04	2.44E-04	1.72E-03	8.84E-04	3.52E-04	6.08E-04
1:Del:C:5	5.78E-04	2.96E-05	8.80E-04	1.05E-03	1.66E-03	8.38E-04	5.46E-05	1.92E-04	1.87E-04	1.26E-04	3.24E-03	9.70E-04	6.35E-04	4.49E-04
1:Del:T:0	5.79E-05	4.68E-04	2.37E-03	4.55E-03	6.44E-03	4.11E-03	2.05E-03	5.36E-03	2.87E-03	9.74E-04	4.84E-03	2.10E-03	1.44E-03	1.09E-03
1:Del:T:1	5.74E-05	2.64E-04	1.98E-03	3.73E-03	4.37E-03	2.20E-03	1.65E-03	3.63E-03	1.69E-03	9.97E-05	3.18E-03	3.27E-03	1.36E-03	8.74E-04
1:Del:T:2	9.64E-05	1.84E-04	2.15E-03	4.58E-03	4.86E-03	2.64E-03	1.78E-03	3.90E-03	1.50E-03	5.08E-04	4.15E-03	2.96E-03	2.19E-03	4.77E-04
1:Del:T:3	2.52E-04	5.94E-04	1.84E-03	4.62E-03	4.86E-03	3.00E-03	1.61E-03	2.15E-03	1.41E-03	8.91E-04	3.35E-03	3.77E-03	2.10E-03	1.16E-03
1:Del:T:4	2.26E-04	3.33E-04	1.23E-03	2.80E-03	3.16E-03	2.07E-03	8.77E-04	1.95E-03	1.17E-03	7.66E-04	2.71E-03	1.91E-03	1.72E-03	1.10E-04
1:Del:T:5	2.54E-03	9.59E-04	8.54E-04	2.17E-03	2.53E-03	2.24E-03	1.39E-03	1.87E-03	1.36E-03	6.92E-04	3.82E-03	3.92E-03	2.23E-03	1.27E-03
1:Ins:C:0	4.10E-05	8.69E-05	5.07E-04	6.00E-04	1.06E-03	1.79E-03	5.21E-04	3.98E-04	1.90E-04	3.56E-04	1.19E-03	1.05E-03	5.36E-03	5.02E-04
1:Ins:C:1	1.86E-05	6.98E-05	2.67E-04	5.03E-04	1.13E-03	5.40E-04	2.23E-04	6.44E-04	4.40E-04	8.48E-05	7.58E-04	8.91E-04	1.26E-03	3.43E-04
1:Ins:C:2	1.75E-05	3.43E-05	1.61E-04	4.56E-04	4.79E-04	3.71E-04	3.19E-04	5.38E-04	3.65E-04	1.03E-04	6.72E-04	5.55E-04	1.10E-03	3.61E-04
1:Ins:C:3	4.42E-05	5.96E-05	3.15E-04	3.39E-04	1.06E-03	3.85E-04	3.22E-04	2.47E-04	2.63E-04	7.59E-05	6.32E-04	6.29E-04	7.51E-04	3.12E-04
1:Ins:C:4	7.75E-05	1.04E-04	2.76E-04	4.28E-04	4.46E-04	3.92E-04	1.52E-04	2.02E-04	5.34E-05	1.40E-04	6.27E-04	2.84E-04	6.12E-04	7.18E-05
1:Ins:C:5	3.41E-04	9.31E-04	4.15E-04	3.30E-04	3.09E-03	4.02E-03	4.27E-05	8.63E-04	1.19E-05	2.18E-04	2.58E-03	9.58E-04	4.71E-03	1.32E-03
1:Ins:T:0	3.21E-05	9.93E-05	4.27E-04	1.42E-03	1.43E-03	1.72E-03	1.79E-04	5.44E-04	9.36E-04	3.85E-04	1.14E-03	1.45E-03	3.81E-03	8.87E-04
1:Ins:T:1	3.95E-05	2.61E-04	8.73E-04	1.77E-03	2.03E-03	1.24E-03	4.78E-04	1.58E-03	4.42E-03	4.07E-04	3.16E-03	3.37E-03	1.10E-03	6.67E-04
1:Ins:T:2	1.57E-04	2.66E-04	9.00E-04	2.59E-03	1.58E-03	1.01E-03	4.67E-04	1.26E-03	2.85E-03	6.34E-06	2.35E-03	5.52E-04	2.43E-03	4.23E-04
1:Ins:T:3	8.42E-05	3.56E-04	7.03E-04	1.05E-03	1.46E-03	1.22E-03	4.87E-04	9.10E-04	1.44E-03	1.58E-04	1.20E-03	1.03E-03	1.49E-03	5.55E-04
1:Ins:T:4	6.75E-05	3.06E-04	6.14E-04	1.15E-03	1.37E-03	9.14E-04	3.64E-04	8.73E-04	6.98E-04	3.46E-04	1.46E-03	1.07E-03	6.23E-04	2.94E-04
1:Ins:T:5	2.50E-03	3.54E-03	8.26E-03	4.19E-03	6.10E-03	1.69E-02	2.30E-03	7.37E-04	5.53E-03	6.20E-03	1.25E-02	3.19E-03	1.63E-02	2.87E-03
2:Del:R:0	1.91E-05	3.63E-04	1.05E-03	1.54E-03	1.54E-03	9.36E-04	5.15E-04	2.15E-03	7.55E-04	4.72E-04	1.71E-03	1.68E-03	1.17E-03	8.41E-04
2:Del:R:1	7.18E-05	1.63E-04	7.93E-04	1.74E-03	2.22E-03	1.47E-03	4.21E-04	1.82E-03	6.36E-04	6.53E-04	2.36E-03	2.79E-03	8.68E-04	5.06E-04
2:Del:R:2	4.38E-05	1.34E-04	4.33E-04	7.76E-04	9.26E-04	7.63E-04	1.04E-04	9.01E-04	5.59E-04	2.73E-04	8.48E-04	1.09E-03	6.35E-04	3.39E-04
2:Del:R:3	5.83E-05	6.82E-05	1.48E-04	2.82E-04	5.23E-04	4.72E-04	7.72E-05	2.50E-04	2.17E-04	1.50E-04	5.89E-04	3.87E-04	2.42E-04	3.18E-04
2:Del:R:4	3.46E-05	4.37E-06	9.94E-05	1.46E-04	3.16E-04	1.90E-04	5.37E-05	1.37E-04	4.26E-05	3.43E-05	2.82E-04	3.31E-04	5.88E-04	2.53E-04
2:Del:R:5	4.63E-05	4.55E-05	6.24E-05	9.98E-05	1.36E-04	1.90E-04	2.83E-05	6.03E-05	1.17E-04	0.00E+00	2.35E-04	1.92E-04	2.28E-04	3.78E-04
3:Del:R:0	1.14E-05	7.18E-05	7.49E-04	1.12E-03	1.19E-03	6.04E-04	8.23E-04	1.82E-03	4.69E-04	4.19E-04	1.33E-03	1.05E-03	8.87E-04	4.39E-04
3:Del:R:1	4.93E-05	3.70E-04	4.28E-04	1.52E-03	1.44E-03	1.81E-03	3.52E-04	9.78E-04	3.74E-04	6.10E-04	1.78E-03	3.42E-03	3.50E-04	4.63E-04
3:Del:R:2	2.46E-05	1.04E-04	2.62E-04	5.69E-04	4.63E-04	5.35E-04	7.62E-05	8.09E-05	1.85E-04	1.43E-04	6.01E-04	1.18E-03	3.65E-04	2.08E-04
3:Del:R:3	1.13E-05	6.95E-05	5.54E-05	2.06E-04	2.95E-04	2.39E-04	3.35E-05	6.04E-05	6.27E-06	3.96E-05	2.37E-04	3.62E-04	4.94E-04	9.77E-05
3:Del:R:4	1.22E-05	1.35E-05	4.50E-05	6.61E-05	1.09E-04	6.32E-05	0.00E+00	2.46E-05	6.40E-05	8.11E-05	9.92E-05	1.84E-04	1.53E-04	8.03E-05
3:Del:R:5	1.16E-05	1.08E-05	6.07E-06	2.45E-05	5.85E-05	5.04E-05	0.00E+00	5.02E-06	2.54E-05	5.57E-06	5.25E-05	4.83E-05	1.33E-04	7.31E-05
4:Del:R:0	5.43E-06	1.00E-04	1.66E-04	5.69E-04	8.24E-04	3.58E-04	5.79E-04	1.33E-03	3.19E-04	3.19E-04	4.86E-04	1.13E-03	6.67E-04	4.08E-04
4:Del:R:1	3.55E-05	2.36E-04	5.41E-04	1.13E-03	1.43E-03	1.28E-03	3.56E-04	7.47E-04	5.26E-04	2.53E-04	1.67E-03	2.92E-03	7.17E-04	4.60E-04
4:Del:R:2	1.94E-05	7.85E-05	7.78E-05	5.12E-04	4.38E-04	4.59E-04	0.00E+00	1.81E-04	3.71E-05	1.91E-05	8.00E-04	1.36E-03	1.60E-04	2.16E-04
4:Del:R:3	1.08E-05	1.51E-05	4.93E-05	1.42E-04	2.41E-04	1.86E-04	2.37E-05	1.02E-04	3.18E-05	7.53E-05	2.00E-04	4.35E-04	3.38E-04	1.95E-04
4:Del:R:4	3.57E-06	3.50E-05	4.55E-05	9.91E-05	1.01E-04	1.13E-04	0.00E+00	3.31E-05	6.78E-05	1.92E-05	1.13E-04	2.12E-04	1.15E-04	2.84E-05
4:Del:R:5	3.81E-06	2.47E-06	4.69E-06	6.12E-05	5.59E-05	4.45E-05	2.39E-06	1.04E-05	4.43E-06	8.75E-06	9.23E-05	1.05E-04	1.49E-04	5.39E-05
5:Del:R:0	2.90E-05	2.64E-04	1.41E-03	3.83E-03	3.87E-03	2.06E-03	2.94E-03	3.75E-03	2.34E-03	3.40E-03	2.75E-03	2.97E-03	2.45E-03	2.93E-03
5:Del:R:1	1.51E-05	1.86E-04	1.76E-04	7.13E-04	4.71E-04	7.18E-04	1.29E-04	1.66E-04	1.77E-04	4.27E-04	7.10E-04	1.52E-03	8.26E-04	5.30E-04
5:Del:R:2	7.67E-06	2.69E-05	3.28E-05	1.71E-04	1.32E-04	1.89E-04	2.11E-05	8.74E-05	7.84E-06	8.72E-05	2.09E-04	2.43E-04	5.03E-04	1.51E-04
5:Del:R:3	2.77E-06	2.93E-05	1.50E-06	9.59E-06	1.72E-06	5.46E-05	2.45E-06	2.70E-05	2.06E-09	8.15E-06	2.57E-05	1.24E-04	1.97E-05	6.74E-05
5:Del:R:4	1.74E-06	2.05E-06	1.71E-05	3.94E-06	1.23E-05	2.30E-05	2.61E-10	1.77E-05	3.13E-06	1.25E-05	2.98E-05	2.72E-05	4.77E-05	3.49E-05
