Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
SP1086	13	0	28	90	41	102	74	3	9	40	23	17	12	3
SP1003	68	18	7	152	57	93	64	0	0	92	31	38	28	0
SP1677	19	0	7	101	58	260	35	1	9	65	23	22	22	10
SP1305	69	21	0	149	616	155	75	24	92	72	54	459	20	20
SP963	12	0	0	108	90	108	120	0	2	33	20	11	14	12
SP1144	11	13	12	43	13	132	33	1	38	8	18	37	18	12
SP1132	9	0	0	89	74	427	204	4	7	0	10	0	16	0
SP1712	0	27	0	170	10	8	58	4	0	9	9	1	7	5
SP1114	5	0	31	119	7	370	0	2	0	15	5	16	0	8
SP1431	27	9	13	236	13	0	20	0	14	5	53	0	6	0
SP975	65	0	0	176	616	0	0	17	125	30	0	292	33	5
SP1059	50	0	0	121	76	349	149	0	38	130	61	0	18	111
SP1419	140	0	23	216	20	14	130	0	45	44	13	35	99	0
SP1009	0	28	25	115	42	82	48	8	18	46	66	0	17	14
SP1724	8	26	9	42	18	88	30	0	5	21	28	10	1	7
SP96136	65	0	22	127	274	138	159	1	55	54	18	203	29	7
SP967	50	1	0	168	15	30	0	0	0	6	23	0	0	0
SP1781	39	77	4	383	19	68	156	1	1	8	19	22	14	5
SP1174	352	130	10	325	32	12	38	0	33	22	0	5	44	15
SP953	84	4	47	196	0	303	87	6	0	82	4	56	3	20
SP1377	5	56	0	153	23	42	32	0	11	10	29	6	8	6
SP1365	30	41	0	208	163	94	83	2	5	62	11	36	20	3
SP1491	69	31	4	99	168	17	2	0	51	0	23	169	20	3
CPCT02060013T	124	0	37	84	767	55	126	78	77	102	29	22	145	24
CPCT02100026T	106	74	0	63	28	108	0	58	43	26	20	28	8	11
CPCT02070020T	219	357	4	0	54	49	198	63	92	89	80	59	78	22
CPCT02030269T	34	9	13	137	19	0	47	55	17	20	25	36	20	0
CPCT02010944TIII	61	90	48	49	21	161	49	30	30	48	51	20	41	20
CPCT02020867T	35	46	0	66	137	2	75	64	307	41	44	0	10	404
CPCT02070272T	418	512	8	169	546	125	0	145	202	64	79	348	35	25
CPCT02020648T	39	83	36	65	41	183	168	54	29	41	1	66	42	16
CPCT02020362T	75	441	28	90	58	63	73	88	0	32	224	11	22	52
CPCT02440020T	55	711	13	161	64	65	35	29	39	38	47	50	22	12
CPCT02210077T	165	383	18	0	1	279	34	27	25	51	84	37	29	43
CPCT02070445T	186	280	20	38	0	0	199	24	8	35	13	22	21	28
CPCT02020894T	121	169	26	30	21	81	52	14	8	30	54	47	31	37
CPCT02020896T	151	9	13	65	24	40	83	27	2	29	32	0	32	20
CPCT02140101T	17	409	72	102	79	263	199	49	30	65	637	10	33	28
CPCT02210040T	246	276	16	216	0	15	21	21	0	184	4	27	24	61
DRUP01010020T	51365	12679	9910	0	0	0	0	0	0	209	0	0	0	0
CPCT02020902T	166	46	9	134	274	37	105	73	84	24	47	252	56	76
CPCT02070443T	222	243	4	13	0	9	112	30	61	30	35	12	63	29
CPCT02080295T	223	736	44	127	19	22	15	30	32	298	26	43	14	18
CPCT02020916T	97	0	69	28	31	241	51	36	31	27	263	27	38	28
CPCT02020915T	72	100	23	142	6	20	36	30	2	6	25	25	34	39
CPCT02160036T	46	131	19	69	3	4	37	94	25	16	7	67	40	8
CPCT02120184T	115	148	0	0	283	151	86	13	18	86	93	42	67	38
CPCT02050315T	1	75	9	49	7	45	45	74	18	24	60	9	29	26
CPCT02120182T	53	95	17	102	26	83	59	35	20	26	29	37	22	26
CPCT02020940T	6	0	1	65	58	42	12	23	10	53	124	27	61	13
CPCT02010712T	379	618	33	486	0	24	0	123	23	57	23	75	35	217
CPCT02070294T	63	86	12	30	0	0	82	109	15	18	19	71	63	33
CPCT02070299T	414	210	36	138	42	477	31	119	12	68	45	45	22	38
CPCT02050437T	270	762	15	28	20	79	89	35	70	59	113	21	4	29
CPCT02050436T	20	76	135	6	104	925	267	71	23	34	0	26	33	42
CPCT02020952T	244	266	23	83	20	3	222	23	25	33	37	17	52	42
CPCT02020642TII	345	274	16	0	960	94	224	158	545	126	4	402	0	439
CPCT02020958T	19	64	102	0	2	446	14	41	18	28	27	40	26	44
CPCT02020684T	5	0	6	12	72	23	9	101	0	6	25	29	10	1
WIDE01010111T	30	237	53	91	27	366	11	33	172	59	79	112	49	0
CPCT02020958TII	21	77	117	0	13	444	14	44	15	28	24	26	28	41
CPCT02020972T	512	426	46	193	24	72	405	86	79	14	60	9	8	29
CPCT02020971T	30	39	16	91	16	156	32	22	17	15	36	9	1	3
CPCT02330103T	206	239	9	65	44	18	111	73	27	21	110	78	56	13
WIDE01010148T	333	367	23	262	64	9	26	44	37	431	53	21	49	26
CPCT02070480T	93	27	0	76	33	24	34	37	59	25	26	13	26	40
CPCT02360014T	20	9	15	331	404	4	0	331	1390	20	0	63	1	224
CPCT02140107T	95	178	11	0	527	80	96	54	103	1	101	481	14	37
CPCT02070485T	364	283	37	0	65	114	187	46	74	41	89	73	80	12
WIDE01010202T	226	282	20	97	16	76	91	43	33	57	7	28	57	45
CPCT02020583TII	306	797	7	133	27	140	191	83	21	62	53	56	40	15
CPCT02020703T	30	151	22	0	110	269	139	216	33	26	26	40	44	26
CPCT02020973T	86	281	51	1	25	334	0	40	20	56	34	17	40	13
CPCT02020940TII	9	11	8	179	30	32	34	40	17	65	141	46	71	10
WIDE01010230T	14	171	18	87	0	15	47	26	9	12	40	13	5	14
CPCT02320002T	107	109	19	0	104	0	81	98	46	51	51	17	80	21
CPCT02050351T	37	29	0	98	19	41	40	57	15	7	83	58	29	1
CPCT02020979T	96	163	9	115	32	17	18	22	47	17	27	31	34	12
CPCT02080315T	73	209	28	29	292	188	74	67	66	44	64	152	23	86
CPCT02120203T	41	79	21	89	337	68	132	49	71	10	44	236	28	91
DRUP01050023T	65	107	11	140	22	133	38	152	14	26	32	37	13	3
CPCT02020983T	62	89	4	206	7	15	31	44	12	10	45	33	10	16
CPCT02140034T	2	0	19	34	119	83	19	128	7	96	65	33	56	11
WIDE01010280T	238	222	22	20	26	24	27	14	27	44	32	0	24	20
CPCT02020984T	1	44	29	72	37	147	109	39	22	5	55	30	44	24
CPCT02070154TII	113	276	0	209	893	93	14	1026	25	48	0	46	0	0
CPCT02020986T	51856	0	12083	2175	0	42	48	60	0	86	0	0	0	0
CPCT02020988T	211	143	16	137	25	14	99	41	47	45	84	63	67	17
CPCT02050445T	48	133	9	153	4	110	0	17	25	28	33	17	8	18
CPCT02070331T	214	255	0	204	0	10	13	30	14	25	18	18	40	21
CPCT02020989T	71	98	2	190	6	38	87	47	22	6	28	30	4	78
CPCT02050356T	69	6	13	90	37	11	32	151	31	15	66	26	4	41
WIDE01010412T	189	20	5	199	76	35	77	40	69	27	21	7	50	73
CPCT02140110T	44	216	17	15	9	107	1	11	17	46	21	8	0	16
CPCT02020717T	123	78	4	0	387	0	2	122	69	1379	0	21	8	0
CPCT02130095T	34	115	5	0	8	92	20	52	42	32	58	29	7	35
DRUP01030012T	638	973	30	0	57	133	163	90	26	100	42	49	126	0
CPCT02070336T	66	1	0	0	3102	288	0	85	420	254	79	0	200	0
CPCT02070332T	1	22	8	2	309	0	0	107	32	0	0	227	0	8
CPCT02050371T	12	115	8	163	20	34	234	77	32	6	11	26	26	25
CPCT02100178T	44	192	42	148	40	15	139	111	87	28	30	27	60	51
CPCT02020767T	34	86	25	1	37	16	37	85	8	19	24	0	17	19
CPCT02140072T	284	334	44	138	86	204	159	69	22	25	87	0	41	35
CPCT02060112T	0	110	10	182	0	0	13	49	20	12	23	27	48	12
CPCT02170032T	34	150	6	0	7	37	19	43	4	12	29	5	30	8
DRUP01070046T	73	120	7	51	59	60	68	44	14	14	88	0	0	15
WIDE01010565T	51	82	18	0	888	53	43	18	148	74	144	0	77	32
CPCT02020787T	3	163	10	0	31	22	0	48	35	0	0	23	399	16
CPCT02020778T	549	132	0	89	62	36	69	39	31	109	337	7	27	75
CPCT02050385T	114	210	43	144	13	153	149	144	64	39	125	138	87	138
CPCT02130142T	69	197	70	16	47	175	33	110	27	43	72	17	48	33
CPCT02020800T	41	89	11	97	44	0	82	103	26	25	0	4	21	9
CPCT02050395T	57	154	47	103	18	68	5	91	152	29	41	136	80	37
DRUP01070048T	51	34	14	76	56	223	0	173	5	35	22	69	36	28
CPCT02020817T	43	172	0	78	0	62	23	33	0	37	15	36	22	18
CPCT02080263T	29	101	11	111	18	44	22	123	0	9	29	45	8	8
CPCT02010944T	56	93	44	39	27	161	44	66	38	48	50	12	47	20
CPCT02020832T	100	221	30	92	14	95	0	97	36	46	110	104	31	2
CPCT02050351TII	56	82	0	109	24	55	83	47	38	11	122	43	40	16
CPCT02120168T	5	52	0	47	40	22	86	33	13	26	47	32	19	20
CPCT02440016T	82	106	6	120	33	225	19	203	72	16	2	16	22	22
CPCT02010935T	78	217	8	2	84	182	156	64	31	40	5	0	14	36
CPCT02010963T	155	80	20	234	52	165	36	73	20	46	75	59	57	93
CPCT02070401T	117	69	0	99	18	80	46	73	19	16	99	30	22	9
CPCT02230056T	2618	0	0	2385	829	387	0	200	121	173	103	346	74	84
CPCT02040169T	10104	708	134	659	724	249	24	19	166	234	0	0	39	0
CPCT02020859T	53	35	12	0	59	41	89	102	9	35	15	7	11	19
CPCT02020633TII	176	52	0	91	80	213	138	97	47	56	170	30	16	44
CPCT02020621TII	33	163	32	17	112	553	14	123	0	40	43	34	11	18
CPCT02020586T	236	112	63	0	39	312	61	80	46	101	61	38	28	40
CPCT02070237T	602	153	29	231	116	65	160	53	30	58	32	2	112	11
CPCT02080273T	63309	19198	13558	522	0	105	0	0	0	371	0	0	0	0
CPCT02070410T	234	438	30	221	351	9	34	134	419	70	204	48	88	57
CPCT02020600T	378	117	89	141	41	503	86	88	27	96	37	16	32	49
CPCT02010963TII	152	159	26	140	39	162	0	62	9	37	168	27	50	425
CPCT02120056T	99	228	35	130	50	167	0	87	0	20	59	33	16	10
CPCT02020840T	21	180	31	13	37	152	0	3	21	28	51	27	26	23
CPCT02040164T	520	353	111	371	535	73	64	123	60	48	33	65	27	4
CPCT02070244T	16	0	2	201	223	210	38	47	6	214	249	19	112	6
CPCT02020619T	125	182	20	184	76	116	18	145	188	77	119	61	8	48
CPCT02020633T	95	56	15	68	2	169	64	51	39	59	26	34	20	36
CPCT02010663T	141	61	0	69	216	106	133	88	118	106	8	24	25	48
CPCT02020614T	325	251	21	151	30	220	94	43	48	86	77	41	60	46
CPCT02290020T	70	124	49	176	55	9	45	80	1	5	79	0	5	39
CPCT02020632T	386	63	34	457	87	2	182	159	38	15	0	18	111	87
CPCT02050103T	34	241	0	105	23	69	59	21	29	17	33	24	41	2
CPCT02100072T	43	73	0	185	27	43	77	18	19	13	0	0	16	70
CPCT02100076T	54	57	45	31	204	452	142	52	26	119	187	38	26	39
CPCT02100077T	77	64	9	55	35	73	22	27	16	13	1	50	21	1
CPCT02070154T	103	249	0	103	556	149	51	96	81	87	45	0	33	22
CPCT02330034T	50	56	23	55	156	303	0	36	49	38	17	18	964	25
CPCT02070156T	407	64	0	206	31	19	117	47	47	34	55	48	28	19
CPCT02070162T	151	57	0	209	34	12	95	58	21	32	17	1	4	37
CPCT02070172T	29	0	10	58	157	74	69	35	73	41	33	2	34	2
CPCT02070188T	142	253	22	92	116	28	82	47	60	63	52	46	79	51
CPCT02270003T	36	134	0	122	30	52	48	36	9	15	20	0	47	7
CPCT02160026T	67	0	47	82	184	278	24	36	13	31	88	22	42	79
CPCT02070149T	162	0	53	102	61	58	0	39	295	38	74	14	88	13
CPCT02080119T	378	56	15	231	63	84	154	44	49	27	35	63	101	6
CPCT02110041T	531	457	11	319	7	55	208	65	76	65	51	120	83	183
CPCT02050216T	47	203	46	80	36	9	25	70	0	32	21	16	7	32
CPCT02070194T	59	79	9	48	45	68	52	77	14	19	69	0	0	14
CPCT02330046T	14	36	30	90	107	81	112	116	21	5	21	27	44	24
CPCT02070204T	228	220	33	96	635	240	0	128	92	90	69	202	91	12
CPCT02120020T	238	455	28	54	61	69	127	109	30	71	41	78	83	34
CPCT02260007T	0	47	6	124	30	38	0	70	4	27	6	18	13	5
CPCT02020583T	328	995	10	133	7	158	269	89	35	83	32	81	59	49
CPCT02070041T	10055	3155	847	0	0	0	0	147	0	0	39	0	0	78
CPCT02070043T	112	284	12	144	321	162	104	20	42	100	73	3	56	27
CPCT02050086T	65	116	0	43	7	13	21	37	18	1	41	21	32	18
CPCT02070044T	20	35	13	77	25	21	71	49	9	5	2	23	7	20
CPCT02220005T	147	60	36	86	15	62	38	32	25	25	187	13	12	39
CPCT02070057T	578	252	1	241	0	56	298	33	26	88	315	199	48	26
CPCT02330015T	314	372	10	21	103	124	84	62	88	112	44	38	38	34
CPCT02140037T	27	139	36	75	46	198	12	44	23	32	41	17	22	19
CPCT02070096T	60	253	35	35	49	218	0	39	42	39	126	31	6	30
CPCT02040064T	12	67	13	7	34	0	64	43	5	32	33	5	59	18
CPCT02070094T	101	152	17	67	53	348	57	55	43	34	47	43	71	61
CPCT02070102T	122	71	24	34	51	53	60	28	14	43	73	0	61	31
CPCT02050124T	68	391	27	90	50	32	84	43	61	46	39	24	68	18
CPCT02060073T	13	9	7	28	15	0	2	41	5	3	23	25	14	7
CPCT02060082T	188	344	34	161	0	0	236	72	21	107	24	54	91	289
CPCT02040105T	83	125	0	49	22	317	2	46	27	50	68	21	23	10
CPCT02010665T	12	14	7	0	206	37	126	133	841	65	0	4	9	1
CPCT02020629T	153	202	2	127	79	10	38	66	137	4	57	32	18	13
CPCT02080164T	24	74	0	115	341	0	56	232	918	13	32	9	54	53
CPCT02120080T	211	145	14	81	9	17	42	22	21	29	18	24	12	19
CPCT02050289T	126	49	5	75	225	55	23	110	37	33	23	85	1	93
CPCT02050297T	85	126	3	145	0	146	32	65	17	28	38	21	14	16
WIDE01010621T	52	12	40	44	41	359	0	56	47	70	71	18	35	38
WIDE01010461T	33	24	52	225	13	260	27	40	22	49	17	31	4	13
CPCT02120204T	140	403	33	117	36	206	50	28	24	15	246	0	7	0
CPCT02120206T	28	159	17	183	12	18	37	34	14	52	38	23	0	13
WIDE01010518T	139	347	19	182	305	135	99	51	106	119	68	0	75	44
CPCT02020991T	366	266	22	129	3	15	133	78	20	7	0	29	46	438
WIDE01010609T	148	9	20	88	273	380	29	36	61	59	175	0	56	26
CPCT02020993T	75	159	14	137	15	14	33	9	18	11	44	16	0	12
WIDE01010723T	120	77	53	197	66	56	214	71	100	35	107	40	50	102
