Samples	ID83A	ID83B
SP29914	3.09E+00	3.09E+00
SP31046	1.12E+00	1.12E+00
SP31334	1.71E+00	1.71E+00
SP30011	1.94E+00	1.94E+00
SP31174	1.91E+00	1.91E+00
SP32662	2.32E+00	2.32E+00
SP31126	3.10E+00	3.10E+00
SP32958	2.42E+00	2.42E+00
SP31422	2.15E+00	2.15E+00
SP33496	2.92E+00	2.92E+00
SP34005	1.59E+00	1.59E+00
SP30113	5.24E+00	5.24E+00
SP31030	2.81E+00	2.81E+00
SP33544	2.75E+00	2.75E+00
SP33688	2.32E+00	2.32E+00
SP30907	1.53E+00	1.53E+00
SP30185	9.55E-01	9.61E-01
SP33837	1.34E+00	1.34E+00
SP31790	1.88E+00	1.88E+00
SP30143	1.78E+00	1.78E+00
SP30071	2.44E+00	2.44E+00
SP30493	1.55E+00	1.55E+00
SP32014	1.60E+00	1.60E+00
SP30332	3.47E+00	3.47E+00
SP31814	1.84E+00	1.84E+00
SP29987	3.21E+00	3.21E+00
SP30083	1.40E+00	1.41E+00
SP32742	2.40E+00	2.40E+00
SP115162	1.17E+00	1.17E+00
SP29940	2.00E+00	2.00E+00
SP30843	1.21E+00	1.21E+00
SP32222	1.67E-01	1.67E-01
SP31190	2.19E+00	2.19E+00
SP30077	2.74E+00	2.74E+00
SP32694	2.54E+00	2.54E+00
SP33774	1.46E+00	1.46E+00
SP30093	1.65E+00	1.65E+00
SP33094	2.61E+00	2.61E+00
SP30803	1.55E+00	1.55E+00
SP30675	3.19E+00	3.19E+00
SP31854	3.30E+00	3.30E+00
SP31606	1.46E+00	1.46E+00
SP30213	1.42E+00	1.42E+00
SP32894	1.40E+00	1.40E+00
SP117260	1.48E+00	1.48E+00
SP117124	2.12E+00	2.12E+00
SP117932	1.87E+00	1.87E+00
SP117189	8.89E-01	8.89E-01
SP117217	2.81E-01	2.81E-01
SP117779	1.60E+00	1.60E+00
SP117376	2.41E+00	2.41E+00
SP117681	9.09E-01	9.10E-01
SP117408	8.20E-01	8.20E-01
SP118015	1.67E+00	1.67E+00
SP117509	2.15E+00	2.15E+00
SP117482	1.68E+00	1.68E+00
SP117003	1.79E+00	1.79E+00
CPCT02060034T	8.17E-01	8.19E-01
CPCT02020356T	1.69E+00	1.69E+00
CPCT02050063T	1.30E+00	1.30E+00
CPCT02030275T	2.08E+00	2.08E+00
CPCT02070033T	1.66E+00	1.66E+00
CPCT02030294T	2.08E+00	2.08E+00
CPCT02070038T	1.97E+00	1.97E+00
CPCT02080179T	1.68E+00	1.68E+00
CPCT02010866TII	4.35E+00	4.35E+00
CPCT02330133T	3.19E+00	3.19E+00
CPCT02050427T	2.55E+00	2.55E+00
DRUP01030028T	4.85E+01	4.85E+01
CPCT02080193T	2.17E+00	2.17E+00
CPCT02030556T	3.28E+00	3.28E+00
CPCT02120111T	6.97E-01	6.97E-01
CPCT02050341T	1.64E+00	1.64E+00
WIDE01010210T	1.23E+00	1.23E+00
WIDE01010208T	1.45E+01	1.45E+01
CPCT02290033T	2.31E+00	2.31E+00
CPCT02070323T	1.46E+00	1.46E+00
WIDE01010450T	3.74E+00	3.74E+00
CPCT02090049T	1.78E+01	1.78E+01
CPCT02010866T	4.28E+00	4.28E+00
CPCT02070363T	1.86E+00	1.86E+00
CPCT02060222T	7.98E-01	7.99E-01
CPCT02080251T	4.05E+00	4.05E+00
CPCT02070384T	2.29E+00	2.29E+00
CPCT02070386T	3.85E+00	3.85E+00
DRUP01070051T	2.13E+00	2.13E+00
CPCT02080137T	2.46E+00	2.46E+00
CPCT02080157T	3.12E+01	3.12E+01
CPCT02330128T	1.56E+00	1.55E+00
CPCT02070030T	1.12E-01	1.12E-01
DRUP01050009T	2.70E+00	2.70E+00
CPCT02070225T	1.95E+00	1.95E+00
CPCT02070230T	1.37E+00	1.37E+00
DRUP01070022T	4.66E+00	4.66E+00
DRUP01050010T	6.44E-01	6.44E-01
CPCT02050161T	2.43E+00	2.43E+00
CPCT02050174T	1.51E+00	1.51E+00
CPCT02050172T	4.30E+00	4.30E+00
CPCT02050186T	3.17E+00	3.17E+00
DRUP01070016T	1.11E+00	1.11E+00
CPCT02080120T	1.89E+00	1.89E+00
CPCT02030351T	2.84E+00	2.84E+00
CPCT02060119T	1.64E+00	1.64E+00
CPCT02080136T	2.92E+00	2.92E+00
DRUP01010035T	5.85E-01	5.85E-01
CPCT02070039T	9.51E-01	9.51E-01
CPCT02030302T	1.70E+00	1.70E+00
CPCT02070053T	2.53E+00	2.53E+00
CPCT02070065T	1.17E+00	1.17E+00
DRUP01070003T	1.36E+00	1.36E+00
CPCT02070099T	7.29E-01	7.29E-01
CPCT02020473T	9.40E-01	9.40E-01
DRUP01070009T	2.78E+00	2.78E+00
CPCT02030324T	2.79E+00	2.79E+00
CPCT02030330T	3.36E+00	3.36E+00
CPCT02050151T	1.35E+00	1.35E+00
CPCT02070128T	1.12E+00	1.11E+00
CPCT02080099T	2.61E+00	2.61E+00
DRUP01030004T	2.46E+00	2.46E+00
CPCT02070265T	2.93E+00	2.93E+00
CPCT02080040T	3.01E+00	3.01E+00
WIDE01010705T	1.12E+00	1.12E+00
