Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L
SP85623	6	3	0	5	0	0	22	27	0	5	0	0
SP85491	0	1	0	0	0	10	9	32	24	0	22	0
SP87582	0	1	0	0	0	0	6	0	0	13	23	20
SP89090	3	0	8	3	0	0	0	31	27	0	0	0
SP85511	9	3	0	7	36	15	0	3	0	2	82	0
SP85952	0	0	6	1	6	42	0	0	0	0	0	0
SP85840	6	3	0	0	0	57	0	3	8	15	0	0
SP87675	0	7	12	0	0	29	8	0	0	11	0	0
SP85836	0	3	7	0	0	8	33	83	0	9	0	12
SP120767	0	7	0	8	17	49	29	24	0	4	0	0
SP105708	0	14	3	1	2	30	15	0	21	10	0	0
SP85818	0	0	0	0	0	0	0	0	0	2	0	0
SP105922	0	3	0	0	0	15	32	11	0	0	0	0
SP86118	0	13	0	0	0	12	33	0	33	3	0	0
SP86306	0	6	25	0	47	0	41	1	39	0	0	0
SP87099	0	18	7	2	8	0	45	0	0	11	10	2
SP87434	0	5	7	0	0	24	0	12	14	8	0	0
SP85864	3	0	5	2	0	0	0	0	0	14	0	0
SP105807	0	5	8	1	3	0	10	40	37	0	0	0
SP89291	0	3	8	0	0	0	31	0	0	10	0	0
SP88050	0	0	9	0	0	0	9	0	16	8	0	0
SP88593	0	3	5	0	0	46	3	0	0	15	0	0
SP88158	0	1	3	0	0	0	22	0	0	3	0	0
SP87534	1	3	14	6	112	29	0	8	0	12	0	0
SP88776	0	0	9	0	0	62	9	21	0	0	2	0
SP85725	3	0	13	0	0	0	0	66	2	0	0	0
SP86660	3	0	24	2	17	49	20	14	0	17	16	0
SP87903	0	0	5	0	0	2	0	11	11	0	19	0
SP88098	0	0	0	2	97	3	19	0	0	0	0	0
SP85487	23	0	44	0	110	21	0	5	1	7	30	0
SP105759	0	11	0	2	0	23	0	0	10	9	2	3
SP86775	0	0	0	2	0	0	0	12	0	3	3	0
SP88322	0	3	19	0	0	10	47	14	0	0	0	0
SP85582	0	4	10	1	0	3	1	6	0	18	44	0
SP87446	11	0	24	0	43	0	0	0	85	23	0	15
SP87337	0	2	0	0	0	0	8	21	0	6	3	0
SP86929	2	0	14	8	50	0	25	17	38	3	0	0
SP86130	0	7	7	1	0	27	0	12	0	19	0	0
SP86425	0	18	0	0	0	0	20	0	98	0	0	0
SP85495	0	4	1	0	0	9	0	0	0	15	0	0
SP85787	0	0	0	3	0	20	0	0	0	18	0	0
SP86836	0	0	0	0	0	0	0	0	0	16	0	0
SP89245	0	4	3	0	0	0	0	17	0	0	8	0
SP86989	1	9	0	3	46	18	38	20	0	12	4	0
SP88757	0	0	2	2	0	0	10	7	0	0	38	0
SP85733	0	6	0	6	0	24	57	0	0	6	0	0
SP85737	0	0	0	2	0	11	7	0	0	2	3	0
SP85647	0	3	1	0	0	0	0	6	40	17	0	0
CPCT02011098T	0	11	2	50	0	0	0	23	0	0	0	102
WIDE01010618T	0	91	799	63	0	32	20	2	0	1	8	0
WIDE01010310T	0	381	226	72	0	44	13	21	0	0	0	0
CPCT02080230T	12	0	118	174	0	0	0	28	57	0	0	0
CPCT02010914T	0	0	11	138	0	0	0	0	0	0	24	57
DRUP01010057T	152	8	13	217	258	18	0	2	15	18	0	0
CPCT02010635T	0	103	17	467	138	0	20	0	0	4	0	0
WIDE01010556T	2238	1600	0	88	0	0	0	0	0	0	0	0
WIDE01010540T	0	43	123	34	258	0	0	0	0	0	0	53
