cluster_id	size	retained	medoid	min_cos_sim	mean_cos_sim	max_cos_sim	members
87	1	FALSE	C.P.Biliary.5	NA	NA	NA	C.P.Biliary.5
88	1	FALSE	C.P.Biliary.6	NA	NA	NA	C.P.Biliary.6
89	2	FALSE	C.P.Skin.5	0.952	0.952	0.952	C.P.Bladder.3; C.P.Skin.5
90	1	FALSE	C.P.Bone.SoftTissue.4	NA	NA	NA	C.P.Bone.SoftTissue.4
91	4	TRUE	C.PH.Lung.5	0.9153	0.9471	0.9784	C.P.Breast.1; C.P.Esophagus.1; C.PH.All.20; C.PH.Lung.5
92	2	FALSE	C.P.CNS.5	0.9996	0.9996	0.9996	C.P.CNS.5; C.PH.CNS.10
93	3	TRUE	C.P.Colon.3	0.9482	0.9683	0.9945	C.P.Colon.3; C.PH.Colon.15; C.PH.Colon.20
94	2	FALSE	C.P.Colon.5	0.9406	0.9406	0.9406	C.P.Colon.5; C.PH.All.30
95	1	FALSE	C.P.Colon.9	NA	NA	NA	C.P.Colon.9
96	1	FALSE	C.P.Colon.10	NA	NA	NA	C.P.Colon.10
97	1	FALSE	C.P.Colon.11	NA	NA	NA	C.P.Colon.11
98	1	FALSE	C.P.Esophagus.5	NA	NA	NA	C.P.Esophagus.5
99	2	FALSE	C.P.Esophagus.7	0.9467	0.9467	0.9467	C.P.Esophagus.7; C.PH.Stomach.9
100	2	FALSE	C.P.Head.5	0.9812	0.9812	0.9812	C.P.Head.5; C.PH.Head.10
101	1	FALSE	C.P.Head.7	NA	NA	NA	C.P.Head.7
102	2	FALSE	C.P.Kidney.5	0.9889	0.9889	0.9889	C.P.Kidney.5; C.PH.Kidney.7
103	1	FALSE	C.P.Lung.4	NA	NA	NA	C.P.Lung.4
104	1	FALSE	C.P.Lung.6	NA	NA	NA	C.P.Lung.6
105	2	FALSE	C.P.Lymphoid.3	0.9994	0.9994	0.9994	C.P.Lymphoid.3; C.PH.Lymphoid.2
106	1	FALSE	C.P.Lymphoid.5	NA	NA	NA	C.P.Lymphoid.5
107	1	FALSE	C.P.MSI.5	NA	NA	NA	C.P.MSI.5
108	6	TRUE	C.PH.Uterus.7	0.9527	0.9739	0.9967	C.P.Myeloid.1; C.P.Ovary.3; C.P.Uterus.4; C.PH.Myeloid.1; C.PH.Ovary.5; C.PH.Uterus.7
109	1	FALSE	C.P.Myeloid.2	NA	NA	NA	C.P.Myeloid.2
110	2	FALSE	C.P.Ovary.4	0.9639	0.9639	0.9639	C.P.Ovary.4; C.P.Prostate.7
111	3	TRUE	C.P.Prostate.3	0.9652	0.9793	0.9958	C.P.Prostate.3; C.PH.Head.8; C.PH.Prostate.8
112	2	FALSE	C.P.Prostate.6	0.9959	0.9959	0.9959	C.P.Prostate.6; C.PH.Prostate.12
113	2	FALSE	C.P.Prostate.8	0.9772	0.9772	0.9772	C.P.Prostate.8; C.PH.Prostate.13
114	1	FALSE	C.P.Prostate.9	NA	NA	NA	C.P.Prostate.9
115	1	FALSE	C.P.Skin.6	NA	NA	NA	C.P.Skin.6
116	2	FALSE	C.P.Skin.7	0.9413	0.9413	0.9413	C.P.Skin.7; C.PH.Skin.15
117	1	FALSE	C.P.Stomach.6	NA	NA	NA	C.P.Stomach.6
118	2	FALSE	C.P.Stomach.7	0.9358	0.9358	0.9358	C.P.Stomach.7; C.PH.Biliary.7
119	2	FALSE	C.P.Thymus.2	0.9996	0.9996	0.9996	C.P.Thymus.2; C.PH.Thymus.5
120	1	FALSE	C.P.Uterus.7	NA	NA	NA	C.P.Uterus.7
121	3	TRUE	C.PH.Kidney.6	0.9339	0.9527	0.9778	C.PH.All.7; C.PH.Kidney.6; C.PH.Lung.11
122	3	TRUE	C.PH.MSI.11	0.9621	0.9707	0.9813	C.PH.All.27; C.PH.Colon.12; C.PH.MSI.11
123	2	FALSE	C.PH.Bone.SoftTissue.7	0.9687	0.9687	0.9687	C.PH.Bone.SoftTissue.7; C.PH.Stomach.7
124	2	FALSE	C.PH.CNS.9	0.9423	0.9423	0.9423	C.PH.CNS.9; C.PH.Pancreas.11
125	1	FALSE	C.PH.CNS.11	NA	NA	NA	C.PH.CNS.11
126	1	FALSE	C.PH.Lung.12	NA	NA	NA	C.PH.Lung.12
127	1	FALSE	C.PH.MSI.12	NA	NA	NA	C.PH.MSI.12
128	2	FALSE	C.PH.MSI.17	0.9503	0.9503	0.9503	C.PH.MSI.17; C.PH.Pancreas.8
129	1	FALSE	C.PH.MSI.21	NA	NA	NA	C.PH.MSI.21
130	1	FALSE	C.PH.Myeloid.3	NA	NA	NA	C.PH.Myeloid.3
131	1	FALSE	C.PH.Prostate.14	NA	NA	NA	C.PH.Prostate.14
132	1	FALSE	C.PH.Skin.12	NA	NA	NA	C.PH.Skin.12
