CV476.H.All.1	CV476.P.All.18	CV476.PH.All.4	CV476.PH.All.12	CV476.PH.All.6	CV476.H.MSI.4	CV476.H.All.8	CV476.P.Kidney.2	CV476.H.All.10	CV476.H.Lung.3	CV476.H.All.12	CV476.H.All.13	CV476.H.MSI.9	CV476.PH.Breast.5	CV476.PH.MSI.9	CV476.PH.All.29	CV476.H.MSI.6	CV476.PH.All.23	CV476.H.All.21	CV476.H.Colon.7	CV476.H.All.23	CV476.PH.All.32	CV476.PH.Prostate.7	CV476.PH.All.11	CV476.H.All.30	CV476.PH.All.34	CV476.H.All.32	CV476.H.Ovary.1	CV476.PH.Biliary.3	CV476.H.Kidney.1	CV476.H.Bladder.3	CV476.PH.Other.4	CV476.H.Bladder.9	CV476.H.Colon.13	CV476.PH.Other.3	CV476.PH.Breast.10	CV476.H.Prostate.2	CV476.PH.Liver.4	CV476.H.MSI.3	CV476.H.CNS.2	CV476.PH.CNS.2	CV476.PH.Colon.14	CV476.H.Colon.12	CV476.PH.MSI.8	CV476.PH.Lung.9	CV476.PH.MSI.16	CV476.PH.Prostate.13	CV476.PH.Skin.7	CV476.P.All.2	CV476.P.All.3	CV476.P.Other.12	CV476.P.All.10	CV476.P.All.11	CV476.P.Other.13	CV476.P.All.13	CV476.P.Other.8	CV476.P.Other.20	CV476.P.Other.25	CV476.P.Other.6	CV476.P.Other.10	CV476.P.Head.3	CV476.PH.Ovary.1	CV476.PH.Pancreas.6	CV476.P.Colon.6	CV476.PH.All.2	CV476.P.Other.7	CV476.P.Ovary.2	CV476.P.Uterus.5	CV476.PH.All.30	CV476.PH.Ovary.2
[Del(C):R1]A	0.00256500419174662	0.00238192577933584	0.00462119326296409	0.00211244795688046	0.00823671763404206	0.0171370686653872	0.00973134485611634	0.0236804091706481	0.00246317229726998	0.0219831166745049	0.00718044116327262	0.00629695975343609	0.0063748765403921	0.214437412518513	0.0642480883970732	0.0748735874246381	0.000565860258004419	0.0268759103425154	0.00172269565634852	0.00889819682680242	0.00261735271879039	0.0318000601446347	0.00795123531181233	0.00466704913509215	0.00207827052430221	0.00574656993982531	0.00768825853072868	0.0112773830699035	0.00531377093463131	0.00320877229322914	0.0124859360597196	0.00778549648561916	0.0078384012224942	0.0124881541455675	0.0227171034587582	0.0152436629609561	0.0655762040786362	0.0106987122708509	0.000341499759464836	0.00354093435521301	0.00547698431802213	0.00400148800303312	0.0209648526696742	0.00061265855210202	0.0149622655221411	0.00161888441383299	0.00486492263510921	0.0020194192922452	0.037978204217978	0.0203683950535838	0.00313794108595304	0.00133632593902221	0.02847443363122	0.00286624283937175	0.0435983086540255	0.025793192882969	0.00183854536308525	0.018073884993239	0.00142361995595803	0.00538703751775172	0.0150782021900949	0.0280658489648409	0.0317980381953364	0.00400441597222659	0.00560976319376089	0.000103817788218181	0.00128063098414496	0.0243624871976934	0.0074066057941342	0.0108947918874693
[Del(C):R1]T	0.00146534685085346	0.00342250914441988	0.00991033491979657	0.0014810730339242	0.0211789167535588	0.0304339616779119	0.0098537086423873	0.0304018251353097	0.00122033908434406	0.0264624143119563	0.0116236961856256	0.0138257890091686	0.00363303405508804	0.174509498627811	0.0397027442399485	0.166730798713853	0.00034969385546635	0.0246669536456557	0.00339105376140587	0.0129045487897299	0.0035292331552789	0.0190448631181814	0.0236708141172549	0.00292850268206558	0.00648958892440449	0.0121283859976939	0.00693943468863966	0.0276728097669729	0.0121211179654191	0.00260844471250674	0.0151252630461262	0.00810347304452335	0.0198631990698938	0.0101457973230303	0.027123732771343	0.0177247365614193	0.029931219339298	0.0180341161479643	0.00055254512909654	0.00532995890405886	0.00239692764947649	0.00223057678071219	0.0160541865653567	0.000878243789509348	0.0103239810442599	0.00266980013997882	0.0041004185408233	0.0053057930332987	0.0227821730518102	0.0337482239932739	0.00583122920362071	0.000361649149074877	0.0307719593366748	0.0110693134978917	0.124839609914836	0.00869964563030903	0.0030802630971975	0.0154808252816541	0.000341319360130344	0.0130303313672192	0.0201208607388444	0.0592415910274205	0.0487386889980995	0.0204032296207544	0.00723804028736082	0.000266049851899192	0.00165425635943199	0.0461051310351827	0.0229696427756295	0.00899312656852927
[Del(C):R2]A	0.000558102248398101	0.00153358247407604	0.00259772732872509	0.00104700387014528	0.00447337431828827	0.00861637519986806	0.00654982250404342	0.0176202781368905	0.00140624469736788	0.0102706179886736	0.00447208227559774	0.00787341728956525	0.00585987178306913	0.031098681898649	0.0870691234041489	0.0689127248546433	0.000236709087603959	0.0194713676618137	0.00125206364906718	0.00471674514473226	0.00110107585010903	0.099495021305059	0.00435312833315898	0.00360908816663064	0.00782038189592763	0.00129309833750034	0.00689988508278595	0.0057212610233584	0.0052774081264535	0.001287900753755	0.00996477133980435	0.0038693046359157	0.00213955686368354	0.00284243147199303	0.0192825163675784	0.0109930776208613	0.0891916689885629	0.00474809482370501	0.000137320885869783	0.00124739250279991	0.00387714058030601	0.000826465081798346	0.0109987870445148	0.000336447047278067	0.00554993537410569	0.00232469305336332	0.00226821970390972	0.000784302359981652	0.0598961956576895	0.00848000853759685	0.00324824405247718	7.48006646738804e-06	0.0152855333551303	0.0093934025997331	0.0170745843383263	0.00881858423707176	0.00165144539502781	0.00774335727346685	0.000657592199736764	0.00219094440840424	0.00810914593671602	0.0161470776197975	0.019896366522158	0.0125966900371211	0.00409331733550885	0.000539366932712236	0.000577182867165423	0.0128807702721833	0.00350218320639399	0.00632723570408913
[Del(C):R2]T	0.000453617971482674	0.00194918747405135	0.00368022486086251	0.000761206811085973	0.0087655582345989	0.0207870758753763	0.00719619002707316	0.0235307808827066	0.00177770019128191	0.0108698228327507	0.00438247093104703	0.00480237156449269	0.00538294091050393	0.0387654450302224	0.0537565307361317	0.0718305300380012	0.000456182218649785	0.0224182717529863	0.00201759388536963	0.00556963317075209	0.00078229476907376	0.0494860186748333	0.00723062823411265	0.00209202723352868	0.00170501279605885	0.00358625658728685	0.00426843068434797	0.012450812650034	0.00333876065284697	0.00132869542625949	0.0203810239685119	0.00414762373829119	0.00345456928842676	0.00213536323359716	0.0217636507047426	0.0104006045136181	0.048907197983931	0.00942762786238958	0.000300978397985399	0.00151769726540899	0.00295747875236529	0.000901246757313629	0.0115677137552796	0.000386795159674136	0.0103392513918309	0.00175020804513874	0.00120375832481352	0.00104381502725342	0.0282033743946405	0.0139251419093303	0.00136943354014775	0.000570318874268334	0.0206573201913088	0.00253662019604283	0.0471850145475375	0.0108282434345357	0.00115664841089115	0.00606680771727161	0.000335450436269923	0.00384737558610913	0.00908377357051995	0.0273646947581585	0.0280252961328718	0.0050915329084275	0.00404754297093715	0.000212385537424807	0.000382191839705205	0.0217545292620686	0.0158607963081281	0.00666768476992452
[Del(C):R3]A	0.000646011131943075	0.00069242768939487	0.0011499101487656	0.00165114449717954	0.00224941387803858	0.00470159010136209	0.00317011197143454	0.013729919905366	0.00107638614761048	0.0025236813827674	0.00429941552710322	0.00481613763589633	0.00405054620596161	0.00971352119670156	0.0880403665490688	0.0281801826947833	0.000163726955760186	0.0128247315677342	0.00127748110032717	0.00291294179852582	0.000634741190614464	0.0829833234034634	0.00618200605788369	0.00114474009800045	0.00236472578705624	0.00134414541959743	0.00489537088230164	0.00486483617516246	0.00126720656272425	0.00139888516174618	0.00757038577368401	0.00203758532313152	0.00352801604636788	0.00123485115978598	0.0121672994233823	0.00627406139157001	0.097800481199986	0.00447097591026629	7.04809678709242e-05	0.00050368823262581	0.00243365736345217	0.00192967741726033	0.00977965319431087	0.00022258003168271	0.0121905302444281	0.00225640063865443	0.00221383513677429	0.00112725010531244	0.0374126141304382	0.00385332485446334	0.000757855832959139	0.000395092284958103	0.00831714311735017	0.00195115406498117	0.00937305711090869	0.00359680716311747	0.00187512754730314	0.00617794733818987	0.00141690748000097	0.00164712013233593	0.00431875717277134	0.0103211684107914	0.0125878390069156	0.00439659048127556	0.0019780319490476	0.000537997721088727	0.00045582462124133	0.00651020073327839	0.00338836763805944	0.00384687692710718
[Del(C):R3]T	0.000720081773958665	0.00101860817005247	0.00126502247384632	0.00102830067271411	0.00173880481223214	0.00383085445143137	0.00284344045331834	0.0151692469140146	0.000612487729909381	0.00256781470035455	0.00217154066452336	0.00239776850043664	0.00354241412910897	0.0102417454027361	0.0388231533603184	0.0199556859107255	0.000228135003951102	0.0112321736420215	0.00112775991364911	0.00196076837711948	0.000693661240392079	0.0365796355780333	0.0025900117786053	0.00224001356483931	0.00116898262842498	0.0010607252169416	0.00311321249895398	0.00314999916527187	0.00159333895248324	0.00156673694496899	0.00677651355791382	0.00170269507712438	0.00172370145737638	0.00101702696713992	0.00951542993242888	0.00447629174424347	0.0360379938861389	0.00218500102503549	0.000150502751287509	0.00104277779445132	0.00134448217502342	0.00136140501917301	0.00695896193887654	0.000303514386905729	0.00430289414327555	0.00161119893815955	0.00283487287549447	0.000988084804576895	0.0158722681911277	0.00640732935730914	0.00182853913762601	6.75618906731823e-06	0.00806380185407234	0.0015920985824021	0.0101919357688865	0.0034410658317212	0.000736426539530003	0.00346580560205284	0.000809712761166478	0.00116571253272115	0.00410964843654269	0.00911887037042239	0.00873852686772236	0.00236289268613554	0.00179852570356109	0.000250447018731054	0.000336906015669339	0.00748788962707776	0.00170065275312155	0.00377604862535228
[Del(C):R(4,5)]A	0.00921720144799233	0.00226977688314779	0.00164048928460181	0.01527525268444	0.00275539706894429	0.00542087614513349	0.00265644159104675	0.0100788213662508	0.00204698941642357	0.00530261905394554	0.00248359534365802	0.0110273018034717	0.00986049861233058	0.0134499801583723	0.0486653531235241	0.0099834019285285	0.000446174243874095	0.00843199844327262	0.00132976045800412	0.00338013020260006	0.00138634069980312	0.0655887208372716	0.00411342371880065	0.00132845360602091	0.00293332469584662	0.00371734466673821	0.00939532272574651	0.00438897057042204	0.00295364231722355	0.0104671438643602	0.00531256223011262	0.00226371817137772	0.00340382176193149	0.0110030032157477	0.00850090959842801	0.00615055327799257	0.0518947761562295	0.00439444820116014	0.000401635808964756	0.000903383333496383	0.00465621437971577	0.0217548782016087	0.00744084719047154	0.000868228077800036	0.0101479819288255	0.0144101637269378	0.0201625591601291	0.0112701943386097	0.0271865242950968	0.00566408603995331	0.00195661070454315	1.62631122549018e-05	0.00638479888810218	0.00278689995476063	0.0128477032235875	0.00578815350205954	0.00433899973432661	0.00717550242861954	0.0143649839605017	0.00417895599635201	0.00617306060516563	0.00949813948831069	0.0113336085425789	0.00502480959203901	0.0040836347182791	0.00510898551323529	0.00121180817534848	0.00718804868075123	0.00356891505880446	0.00618019882435306
[Del(C):R(4,5)]T	0.00895240742108927	0.00132027832100476	0.000945348303671578	0.00811401087656501	0.00276335080467687	0.00385467529953322	0.00230226090348592	0.00958952537843378	0.00213058646782157	0.00388560709344995	0.00394436952551137	0.004412316717362	0.00312333363000192	0.00436062246050995	0.025446262239415	0.00793141016129014	0.000892026593822656	0.00681362591185019	0.00133020681324576	0.00224565057504582	0.0011195054431888	0.0380613536235882	0.00228366697172298	0.00178587634628847	0.0010005801440643	0.00217596721422978	0.00546574012504684	0.00337410828269415	0.0018352856387348	0.00933960301071403	0.00346464278323981	0.0019302276003069	0.00132296744241004	0.0159199620171837	0.00600467623405799	0.00395686096811402	0.0259823410891986	0.00379612360239522	0.000271741580650402	0.00106297948972452	0.00190972682234299	0.01394321359674	0.0055706170969095	0.000479559031726329	0.00587094706026861	0.00816396960629922	0.0131754179569679	0.00934184899164815	0.0149361431506152	0.00509541493641953	0.00281769960316584	1.510490841479e-05	0.00636984876354387	0.00121682568925043	0.00809865182476653	0.00366217022011264	0.00181815434923591	0.00475123230174477	0.0102568112540048	0.00221159292720512	0.00430473629651135	0.00776696614926597	0.00818026107786289	0.00311312098909335	0.00241646905943555	0.00349065055064041	0.0011488488203528	0.00497645793173809	0.0030209274726831	0.0041502092881159
[Del(C):R(1,5)]G	0.00333543449959839	0.0012666949025246	0.000915612223655167	0.00559984390579313	0.0047573278759976	0.00903805997914282	0.00376985209658431	0.00927774083097708	0.00219268544061184	0.00466823571834765	0.00572542703623232	0.0135478985607281	0.0078977554259111	0.015200185705871	0.0466649008532381	0.0121999414426278	0.00072145207637384	0.00954738200125109	0.00162852089974107	0.00236340931153965	0.00163751457113258	0.0574571238660713	0.00240104404022624	0.00444597717734166	0.000860114085378349	0.000776061249473949	0.0164799010019837	0.00302143353176791	0.002688146844293	0.00485764616270383	0.00513848025162525	0.00295683416531112	0.00504752728733932	0.00911279365969155	0.00741714909399515	0.00859249309125825	0.0460712427995228	0.00456796680841875	0.000240715860400594	0.00108873596030541	0.00621114198875137	0.00712442788330988	0.00756080363962129	0.000516294674722404	0.0141268549013803	0.00981710338823393	0.00727481391551085	0.00396962258032446	0.0197642289798282	0.0118389991233994	0.00384940460485792	0.000228503965955371	0.0149383811524557	0.0015691854105357	0.0100481399737867	0.0111701919289786	0.00130491332239224	0.00594426777549105	0.003994113469368	0.000911742114650175	0.00565159135767326	0.0148983866797507	0.0106148855233757	0.00237758743904902	0.00225852887447246	0.0012255598591279	0.000555766706119995	0.0130338920546983	0.00506655865096766	0.00602032335048627
Del(C):R(6,9)	0.0514964302408303	0.00435653226816142	0.00234265419337498	0.0309187942582292	0.00248582550711821	0.00381257055631639	0.00221977111195515	0.00172043531198482	0.00391401394645458	0.0028591385784115	0.00559664192311692	0.0166448768498886	0.011512734350116	0.011781504612297	0.0163280071890519	0.00493599882197945	0.00566846423939918	0.00235063479731654	0.00307846870593482	0.00472413193838907	0.0149392976220143	0.0254438818681946	0.00186946722550813	0.00309978634918571	0.00394936964698086	0.0109991273117438	0.0136721870650915	0.00253188820939265	0.00317300731275829	0.0489290841554332	0.00242126949614595	0.00300314861239053	0.00462248246407221	0.084264824099321	0.00252141655758235	0.00486882307974501	0.0238736447542045	0.00281550680262498	0.00114530443432351	0.00531210624311975	0.0123263664852111	0.0656740433383749	0.00585737125575659	0.00479413699982168	0.0130744270052864	0.0456904451673376	0.0496769334159551	0.0520898046792641	0.0073290604535011	0.00168609353948286	0.00414268035958392	0.00043640155525542	0.00390485020748475	0.00216908285679666	0.006445444340555	0.011635333168131	0.00468535906275732	0.00647759747801129	0.023278211227779	0.00833490909733724	0.00710927810736656	0.00532715148375691	0.00469386294163642	0.00360305908497793	0.00438007315354869	0.0206302172461249	0.00761209374634097	0.00413877897877077	0.00731965484381159	0.00557779305904246
