Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
SP116788	2	0	2	1	0	1	0	0	1	2	0	0	0	0	2	1	0	0	4	0
SP116789	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0
SP116919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SP109002	0	0	0	8	14	0	0	0	7	0	0	3	4	17	0	0	0	0	0	0
SP109001	0	0	0	0	3	2	0	0	0	0	1	2	0	0	1	0	0	0	2	0
SP109006	20	8	0	0	6	0	0	0	0	0	6	0	0	6	0	6	0	0	11	2
SP108998	24	4	27	0	26	0	0	0	10	0	0	3	0	35	4	0	0	0	0	5
SP127706	0	0	8	11	18	0	0	6	0	10	86	0	10	0	0	1	0	2	3	0
SP108999	23	0	0	0	13	6	0	0	0	0	0	9	6	0	1	0	42	11	0	0
SP109007	0	0	5	1	25	0	26	1	0	5	5	2	0	0	2	4	0	0	0	0
SP109003	0	0	6	3	0	0	6	0	0	0	0	10	9	8	0	5	0	4	0	1
SP116868	0	12	0	0	0	4	7	6	7	12	0	0	0	4	0	0	0	0	0	3
SP116794	1	0	2	0	0	1	1	0	0	0	0	0	0	2	7	0	0	0	0	1
SP116791	0	0	2	0	0	0	0	0	0	0	3	0	0	1	6	0	0	0	0	1
SP116866	0	0	5	0	0	6	2	0	8	6	0	0	1	0	1	0	0	5	0	14
SP116815	0	0	4	1	0	0	0	0	6	1	0	4	20	0	2	0	0	6	1	2
SP116853	0	0	8	3	0	0	0	6	5	0	0	1	0	0	1	8	1	0	8	1
SP116901	2	0	5	5	0	1	4	4	0	0	0	0	0	0	2	0	0	0	1	0
SP116830	0	0	10	14	0	20	0	4	0	6	21	12	0	0	5	0	0	0	0	0
SP116802	0	0	0	0	0	2	0	0	0	1	0	2	1	0	0	1	0	8	0	0
SP116885	7	0	13	3	0	0	10	0	53	0	0	0	0	0	0	2	0	2	0	0
SP116834	0	0	2	0	0	0	4	0	0	0	0	0	0	11	3	0	0	2	0	9
SP116913	0	0	0	4	0	3	0	13	0	1	0	0	0	0	4	0	0	0	0	0
SP116799	0	0	1	7	0	13	0	0	0	1	0	4	4	0	0	5	0	0	0	0
SP116920	0	0	0	0	0	0	0	0	0	0	0	7	5	0	1	3	0	0	0	2
SP116835	20	0	1	2	0	0	9	10	0	8	0	0	0	1	8	11	0	0	0	18
SP116852	0	0	8	0	0	0	0	8	3	0	0	0	0	0	0	9	0	0	6	4
SP116902	0	0	5	4	0	1	6	9	0	0	1	0	2	0	0	0	0	0	3	0
SP116871	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4
SP116820	0	0	7	0	0	11	1	0	0	1	0	0	2	25	0	2	0	1	1	0
SP116889	0	0	2	0	0	4	0	14	0	4	3	0	0	0	0	4	22	10	0	0
SP116923	0	0	12	7	0	14	8	0	0	2	0	8	5	0	6	0	0	0	0	0
SP116829	0	0	8	4	0	20	9	0	0	4	14	9	0	0	6	0	0	0	0	0
SP116872	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4
SP116904	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
SP116806	0	0	16	6	0	0	5	4	0	6	0	1	9	0	0	0	5	0	0	0
SP116857	0	0	9	17	0	13	12	0	0	9	3	0	10	0	5	3	0	0	0	0
SP116888	0	0	3	7	0	3	0	3	0	3	0	0	0	0	0	3	0	5	0	0
SP116818	0	0	0	0	0	0	1	0	0	2	0	4	3	9	0	3	0	0	0	0
SP116837	0	0	3	5	0	14	4	8	22	0	0	6	0	0	11	0	0	0	0	0
SP116905	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0
SP116804	0	0	16	1	0	0	5	9	0	3	0	0	11	0	0	0	13	1	0	0
SP116819	0	0	3	0	0	3	0	0	1	2	0	1	3	13	0	4	0	0	1	0
SP116856	0	0	3	14	0	11	10	0	4	0	1	0	2	0	2	2	0	1	0	1
SP116839	0	9	5	0	0	11	0	8	24	0	13	6	0	0	1	0	1	0	0	0
SP116925	1	0	2	2	0	1	0	0	1	4	0	2	2	0	1	0	0	1	11	0
SP116878	0	0	0	2	0	0	11	0	0	0	0	0	0	0	0	9	0	0	0	0
SP116893	0	0	10	18	0	0	0	0	0	0	3	1	0	0	0	15	0	0	3	2
SP116876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SP116927	0	0	5	0	0	0	1	0	0	6	0	2	2	0	0	3	0	1	22	1
SP116909	1	0	7	11	0	0	0	0	0	0	1	0	1	4	1	0	0	2	0	0
SP116795	2	0	0	1	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0
SP116826	0	0	22	6	0	6	3	0	3	6	1	0	0	0	0	1	0	0	0	0
SP116891	5	0	0	6	0	2	0	6	0	0	0	2	0	0	1	4	0	0	3	2
SP116860	0	0	1	2	3	8	0	4	0	3	0	0	0	3	0	0	12	0	0	0
SP116848	0	0	3	0	0	12	2	2	0	8	4	3	0	0	10	10	0	0	0	2
SP116910	11	0	15	1	0	1	19	0	0	0	9	0	7	2	2	0	0	3	0	2
SP116797	2	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SP116862	3	8	0	0	1	16	0	8	0	3	0	3	9	0	1	3	11	0	0	0
SP116823	0	0	12	8	0	0	0	2	5	3	0	0	2	0	1	2	0	0	0	0
SP116897	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	8	3	0
SP116846	0	0	0	1	0	0	2	8	0	2	0	2	0	0	1	3	0	0	0	0
SP116784	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SP116896	0	0	0	0	1	0	0	0	0	3	0	0	0	0	5	0	0	5	0	0
SP116824	0	0	14	5	0	3	0	0	0	4	0	0	1	0	0	7	0	1	0	0
SP116881	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	1	0	2
SP116812	0	0	4	1	0	0	4	3	1	0	3	1	13	2	0	1	0	2	1	7
SP116915	10	0	4	14	2	0	0	25	0	6	0	0	0	0	13	0	1	3	0	0
SP116786	0	0	7	0	0	0	0	4	19	9	0	0	11	0	1	0	0	0	7	8
SP116851	0	0	1	1	0	0	0	0	6	0	0	0	1	0	1	4	0	0	1	0
CPCT02220038T	928	161	93	4	1	0	0	0	0	24	0	30	0	4	18	0	0	3	7	0
CPCT02290013T	46	526	46	22	114	0	24	20	0	0	0	29	0	0	3	2	0	14	0	0
