MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
1:Del:C:0	2.92E-04	6.70E-05	4.39E-04	3.78E-04	4.40E-04	6.06E-04	1.99E-03	2.55E-04
1:Del:C:1	2.94E-04	4.14E-05	3.12E-04	2.60E-04	3.80E-04	6.91E-04	8.32E-04	1.87E-04
1:Del:C:2	2.06E-04	2.87E-05	2.72E-04	8.94E-06	1.66E-05	6.49E-04	3.04E-04	1.25E-04
1:Del:C:3	1.18E-04	3.67E-05	1.76E-04	1.19E-04	5.82E-05	3.27E-04	2.43E-04	9.20E-05
1:Del:C:4	5.54E-05	4.70E-05	7.19E-05	4.16E-05	5.05E-05	2.10E-04	1.08E-04	7.58E-05
1:Del:C:5	5.46E-05	9.74E-05	5.25E-05	0.00E+00	1.06E-04	1.71E-04	2.12E-04	8.76E-05
1:Del:T:0	1.87E-04	3.07E-05	3.11E-04	3.43E-04	3.34E-04	5.22E-04	1.98E-03	2.30E-04
1:Del:T:1	1.40E-03	4.77E-05	1.84E-03	4.26E-05	6.66E-04	4.81E-04	1.62E-03	1.53E-03
1:Del:T:2	1.47E-04	4.47E-05	2.71E-04	2.44E-04	2.27E-04	3.18E-04	7.41E-04	1.80E-04
1:Del:T:3	2.04E-04	6.01E-05	3.41E-04	2.25E-04	5.54E-05	2.64E-04	7.79E-04	2.31E-04
1:Del:T:4	1.67E-04	9.40E-05	2.36E-04	2.02E-04	1.89E-05	2.88E-04	6.42E-04	1.57E-04
1:Del:T:5	3.82E-04	9.64E-04	5.75E-04	9.66E-04	1.91E-04	1.97E-04	6.37E-03	8.94E-04
1:Ins:C:0	9.97E-04	5.36E-05	5.98E-04	5.09E-04	7.74E-04	7.63E-04	5.86E-03	5.17E-05
1:Ins:C:1	2.00E-04	1.56E-05	1.81E-04	1.39E-04	2.72E-04	2.80E-04	1.19E-03	6.55E-05
1:Ins:C:2	5.60E-05	1.93E-06	7.45E-05	7.61E-05	1.15E-04	1.36E-04	4.28E-04	2.33E-05
1:Ins:C:3	1.89E-05	1.38E-05	5.55E-05	8.33E-05	1.06E-04	1.40E-04	3.32E-04	5.08E-05
1:Ins:C:4	2.04E-05	2.80E-05	2.91E-05	8.07E-05	9.55E-05	1.04E-04	2.52E-04	1.37E-05
1:Ins:C:5	8.59E-05	8.00E-05	8.70E-05	2.15E-04	2.02E-04	1.71E-04	6.99E-04	5.10E-05
1:Ins:T:0	7.80E-04	4.07E-05	1.08E-04	1.98E-04	7.53E-04	3.96E-04	5.04E-03	1.44E-04
1:Ins:T:1	1.62E-04	0.00E+00	2.11E-04	2.58E-04	2.35E-04	4.77E-04	7.95E-04	1.19E-04
1:Ins:T:2	1.52E-04	3.88E-05	9.18E-05	1.52E-04	2.22E-04	3.48E-04	9.46E-04	9.87E-05
1:Ins:T:3	1.08E-04	3.65E-05	1.48E-04	1.38E-04	1.78E-04	2.42E-04	4.69E-04	6.14E-05
1:Ins:T:4	8.71E-05	4.25E-05	8.02E-05	1.36E-04	1.41E-04	1.74E-04	3.55E-04	7.08E-05
1:Ins:T:5	9.62E-04	8.89E-04	1.02E-03	1.84E-03	4.33E-04	4.98E-04	2.43E-03	4.26E-04
2:Del:R:0	1.49E-04	3.99E-05	2.38E-04	1.64E-04	1.13E-04	2.28E-04	5.43E-04	7.89E-04
2:Del:R:1	2.04E-04	8.39E-05	1.84E-04	1.13E-04	1.21E-04	3.50E-04	1.10E-03	3.28E-03
2:Del:R:2	7.89E-05	2.76E-05	1.02E-04	4.80E-05	6.02E-05	1.45E-04	3.48E-04	7.62E-04
2:Del:R:3	1.53E-05	3.24E-05	9.15E-06	2.75E-05	7.72E-05	9.43E-05	1.09E-04	3.02E-04
2:Del:R:4	0.00E+00	2.60E-05	6.13E-06	2.40E-05	4.36E-05	5.98E-05	6.75E-05	9.11E-05
2:Del:R:5	0.00E+00	6.80E-05	2.85E-05	1.69E-04	1.47E-04	2.11E-04	5.50E-04	8.18E-05
3:Del:R:0	7.44E-05	5.87E-06	1.20E-04	9.01E-05	1.41E-04	7.32E-05	3.62E-04	1.09E-04
3:Del:R:1	7.49E-05	5.07E-05	1.97E-04	3.56E-04	2.40E-04	1.06E-04	6.43E-03	2.96E-03
3:Del:R:2	1.32E-05	2.68E-05	2.33E-05	1.31E-04	4.56E-05	6.54E-06	1.88E-03	9.37E-04
3:Del:R:3	3.46E-06	1.35E-05	2.07E-05	2.61E-05	2.27E-05	1.26E-05	5.98E-04	3.38E-04
3:Del:R:4	1.00E-05	1.30E-05	2.18E-05	2.65E-05	1.66E-05	0.00E+00	1.60E-04	7.22E-05
3:Del:R:5	1.12E-05	1.81E-05	3.22E-05	3.69E-05	1.85E-05	2.15E-05	2.19E-04	5.06E-05
4:Del:R:0	6.61E-05	3.34E-06	1.30E-04	6.37E-05	1.20E-04	3.77E-05	2.52E-04	9.07E-05
4:Del:R:1	2.80E-05	3.30E-05	7.85E-05	2.45E-04	1.89E-04	5.23E-05	3.28E-03	1.48E-03
4:Del:R:2	1.09E-06	1.75E-05	1.57E-05	1.11E-04	7.54E-05	2.98E-05	1.00E-03	4.19E-04
4:Del:R:3	3.02E-06	1.54E-05	3.29E-05	4.55E-05	6.54E-05	2.56E-05	4.78E-04	1.84E-04
4:Del:R:4	1.68E-06	1.02E-05	1.62E-05	3.74E-05	2.10E-05	3.75E-05	1.76E-04	7.99E-05
4:Del:R:5	2.82E-06	1.26E-05	7.26E-06	1.06E-05	1.13E-05	1.41E-05	1.10E-04	5.70E-05
5:Del:R:0	8.42E-04	1.53E-09	8.53E-04	1.19E-05	1.25E-03	2.06E-04	1.37E-03	4.48E-04
5:Del:R:1	5.32E-05	1.87E-05	2.48E-04	1.24E-04	1.88E-04	1.69E-05	8.49E-04	1.91E-04
5:Del:R:2	0.00E+00	9.07E-06	4.27E-05	5.57E-05	6.19E-05	1.69E-05	3.07E-04	8.61E-05
5:Del:R:3	9.70E-07	8.50E-06	7.17E-06	8.32E-06	2.38E-05	6.35E-06	1.05E-04	4.65E-05
5:Del:R:4	2.54E-07	7.19E-06	2.26E-06	2.54E-06	1.41E-05	1.43E-06	4.07E-05	1.45E-05
5:Del:R:5	1.14E-06	3.47E-06	4.39E-06	4.79E-06	4.86E-06	3.40E-10	2.84E-05	1.48E-05
2:Ins:R:0	5.05E-04	4.37E-05	2.07E-04	2.17E-04	8.09E-04	2.26E-04	3.89E-03	8.16E-05
2:Ins:R:1	8.21E-05	7.34E-07	1.25E-04	1.09E-04	1.48E-04	1.25E-04	3.32E-04	6.06E-05
2:Ins:R:2	4.69E-05	1.33E-05	6.44E-05	7.64E-05	1.06E-04	4.30E-05	2.28E-04	5.00E-05
2:Ins:R:3	3.21E-05	1.76E-05	2.06E-05	6.30E-05	8.17E-05	7.72E-05	1.97E-04	1.70E-05
2:Ins:R:4	1.73E-05	3.23E-05	2.13E-05	6.86E-05	7.52E-05	6.84E-05	1.04E-04	1.35E-05
2:Ins:R:5	5.63E-05	1.10E-04	1.79E-05	2.95E-04	3.73E-04	5.62E-05	3.20E-04	5.25E-05
3:Ins:R:0	5.28E-05	5.33E-06	8.23E-06	6.25E-05	3.49E-04	7.22E-05	1.07E-03	3.79E-05
3:Ins:R:1	5.82E-05	0.00E+00	1.08E-04	1.05E-04	1.20E-04	8.89E-05	2.94E-04	6.19E-05
3:Ins:R:2	2.32E-05	3.27E-06	3.59E-05	3.80E-05	3.12E-05	1.85E-05	9.96E-05	2.57E-05
3:Ins:R:3	3.40E-06	1.33E-06	2.37E-06	2.45E-05	1.30E-05	2.24E-07	3.38E-05	1.42E-05
3:Ins:R:4	1.78E-06	7.23E-06	3.75E-06	1.66E-05	1.40E-06	1.76E-05	2.76E-05	1.87E-05
3:Ins:R:5	1.56E-05	2.20E-05	2.17E-05	5.36E-05	3.36E-05	0.00E+00	4.97E-05	2.94E-05
4:Ins:R:0	2.58E-04	2.06E-05	0.00E+00	1.24E-05	1.39E-03	1.97E-05	4.14E-03	9.94E-06
4:Ins:R:1	6.56E-05	0.00E+00	9.58E-05	9.68E-05	1.19E-04	5.62E-05	2.65E-04	8.76E-05
4:Ins:R:2	1.33E-05	4.02E-06	5.64E-06	3.27E-05	5.00E-05	1.73E-05	8.41E-05	2.98E-05
4:Ins:R:3	0.00E+00	6.89E-06	9.07E-06	3.11E-05	3.16E-05	3.73E-06	5.70E-05	1.54E-05
4:Ins:R:4	3.72E-06	1.09E-05	2.01E-05	4.32E-05	4.42E-05	1.23E-05	3.67E-05	5.11E-06
4:Ins:R:5	0.00E+00	1.45E-05	4.24E-06	4.46E-05	4.57E-05	1.34E-05	9.63E-05	5.74E-06
5:Ins:R:0	1.28E-09	1.33E-05	7.51E-05	1.40E-47	3.32E-03	1.29E-04	1.81E-03	2.46E-05
5:Ins:R:1	1.26E-04	0.00E+00	2.44E-04	2.23E-04	2.42E-04	1.03E-04	8.26E-04	1.20E-04
5:Ins:R:2	1.05E-05	1.56E-06	3.21E-05	3.62E-05	4.64E-05	3.20E-05	3.79E-05	2.73E-05
5:Ins:R:3	7.24E-06	2.71E-06	2.24E-05	2.45E-05	3.51E-05	2.09E-10	7.28E-05	0.00E+00
