Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP77443	1.68E+00	8.03E+00	2.11E+00	9.45E-01	8.79E+00	2.68E+00	8.06E-01	3.10E+00	1.51E+00	2.47E+00	5.95E-01	8.47E-01	3.64E-01	3.10E+00	2.89E-01	6.44E-01
SP72118	2.93E+00	7.87E+00	3.57E+00	6.79E-01	9.06E+00	2.53E+00	1.31E+00	2.15E+00	9.28E-01	2.55E+00	2.49E-01	1.31E+00	2.55E-01	1.73E+00	1.68E-01	9.84E-01
SP76891	3.49E+00	6.27E+00	5.34E+00	1.59E-01	7.11E+00	2.67E+00	5.60E-01	1.62E+00	8.99E-01	2.06E+00	0.00E+00	1.15E+00	6.09E-01	2.24E+00	4.83E-01	4.94E-01
SP125732	1.31E+02	3.90E+01	1.45E+02	1.91E-01	2.36E+01	7.44E+01	1.52E+01	4.12E+00	7.24E-01	6.31E+00	0.00E+00	3.10E-01	4.85E-01	3.03E+00	3.57E-01	1.73E+00
SP125716	2.82E+00	6.88E+00	3.13E+00	8.13E-01	8.18E+00	2.82E+00	1.30E+00	1.76E+00	1.29E+00	1.84E+00	1.05E+00	1.02E+00	5.20E-01	2.06E+00	2.35E+00	9.38E-01
SP125746	6.35E+02	1.75E+02	7.11E+02	0.00E+00	2.68E+02	2.39E+02	6.39E+01	8.92E-01	2.30E-01	6.87E+01	8.00E-01	1.79E+01	2.22E+00	3.95E+01	6.48E+00	5.58E+00
SP125797	4.84E+00	6.19E+00	6.60E+00	5.40E-01	7.25E+00	2.15E+00	8.93E-01	1.56E+00	3.60E-01	1.61E+00	5.14E-01	1.42E+00	4.78E-01	1.64E+00	1.66E+00	9.48E-01
SP76057	1.94E+00	6.77E+00	2.85E+00	5.88E-01	7.69E+00	1.70E+00	2.18E+00	1.86E+00	1.45E+00	2.31E+00	1.79E-01	1.09E+00	3.00E-02	2.38E+00	2.53E-01	8.76E-01
SP69565	6.23E+00	8.44E+00	8.74E+00	5.85E+00	9.45E+00	4.60E+00	2.06E+00	3.98E+00	3.77E+00	4.50E+00	1.92E-01	1.76E+00	3.27E-01	2.61E+00	1.85E+00	1.87E+00
SP75202	1.83E+00	3.70E+00	2.82E+00	3.59E-01	4.15E+00	2.25E+00	4.53E-01	1.61E+00	1.28E+00	2.04E+00	2.42E-01	1.24E+00	3.12E-01	1.20E+00	5.91E-02	1.96E-01
SP110736	3.73E+00	5.53E+00	6.00E+00	5.17E-01	6.05E+00	3.07E+00	1.82E+00	1.29E+00	6.37E-01	1.57E+00	0.00E+00	1.21E+00	4.55E-01	1.17E+00	2.82E-01	9.07E-01
SP107774	4.71E-01	6.08E+00	7.83E-01	5.01E-01	6.53E+00	1.23E+00	1.24E+00	1.20E+00	9.89E-01	1.56E+00	0.00E+00	9.87E-01	4.18E-01	1.50E+00	2.59E-01	7.62E-01
SP110779	2.72E+00	7.01E+00	3.46E+00	6.57E-01	8.32E+00	3.65E+00	1.29E+00	2.43E+00	8.35E-01	1.86E+00	2.61E-01	1.45E+00	5.17E-01	4.12E+00	1.63E-01	1.06E+00
SP107805	2.27E+00	4.44E+00	2.32E+00	6.75E-01	5.37E+00	2.36E+00	9.00E-01	2.11E+00	1.58E+00	2.75E+00	2.19E-01	1.08E+00	3.25E-01	1.96E+00	2.81E-01	8.92E-01
SP110789	2.30E+00	5.21E+00	3.24E+00	7.02E+00	5.86E+00	4.49E+00	3.74E-01	3.50E+00	4.76E+00	5.38E+00	1.90E-01	1.03E+00	6.29E-01	3.14E+00	2.26E+00	3.00E+00
SP71846	3.19E+00	6.75E+00	4.97E+00	8.06E-01	8.22E+00	3.13E+00	1.12E+00	3.36E+00	9.86E-01	3.25E+00	0.00E+00	1.43E+00	4.86E-01	1.82E+00	2.90E-01	7.56E-01
SP70122	3.65E+00	7.45E+00	5.05E+00	4.04E-01	8.12E+00	2.37E+00	1.38E+00	1.18E+00	8.53E-01	1.06E+00	1.75E-01	8.09E-01	3.40E-01	1.15E+00	2.71E-01	1.08E+00
SP71404	7.82E+00	1.20E+01	1.03E+01	5.14E-01	1.33E+01	5.85E+00	1.91E+00	2.26E+00	1.56E+00	2.75E+00	2.30E-01	1.77E+00	3.00E-01	1.72E+00	4.60E-01	1.35E+00
SP76955	1.50E+00	7.30E+00	1.99E+00	3.92E-01	8.51E+00	2.10E+00	2.92E+00	1.20E+00	8.75E-01	1.46E+00	0.00E+00	8.87E-01	2.31E-01	1.56E+00	9.00E-02	4.71E-01
SP107781	1.64E+00	2.56E+00	2.15E+00	5.85E-01	2.95E+00	1.41E+00	7.21E-01	1.66E+00	1.11E+00	1.93E+00	0.00E+00	1.07E+00	4.00E-01	1.07E+00	8.03E-02	5.57E-01
SP70202	1.36E+00	4.45E+00	1.96E+00	5.25E+00	5.31E+00	2.86E+00	9.91E-01	1.85E+00	3.54E+00	3.30E+00	4.81E-01	7.42E-01	5.48E-01	2.58E+00	1.52E+00	1.42E+00
SP70677	7.78E-01	2.28E+00	6.91E-01	4.18E-01	2.94E+00	1.16E+00	3.77E-01	1.02E+00	1.37E+00	2.05E+00	1.53E-01	9.37E-01	3.99E-01	1.29E+00	1.76E-01	5.17E-01
SP70082	9.37E-01	2.68E+00	1.03E+00	4.62E-01	2.98E+00	1.43E+00	5.89E-01	1.14E+00	7.04E-01	1.53E+00	1.64E-01	1.13E+00	3.32E-01	5.02E-01	2.11E-01	7.26E-02
SP70288	6.20E+00	8.88E+00	9.03E+00	5.86E-01	9.69E+00	3.33E+00	1.79E+00	1.36E+00	9.16E-01	1.65E+00	2.41E-01	1.26E+00	5.70E-01	2.04E+00	2.48E-01	5.89E-01
SP70266	1.06E+00	3.85E+00	1.27E+00	5.96E-01	4.54E+00	2.25E+00	1.14E+00	1.36E+00	1.25E+00	2.45E+00	2.84E-01	1.30E+00	6.53E-01	1.85E+00	2.15E-01	3.22E-01
SP107956	4.84E+00	9.98E+00	6.25E+00	9.26E-01	1.08E+01	4.86E+00	1.05E+00	2.02E+00	1.17E+00	2.27E+00	1.94E-01	1.86E+00	5.73E-01	1.23E+00	3.38E-01	1.69E+00
SP70956	2.25E+00	3.83E+00	3.44E+00	4.69E-01	4.24E+00	1.21E+00	8.21E-01	1.41E+00	1.05E+00	1.66E+00	2.44E-01	9.58E-01	4.70E-01	8.69E-01	1.10E-01	6.26E-01
