Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
SP77443	36	277	0	36	97	62	12	37	37	46	9	0	2	59	0	8
SP72118	128	302	0	21	0	23	29	25	1	93	3	10	0	20	3	5
SP76891	130	208	0	0	42	0	3	41	11	10	0	24	12	57	2	7
SP125732	5581	600	28	0	0	1305	229	0	0	0	0	0	0	0	0	0
SP125716	89	327	29	29	0	1	21	45	30	0	45	21	12	33	72	10
SP125746	30933	5654	7537	0	0	1948	1252	0	0	0	0	108	25	0	0	0
SP125797	231	137	10	11	153	0	15	44	0	16	12	33	8	3	60	7
SP76057	62	249	0	10	32	6	37	18	23	76	1	0	0	49	0	10
SP69565	307	351	0	414	0	35	47	131	52	111	3	19	0	0	16	2
SP75202	58	133	0	2	0	5	4	70	29	0	4	53	6	7	1	0
SP110736	150	93	0	10	173	0	24	18	6	4	0	21	8	5	0	21
SP107774	0	320	15	15	52	0	20	27	15	24	0	12	4	26	0	12
SP110779	65	106	0	14	189	66	13	51	8	0	2	21	7	66	0	20
SP107805	69	193	4	16	0	50	5	23	19	71	3	3	2	51	5	18
SP110789	59	169	0	608	0	49	2	91	42	6	3	9	16	1	4	110
SP71846	112	175	0	24	88	23	18	102	0	59	0	14	5	6	0	5
SP70122	133	277	24	5	41	20	22	20	15	8	2	16	3	17	0	20
SP71404	395	529	11	1	0	62	28	73	49	35	1	32	3	26	2	34
SP76955	38	310	0	4	0	0	68	33	20	0	1	15	0	45	0	3
SP107781	65	0	2	10	110	10	1	39	27	29	0	22	2	0	0	3
SP70202	36	157	0	407	19	12	14	37	84	26	16	5	11	28	6	1
SP70677	12	52	4	7	0	21	1	0	26	49	0	18	6	13	0	1
SP70082	27	67	0	5	0	11	8	31	17	0	2	36	7	0	5	0
SP70288	293	250	0	10	102	0	29	17	14	24	4	25	14	43	0	10
SP70266	29	148	0	10	0	8	18	7	19	68	6	37	14	36	0	1
SP107956	186	363	0	26	0	38	19	52	25	38	3	40	12	0	0	41
SP70956	84	88	0	10	56	0	11	56	24	0	4	21	9	6	0	11
SP108017	57	61	0	3	61	0	9	44	8	4	0	19	4	8	4	7
SP71536	48	104	0	32	67	0	18	30	15	0	0	16	9	13	0	7
SP70756	117	148	0	8	0	26	2	21	17	74	1	25	7	14	0	3
SP76675	135	424	0	441	0	50	34	83	48	141	7	0	0	7	0	0
SP71480	93	295	0	14	0	22	24	10	5	0	4	42	2	47	0	11
SP70313	66	119	0	11	0	1	6	42	27	50	0	43	5	16	0	5
SP73319	44	166	8	23	0	14	17	11	26	46	6	6	1	0	0	0
SP107813	144	157	0	13	142	21	30	57	6	26	3	4	5	0	1	24
SP77339	37	222	14	15	43	21	13	46	13	6	1	33	8	12	0	0
SP76017	86	124	17	15	0	0	0	37	8	26	0	26	1	40	0	9
SP76915	98	103	0	25	0	40	21	42	10	102	3	0	3	23	0	17
SP71974	286	453	11	697	276	85	66	1	133	0	15	0	2	4	0	60
SP70178	172	340	3	22	45	45	13	21	13	102	2	23	1	0	3	11
SP107920	98	202	0	18	0	26	34	33	15	0	4	0	18	61	2	12
SP110798	47	204	6	7	0	18	25	37	16	10	0	31	0	6	0	10
SP107952	82	264	3	19	0	16	6	0	15	135	0	3	20	47	1	22
SP70465	20	146	1	11	0	19	5	61	22	55	3	29	9	22	0	9
SP70780	150	186	4	15	177	0	34	19	12	25	2	13	5	28	0	13
SP110803	26	74	5	37	2	6	1	39	116	50	0	7	12	0	1	5
SP107915	74	149	0	4	51	3	34	47	20	0	7	23	7	6	3	3
SP71132	181	284	0	8	169	33	35	34	9	15	0	25	3	28	4	4
SP71552	96	295	3	31	0	10	29	31	38	112	6	9	9	17	3	29
SP69573	48	139	0	10	0	0	14	20	20	43	0	0	4	4	0	7
SP75681	29	220	0	1	0	22	34	0	20	23	0	0	9	99	0	19
SP107874	134	304	0	20	163	21	32	50	18	2	0	25	2	11	3	28
SP110816	27	28	2	12	145	0	24	15	15	17	2	19	1	0	0	1
SP77203	731	255	29	934	137	12	45	59	122	0	4	38	1	0	10	43
SP76515	50	233	40	20	0	43	24	32	34	42	2	22	11	10	0	3
SP110770	171	194	0	1	0	49	27	11	27	95	0	3	3	18	0	15
SP69812	44	68	0	6	40	2	0	40	15	8	0	32	0	3	1	5
SP76136	164	138	0	42	247	36	6	53	165	143	0	19	5	4	0	36
SP70106	46	17	0	225	0	3	220	43	35	0	6	7	5	11	0	49
SP108059	64	142	0	18	0	5	13	19	14	36	5	24	12	31	0	1
SP108020	100	212	0	46	0	9	18	14	15	15	3	51	4	42	1	3
SP76867	132	222	17	14	0	16	14	43	17	23	5	14	11	9	0	6
SP108088	85	138	15	10	70	5	11	53	37	0	4	50	3	0	3	10
SP71734	87	187	0	7	0	13	16	11	20	54	4	21	5	20	1	10
SP76001	29	94	0	9	4	0	6	41	17	13	3	20	0	28	0	0
SP108033	116	249	18	9	0	10	4	28	39	26	3	19	5	0	0	16
SP110822	122	260	9	34	0	17	17	70	13	0	7	36	10	11	0	49
SP69762	106	60	5	16	138	10	15	19	3	63	7	9	0	3	0	9
SP107945	87	140	8	28	168	11	27	43	15	0	0	51	6	2	0	8
SP107770	53	141	0	17	0	7	16	25	19	35	8	14	5	32	1	9
SP73263	150	285	6	8	0	0	17	20	10	40	0	12	13	22	4	17
SP77131	102	373	0	5	29	28	40	36	22	0	2	32	7	33	1	20
SP75322	552	574	35	17	0	21	116	117	51	0	9	11	15	67	6	172
SP70046	11	55	0	2	111	17	13	26	6	0	5	0	11	32	0	14
SP70932	62	174	0	11	125	7	17	26	37	26	0	12	0	27	0	0
SP71758	3	64	0	27	28	12	8	21	118	9	1	14	5	18	0	2
SP71228	294	192	1	23	175	61	30	33	31	89	3	60	6	28	1	22
SP76353	16	43	31	3	43	7	11	36	3	19	3	23	2	1	0	16
SP69587	28	119	0	1	0	5	8	0	1	26	0	3	0	16	0	1
SP69898	313	428	0	20	267	16	46	41	7	0	8	88	0	30	7	11
SP75977	51	129	0	0	0	0	11	18	18	104	0	5	3	4	0	7
SP70226	32	89	12	3	98	47	14	23	0	20	1	0	6	29	0	25
SP108068	100	179	0	18	0	11	26	24	25	77	0	27	8	20	0	18
SP107784	95	601	7	18	354	65	58	25	14	0	5	0	8	58	0	13
SP110824	43	180	0	0	0	4	12	13	25	24	0	27	7	36	0	8
SP76843	130	341	26	13	152	16	38	60	8	0	0	17	8	3	5	14
SP71456	120	252	0	42	0	4	22	60	32	52	0	49	16	38	0	12
SP108065	139	141	0	0	6	21	28	21	9	64	0	16	7	23	0	10
SP70860	196	206	4	24	15	29	19	47	18	32	2	49	9	6	4	0
SP71084	78	154	1	0	73	0	23	42	25	38	5	8	4	0	0	7
SP72262	30	118	7	24	17	9	11	25	30	10	6	15	17	46	0	6
SP69705	129	135	0	19	0	16	29	28	4	44	8	25	6	22	0	25
SP107786	164	402	0	64	0	12	52	0	124	144	2	23	4	17	2	19
SP71576	50	126	0	1	0	0	12	25	13	40	0	19	0	36	1	9
SP108123	53	132	0	14	3	26	4	22	10	19	6	22	20	17	1	2
SP74896	55	188	2	10	26	45	16	78	10	0	2	15	3	0	0	4
SP71950	72	302	0	14	0	16	24	47	13	9	1	51	0	36	2	5
SP108049	20	111	7	15	0	10	6	29	37	0	1	9	8	0	0	8
SP116965	120	436	33	1033	0	246	69	248	0	0	0	35	13	87	0	32
SP77930	15	66	0	8	36	26	7	13	21	0	0	20	1	20	1	2
SP125807	112	380	20	10	122	34	28	53	11	0	5	36	6	25	24	11
SP125696	98	169	0	11	0	37	112	38	38	57	4	9	3	9	24	6
SP125725	122	163	13	20	78	54	25	5	37	51	7	29	3	9	45	37
SP125752	123	321	31	13	129	30	25	8	34	0	2	25	1	56	7	1
SP118048	493	206	0	11	313	28	56	28	11	0	7	49	9	0	4	188
SP117981	5	151	0	15	0	17	22	33	35	33	1	8	8	22	0	12
SP125749	28	81	0	5	20	8	4	55	14	54	2	5	0	0	19	6
SP125762	36	286	17	5	0	11	29	44	20	22	4	38	16	15	10	22
SP117164	76	173	0	16	0	15	14	35	14	0	0	17	12	2	6	8
SP117002	161	304	7	15	0	46	64	26	27	2	2	37	3	31	7	15
SP117158	31	64	0	6	18	17	14	61	34	0	1	27	18	10	0	4
SP125691	420	597	0	18	0	72	84	57	29	111	3	32	10	18	0	11
SP125721	57	226	33	12	0	1	12	21	20	47	4	13	2	0	49	2
SP125753	148	175	4	10	37	0	62	34	14	0	4	15	9	24	29	4
SP117972	73	151	12	9	33	16	27	46	16	26	3	0	2	9	17	16
SP125726	133	179	0	0	147	13	16	40	31	19	1	0	4	18	0	14
SP125800	0	12	0	2	0	9	14	0	0	0	0	0	0	0	18	0
SP117745	240	457	14	4	202	0	53	24	10	5	2	23	7	3	0	4
SP117351	71	116	3	5	0	13	7	35	4	53	0	0	5	5	9	14
SP117980	0	165	8	22	87	22	23	21	13	33	8	11	9	39	31	8
SP117878	128	195	8	8	64	0	9	53	22	5	3	25	1	2	0	1
SP125805	58	148	12	9	39	16	13	25	14	44	6	13	3	16	0	4
SP78013	168	406	0	16	0	36	38	0	13	29	0	33	8	31	7	7
SP118083	22	5	1	65	98	50	8	115	51	47	4	56	7	33	13	10
SP125772	8	65	0	0	84	0	15	18	13	15	0	10	1	3	6	0
SP117216	133	122	9	12	85	7	14	34	9	56	0	22	10	20	0	12
SP125784	42	85	30	23	19	64	15	25	14	14	1	22	0	23	14	7
SP117323	167	253	18	29	34	63	20	120	23	40	3	77	6	0	42	16
SP118046	129	420	11	9	10	28	23	23	6	73	1	3	7	16	0	6
SP77888	10	37	1	8	0	6	2	15	18	55	0	0	1	11	0	0
SP125766	80	177	4	0	0	8	11	3	9	43	2	50	6	19	35	62
SP125737	54	60	9	42	111	9	16	106	26	0	1	40	8	15	17	8
SP125763	144	490	0	22	157	43	73	77	34	0	27	41	8	22	47	14
SP125802	61	129	28	9	94	31	29	33	16	12	0	16	3	0	19	2
SP117656	46	134	14	131	0	15	6	85	97	0	1	16	12	8	0	8
SP77872	10	52	0	1	0	0	0	19	10	7	0	14	7	3	2	9
SP117309	95	407	0	3	81	10	29	17	32	30	0	45	14	11	0	4
SP117201	144	321	0	30	0	31	26	35	10	85	1	17	10	23	0	1
SP125685	52	177	17	6	0	9	4	34	13	27	0	45	10	16	23	10
SP117463	179	221	0	8	0	25	43	14	9	40	0	12	3	24	15	12
SP117568	158	301	4	19	0	30	17	92	13	52	2	46	8	0	30	16
SP125717	127	147	0	6	0	0	18	19	6	69	20	3	5	10	27	0
SP125707	0	0	0	2	0	0	0	0	0	0	7	0	0	7	12	0
SP125794	68	313	5	0	7	4	21	13	16	66	4	0	7	37	25	7
SP125756	178	0	0	406	157	41	5	54	198	0	18	0	7	0	48	72
SP117441	68	161	0	2	35	0	28	27	21	110	4	9	4	15	0	4
SP125780	108	310	6	9	0	24	51	43	25	39	3	10	0	15	48	6
